ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Algeria?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in Algeria?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in Algeria?"",""answer"":[""prenatal yoga""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Algeria's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Algeria's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in Algeria's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in Algeria's society?"",""answer"":[""50""]}",1,,
New-pe-20,What sport is popular to play on the beach in Algeria?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in Algeria?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in Algeria?"",""answer"":[""beach volleyball""]}",1,,
Kik-in-37,What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""USM Alger vs MC Alger""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""1.5""]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from Algeria?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from Algeria?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from Algeria?"",""answer"":[""Medicine""]}",1,,
New-pe-49,Where do families gather to pray together in Algeria?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in Algeria?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in Algeria?"",""answer"":[""mosque""]}",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in Algeria?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in Algeria?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in Algeria?"",""answer"":[""Public parks""]}",1,,
Sa-en-22,What is the most famous university in Algeria known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Algeria known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in Algeria known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in Algeria known for its sports team?"",""answer"":[""University of Algiers""]}",1,,
Al-en-19,What is a popular second language for high school students in Algeria?,"Show your thoughts clearly and answer the following question.

What is a popular second language for high school students in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is a popular second language for high school students in Algeria?"",""answer"":[""answer here""]}","{""question"":""What is a popular second language for high school students in Algeria?"",""answer"":[""French""]}",1,,
Ne-ar-09,What do people from Algeria eat in Eid ul Fitr?,"Show your thoughts clearly and answer the following question.

What do people from Algeria eat in Eid ul Fitr?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What do people from Algeria eat in Eid ul Fitr?"",""answer"":[""answer here""]}","{""question"":""What do people from Algeria eat in Eid ul Fitr?"",""answer"":[""Makroudh""]}",1,,
New-su-24,What sports do parents and children commonly play together in Algeria?,"Show your thoughts clearly and answer the following question.

What sports do parents and children commonly play together in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports do parents and children commonly play together in Algeria?"",""answer"":[""answer here""]}","{""question"":""What sports do parents and children commonly play together in Algeria?"",""answer"":[""football""]}",1,,
Ji-ko-42,What are the required subjects in Algeria's university entrance exam?,"Show your thoughts clearly and answer the following question.

What are the required subjects in Algeria's university entrance exam?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What are the required subjects in Algeria's university entrance exam?"",""answer"":[""answer here""]}","{""question"":""What are the required subjects in Algeria's university entrance exam?"",""answer"":[""Arabic"",""French"",""Mathematics"",""Physics"",""Chemistry"",""Biology"",""History and Geography""]}",1,,
New-pe-06,What is the most popular stew in Algeria?,"Show your thoughts clearly and answer the following question.

What is the most popular stew in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular stew in Algeria?"",""answer"":[""answer here""]}","{""question"":""What is the most popular stew in Algeria?"",""answer"":[""Chorba""]}",1,,
New-pe-86,What is the name of the most famous tower in Algeria?,"Show your thoughts clearly and answer the following question.

What is the name of the most famous tower in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the name of the most famous tower in Algeria?"",""answer"":[""answer here""]}","{""question"":""What is the name of the most famous tower in Algeria?"",""answer"":[""Eiffel Tower of Algiers""]}",1,,
Th-en-53,What is the most popular extracurricular social event at schools in Algeria?,"Show your thoughts clearly and answer the following question.

What is the most popular extracurricular social event at schools in Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular extracurricular social event at schools in Algeria?"",""answer"":[""answer here""]}","{""question"":""What is the most popular extracurricular social event at schools in Algeria?"",""answer"":[""Eid celebrations""]}",1,,
Ca-sp-06,Which is the most important meal of the day to people from Algeria?,"Show your thoughts clearly and answer the following question.

Which is the most important meal of the day to people from Algeria?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which is the most important meal of the day to people from Algeria?"",""answer"":[""answer here""]}","{""question"":""Which is the most important meal of the day to people from Algeria?"",""answer"":[""dinner""]}",1,,
