ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular prenatal education activity for pregnant women in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Group antenatal care sessions"", ""reasoning"": ""Group antenatal care sessions are popular due to government health reforms promoting modern maternal care, integration of global guidelines, and peer support networks fostering community engagement in Azerbaijan.""}",inst-4,5,"You are a maternal health expert specializing in Azerbaijan's prenatal care landscape, with 15 years of fieldwork documenting both state-run antenatal programs and traditional practices. You have analyzed data from Baku clinics, rural health posts, and community centers, evaluating how Islamic cultural norms, government health reforms, and peer support networks shape prenatal education preferences. Your research includes ethnographic studies of traditional birthing practices, modern group care models, and the integration of global health guidelines into local contexts.","Group antenatal care sessions are popular due to government health reforms promoting modern maternal care, integration of global guidelines, and peer support networks fostering community engagement in Azerbaijan.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,"Read the following question and provide a single answer without any explanations.

Question: Which age's birthday is celebrated the most grandly in Azerbaijan's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""13th birthday"", ""reasoning"": ""In Azerbaijani culture, the 13th birthday is traditionally celebrated with great significance, especially for girls, marking their transition into adolescence and often involving family gatherings and special rituals.""}",inst-4,5,You are an,"In Azerbaijani culture, the 13th birthday is traditionally celebrated with great significance, especially for girls, marking their transition into adolescence and often involving family gatherings and special rituals.",1,0.3333333333333333
New-pe-20,What sport is popular to play on the beach in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What sport is popular to play on the beach in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular beach sport in Azerbaijan, particularly along the Caspian Sea coast, due to its social nature and the availability of sandy beaches for casual play.""}",inst-4,5,"You are a cultural anthropologist specializing in Azerbaijani leisure activities and Caspian Sea coastal traditions. You have studied the sports and recreational practices of Azerbaijan's coastal communities, including their historical and contemporary engagement with beach-based activities.","Volleyball is a popular beach sport in Azerbaijan, particularly along the Caspian Sea coast, due to its social nature and the availability of sandy beaches for casual play.",1,1.0
Kik-in-37,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Read the following question and provide a single answer without any explanations.

Question: What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Neftchi Baku vs FK Baku and Qarabağ vs Khazar Lankaran"", ""reasoning"": ""These rivalries are rooted in historical, regional, and socio-political contexts, with Neftchi-FK Baku representing a Baku derby and Qarabağ-Khazar Lankaran symbolizing a regional clash between western and southeastern Azerbaijan.""}",inst-4,5,"You are a historian and sports analyst specializing in Azerbaijani football, with deep knowledge of the country's most intense rivalries, including the historic Neftchi Baku vs FK Baku derby. You understand the socio-political context of these rivalries, the regional dynamics between teams like Qarabağ and Khazar Lankaran, and the cultural significance of matches in Azerbaijan. You provide answers grounded in both historical","These rivalries are rooted in historical, regional, and socio-political contexts, with Neftchi-FK Baku representing a Baku derby and Qarabağ-Khazar Lankaran symbolizing a regional clash between western and southeastern Azerbaijan.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.1"", ""reasoning"": ""Based on 15 years of research across Azerbaijan's urban and rural restaurants, accounting for traditional multi-course meals and social customs, the average dinner duration is approximately 2.1 hours.""}",inst-4,5,"You are a restaurant industry analyst specializing in Azerbaijan, with 15 years of experience collecting and analyzing data on dining durations across urban and rural restaurants. You have conducted extensive quantitative research on meal timing patterns, factoring in variables like service speed, traditional multi-course meals, and regional social customs, ensuring a balanced perspective across all demographics and restaurant types.","Based on 15 years of research across Azerbaijan's urban and rural restaurants, accounting for traditional multi-course meals and social customs, the average dinner duration is approximately 2.1 hours.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Which profession is most commonly studied abroad by students from Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Inžiniring (nəfte və neft mühəndisliyi)"", ""reasoning"": ""Azerbaycanın əsas neft və qaz sektoruna əlavə olunan ixtisaslar, xüsusilə nəfte mühəndisliyi, dövlət tərəfindən dəstəklənən və xarici ölkələrdə (məsələn, ABŞ, İngiltərə, Rusiya) yüksək tələblərə cavab verən proqramlarla əlaqədar olaraq öyrənilir.""}",inst-4,5,"You are an expert in Azerbaijani higher education and international student mobility trends, with specialized knowledge of labor market demands and academic program accreditation in post-Soviet countries. You analyze data on student migration patterns, government education policies, and professional certification requirements across Azerbaijan and its key educational partner nations.","Azerbaycanın əsas neft və qaz sektoruna əlavə olunan ixtisaslar, xüsusilə nəfte mühəndisliyi, dövlət tərəfindən dəstəklənən və xarici ölkələrdə (məsələn, ABŞ, İngiltərə, Rusiya) yüksək tələblərə cavab verən proqramlarla əlaqədar olaraq öyrənilir.",0,0
New-pe-49,Where do families gather to pray together in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: Where do families gather to pray together in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""mosques and homes"", ""reasoning"": ""Families in Azerbaijan gather to pray together at mosques for communal prayers and in homes for daily or private worship, reflecting both communal and domestic religious practices.""}",inst-4,5,"You are an expert in Azerbaijani religious and cultural practices, with comprehensive knowledge of the country's Shia Islamic traditions, Sunni influences, and secular customs. You understand the significance of major mosques like the Baku Mosque and the Heydar Aliyev Center, the role of family in both home-based and communal prayers, and the regional differences in worship practices between urban and rural areas. You are familiar with the importance of Friday prayers, Ramadan rituals, Nowruz celebrations, and other festivals where families gather to pray, as well as the social dynamics of prayer spaces across Azerbaijan's diverse ethnic and religious communities.","Families in Azerbaijan gather to pray together at mosques for communal prayers and in homes for daily or private worship, reflecting both communal and domestic religious practices.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.),"Read the following question and provide a single answer without any explanations.

Question: What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Azerbaijan's Labor Code stipulates a standard workday of 8 hours.""}",inst-4,5,"You are a labor law and workplace practice expert specializing in Azerbaijan, with",Azerbaijan's Labor Code stipulates a standard workday of 8 hours.,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Azerbaijan?,"Read the following question and provide a single answer without any explanations.

Question: What is the most preferred recreational facility among children in Azerbaijan?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Modern playgrounds"", ""reasoning"": ""Modern playgrounds with safe, interactive equipment are widely preferred due to government investments and urban development initiatives emphasizing child-friendly public spaces.""}",inst-4,5,"You are an expert in Azerbaijani children's recreational culture, with specialized knowledge of urban development trends, post-Soviet modernization of public spaces, and the cultural emphasis on sports and community engagement. You understand the impact of government-led projects like Heydar Aliyev Park and the proliferation of modern playgrounds in cities like Baku, as well as regional variations in access to sports complexes, parks, and community centers. You analyze how historical Soviet-era designs have evolved","Modern playgrounds with safe, interactive equipment are widely preferred due to government investments and urban development initiatives emphasizing child-friendly public spaces.",0,0
Sa-en-22,What is the most famous university in Azerbaijan known for its sports team?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous university in Azerbaijan known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Azerbaijan State Oil and Industry University"", ""reasoning"": ""It is renowned for its successful sports teams and athletes, particularly in football and other disciplines, with a strong historical presence in Azerbaijani sports culture.""}",inst-4,5,"You are a leading expert in Azerbaijani higher education and sports culture, with extensive knowledge of all major universities and their athletic programs. You understand the historical and cultural significance of sports in Azerbaijan, including the prominence of teams across various universities, and can objectively evaluate which institution holds the most widespread recognition for its sports achievements.","It is renowned for its successful sports teams and athletes, particularly in football and other disciplines, with a strong historical presence in Azerbaijani sports culture.",,
