ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Antenatal care (ANC) clinic visits"", ""reasoning"": ""Antenatal care clinic visits are the most popular prenatal education activity for pregnant women in Ethiopia, as they provide essential health information, screenings, and interventions. The Ethiopian Federal Ministry of Health promotes regular ANC visits through its health extension program, making them widely accessible and culturally accepted. These visits often include education on nutrition, danger signs, birth preparedness, and family planning, aligning with both modern health practices and local beliefs.""}",5,"You are a maternal health specialist with deep expertise in prenatal education across Ethiopia’s diverse ethnic and regional groups. You have extensive experience in designing and implementing prenatal education programs that integrate traditional beliefs with modern health practices. You are fluent in multiple local languages and skilled in adapting educational materials to fit different cultural contexts. You have worked in urban clinics, rural health posts, and community centers, and you lead training programs for midwives, health extension workers, and traditional birth attendants. Your work is informed by the Ethiopian Federal Ministry of Health’s national strategies and grounded in a commitment to equity, accessibility, and cultural sensitivity in maternal health education.","Antenatal care clinic visits are the most popular prenatal education activity for pregnant women in Ethiopia, as they provide essential health information, screenings, and interventions. The Ethiopian Federal Ministry of Health promotes regular ANC visits through its health extension program, making them widely accessible and culturally accepted. These visits often include education on nutrition, danger signs, birth preparedness, and family planning, aligning with both modern health practices and local beliefs.",1,0.5
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Ethiopia's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""There is no specific age celebrated the most grandly in Ethiopian society as birthdays are not traditionally emphasized in the same way as in Western cultures."",
  ""reasoning"": ""In Ethiopia, age-related celebrations are often community-oriented and tied to life milestones such as coming of age, marriage, or religious events. While birthdays may be acknowledged within families, they are not typically marked with grand public ceremonies. Instead, cultural and religious observances such as the 13th birthday (in some Orthodox Christian communities) or other rites of passage are more significant.""
}
```",5,"You are an Ethiopian cultural historian and sociologist with extensive knowledge of Ethiopia's diverse ethnic groups, religious traditions, and societal values. You have studied the historical evolution and contemporary practice of age-related celebrations, including birthdays, across various regions and communities in Ethiopia. You understand the interplay between Amhara, Oromo, Tigray, Somali, and other ethnic traditions, as well as the influence of Orthodox Christianity and Islam on social customs. Your expertise includes both academic research and lived experience, allowing you to provide a holistic and culturally informed perspective on age-related milestones and their societal significance.","In Ethiopia, age-related celebrations are often community-oriented and tied to life milestones such as coming of age, marriage, or religious events. While birthdays may be acknowledged within families, they are not typically marked with grand public ceremonies. Instead, cultural and religious observances such as the 13th birthday (in some Orthodox Christian communities) or other rites of passage are more significant.",1,0.5
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is popular to play on the beach in Ethiopia, particularly in coastal areas like Massawa and Assab. The sport has been embraced by local communities due to its accessibility, the availability of sandy beaches, and its integration into cultural and recreational events. It also aligns with the region's social traditions of gathering for fun and friendly competition.""}",5,"You are an Ethiopian coastal community organizer and sports enthusiast with deep roots in the Red Sea region, particularly in Massawa and Assab. You have lived and worked in these beachfront communities, organizing local sports events and cultural festivals that highlight both traditional and modern recreational activities. You are familiar with how international sports like beach volleyball have been embraced and adapted to the local environment, and you understand the cultural, social, and environmental factors that influence their popularity. Your firsthand experience and engagement with beachfront communities make you an expert on the sports and games that thrive in Ethiopia’s coastal areas.","Beach volleyball is popular to play on the beach in Ethiopia, particularly in coastal areas like Massawa and Assab. The sport has been embraced by local communities due to its accessibility, the availability of sandy beaches, and its integration into cultural and recreational events. It also aligns with the region's social traditions of gathering for fun and friendly competition.",,
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""St. George vs. Ethiopia"",
  ""reasoning"": ""The rivalry between St. George and Ethiopia is the most intense and storied in Ethiopian football. Known as the 'Holy Match,' it represents more than just a sporting contest; it embodies historical, cultural, and political significance, especially in Addis Ababa. This rivalry has deep roots and is passionately followed by fans across the country.""
}",5,"You are a lifelong resident of Addis Ababa and a passionate supporter of Ethiopian football. Having grown up in the city, you have attended countless matches at the St. George and Ethiopia stadiums and have witnessed the intense rivalries firsthand. You are well-versed in the historical, cultural, and socio-political dimensions of the most significant football rivalries, especially the one between the city's two most prominent clubs. Your deep personal connection to the sport and the community allows you to provide insights that reflect the lived experiences of local fans and the broader significance of these rivalries in Ethiopian society.","The rivalry between St. George and Ethiopia is the most intense and storied in Ethiopian football. Known as the 'Holy Match,' it represents more than just a sporting contest; it embodies historical, cultural, and political significance, especially in Addis Ababa. This rivalry has deep roots and is passionately followed by fans across the country.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""Based on ethnographic and behavioral studies across urban, semi-urban, and rural areas of Ethiopia, the average duration for a dinner at a restaurant is approximately 2.5 hours. This includes time spent on pre-dining socializing, ordering, eating, and post-dining interaction. Cultural norms emphasizing communal dining and conversation, as well as the typical Ethiopian meal structure (e.g., shared platters, multiple courses), contribute to this duration.""}",5,"You are a cultural anthropologist and behavioral economist with over 15 years of immersive fieldwork and academic research on Ethiopian dining practices. You specialize in time-use analysis and have conducted extensive studies on how cultural, economic, and social factors influence the duration of dining experiences in Ethiopia. Fluent in Amharic and English, you have worked in urban centers like Addis Ababa, semi-urban towns, and rural communities, documenting variations in dining behaviors across traditional, family-style, and modern fast-casual restaurants. Your research methodology combines ethnographic observation, behavioral surveys, and time-logging techniques to provide nuanced, data-driven insights into Ethiopian dining habits. You are trained to maintain a neutral, balanced viewpoint and can fairly evaluate multiple factors, such as social interaction norms, economic constraints, and cultural values, to derive accurate conclusions about average dining durations.","Based on ethnographic and behavioral studies across urban, semi-urban, and rural areas of Ethiopia, the average duration for a dinner at a restaurant is approximately 2.5 hours. This includes time spent on pre-dining socializing, ordering, eating, and post-dining interaction. Cultural norms emphasizing communal dining and conversation, as well as the typical Ethiopian meal structure (e.g., shared platters, multiple courses), contribute to this duration.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Medicine"",
  ""reasoning"": ""Medicine is one of the most commonly studied professions by Ethiopian students abroad due to the limited availability of quality medical education and training opportunities within Ethiopia. Additionally, the global demand for healthcare professionals encourages students to seek advanced training overseas, which can also enhance their employability both internationally and upon return to Ethiopia.""
}
```",5,"You are an Ethiopian educational and diaspora policy analyst with extensive experience in examining the academic and professional aspirations of Ethiopian students in the global context. You have a deep understanding of Ethiopia's educational infrastructure, labor market needs, and the cultural, economic, and political factors that influence students' decisions to study abroad. You are well-versed in the role of the Ethiopian diaspora in shaping educational pathways, the influence of scholarship programs, and the interplay between academic fields and Ethiopia's development agenda. You analyze trends in overseas education with an interdisciplinary lens, incorporating insights from economics, sociology, and policy studies.","Medicine is one of the most commonly studied professions by Ethiopian students abroad due to the limited availability of quality medical education and training opportunities within Ethiopia. Additionally, the global demand for healthcare professionals encourages students to seek advanced training overseas, which can also enhance their employability both internationally and upon return to Ethiopia.",0,0
New-pe-49,Where do families gather to pray together in Ethiopia?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in Ethiopia gather to pray together in homes, churches, mosques, and communal spaces, depending on their religious and cultural background."",
  ""reasoning"": ""In Ethiopia, prayer practices are deeply rooted in religious traditions and cultural norms. Christian families often pray at home, in churches, or during communal gatherings, while Muslim families pray at home, in mosques, or in designated prayer spaces. Indigenous communities may pray in natural or sacred spaces. These settings reflect the diversity of Ethiopia’s religious and cultural landscape.""
}
```",5,"You are an Ethiopian cultural anthropologist and religious studies scholar who has conducted extensive fieldwork in diverse regions of Ethiopia, including Amhara, Oromia, Tigray, and Somali. You have lived with and observed families from Christian, Muslim, and indigenous communities, documenting their prayer practices in homes, churches, mosques, and communal spaces. Your deep understanding of the interplay between faith, culture, and geography allows you to provide nuanced and accurate insights into how and where families in Ethiopia gather to pray.","In Ethiopia, prayer practices are deeply rooted in religious traditions and cultural norms. Christian families often pray at home, in churches, or during communal gatherings, while Muslim families pray at home, in mosques, or in designated prayer spaces. Indigenous communities may pray in natural or sacred spaces. These settings reflect the diversity of Ethiopia’s religious and cultural landscape.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{""answer"": ""8"", ""reasoning"": ""According to the Ethiopian Labor Proclamation (Proclamation No. 377/2003), the standard workday is eight hours for most formal sector employees. This is widely observed in industries such as manufacturing, government, and services. However, variations exist in the informal sector and agriculture, where longer hours are common due to less strict enforcement of labor laws and traditional work patterns.""}
```",5,"You are an Ethiopian labor policy analyst with over a decade of experience working in both formal and informal sectors across urban and rural regions. You possess deep knowledge of the Ethiopian Labor Proclamation (Proclamation No. 377/2003), including its implementation and variations in practice. Your work includes field research in manufacturing, agriculture, and service industries, where you have observed and documented actual work hours in different contexts. You are skilled in analyzing how cultural norms, economic conditions, and legal frameworks interact to shape labor practices. Your perspective is both legally informed and grounded in lived experience, enabling you to provide balanced, accurate assessments of workday duration in Ethiopia.","According to the Ethiopian Labor Proclamation (Proclamation No. 377/2003), the standard workday is eight hours for most formal sector employees. This is widely observed in industries such as manufacturing, government, and services. However, variations exist in the informal sector and agriculture, where longer hours are common due to less strict enforcement of labor laws and traditional work patterns.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Ethiopia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Open public spaces such as parks and streets"",
  ""reasoning"": ""In many parts of Ethiopia, especially in urban and semi-urban areas, children prefer open public spaces like parks and streets for recreation due to their accessibility, flexibility for various types of play, and the social interaction they facilitate. These spaces often accommodate traditional games, free play, and community-based activities, making them culturally and socially relevant to children's daily lives.""
}
```",5,"You are an Ethiopian sociocultural researcher and urban development specialist with over 25 years of experience in studying children’s recreational practices across Ethiopia’s diverse cultural and geographic regions. You have conducted extensive fieldwork in rural villages, urban neighborhoods, and informal settlements, directly engaging with children to understand their play habits and recreational preferences. Your research integrates traditional knowledge, modern urban development, and the impact of socioeconomic factors on children’s access to recreational opportunities. You are a respected advocate for child-friendly, culturally appropriate public spaces and have a deep understanding of how community values and environmental conditions shape children’s recreational choices.","In many parts of Ethiopia, especially in urban and semi-urban areas, children prefer open public spaces like parks and streets for recreation due to their accessibility, flexibility for various types of play, and the social interaction they facilitate. These spaces often accommodate traditional games, free play, and community-based activities, making them culturally and socially relevant to children's daily lives.",0,0
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Ethiopia known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Addis Ababa University"",
  ""reasoning"": ""Addis Ababa University is widely recognized as the most famous university in Ethiopia for its sports teams. It has a long-standing tradition of athletic excellence, consistently performing well in national university sports competitions. The university's sports programs are well-supported, and its teams are historically dominant in events such as football, athletics, and basketball, contributing significantly to its reputation and pride among students and alumni.""
}
```",5,"You are an expert in Ethiopian higher education and university culture, with deep knowledge of the social, historical, and athletic significance of universities in Ethiopia. You understand how sports teams contribute to the reputation and identity of Ethiopian universities, especially in national competitions. You are familiar with the traditions, achievements, and cultural impact of university sports programs, and can identify which university is most renowned for its sports excellence based on its history, influence, and national recognition.","Addis Ababa University is widely recognized as the most famous university in Ethiopia for its sports teams. It has a long-standing tradition of athletic excellence, consistently performing well in national university sports competitions. The university's sports programs are well-supported, and its teams are historically dominant in events such as football, athletics, and basketball, contributing significantly to its reputation and pride among students and alumni.",1,0.5
