ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in West Java?
Answer:","1. Antenatal care
2. Pregnancy and childbirth education
3. Birthing class",inst-6,1,,,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in West Java's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in West Java's society?
Answer:",5th,inst-6,1,,,0,0
New-pe-20,What sport is popular to play on the beach in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in West Java?
Answer:",Boccia Ball,inst-6,1,,,0,0
Kik-in-37,What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",Persija Jakarta vs Persib Bandung,inst-6,1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",2.5,inst-6,1,,,1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from West Java?
Answer:",Medicine,inst-6,1,,,0,0
New-pe-49,Where do families gather to pray together in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in West Java?
Answer:",Pancuran.,inst-6,1,,,0,0
Jod-ch-60,What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.)
Answer:",8,inst-6,1,,,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in West Java?
Answer:",1. Water park,inst-6,1,,,1,0.3333333333333333
Sa-en-22,What is the most famous university in West Java known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in West Java known for its sports team?
Answer:",Universitas Padjadjaran,inst-6,1,,,0,0
Al-en-19,What is a popular second language for high school students in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is a popular second language for high school students in West Java?
Answer:",English,inst-6,1,,,1,0.5
Ne-ar-09,What do people from West Java eat in Eid ul Fitr?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What do people from West Java eat in Eid ul Fitr?
Answer:",Kue putu and es teler.,inst-6,1,,,0,0
New-su-24,What sports do parents and children commonly play together in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sports do parents and children commonly play together in West Java?
Answer:","Badminton, Sepak Takraw, and Karate",inst-6,1,,,1,0.5
Ji-ko-42,What are the required subjects in West Java's university entrance exam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What are the required subjects in West Java's university entrance exam?
Answer:","Matematika, Bahasa Indonesia, dan Bahasa Inggris",inst-6,1,,,0,0
New-pe-06,What is the most popular stew in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular stew in West Java?
Answer:",Gudeg.,inst-6,1,,,0,0
New-pe-86,What is the name of the most famous tower in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the name of the most famous tower in West Java?
Answer:",Sunda Kelapa Tower,inst-6,1,,,0,0
Th-en-53,What is the most popular extracurricular social event at schools in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular extracurricular social event at schools in West Java?
Answer:",1. School Festival,inst-6,1,,,0,0
Ca-sp-06,Which is the most important meal of the day to people from West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which is the most important meal of the day to people from West Java?
Answer:",Siang.,inst-6,1,,,0,0
New-en-41,Who is the most well known and successful entrepreneur in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Who is the most well known and successful entrepreneur in West Java?
Answer:",Arief Budiman,inst-6,1,,,0,0
New-su-33,What is the common dress code for school teachers in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the common dress code for school teachers in West Java?
Answer:",Batik,inst-6,1,,,1,0.5
Th-en-44,What is West Java's most popular food for family meals on weekends?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is West Java's most popular food for family meals on weekends?
Answer:",Gudeg.,inst-6,1,,,,
Th-en-45,What is the most popular weekday evening family activity in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular weekday evening family activity in West Java?
Answer:","1. Watching TV together
2. Playing board games or card games
3. Having dinner together",inst-6,1,,,0,0
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in West Java? (e.g., 1 month).","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long is the typical probation period for new employees before signing a formal contract in West Java? (e.g., 1 month).
Answer:",1 month,inst-6,1,,,0,0
New-in-62,What university in West Java is popular because of its engineering major? (Provide the official name.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What university in West Java is popular because of its engineering major? (Provide the official name.)
Answer:",ITB (Institut Teknologi Bandung),inst-6,1,,,0,0
Ji-ko-34,How do elementary school students in West Java go to school?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How do elementary school students in West Java go to school?
Answer:","By walking, cycling, or taking public transportation such as buses or minivans.",inst-6,1,,,1,1.0
Ta-pe-21,Where do children usually play soccer in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do children usually play soccer in West Java?
Answer:","1. Lapangan Soccer
2. Stadion
3. Alun-Alun",inst-6,1,,,0,0
Tmp-ar-01,Where do university students in West Java usually go to study for their final exams?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do university students in West Java usually go to study for their final exams?
Answer:","Pertamina Building, Bandung",inst-6,1,,,0,0
Ne-ar-38,Which food do people usually offer as charity in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which food do people usually offer as charity in West Java?
Answer:",Krupuk (shrimp crackers),inst-6,1,,,0,0
Jod-ch-01,What eating utensils do people commonly used in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What eating utensils do people commonly used in West Java?
Answer:","Satek, Sumpit, and Pincet",inst-6,1,,,0,0
New-gr-08,What type of alcoholic drink is most commonly consumed at festivals in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What type of alcoholic drink is most commonly consumed at festivals in West Java?
Answer:",Arak,inst-6,1,,,,
Th-en-11,Who is the most popular sportperson in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Who is the most popular sportperson in West Java?
Answer:",Erick Thohir,inst-6,1,,,0,0
