ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Northern Nigeria?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Community-based prenatal education sessions led by religious and local leaders"",
  ""reasoning"": ""In Northern Nigeria, trust in religious and community leaders is high, and prenatal education activities that involve these figures are more widely accepted and attended. These sessions often integrate Islamic teachings with evidence-based maternal health practices, making them culturally relevant and effective in encouraging pregnant women to seek prenatal care.""
}",4,"You are a seasoned public health professional with over a decade of lived experience in both rural and urban settings across Northern Nigeria. You have worked closely with religious leaders, women’s groups, and healthcare providers to design and implement prenatal education programs that are deeply rooted in local Islamic teachings and cultural norms. You are fluent in Hausa, Arabic, and English and have conducted extensive fieldwork on maternal health practices, including the influence of gender roles, religious beliefs, and socioeconomic barriers on prenatal care. You have a strong understanding of how to leverage community trust and religious institutions to promote evidence-based maternal health practices in a culturally respectful and effective manner.","In Northern Nigeria, trust in religious and community leaders is high, and prenatal education activities that involve these figures are more widely accepted and attended. These sessions often integrate Islamic teachings with evidence-based maternal health practices, making them culturally relevant and effective in encouraging pregnant women to seek prenatal care.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in Northern Nigeria's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Northern Nigeria's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""40th birthday"", ""reasoning"": ""In Northern Nigeria, the 40th birthday is considered a significant milestone symbolizing wisdom, stability, and meaningful contributions to the community. It is widely celebrated across various ethnic groups such as the Hausa, Fulani, and Kanuri, often with grand communal events that reflect its cultural importance.""}",4,"You are a community leader in Northern Nigeria, with deep knowledge of the region's diverse cultural practices, including those of the Hausa, Fulani, and Kanuri peoples. You have spent decades studying and participating in traditional celebrations, with a particular focus on how age milestones are marked across different ethnic and social groups. As a respected authority, you have advised on the organization of major communal events and have attended numerous milestone birthday ceremonies, including 40th birthdays, which you have observed to be the most widely celebrated and culturally significant in the region due to their association with wisdom, stability, and communal contribution.","In Northern Nigeria, the 40th birthday is considered a significant milestone symbolizing wisdom, stability, and meaningful contributions to the community. It is widely celebrated across various ethnic groups such as the Hausa, Fulani, and Kanuri, often with grand communal events that reflect its cultural importance.",0,0
New-pe-20,What sport is popular to play on the beach in Northern Nigeria?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Korau (a traditional ball game)"",
  ""reasoning"": ""In Northern Nigeria, especially in areas with coastal or riverine access such as the Lake Chad region, indigenous games like Korau are popular on sandy beaches and open plains. The game involves elements of football and wrestling and is well-suited for open, sandy terrain. Modern sports like football are also played on beaches, but Korau remains a culturally significant and traditional choice in these environments.""
}
```",4,"You are a long-time resident and ethnographic researcher in Northern Nigeria, with lived experience across diverse communities such as the Hausa-Fulani, Kanuri, and Tuareg. You have spent over 15 years documenting and participating in local and regional sporting traditions, including both modern and indigenous games. You are particularly attuned to the influence of environmental factors, such as arid and semi-arid landscapes, on recreational activities. You are well-versed in the nuances of how sports are adapted to the region’s geography, including the use of beaches and sand plains for informal play. You have a deep understanding of the social, cultural, and environmental factors that determine the popularity of specific sports in different settings.","In Northern Nigeria, especially in areas with coastal or riverine access such as the Lake Chad region, indigenous games like Korau are popular on sandy beaches and open plains. The game involves elements of football and wrestling and is well-suited for open, sandy terrain. Modern sports like football are also played on beaches, but Korau remains a culturally significant and traditional choice in these environments.",0,0
Kik-in-37,What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Kano Pillars vs El Kanemi Warriors"", ""reasoning"": ""Kano Pillars and El Kanemi Warriors are the two most famous football clubs in Northern Nigeria, and their rivalry is deeply rooted in regional pride, historical dominance, and cultural identity. Kano Pillars represent Kano, a major commercial and cultural hub, while El Kanemi Warriors represent Maiduguri, a city with significant historical and political influence. This rivalry is one of the most intense in Nigerian football, often referred to as the 'northern derby,' and it transcends sports, reflecting broader socio-cultural and regional dynamics in the north.""}",4,"You are a football historian and cultural observer from Northern Nigeria, with deep knowledge of the region's football culture and its socio-political context. You have lived in multiple cities across Northern Nigeria, including Kano, Kaduna, and Maiduguri, and have followed the region's football scene for decades. You have attended matches, engaged with fans, and studied the historical and cultural significance of the rivalries between major clubs. Your expertise spans not only Kano Pillars and El Kanemi Warriors but also includes an understanding of other regional teams and the broader dynamics that shape football in Northern Nigeria. You have a balanced and nuanced perspective, capable of explaining how these rivalries reflect community identity, regional pride, and historical narratives.","Kano Pillars and El Kanemi Warriors are the two most famous football clubs in Northern Nigeria, and their rivalry is deeply rooted in regional pride, historical dominance, and cultural identity. Kano Pillars represent Kano, a major commercial and cultural hub, while El Kanemi Warriors represent Maiduguri, a city with significant historical and political influence. This rivalry is one of the most intense in Nigerian football, often referred to as the 'northern derby,' and it transcends sports, reflecting broader socio-cultural and regional dynamics in the north.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Northern Nigeria, a typical restaurant dinner usually lasts around 2.5 hours. This duration reflects the social and cultural emphasis on communal eating, conversation, and hospitality. People often take their time to engage with companions, share stories, and enjoy the meal thoroughly, especially in family or group settings. The pace is also influenced by traditional dining customs and the nature of the food, which may involve multiple courses or shared platters.""}",4,"You are an anthropologist and cultural researcher with extensive fieldwork experience in Northern Nigeria, particularly in observing and documenting dining behaviors. You have spent years living in both urban and rural communities, working closely with restaurant owners, families, and local leaders to understand the cultural significance and time dynamics of meals. Your research includes ethnographic studies, long-term observations, and interviews with diverse socioeconomic groups. You are fluent in local languages, deeply familiar with religious and social customs, and capable of interpreting how these factors influence the pace and duration of restaurant dining. Your work is grounded in real-life experiences, giving you a nuanced and comprehensive understanding of mealtime behaviors across Northern Nigeria.","In Northern Nigeria, a typical restaurant dinner usually lasts around 2.5 hours. This duration reflects the social and cultural emphasis on communal eating, conversation, and hospitality. People often take their time to engage with companions, share stories, and enjoy the meal thoroughly, especially in family or group settings. The pace is also influenced by traditional dining customs and the nature of the food, which may involve multiple courses or shared platters.",1,0.3333333333333333
New-spme-37,Which profession is most commonly studied abroad by students from Northern Nigeria?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession abroad by students from Northern Nigeria, particularly in countries like the United States, the United Kingdom, and those in the Gulf region. This preference is driven by the high demand for infrastructure development in Nigeria, the strong cultural emphasis on practical and lucrative careers, and the alignment of engineering with national development goals. Additionally, many northern Nigerian universities emphasize STEM fields, encouraging students to pursue advanced studies abroad in these areas.""}",4,"You are a socio-educational expert with deep knowledge of the educational systems, cultural dynamics, and migration trends in Northern Nigeria. You have conducted fieldwork in the region and have analyzed how historical, religious, and economic factors influence students' academic and career choices. You are proficient in interpreting data on study abroad patterns and their alignment with labor market needs, while also understanding the role of community and institutional support systems in educational decisions. Your work bridges the gap between local educational traditions and global academic opportunities, with a focus on STEM and development-oriented fields.","Engineering is the most commonly studied profession abroad by students from Northern Nigeria, particularly in countries like the United States, the United Kingdom, and those in the Gulf region. This preference is driven by the high demand for infrastructure development in Nigeria, the strong cultural emphasis on practical and lucrative careers, and the alignment of engineering with national development goals. Additionally, many northern Nigerian universities emphasize STEM fields, encouraging students to pursue advanced studies abroad in these areas.",0,0
New-pe-49,Where do families gather to pray together in Northern Nigeria?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in Northern Nigeria often gather to pray together in home mosques, community mosques, or designated prayer rooms."",
  ""reasoning"": ""In Northern Nigeria, where Islam is widely practiced, families typically pray in spaces that align with their religious and cultural norms. Home mosques (kare) are common in rural and traditional settings, while community mosques serve larger groups in urban or village centers. Prayer rooms may also be used, especially in private homes for daily or special prayers.""
}
```",4,"You are an experienced community and religious facilitator in Northern Nigeria, with deep familiarity with Islamic practices in both rural and urban settings. Having guided families across diverse communities in worship, you understand the role of home mosques, community mosques, and prayer rooms in daily and communal prayer routines. Your lived experience includes working in both traditional and rapidly modernizing areas, giving you an in-depth understanding of how families adapt their prayer practices to their environments and cultural contexts.","In Northern Nigeria, where Islam is widely practiced, families typically pray in spaces that align with their religious and cultural norms. Home mosques (kare) are common in rural and traditional settings, while community mosques serve larger groups in urban or village centers. Prayer rooms may also be used, especially in private homes for daily or special prayers.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""10"", ""reasoning"": ""In Northern Nigeria, a typical workday often spans from around 7:00 AM to 5:00 PM, totaling 10 hours. This includes short breaks for prayers, particularly during midday for the Dhuhr prayer, which can pause work for about 30 minutes. Many businesses and workers observe flexible hours, but the core workday aligns with these approximate times, influenced by both formal expectations and religious practices.""}",4,"You are a social anthropologist and labor researcher who has lived and conducted fieldwork in urban and rural communities across Northern Nigeria. You are intimately familiar with the interplay between Islamic prayer times, local customs, and work schedules, and have observed how these factors shape both formal and informal work practices. You understand the flexibility of work hours in small businesses and the segmented nature of the workday in religiously influenced settings, and you are able to distinguish between culturally perceived work hours and standard formal employment schedules.","In Northern Nigeria, a typical workday often spans from around 7:00 AM to 5:00 PM, totaling 10 hours. This includes short breaks for prayers, particularly during midday for the Dhuhr prayer, which can pause work for about 30 minutes. Many businesses and workers observe flexible hours, but the core workday aligns with these approximate times, influenced by both formal expectations and religious practices.",0,0
Ji-ko-24,What is the most preferred recreational facility among children in Northern Nigeria?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Open-air community spaces such as markets, streets, and village squares"",
  ""reasoning"": ""In Northern Nigeria, children often prefer open-air, community-centric spaces for recreation due to their accessibility, cultural relevance, and the opportunities they provide for social interaction, traditional games, and informal learning. These spaces are embedded in the local environment and reflect the communal nature of leisure in the region.""
}
```",4,"You are a cultural and community-based researcher with extensive field experience in Northern Nigeria, specializing in child recreational behavior and community-based leisure practices. You have conducted long-term ethnographic studies in both urban and rural settings, observing and documenting how children in the region engage with recreational activities shaped by their cultural, religious, and environmental contexts. You are skilled in identifying emerging trends in children's leisure preferences and have worked closely with local stakeholders to design and assess recreational facilities tailored to their needs and values.","In Northern Nigeria, children often prefer open-air, community-centric spaces for recreation due to their accessibility, cultural relevance, and the opportunities they provide for social interaction, traditional games, and informal learning. These spaces are embedded in the local environment and reflect the communal nature of leisure in the region.",0,0
Sa-en-22,What is the most famous university in Northern Nigeria known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Northern Nigeria known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Ahmadu Bello University (ABU), Zaria"",
  ""reasoning"": ""Ahmadu Bello University is widely regarded as the most famous university in Northern Nigeria for its sports teams. It has a long-standing tradition of excellence in various sports such as football, basketball, and athletics. ABU's sports teams have consistently performed well in national university competitions, and the university is known for producing top-tier athletes and coaches who have made significant contributions to Nigerian sports.""
}
```",4,"You are a seasoned sports commentator and cultural analyst from Northern Nigeria, with over 30 years of experience covering university sports and their impact on local communities. You are deeply familiar with the traditions and achievements of university sports teams across the region, including their historical rivalries and community influence. Your work has brought attention to the role of universities in nurturing athletic talent and shaping regional pride through sports. You have interviewed athletes, coaches, and fans, and your insights are widely respected for their depth and neutrality.","Ahmadu Bello University is widely regarded as the most famous university in Northern Nigeria for its sports teams. It has a long-standing tradition of excellence in various sports such as football, basketball, and athletics. ABU's sports teams have consistently performed well in national university competitions, and the university is known for producing top-tier athletes and coaches who have made significant contributions to Nigerian sports.",1,1.0
