MCQID,ID,country,prompt,choices,choice_countries,answer_idx,full_res,final_ans,iteration,persona,reasoning
Sa-en-16_26,Sa-en-16,UK,"What is the most popular soccer team among the people from the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. madrid
B. man united, Man Utd, manchester utd
C. mca
D. qarabag fk

Answer:","{
    ""A"": ""madrid"",
    ""B"": ""man united, Man Utd, manchester utd"",
    ""C"": ""mca"",
    ""D"": ""qarabag fk""
}","{
    ""A"": ""Spain"",
    ""B"": ""UK"",
    ""C"": ""Algeria"",
    ""D"": ""Azerbaijan""
}",B,B,B,1,,
Th-en-44_62,Th-en-44,UK,"What is the UK's most popular food for family meals on weekends? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. Sunday roast
B. ghormeh sabzi
C. hot pot
D. lentil rice

Answer:","{
    ""A"": ""Sunday roast"",
    ""B"": ""ghormeh sabzi"",
    ""C"": ""hot pot"",
    ""D"": ""lentil rice""
}","{
    ""A"": ""UK"",
    ""B"": ""Iran"",
    ""C"": ""China"",
    ""D"": ""Assam""
}",A,A,A,1,,
New-ha-07_18,New-ha-07,UK,"What food originated from the UK and can be found all over the world? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. couscous
B. fish & chips
C. fried rice
D. gimchi

Answer:","{
    ""A"": ""couscous"",
    ""B"": ""fish & chips"",
    ""C"": ""fried rice"",
    ""D"": ""gimchi""
}","{
    ""A"": ""Algeria"",
    ""B"": ""UK"",
    ""C"": ""Indonesia"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
New-su-01_99,New-su-01,UK,"What snacks are usually sold in front of schools in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. koulouri
B. maggi
C. pizza
D. sweets

Answer:","{
    ""A"": ""koulouri"",
    ""B"": ""maggi"",
    ""C"": ""pizza"",
    ""D"": ""sweets""
}","{
    ""A"": ""Greece"",
    ""B"": ""Assam"",
    ""C"": ""Algeria"",
    ""D"": ""UK""
}",D,D,D,1,,
Ta-pe-32_30,Ta-pe-32,UK,"What day of the year is usually dedicated to fireworks in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 5th november
B. december 31
C. july 4th
D. spring festival's eve

Answer:","{
    ""A"": ""5th november"",
    ""B"": ""december 31"",
    ""C"": ""july 4th"",
    ""D"": ""spring festival's eve""
}","{
    ""A"": ""UK"",
    ""B"": ""Mexico"",
    ""C"": ""US"",
    ""D"": ""China""
}",A,A,A,1,,
Sa-en-13_45,Sa-en-13,UK,"What is the food that is most divisive (either love or hate) in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bread
B. marmite
C. mint chocolate
D. tamale sandwich

Answer:","{
    ""A"": ""bread"",
    ""B"": ""marmite"",
    ""C"": ""mint chocolate"",
    ""D"": ""tamale sandwich""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""UK"",
    ""C"": ""South_Korea"",
    ""D"": ""Mexico""
}",B,B,B,1,,
New-in-03_28,New-in-03,UK,"What type of food from the UK is typically served in restaurants overseas? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish & chips
B. fried rice
C. paella
D. tea leaf

Answer:","{
    ""A"": ""fish & chips"",
    ""B"": ""fried rice"",
    ""C"": ""paella"",
    ""D"": ""tea leaf""
}","{
    ""A"": ""UK"",
    ""B"": ""Indonesia"",
    ""C"": ""Spain"",
    ""D"": ""Assam""
}",A,A,A,1,,
Nu-in-40_109,Nu-in-40,UK,"Which city is the main destination for job seekers in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. abuja
B. algiers
C. baku
D. london

Answer:","{
    ""A"": ""abuja"",
    ""B"": ""algiers"",
    ""C"": ""baku"",
    ""D"": ""london""
}","{
    ""A"": ""Northern_Nigeria"",
    ""B"": ""Algeria"",
    ""C"": ""Azerbaijan"",
    ""D"": ""UK""
}",D,D,D,1,,
New-en-76_41,New-en-76,UK,"Which airport in the UK is the busiest during the holiday season? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. eleftherios venizelos
B. heathrow
C. houari boumediene
D. mehrabad

Answer:","{
    ""A"": ""eleftherios venizelos"",
    ""B"": ""heathrow"",
    ""C"": ""houari boumediene"",
    ""D"": ""mehrabad""
}","{
    ""A"": ""Greece"",
    ""B"": ""UK"",
    ""C"": ""Algeria"",
    ""D"": ""Iran""
}",B,B,B,1,,
New-pe-66_52,New-pe-66,UK,"What is the most popular after school curricular in primary schools in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clubs
B. going to islamic school
C. music
D. soccer

Answer:","{
    ""A"": ""clubs"",
    ""B"": ""going to islamic school"",
    ""C"": ""music"",
    ""D"": ""soccer""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Northern_Nigeria"",
    ""C"": ""Assam"",
    ""D"": ""UK""
}",D,A,A,1,,
