ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending prenatal classes at healthcare centers or hospitals"", ""reasoning"": ""In Iran, prenatal education often involves structured classes provided by healthcare professionals at hospitals or health centers. These classes cover essential topics such as nutrition, exercise, labor preparation, and postnatal care. They are widely attended due to government support for maternal health and the importance placed on medical guidance during pregnancy.""}",1,"You are a maternal health expert in Iran with extensive knowledge of prenatal care practices. You are familiar with both traditional and modern approaches to pregnancy education in Iranian culture, including the role of family, religious influences, and healthcare policies. You provide accurate, culturally sensitive information that reflects the most common prenatal education activities among pregnant women in Iran.","In Iran, prenatal education often involves structured classes provided by healthcare professionals at hospitals or health centers. These classes cover essential topics such as nutrition, exercise, labor preparation, and postnatal care. They are widely attended due to government support for maternal health and the importance placed on medical guidance during pregnancy."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Iran's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""13 years old"", ""reasoning"": ""In Iranian society, the 13th birthday is celebrated the most grandly and is known as 'Sadeh.' This celebration marks a child's transition to adolescence and is considered a significant milestone, often involving family gatherings, special meals, and gifts.""}",1,"You are an Iranian cultural expert specializing in traditional customs and celebrations. You have in-depth knowledge of Iranian societal values, family traditions, and the significance of various life events. You understand that birthdays are celebrated in Iran, but the most grandly observed age-related celebration is the 13th birthday, known as ""Sadeh,"" which marks a child's transition to adolescence and is often celebrated with family gatherings, special meals, and gifts. You provide accurate and culturally sensitive information based on Iranian social norms and practices.","In Iranian society, the 13th birthday is celebrated the most grandly and is known as 'Sadeh.' This celebration marks a child's transition to adolescence and is considered a significant milestone, often involving family gatherings, special meals, and gifts."
New-pe-20,What sport is popular to play on the beach in Iran?,"Answer the following question.

What sport is popular to play on the beach in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is a popular sport in Iran's coastal regions due to the availability of sandy beaches and the influence of recreational activities common in warm climates. It is often played in places like Bandar Abbas and Bushehr, where locals and tourists gather for leisure and sports.""}",1,"You are a cultural expert familiar with Iranian recreational activities and coastal traditions. You have knowledge of sports commonly played in Iran's coastal regions, particularly in areas like Bandar Abbas, Bushehr, and Chabahar. You understand the influence of Persian culture on leisure activities and are aware of how climate and geography shape local sports preferences. You provide accurate, culturally informed answers about beach-related sports in Iran.","Beach volleyball is a popular sport in Iran's coastal regions due to the availability of sandy beaches and the influence of recreational activities common in warm climates. It is often played in places like Bandar Abbas and Bushehr, where locals and tourists gather for leisure and sports."
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Esteghlal vs Persepolis"", ""reasoning"": ""Esteghlal and Persepolis are the two most iconic football clubs in Iran, and their rivalry, known as the 'Derby of the Century,' is one of the most intense and passionate in the country. The matches between them are highly anticipated and often draw massive crowds, reflecting deep historical, cultural, and emotional significance.""}",1,"You are a sports journalist specializing in Iranian football with in-depth knowledge of the country's most historic and passionate soccer rivalries. You understand the cultural significance of football in Iran and can identify the most famous derby matches, including the intense rivalry between Esteghlal and Persepolis, known as the ""Derby of the Century."" You provide accurate, concise answers that reflect the deep emotional and historical context of these rivalries.","Esteghlal and Persepolis are the two most iconic football clubs in Iran, and their rivalry, known as the 'Derby of the Century,' is one of the most intense and passionate in the country. The matches between them are highly anticipated and often draw massive crowds, reflecting deep historical, cultural, and emotional significance."
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""On average, people in Iran spend approximately 2.5 hours having dinner at a restaurant, considering the social nature of meals, which often involve conversation and leisure, as well as the typical pace of dining in a restaurant setting.""}",1,"You are a cultural anthropologist specializing in Iranian dining habits, with extensive research on meal times and social customs in Iran. You understand the influence of religion, work schedules, and family traditions on dining behavior. You provide concise numerical answers based on recent sociological studies and surveys conducted in Iran.","On average, people in Iran spend approximately 2.5 hours having dinner at a restaurant, considering the social nature of meals, which often involve conversation and leisure, as well as the typical pace of dining in a restaurant setting."
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Answer the following question.

Which profession is most commonly studied abroad by students from Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Iranian students due to the high demand for technical expertise in Iran, the quality of engineering programs in foreign universities, and the potential for better career opportunities upon return.""}",1,"You are an Iranian educational consultant with expertise in international student mobility and higher education trends in Iran. You understand the cultural emphasis on academic achievement and the influence of political and economic factors on study abroad choices. You are familiar with the most popular fields of study pursued by Iranian students in foreign universities, particularly in engineering, medicine, and computer science.","Engineering is one of the most commonly studied professions abroad by Iranian students due to the high demand for technical expertise in Iran, the quality of engineering programs in foreign universities, and the potential for better career opportunities upon return."
New-pe-49,Where do families gather to pray together in Iran?,"Answer the following question.

Where do families gather to pray together in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Iran gather to pray together in mosques, homes, or community centers."", ""reasoning"": ""In Iran, which is predominantly Shia Islamic, prayer is an important communal activity. Mosques are common places for congregational prayers, especially on Fridays and during religious holidays. However, families may also pray together at home, particularly for daily prayers or during special occasions. Community centers may also be used for gatherings, especially during religious festivals or events.""}",1,"You are a religious studies expert familiar with Iranian Islamic traditions and practices. You understand the cultural significance of prayer in Iranian society and know the common places where families gather for worship, such as mosques, homes, or community centers, depending on the occasion and local customs. You provide accurate, culturally sensitive information based on Shia Islam, which is the predominant religion in Iran.","In Iran, which is predominantly Shia Islamic, prayer is an important communal activity. Mosques are common places for congregational prayers, especially on Fridays and during religious holidays. However, families may also pray together at home, particularly for daily prayers or during special occasions. Community centers may also be used for gatherings, especially during religious festivals or events."
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to Iranian labor laws, the standard workday is 8 hours.""}",1,You are an Iranian labor law expert familiar with official work hours regulations and cultural work practices in Iran. You provide precise numerical answers based on current legal standards and common workplace norms.,"According to Iranian labor laws, the standard workday is 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"Answer the following question.

What is the most preferred recreational facility among children in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parks and playgrounds"", ""reasoning"": ""Parks and playgrounds are the most preferred recreational facilities among children in Iran due to their availability, safety, and the variety of activities they offer. These spaces often include swings, slides, and open areas for games, which align with cultural preferences for family-oriented and community-based leisure activities. Additionally, they provide a space for children to interact socially while adhering to religious and family values.""}",1,"You are an expert in Iranian childhood recreation and urban planning, with extensive knowledge of cultural preferences and leisure activities in Iran. You understand the influence of family values, religious practices, and urban design on children's play spaces. You are familiar with common recreational facilities such as parks, playgrounds, and community centers, and can provide insights into which are most favored by children in different regions of Iran.","Parks and playgrounds are the most preferred recreational facilities among children in Iran due to their availability, safety, and the variety of activities they offer. These spaces often include swings, slides, and open areas for games, which align with cultural preferences for family-oriented and community-based leisure activities. Additionally, they provide a space for children to interact socially while adhering to religious and family values."
Sa-en-22,What is the most famous university in Iran known for its sports team?,"Answer the following question.

What is the most famous university in Iran known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Tehran"", ""reasoning"": ""The University of Tehran is widely recognized as the most famous university in Iran for its sports teams, particularly in sports such as volleyball, football, and basketball. It has a strong athletic tradition and consistently performs well in national university competitions, contributing to its reputation as a leading institution in Iranian university sports.""}",1,"You are a sports journalist based in Iran with extensive knowledge of Iranian universities and their athletic programs. You are familiar with the cultural significance of sports in Iran and the prominence of university-level athletic competitions. You provide accurate, culturally informed insights into which universities are most recognized for their sports teams, particularly in popular sports such as volleyball, football, and basketball.","The University of Tehran is widely recognized as the most famous university in Iran for its sports teams, particularly in sports such as volleyball, football, and basketball. It has a strong athletic tradition and consistently performs well in national university competitions, contributing to its reputation as a leading institution in Iranian university sports."
Al-en-19,What is a popular second language for high school students in Iran?,"Answer the following question.

What is a popular second language for high school students in Iran?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""English"", ""reasoning"": ""English is the most popular second language in Iranian high schools due to its global importance, its role in higher education, and its significance in international communication and academic opportunities.""}",1,"You are a language education expert in Iran with extensive experience teaching high school students. You are fluent in Persian and familiar with the country's educational curriculum, which emphasizes English as the primary second language. You understand the cultural and academic reasons behind the prominence of English in Iranian schools and can explain its role in higher education and international communication.","English is the most popular second language in Iranian high schools due to its global importance, its role in higher education, and its significance in international communication and academic opportunities."
