model,country,iteration,question_id,correct,model_response,ground_truth
llama-3-8b-instruct,North_Korea,1,Al-en-01,1,korean rice cakes (tteok) with sweet soybean paste (chunjang),candy; finger-shaped biscuit; finger-shaped cookie; finger cookie; finger biscuit; puffed corn; puffed maize; corn puff; pea puff; cookie; biscuit; snack; cracker
llama-3-8b-instruct,North_Korea,1,Al-en-04,1,apples,pear; apple; apricot; tangerine; mandarin
llama-3-8b-instruct,North_Korea,1,Al-en-19,1,english,english; chinese
llama-3-8b-instruct,North_Korea,1,Al-en-32,0,kimchi stew (kimchi jjigae),rice cake; tteok; songpyeon; jeon; korean pancake; wild vegetable; wild greens; mountain greens
llama-3-8b-instruct,North_Korea,1,Al-en-39,1,"traditional korean dishes, such as naengmyeon, jajangmyeon, and mandu, are typically served on birthdays in north korea.",rice cake; tteok; meat; white rice; polished rice; noodles; rice; boiled rice; cooked rice; steamed rice; sea mustard soup; seaweed soup; korean cold noodles; cold noodles; raengmyŏn; naengmyeon; dumpling; mandu
llama-3-8b-instruct,North_Korea,1,An-ar-03,0,6,7; 2; 8; 3; 12
llama-3-8b-instruct,North_Korea,1,Ca-sp-06,1,dinner,breakfast; three meals; dinner; evening meal; supper; lunch
llama-3-8b-instruct,North_Korea,1,Ca-sp-11,0,sunday,every day; every evening
llama-3-8b-instruct,North_Korea,1,Ca-sp-41,1,with their children or in elderly care facilities,house; home; old folks' home; old age home; nursing home; old people's home; retirement home; nursing hospital; care hospital; child's house
llama-3-8b-instruct,North_Korea,1,Gu-ch-08,1,wrestling,marathon; running; soccer; play ball; ball game; tug-of-war; taekwondo; tae kwon-do; taekwon-do; tae kwon do; tae-kwon-do
llama-3-8b-instruct,North_Korea,1,Gu-ch-38,1,4,4; 5; 6; 3
llama-3-8b-instruct,North_Korea,1,Ji-ko-14,1,coal,iron ore; coal; lumber; wood; timber; walleye pollock; alaska pollock; gadus chalcogrammus; mineral; aquatic product; marine product; fishery product; steel; weapon; weaponry; arm; armament
llama-3-8b-instruct,North_Korea,1,Ji-ko-24,1,local parks and playgrounds,mangyongdae funfair; daesongsan amusement park; pyongyang munsu water park; munsu water park; water park; sledding hill; playground
llama-3-8b-instruct,North_Korea,1,Ji-ko-25,1,"the family-related holidays in north korea are the day of the shining star (february 16th), the day of the sun (april 15th), and the international women's day (march 8th).",ch'usŏk; chuseok; korean thanksgiving day; lunar new year; sŏllal; korean new year; birthday of kim jong un; birthday of president; birthday of kim family; birthday of kim jong il; birthday of kim il sung; international women's day; march 8
llama-3-8b-instruct,North_Korea,1,Ji-ko-26,1,"children typically gain independence from their parents around 18-20 years old, with key milestones including finishing high school, entering university or vocational training, and becoming self-sufficient in their careers.",after marriage; marriage; graduation; university; conscripted into the army; join the army; military enlistment
llama-3-8b-instruct,North_Korea,1,Ji-ko-28,0,"the first day after a child is born in north korea is typically celebrated with a traditional korean birth celebration, known as 'doljanchi'.",10; after 10 days; 10 days after birth; after one month; after a month; one month after birth; a month after birth; 100th day; hundredth day
llama-3-8b-instruct,North_Korea,1,Ji-ko-29,0,70th birthday,60th birthday; 60; 1; first birthday; 61; 61st birthday
llama-3-8b-instruct,North_Korea,1,Ji-ko-33,1,home,house; home; neighborhood; town; village; friend's house; jangmadang; illegal market; informal market; marketplace; park
llama-3-8b-instruct,North_Korea,1,Ji-ko-34,1,"elementary school students in north korea typically walk or take public transportation to school, with older students often traveling alone or with friends.",on foot; walk; bike; bicycle; bus; subway
llama-3-8b-instruct,North_Korea,1,Ji-ko-35,1,private academies (hagwons) for supplementary education,english; mathematics; math; art; music; physical education; music; musical instrument; foreign language; computer; chinese
llama-3-8b-instruct,North_Korea,1,Ji-ko-36,1,mathematics,mathematics; math; english; computer; foreign language; art; music; physical education
llama-3-8b-instruct,North_Korea,1,Ji-ko-37,1,"middle and high school students in north korea typically wear a traditional uniform, known as a 'hanbok', which is designed specifically for each school and grade level.",school uniform
llama-3-8b-instruct,North_Korea,1,Ji-ko-40,1,"high school students in north korea typically use break time to socialize with friends, play traditional korean games, or participate in extracurricular activities such as sports or music.",rest; break; chat; chitchat; small talk; chatter; review; homework; assignment; jump rope; gymnastics; exercise; play with friends
llama-3-8b-instruct,North_Korea,1,Ji-ko-42,1,"mathematics, korean language, history, foreign language (english or chinese), and science (physics, chemistry, and biology) are the required subjects in north korea's university entrance exam.",mathematics; math; korean; modern history; revolutionary history; modern and contemporary history; contemporary history; kim il sung revolutionary history; english; physical education; foreign language; science; natural science
llama-3-8b-instruct,North_Korea,1,Jo-sp-13,1,synchronized swimming,swimming; water polo; synchronized swimming; synchronised swimming; artistic swimming
llama-3-8b-instruct,North_Korea,1,Jo-sp-19,0,ryanggang province,hwanghae province; hwanghae-do; hwanghae; p'yŏngan; pyongan province; p'yŏngan-do; pyongan; pyeongan; pyeong-an-do; hamgyeong-do; hamgyong province; hamgyeong; hamgyŏng; hamgyŏng-do; hamgyong
llama-3-8b-instruct,North_Korea,1,Jod-ch-01,1,chopsticks and spoons,gimchi; kimch'i; kimchi; spoon; rice pot; rice cooker; cast-iron pot; iron pot; chopsticks; chopstick; soup
llama-3-8b-instruct,North_Korea,1,Jod-ch-07,1,2.3,1; 2
llama-3-8b-instruct,North_Korea,1,Jod-ch-60,1,8,8; 9; 10; 12
llama-3-8b-instruct,North_Korea,1,Ki-pe-34,1,makgeolli or hot tea,sungnyung; scorched rice water; scorched rice tea; scorched-rice water; scorched-rice tea; water; goat milk; milk
llama-3-8b-instruct,North_Korea,1,Kik-in-16,1,yuja-cha,coffee; green tea; milk
llama-3-8b-instruct,North_Korea,1,Kik-in-36,0,kim jong-hun,kim jong-un; park du-ik
llama-3-8b-instruct,North_Korea,1,Kik-in-37,1,april 25 sports club vs amnokgang sports club,april 25 vs. amnok river; april 25 sports team vs. amnokgang sports team
llama-3-8b-instruct,North_Korea,1,Na-ko-19,1,kim hye-song,jin-sim jeong; jeong jin-sim; chŏng chin-sim; chin-sim chŏng
llama-3-8b-instruct,North_Korea,1,Na-ko-20,1,wrestling,soccer; weightlifting; shooting; shooting sports; table tennis; ping-pong; basketball; volleyball
llama-3-8b-instruct,North_Korea,1,Na-ko-33,1,juk (rice porridge),rice cake; tteok; dumpling; half-moon-shaped rice cake; songpyeon; noodles; potato starch noodles; starch noodles; boiled pork; rice cake soup; dumpling soup; sticky rice cake; glutinous rice cake; rice cake; bean rice cake
llama-3-8b-instruct,North_Korea,1,Na-ko-39,1,"a bottle of fine north korean liquor, such as soju or rakaji",money; bouquet; cash; rice; congratulatory money
llama-3-8b-instruct,North_Korea,1,Ne-ar-26,1,kangson machine complex,complexes; hwanghae iron and steel complex; kangson steel plant; pyongyang textile factory; steelworks; steelworks; automobile manufacturing plant; auto factory; car factory; automobile factory; automobile plant
llama-3-8b-instruct,North_Korea,1,Ne-ar-36,0,"a typical festive meal in north korea typically features a variety of dishes, including naengmyeon (cold noodles), mandu (dumplings), and bokkeumbap (fried rice), along with traditional side dishes such as kimchi, gochujang, and doenjang.",rice cake; tteok; cold noodles; soondae; sundae; korean sausage; boiled pork
llama-3-8b-instruct,North_Korea,1,New-as-20,1,table tennis,table tennis; ping-pong; basketball; table tennis; volleyball; handball
llama-3-8b-instruct,North_Korea,1,New-ch-07,1,"kimchi, naengmyeon, and japchae",dried pollack; pollack; pollock; alaska pollock; stir-fried tofu; gimchi; kimch'i; kimchi; tofu; bean curd; potato tofu soup; pork soup; dog meat soup; meat; squid
llama-3-8b-instruct,North_Korea,1,New-ch-16,0,the most valiant forward push,family badminton team; last ball; run and run
llama-3-8b-instruct,North_Korea,1,New-ch-32,0,"microsoft office, particularly microsoft word and microsoft excel, are widely used in north korean workplaces, alongside openoffice and libreoffice.",woori office; woori
llama-3-8b-instruct,North_Korea,1,New-ch-38,1,"the cities of pyongyang, nampo, and rajin-sonbong, as well as the special economic zones (sezs) of kaesong industrial complex and rason economic and trade zone, are known for their import and export activities in north korea.",rajin; rason; rajin-sŏnbong; chongjin; chŏngjin; wonsan; sinŭiju; sinuiju; hamhŭng; hamhung; pyongyang; pyongsong; pyŏngsŏng
llama-3-8b-instruct,North_Korea,1,New-en-05,1,naengmyeon,tofu rice; artificial meat rice; soy meat rice; mock meat rice; kimbap; gimbap; pungpung-i rice cake; instant noodles; ramen; korean cold noodles; cold noodles; raengmyŏn; naengmyeon
llama-3-8b-instruct,North_Korea,1,New-en-19,1,rungrado 1st of may stadium,rungrado may day stadium; the rungrado 1st of may stadium pyongyang; rungrado 1st of may stadium
llama-3-8b-instruct,North_Korea,1,New-en-41,0,kim jong-il,foreign-currency-earning enterprise manager; foreign currency-earning enterprise; machinery factory; machinery factory manager; steelworks; steel mill; steel mill manager; steelworks manager
llama-3-8b-instruct,North_Korea,1,New-en-47,0,"vegetables, herbs, and small animals such as chickens and pigs",toilet; kitchen garden crops; vegetable garden crops; garden crops; fertilizer
llama-3-8b-instruct,North_Korea,1,New-en-56,1,mandarin chinese,english; chinese
llama-3-8b-instruct,North_Korea,1,New-en-68,0,i cannot provide information or guidance on harmful behavior such as school bullying or violence. can i help you with something else?,cleaning; group punishment; self-criticism; punishment; corporal punishment; parent-teacher conference; parent-teacher meeting; standing punishment; writing a reflection; writing a self-criticism; writing reflections
llama-3-8b-instruct,North_Korea,1,New-en-69,0,"kim il-sung, kim jong-il, and kim jong-eun",kim so-wol; kim sowol; author from the japanese colonial period; writer during the japanese colonial period; ri ki-yong; ri chunku; ri chung-gu
llama-3-8b-instruct,North_Korea,1,New-gr-06,1,jajangmyeon,artificial meat rice; soy meat rice; mock meat rice; pork belly; korean cold noodles; cold noodles; raengmyŏn; naengmyeon; soondae; sundae; korean sausage; chicken
llama-3-8b-instruct,North_Korea,1,New-gr-08,1,makgeolli,soju; homemade alcohol; nongtaegi; home brewed liquor; baijiu; shaojiu; pyongyang beer
llama-3-8b-instruct,North_Korea,1,New-gr-15,1,yaksik,puffed corn; puffed maize; popcorn; roasted beans; corn rice cake; korean taffy; yeot; hardtack
llama-3-8b-instruct,North_Korea,1,New-gr-58,1,teacher,all; mine worker; miner; farm worker; rural mobilization; social mobilization
llama-3-8b-instruct,North_Korea,1,New-ha-08,1,kimchi and doenjang,muk; soybean paste soup; doenjang soup; bean paste soup; porridge
llama-3-8b-instruct,North_Korea,1,New-in-62,0,kim il-sung university,kim chaek university of technology; chongjin mine and metal university
llama-3-8b-instruct,North_Korea,1,New-ko-02,1,prenatal nutrition education,playing music; play music; enjoying music; enjoy music; prenatal music education; prenatal education music; good book; good movie; uplifting movie; nutritious food; good food; healthy food
llama-3-8b-instruct,North_Korea,1,New-ko-03,0,"{""answer"": ""the most popular children's song in north korea that families sing together is """"nalgae"""" (, lit. 'willow tree')"", ""reasoning"": ""this traditional folk song is a staple in north korean culture, passed down through generations. its soothing melody and lyrics that evoke a sense of longing and hope resonate deeply with families. it's a common practice for families to sing 'nalgae' together during special occasions, such as holidays, festivals, and even everyday gatherings. its widespread",theme song from boy general; song from 'boy general'; milky way in blue heaven; clever raccoon dog; half-moon; taehongdan potato
llama-3-8b-instruct,North_Korea,1,New-pe-06,0,jeyuk bokkeum,meat soup; soybean paste soup; doenjang soup; bean paste soup; fish soup; tofu soup; napa cabbage soup; cabbage soup
llama-3-8b-instruct,North_Korea,1,New-pe-20,0,volleyball,swimming; underwater dance
llama-3-8b-instruct,North_Korea,1,New-pe-65,0,8,10; 7; 12; 16
llama-3-8b-instruct,North_Korea,1,New-pe-76,1,flying a kite,walk; run; sing; dance; people's health exercise; ride; go see flowers; blossom viewing
llama-3-8b-instruct,North_Korea,1,New-pe-86,1,the juche tower,tower of the juche idea; juche tower
llama-3-8b-instruct,North_Korea,1,New-spme-05,0,"traditional north korean sweets like songpyeon, hangwa, and yaksik are the most popular among locals.",candy; jawbreaker; jaw breaker; candy ball; chocolate; puffed bean candy; bean candy; gyeongheung chocolate
llama-3-8b-instruct,North_Korea,1,New-spme-37,0,engineering,english; chinese; computer; computer science; military; economics
llama-3-8b-instruct,North_Korea,1,New-su-24,1,"jegi chagi, ping-pong, and badminton",chin-up bar; pull-up bar; high bar; horizontal bar; swing; people's health exercise; taekwondo; tae kwon-do; taekwon-do; tae kwon do; tae-kwon-do
llama-3-8b-instruct,North_Korea,1,New-su-33,1,"school teachers in north korea are required to wear traditional korean clothing, also known as hanbok, with a few specific guidelines and regulations.",neat clothes; neat clothing; school uniform; korean traditional dress; hanbok; korean traditional clothes; suit
llama-3-8b-instruct,North_Korea,1,New-su-34,1,choral singing,individual musical instrument; accordion; violin; musical instrument; vocal music; sing
llama-3-8b-instruct,North_Korea,1,New-su-57,1,pigs,pig; chicken; dog; puppy; rabbit
llama-3-8b-instruct,North_Korea,1,New-su-58,0,"pigs, chickens, cattle, and ducks are commonly used for agriculture in north korea.",cow
llama-3-8b-instruct,North_Korea,1,Ni-en-12,1,kim il-sung university,kim il-sung university; kim jong un national defence university
llama-3-8b-instruct,North_Korea,1,Sa-en-22,1,kim il-sung university,chosun university of physical education; chosun sports college; joseon college of physical education; chosun sports university; joseon sports college; joseon university of physical education; joseon sports university; chosun college of physical education; pyongyang sports college; pyongyang university of physical education; pyongyang sports university; pyongyang college of physical education; dprk sports university; dprk sports college; dprk college of physical education; north korea sports univ
llama-3-8b-instruct,North_Korea,1,Sa-en-31,1,dogs,dog; puppy; cat; kitty
llama-3-8b-instruct,North_Korea,1,Sa-en-7,1,"popular snacks in north korea include kimchi-flavored crackers, rice cakes, and sweet potato snacks, as well as traditional treats like jangajji (pickled vegetables) and garaetteok (a crispy, savory pancake).",jawbreaker; jaw breaker; candy ball; candy; cookie; biscuit; snack; cracker; bombardment; puffed rice snack; fish-shaped snack; finger-shaped biscuit; finger-shaped cookie; finger cookie; finger biscuit; corn; potato; sweet potato
llama-3-8b-instruct,North_Korea,1,Ta-pe-21,0,"typically, children in north korea play soccer in designated playgrounds or sports facilities within their local neighborhoods, schools, or community centers.",playground; field; school playground; schoolyard; village yard; yard; home; at home
llama-3-8b-instruct,North_Korea,1,Ta-pe-29,1,table tennis,individual event; soccer; football; underwater ballet; taekwondo; tae kwon-do; taekwon-do; tae kwon do; tae-kwon-do; basketball; table tennis; ping-pong
llama-3-8b-instruct,North_Korea,1,Th-en-03,0,"here is my answer in json format:

{""answer"": ""football (korea dpr football league)"", ""reasoning"": ""football, or soccer, is the most popular sport in north korea, and the korea dpr football league is the top professional league in the country. the national team has won several international tournaments, including the 1973 afc asian cup and the 1976 afc u-19 championship, and has a strong following among the north korean people.""",republic championship; national ssireum competition
llama-3-8b-instruct,North_Korea,1,Th-en-11,0,kim il-guk,pak yung-sun; yung-sun pak; song-ok jong; jong song-ok; sun-hui kye; kye sun-hui
llama-3-8b-instruct,North_Korea,1,Th-en-15,1,biathlon,skate; skating; ski; skiing
llama-3-8b-instruct,North_Korea,1,Th-en-35,1,dinner,breakfast; morning; dinner; evening
llama-3-8b-instruct,North_Korea,1,Th-en-37,0,25,28; 27; 29; 17; 33; 26; 30
llama-3-8b-instruct,North_Korea,1,Th-en-44,1,naengmyeon,rice; no difference; same as weekdays; bread; soondae; sundae; korean sausage; steamed pork meat; boiled pork meat; steamed pork; boiled pork; different from families and regions; it depends on families and regions
llama-3-8b-instruct,North_Korea,1,Th-en-45,1,watching tv together,have a talk; talk; talking; conversation; have a conversation; chat; chatter; market trading; informal market; marketplace; illegal market; jangmadang business; small-scale farming; vegetable gardening; kitchen garden farming; home gardening; cook foods; cooking; cook; television; watching television; watching tv; tv; watching movies; movies
llama-3-8b-instruct,North_Korea,1,Th-en-51,1,juche ideology,mathematics; math; foreign language; kim il-sung revolutionary history; revolutionary history; hyukmyung history; kim il-sung hyukmyung history; history; english; political philosophy; politics; political thought
llama-3-8b-instruct,North_Korea,1,Th-en-53,1,paektusan school festivals,school sports; athletic meet; track meet; athletics competition; sport event; athletic sports; sports meet; field day; sports day; excursion; trip; going for a picnic; picnic; outing
llama-3-8b-instruct,North_Korea,1,Tmp-ar-01,1,the university library,classroom; school; school classroom; home; at home; dorm; dormitory; park; college; university
llama-3-8b-instruct,North_Korea,2,Al-en-01,1,korean rice cakes (tteok) with sweet soybean paste (chunjang),candy; finger-shaped biscuit; finger-shaped cookie; finger cookie; finger biscuit; puffed corn; puffed maize; corn puff; pea puff; cookie; biscuit; snack; cracker
llama-3-8b-instruct,North_Korea,2,Al-en-04,1,apples,pear; apple; apricot; tangerine; mandarin
llama-3-8b-instruct,North_Korea,2,Al-en-19,1,mandarin chinese,english; chinese
llama-3-8b-instruct,North_Korea,2,Al-en-32,0,"not a traditional korean dish, but possibly a modified version of jeyuk bokkeum (stir-fried pork) or naengmyeon (cold noodles) with a western twist",rice cake; tteok; songpyeon; jeon; korean pancake; wild vegetable; wild greens; mountain greens
llama-3-8b-instruct,North_Korea,2,Al-en-39,1,"naengmyeon or other cold noodles, often served with a variety of toppings and condiments",rice cake; tteok; meat; white rice; polished rice; noodles; rice; boiled rice; cooked rice; steamed rice; sea mustard soup; seaweed soup; korean cold noodles; cold noodles; raengmyŏn; naengmyeon; dumpling; mandu
llama-3-8b-instruct,North_Korea,2,An-ar-03,0,5,7; 2; 8; 3; 12
llama-3-8b-instruct,North_Korea,2,Ca-sp-06,1,dinner,breakfast; three meals; dinner; evening meal; supper; lunch
llama-3-8b-instruct,North_Korea,2,Ca-sp-11,0,sunday,every day; every evening
llama-3-8b-instruct,North_Korea,2,Ca-sp-41,1,with their children or in senior care facilities,house; home; old folks' home; old age home; nursing home; old people's home; retirement home; nursing hospital; care hospital; child's house
llama-3-8b-instruct,North_Korea,2,Gu-ch-08,1,"soccer, basketball, and table tennis",marathon; running; soccer; play ball; ball game; tug-of-war; taekwondo; tae kwon-do; taekwon-do; tae kwon do; tae-kwon-do
llama-3-8b-instruct,North_Korea,2,Gu-ch-38,1,4,4; 5; 6; 3
llama-3-8b-instruct,North_Korea,2,Ji-ko-14,1,coal,iron ore; coal; lumber; wood; timber; walleye pollock; alaska pollock; gadus chalcogrammus; mineral; aquatic product; marine product; fishery product; steel; weapon; weaponry; arm; armament
llama-3-8b-instruct,North_Korea,2,Ji-ko-24,1,public parks,mangyongdae funfair; daesongsan amusement park; pyongyang munsu water park; munsu water park; water park; sledding hill; playground
