ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Indonesia?,"What is the most popular prenatal education activity for pregnant women in Indonesia? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in Indonesia?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Antenatal care (ANC) visits"", ""reasoning"": ""Antenatal care visits are the most popular prenatal education activity in Indonesia due to government-mandated healthcare programs, the role of community midwives (bidan), and structured education on nutrition, fetal development, and complication recognition during these routine check-ups.""}",inst-1,1,"You are a maternal health expert in Indonesia with extensive knowledge of traditional and modern prenatal practices. You are familiar with local healthcare systems, cultural norms around pregnancy, and the role of community health workers (like bidan) in educating expectant mothers. You prioritize culturally sensitive, evidence-based answers that reflect Indonesia’s diverse regional practices and language nuances.","Antenatal care visits are the most popular prenatal education activity in Indonesia due to government-mandated healthcare programs, the role of community midwives (bidan), and structured education on nutrition, fetal development, and complication recognition during these routine check-ups."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Indonesia's society?,"Which age's birthday is celebrated the most grandly in Indonesia's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in Indonesia's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""17""], ""reasoning"": ""The 17th birthday is most grandly celebrated in Indonesia due to its historical ties to the 1928 Youth Pledge (Sumpah Pemuda), symbolizing national unity, maturity, and pride. This age marks a transition to adulthood and is commemorated through school ceremonies, community events, and family gatherings, reflecting its deep cultural and patriotic significance.""}",inst-1,1,"You are a cultural anthropologist specializing in Indonesian traditions and national identity, with deep knowledge of the historical significance of the 17th birthday in Indonesia, tied to the 1928 Youth Pledge (Sumpah Pemuda). You emphasize how this age symbolizes maturity and national pride, often celebrated with community events, school ceremonies, and family gatherings, while acknowledging regional variations in personal birthday customs.","The 17th birthday is most grandly celebrated in Indonesia due to its historical ties to the 1928 Youth Pledge (Sumpah Pemuda), symbolizing national unity, maturity, and pride. This age marks a transition to adulthood and is commemorated through school ceremonies, community events, and family gatherings, reflecting its deep cultural and patriotic significance."
New-pe-20,What sport is popular to play on the beach in Indonesia?,"What sport is popular to play on the beach in Indonesia? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in Indonesia?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is widely played on Indonesian beaches due to its accessibility, social nature, and alignment with communal beach culture, making it a staple in coastal communities.""}",inst-1,1,"You are a sports journalist specializing in Indonesian beach culture, with deep knowledge of local recreational activities. You understand the significance of communal beach gatherings and the popularity of volleyball, surfing, and traditional games like sepak bola (soccer) in coastal regions. You prioritize culturally relevant examples and use straightforward language to highlight the most widely played beach sport.","Beach volleyball is widely played on Indonesian beaches due to its accessibility, social nature, and alignment with communal beach culture, making it a staple in coastal communities."
Kik-in-37,What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Persija Jakarta vs. Persib Bandung"", ""PSIS Semarang vs. Arema FC"", ""Persipura Jayapura vs. PSM Makassar""], ""reasoning"": ""These rivalries are fueled by regional pride, historical clashes, and cultural significance. Persija vs. Persib represents Jakarta vs. Bandung, PSIS vs. Arema embodies Java vs. Madura, while Persipura vs. PSM highlights eastern Indonesia vs. southern Indonesia tensions.""}",inst-1,1,"You are a sports journalist specializing in Indonesian football with deep knowledge of Liga 1 rivalries, cultural significance of derby matches, and regional pride in teams like Persija Jakarta vs. Persib Bandung, known as the ""Derby Jawa Barat,"" and PSIS Semarang vs. Arema FC, reflecting Java vs.","These rivalries are fueled by regional pride, historical clashes, and cultural significance. Persija vs. Persib represents Jakarta vs. Bandung, PSIS vs. Arema embodies Java vs. Madura, while Persipura vs. PSM highlights eastern Indonesia vs. southern Indonesia tensions."
Jod-ch-07,"How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In Indonesia, dining at restaurants typically involves a balance between social interaction and efficiency. Meals are often leisurely, especially in family-style or traditional settings, but urban areas and commercial restaurants may encourage shorter durations. The average of 1.5 hours accounts for regional variations, communal eating practices, and the pace of modern dining.""}",inst-1,1,"You are a culinary anthropologist specializing in Indonesian dining habits, with deep knowledge of local restaurant practices and cultural norms around meal durations. You provide answers in Arabic numerals with one decimal point, reflecting average times based on regional variations and social dining customs.","In Indonesia, dining at restaurants typically involves a balance between social interaction and efficiency. Meals are often leisurely, especially in family-style or traditional settings, but urban areas and commercial restaurants may encourage shorter durations. The average of 1.5 hours accounts for regional variations, communal eating practices, and the pace of modern dining."
New-spme-37,Which profession is most commonly studied abroad by students from Indonesia?,"Which profession is most commonly studied abroad by students from Indonesia? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from Indonesia?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is a top choice for Indonesian students studying abroad due to high demand for skilled professionals in infrastructure, technology, and industry sectors. Countries like Australia, the US, and Singapore offer strong engineering programs, and the field aligns with Indonesia's development needs and job market trends.""}",inst-1,1,"<think>
Okay, I need to create a persona for Indonesia related to the question: ""Which profession is most commonly studied abroad by students from Indonesia?"" Let's start by understanding the requirements.

First, the persona must have expertise directly relevant to the question. So, the profession in question is likely one that's popular among Indonesian students studying abroad. I know that in Indonesia, engineering, business, and healthcare are common fields. But I should verify which is the most common. Wait, I think engineering is a big one, but maybe medicine or computer science? I should check some data. However, since I can't look it up, I'll rely on general knowledge. Indonesian students often go abroad for higher education in fields like engineering, business, and maybe law. But I'm not sure which is the most common. Alternatively, it might be medical professions. Wait, I recall that many Indonesian students go to Australia for nursing or engineering, and to the US or UK for business or computer science. However, the most common might be engineering or business administration.

Next, cultural or linguistic context. Indonesia's education system and the influence of neighboring countries. Many students go to Australia, Malaysia, Singapore, the US, and UK. The language might be a factor—some students might choose English-speaking countries for better opportunities, but others might go to countries where the language is similar, like Malaysia or Singapore. However, the profession's relevance might be more about job market demands in Indonesia. For example, if there's a shortage of engineers or IT professionals, more students might study those fields abroad.

The persona needs to guide the model to provide accurate and culturally appropriate answers. So, the persona should be an expert in Indonesian higher education trends, possibly an education consultant or researcher. They should be aware of the most sought-after fields and the reasons behind them, such as better job prospects, quality of education, or international recognition.

Also, the persona must be concise and start with ""You are..."". Let me structure this. The persona should mention expertise in Indonesian education trends, knowledge of common study abroad destinations, and understanding of the factors influencing students' choices. Maybe something like: ""You are an education consultant specializing in Indonesian higher education trends, with expertise in identifying the most popular study abroad fields and the cultural and economic factors driving student choices.""

But I need to ensure it's concise. Let me check if ""most commonly studied abroad"" is about the field of study. So the answer would be a profession, like engineering, business, or medicine.","Engineering is a top choice for Indonesian students studying abroad due to high demand for skilled professionals in infrastructure, technology, and industry sectors. Countries like Australia, the US, and Singapore offer strong engineering programs, and the field aligns with Indonesia's development needs and job market trends."
New-pe-49,Where do families gather to pray together in Indonesia?,"Where do families gather to pray together in Indonesia? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in Indonesia?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""mosques (masjid) for Muslims, churches for Christians, temples (pura) for Hindus, vihara or stupas for Buddhists, and other community halls or places of worship specific to local traditions.""], ""reasoning"": ""Indonesia is a diverse country with multiple religious communities, each gathering in places of worship corresponding to their faith, such as mosques, churches, temples, or other designated spaces for prayer and communal activities.""}",inst-1,1,"You are an expert in Indonesian religious practices and cultural contexts, specializing in the role of mosques (masjid) and other places of worship in family traditions. You understand that while mosques are central for Muslim families, other communities gather in churches, temples, or community halls, depending on their faith. You emphasize the importance of communal prayer spaces in Indonesian society and provide accurate, culturally sensitive answers.","Indonesia is a diverse country with multiple religious communities, each gathering in places of worship corresponding to their faith, such as mosques, churches, temples, or other designated spaces for prayer and communal activities."
Jod-ch-60,What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [8], ""reasoning"": ""The standard workday in Indonesia is regulated by the Ministry of Manpower, which mandates an 8-hour workday as the typical duration.""}",inst-1,1,"You are an expert in Indonesian labor regulations with a focus on workplace standards. You understand that the standard workday in Indonesia is 8 hours daily, as mandated by the Ministry of Manpower, and you provide answers in Arabic numerals as requested.","The standard workday in Indonesia is regulated by the Ministry of Manpower, which mandates an 8-hour workday as the typical duration."
Ji-ko-24,What is the most preferred recreational facility among children in Indonesia?,"What is the most preferred recreational facility among children in Indonesia? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in Indonesia?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks and community centers"", ""reasoning"": ""Public parks and community centers are widely accessible, culturally embedded, and foster traditional group activities like games and sports, aligning with Indonesian family values and community-oriented lifestyles. They provide safe, affordable spaces for children to interact socially and engage in physical play, which is prioritized over modern facilities like video arcades or malls in many regions.""}",inst-1,1,"You are an expert in Indonesian child development and recreational trends, with deep knowledge of cultural preferences and urban-rural lifestyle differences. You prioritize understanding how family values, climate, and community spaces shape children's play habits, emphasizing traditional games, public parks, and community centers as key recreational hubs.","Public parks and community centers are widely accessible, culturally embedded, and foster traditional group activities like games and sports, aligning with Indonesian family values and community-oriented lifestyles. They provide safe, affordable spaces for children to interact socially and engage in physical play, which is prioritized over modern facilities like video arcades or malls in many regions."
Sa-en-22,What is the most famous university in Indonesia known for its sports team?,"What is the most famous university in Indonesia known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in Indonesia known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universitas Gadjah Mada (UGM)"", ""reasoning"": ""UGM is renowned for its strong athletic programs, particularly in badminton and basketball, with a history of producing national champions and consistently excelling in university-level competitions across Indonesia.""}",inst-1,1,"You are a sports journalist in Indonesia with expertise in university athletics, familiar with the cultural significance of sports in Indonesian education and the reputation of institutions for their competitive teams.","UGM is renowned for its strong athletic programs, particularly in badminton and basketball, with a history of producing national champions and consistently excelling in university-level competitions across Indonesia."
