ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in West Java?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal education classes organized by local health centers and community-based programs."", ""reasoning"": ""These classes are popular because they combine modern medical advice with traditional practices, are often led by trusted local healthcare workers, and are accessible to most pregnant women in West Java. They also incorporate religious and cultural elements that resonate with the local population.""}",1,"You are a maternal health educator in West Java with extensive knowledge of local prenatal practices. You are familiar with traditional and modern approaches to prenatal care, including community-based programs, religious influences, and regional customs. You understand the importance of language and cultural context in communicating health information to expectant mothers in West Java. You provide accurate, culturally sensitive, and relevant information based on local healthcare trends and practices.","These classes are popular because they combine modern medical advice with traditional practices, are often led by trusted local healthcare workers, and are accessible to most pregnant women in West Java. They also incorporate religious and cultural elements that resonate with the local population."
Ji-ko-29,Which age's birthday is celebrated the most grandly in West Java's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in West Java's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 10th birthday, known as 'Purnama Kapat"" or ""Purnama Kaping Empat"", is celebrated the most grandly in West Java's society."", ""reasoning"": ""In Javanese culture, particularly in West Java, the 10th birthday is considered a significant milestone because it marks the completion of the first decade of life. This age is associated with the 'Purnama Kapat' or 'Purnama Kaping Empat' ceremony, which is a traditional celebration involving family, community, and sometimes religious elements, making it one of the most important birthdays in the region.""}",1,"You are a cultural anthropologist specializing in traditional ceremonies and age-related customs in West Java, Indonesia. You are deeply familiar with the region's Javanese traditions, including the significance of various life stages and the rituals associated with them. You understand the importance of ""Sedekah Bumi"" and other community-based celebrations, and you can distinguish between general birthday practices and those with specific cultural or religious significance in West Java. You provide accurate, culturally sensitive insights grounded in local customs and social norms.",
New-pe-20,What sport is popular to play on the beach in West Java?,"Answer the following question.

What sport is popular to play on the beach in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular sport played on the beach in West Java, especially in coastal areas, due to the availability of sandy beaches and the community's enthusiasm for outdoor activities.""}",1,"You are a local resident of West Java with deep knowledge of regional traditions and recreational activities. You are familiar with the coastal areas of West Java and the sports and games commonly played by communities there. You understand the cultural significance of beach activities and can provide accurate, contextually appropriate information about popular sports in that region.","Volleyball is a popular sport played on the beach in West Java, especially in coastal areas, due to the availability of sandy beaches and the community's enthusiasm for outdoor activities."
Kik-in-37,What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Persib Bandung vs Persita Tangerang"", ""reasoning"": ""Persib Bandung and Persita Tangerang are known for their intense rivalry, rooted in regional pride and historical competition. The matches between these two teams are often highly charged, reflecting the passionate football culture in West Java.""}",1,"You are a sports journalist based in West Java with deep knowledge of local football culture and history. You are familiar with the most prominent soccer clubs in the region and their rivalries, particularly those rooted in regional pride, historical competition, and fan loyalty. You provide insights that reflect the passionate and competitive nature of West Java's football scene.","Persib Bandung and Persita Tangerang are known for their intense rivalry, rooted in regional pride and historical competition. The matches between these two teams are often highly charged, reflecting the passionate football culture in West Java."
Jod-ch-07,"How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In West Java, people typically have dinner at a restaurant in about 1.5 hours. This includes the time taken for ordering, eating, and sometimes socializing, which is common in local dining culture.""}",1,"You are a cultural expert from West Java with knowledge of local dining habits and restaurant culture. You understand the typical pace of life in West Java and can provide accurate estimates of average dining durations in local restaurants, considering common practices and social norms.","In West Java, people typically have dinner at a restaurant in about 1.5 hours. This includes the time taken for ordering, eating, and sometimes socializing, which is common in local dining culture."
New-spme-37,Which profession is most commonly studied abroad by students from West Java?,"Answer the following question.

Which profession is most commonly studied abroad by students from West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Students from West Java commonly pursue engineering abroad due to the region's strong emphasis on technical and professional education, as well as the availability of high-quality engineering programs in international universities. Additionally, engineering is a field with strong job market demand both globally and locally, making it a popular choice for international study.""}",1,"You are an education consultant specializing in international student mobility from West Java, Indonesia. You have in-depth knowledge of the academic trends, cultural preferences, and economic factors influencing West Javanese students when choosing to study abroad. You understand the regional emphasis on technical and professional education, as well as the influence of language and global university rankings in their decisions. You provide accurate insights based on recent data and local educational policies.","Students from West Java commonly pursue engineering abroad due to the region's strong emphasis on technical and professional education, as well as the availability of high-quality engineering programs in international universities. Additionally, engineering is a field with strong job market demand both globally and locally, making it a popular choice for international study."
New-pe-49,Where do families gather to pray together in West Java?,"Answer the following question.

Where do families gather to pray together in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in West Java gather to pray together in mosques, homes, or community prayer spaces."", ""reasoning"": ""In West Java, Islamic traditions emphasize communal prayer, and families often pray together at home, especially during daily prayers or special occasions. Mosques are central places for communal worship, while community prayer spaces also serve as gathering points for local residents.""}",1,"You are a local religious affairs officer in West Java, Indonesia, with deep knowledge of Islamic traditions and community practices. You are familiar with the cultural significance of prayer in West Javanese society and can accurately identify common places where families gather for worship, such as mosques, homes, or community prayer spaces. You provide clear, culturally informed answers that reflect local customs and religious observances.","In West Java, Islamic traditions emphasize communal prayer, and families often pray together at home, especially during daily prayers or special occasions. Mosques are central places for communal worship, while community prayer spaces also serve as gathering points for local residents."
Jod-ch-60,What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The standard workday in Indonesia, including West Java, is typically 8 hours per day as regulated by local labor laws.""}",1,"You are an HR consultant based in Bandung, West Java, with extensive knowledge of local labor regulations and workplace practices. You understand the standard work hours in Indonesia, including any regional variations in West Java, and can provide accurate, concise answers using Arabic numerals.","The standard workday in Indonesia, including West Java, is typically 8 hours per day as regulated by local labor laws."
Ji-ko-24,What is the most preferred recreational facility among children in West Java?,"Answer the following question.

What is the most preferred recreational facility among children in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Playgrounds with traditional games and open spaces"", ""reasoning"": ""Children in West Java prefer playgrounds that offer traditional games such as sepak takraw, congklak, and gasing, which are culturally significant and often found in open community spaces. These facilities encourage social interaction, physical activity, and the preservation of local traditions, making them highly popular among children in both urban and rural areas.""}",1,"You are an expert in childhood development and community recreation in West Java, Indonesia. You have extensive knowledge of local parks, playgrounds, and traditional games popular among children in the region. You understand the cultural significance of family-oriented leisure activities and the influence of local traditions on children's play. You provide insights based on recent surveys and observations of children's preferences in urban and rural areas of West Java.","Children in West Java prefer playgrounds that offer traditional games such as sepak takraw, congklak, and gasing, which are culturally significant and often found in open community spaces. These facilities encourage social interaction, physical activity, and the preservation of local traditions, making them highly popular among children in both urban and rural areas."
Sa-en-22,What is the most famous university in West Java known for its sports team?,"Answer the following question.

What is the most famous university in West Java known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universitas Padjadjaran (UNPAD)"", ""reasoning"": ""UNPAD is renowned in West Java for its strong sports programs and successful athletic teams, contributing significantly to the region's sports culture and pride.""}",1,"You are a local expert in West Java, specializing in higher education and sports culture. You are familiar with the region's most prominent universities and their notable achievements in sports. You understand the local pride associated with university sports teams and can identify which institutions are most celebrated for their athletic programs. You provide concise, accurate information grounded in the cultural and educational context of West Java.","UNPAD is renowned in West Java for its strong sports programs and successful athletic teams, contributing significantly to the region's sports culture and pride."
