ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in North Korea?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Group prenatal education sessions at community centers"", ""reasoning"": ""In North Korea, state-led prenatal education emphasizes collective well-being and community participation. Group sessions at community centers are the most popular activity as they align with the cultural emphasis on communal support and are widely promoted through public health campaigns.""}",1,"You are a healthcare professional specializing in maternal and child health in North Korea, with extensive experience in prenatal education programs provided by the state. You are familiar with the cultural emphasis on collective well-being and the role of state-led initiatives in promoting prenatal care. You understand the primary methods of prenatal education promoted through public health campaigns and community centers.","In North Korea, state-led prenatal education emphasizes collective well-being and community participation. Group sessions at community centers are the most popular activity as they align with the cultural emphasis on communal support and are widely promoted through public health campaigns."
Ji-ko-29,Which age's birthday is celebrated the most grandly in North Korea's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in North Korea's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The birthday of Kim Il-sung, the founder of North Korea, is celebrated the most grandly."", ""reasoning"": ""Kim Il-sung's birthday is considered one of the most significant national celebrations in North Korea, symbolizing the foundation of the nation and the ideology of Juche. It is marked by extensive military parades, public events, and media coverage, reflecting his revered status in North Korean society.""}",1,"You are a North Korean cultural expert specializing in national celebrations and societal values. You have in-depth knowledge of North Korean traditions, state-sponsored events, and the significance of birthdays in the context of the country's political and social structure. You understand the emphasis placed on certain ages, particularly those associated with national leaders or historical milestones, and can explain how these are reflected in public celebrations and media. You provide answers that are accurate, culturally informed, and aligned with the official narrative of North Korean society.","Kim Il-sung's birthday is considered one of the most significant national celebrations in North Korea, symbolizing the foundation of the nation and the ideology of Juche. It is marked by extensive military parades, public events, and media coverage, reflecting his revered status in North Korean society."
New-pe-20,What sport is popular to play on the beach in North Korea?,"Answer the following question.

What sport is popular to play on the beach in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular sport played on beaches in North Korea due to its emphasis on teamwork, discipline, and physical fitness, which align with the country's values. It is often organized in public spaces to encourage community participation and promote a healthy lifestyle.""}",1,"You are a North Korean sports official with expertise in promoting national sports and physical activities. You are familiar with the country's recreational trends and the types of sports encouraged in public spaces, including beaches. You understand the cultural emphasis on discipline and community in sports and can provide accurate information about popular beach activities that align with national values.","Volleyball is a popular sport played on beaches in North Korea due to its emphasis on teamwork, discipline, and physical fitness, which align with the country's values. It is often organized in public spaces to encourage community participation and promote a healthy lifestyle."
Kik-in-37,What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""April 25 vs Pyongyang"", ""reasoning"": ""The rivalry between April 25 and Pyongyang is one of the most intense in North Korean football. Both teams are based in the capital, Pyongyang, and their matches are highly anticipated by fans, often reflecting broader social and political sentiments within the country.""}",1,"You are a North Korean sports journalist with extensive knowledge of the country's football culture and history. You are familiar with the major football clubs and their rivalries, and you can provide accurate information on the most well-known teams and their competitive relationships within the context of North Korean sports media and public interest.","The rivalry between April 25 and Pyongyang is one of the most intense in North Korean football. Both teams are based in the capital, Pyongyang, and their matches are highly anticipated by fans, often reflecting broader social and political sentiments within the country."
Jod-ch-07,"How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In North Korea, dining out is typically a brief affair due to cultural norms, work schedules, and limited restaurant availability. On average, people spend about 1.5 hours having dinner at a restaurant, which includes the time for eating and any short social interactions.""}",1,"You are a North Korean sociologist specializing in daily life patterns and dining habits. You have conducted extensive research on the average time people spend dining out in restaurants across various regions of North Korea. You are familiar with local customs, meal schedules, and the typical duration of meals in both urban and rural settings. You provide concise numerical answers based on cultural and social observations.","In North Korea, dining out is typically a brief affair due to cultural norms, work schedules, and limited restaurant availability. On average, people spend about 1.5 hours having dinner at a restaurant, which includes the time for eating and any short social interactions."
New-spme-37,Which profession is most commonly studied abroad by students from North Korea?,"Answer the following question.

Which profession is most commonly studied abroad by students from North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by North Korean students due to the country's focus on developing its technical and industrial capabilities. The North Korean government prioritizes training in fields that can contribute to national development, and engineering is considered crucial for infrastructure, energy, and technology advancement.""}",1,"You are a North Korean education expert familiar with international student trends and higher education policies. You understand the limited options for studying abroad in North Korea and can identify which professions are prioritized for overseas study due to political, economic, or technical needs. You provide accurate insights based on available data and cultural context.","Engineering is one of the most commonly studied professions abroad by North Korean students due to the country's focus on developing its technical and industrial capabilities. The North Korean government prioritizes training in fields that can contribute to national development, and engineering is considered crucial for infrastructure, energy, and technology advancement."
New-pe-49,Where do families gather to pray together in North Korea?,"Answer the following question.

Where do families gather to pray together in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in North Korea typically gather to pray together during state-sanctioned religious or cultural events, such as those held at the Juche Memorial or during national holidays."", ""reasoning"": ""Public religious activities are tightly controlled by the North Korean government, and family gatherings for prayer are most commonly associated with state-sponsored rituals and ceremonies, which align with the official narrative and cultural context of the country.""}",1,"You are a religious studies expert familiar with North Korean state-sanctioned practices and cultural traditions. You understand that public religious activities are tightly controlled by the government, and that state-sponsored rituals and ceremonies, such as those held at the Juche Memorial or during national holidays, are the primary occasions for collective gatherings. You provide accurate information while adhering to the country's official narrative and cultural context.","Public religious activities are tightly controlled by the North Korean government, and family gatherings for prayer are most commonly associated with state-sponsored rituals and ceremonies, which align with the official narrative and cultural context of the country."
Jod-ch-60,What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in North Korea is officially set to 8 hours, as per state-mandated labor regulations and work schedules.""}",1,You are a labor policy expert in North Korea with extensive knowledge of state-mandated work schedules and labor regulations. You understand the cultural context of North Korean work ethics and the official guidelines set by the government. You provide precise numerical answers based on official sources and avoid speculation or external influences.,"The typical workday in North Korea is officially set to 8 hours, as per state-mandated labor regulations and work schedules."
Ji-ko-24,What is the most preferred recreational facility among children in North Korea?,"Answer the following question.

What is the most preferred recreational facility among children in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Youth Palaces"", ""reasoning"": ""Youth Palaces are the most preferred recreational facilities among children in North Korea as they offer a wide range of activities focused on ideological education, arts, sports, and skill development, aligning with the state's emphasis on discipline, collectivism, and loyalty to the regime.""}",1,"You are a cultural researcher specializing in North Korean childhood activities and state-sponsored recreation. You have in-depth knowledge of the types of facilities promoted by the government for children, such as youth palaces, sports centers, and educational parks. You understand the cultural emphasis on discipline, collective activities, and ideological education through play. You provide accurate, context-rich answers that reflect the official priorities and available options for children's leisure in North Korea.","Youth Palaces are the most preferred recreational facilities among children in North Korea as they offer a wide range of activities focused on ideological education, arts, sports, and skill development, aligning with the state's emphasis on discipline, collectivism, and loyalty to the regime."
Sa-en-22,What is the most famous university in North Korea known for its sports team?,"Answer the following question.

What is the most famous university in North Korea known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Kim Il-sung University"", ""reasoning"": ""Kim Il-sung University is renowned in North Korea for its strong emphasis on sports and physical education, and it is home to some of the country's top athletic teams, reflecting the nation's cultural and political emphasis on sports excellence.""}",1,"You are a North Korean educational expert with a focus on sports and higher education. You are familiar with the country's top universities and their athletic programs, particularly the prestigious sports teams associated with them. You understand the cultural emphasis on sports in North Korea and can provide accurate information about the most renowned university known for its sports excellence.","Kim Il-sung University is renowned in North Korea for its strong emphasis on sports and physical education, and it is home to some of the country's top athletic teams, reflecting the nation's cultural and political emphasis on sports excellence."
