ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Antenatal care visits,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Ethiopia's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",15,1,,
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Answer the following question.

What sport is popular to play on the beach in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Volleyball,1,,
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",St. George SA vs. Ethiopian Coffee SC,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.5,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Answer the following question.

Which profession is most commonly studied abroad by students from Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Medicine,1,,
New-pe-49,Where do families gather to pray together in Ethiopia?,"Answer the following question.

Where do families gather to pray together in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mekele,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Answer the following question.

What is the most preferred recreational facility among children in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Football fields,1,,
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Answer the following question.

What is the most famous university in Ethiopia known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Addis Ababa University,1,,
Al-en-19,What is a popular second language for high school students in Ethiopia?,"Answer the following question.

What is a popular second language for high school students in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Amharic,1,,
Ne-ar-09,What do people from Ethiopia eat in Eid ul Fitr?,"Answer the following question.

What do people from Ethiopia eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Injera and wats.,1,,
New-su-24,What sports do parents and children commonly play together in Ethiopia?,"Answer the following question.

What sports do parents and children commonly play together in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Chess,1,,
Ji-ko-42,What are the required subjects in Ethiopia's university entrance exam?,"Answer the following question.

What are the required subjects in Ethiopia's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Amharic, English, Mathematics, Biology, and Chemistry.",1,,
New-pe-06,What is the most popular stew in Ethiopia?,"Answer the following question.

What is the most popular stew in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Tibs wot.,1,,
New-pe-86,What is the name of the most famous tower in Ethiopia?,"Answer the following question.

What is the name of the most famous tower in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",The Ark of the Covenant,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Ethiopia?,"Answer the following question.

What is the most popular extracurricular social event at schools in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Traditional Coffee Ceremonies,1,,
Ca-sp-06,Which is the most important meal of the day to people from Ethiopia?,"Answer the following question.

Which is the most important meal of the day to people from Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Injera,1,,
New-en-41,Who is the most well known and successful entrepreneur in Ethiopia?,"Answer the following question.

Who is the most well known and successful entrepreneur in Ethiopia?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Ariel Gebremariam,1,,
