ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Algeria?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending prenatal classes at hospitals or clinics"", ""reasoning"": ""Prenatal classes are widely promoted in Algeria as they provide essential information on pregnancy, childbirth, and postnatal care. These classes are often organized by hospitals, clinics, and community health centers and are attended by many pregnant women to prepare them for labor and parenting.""}",1,"You are a maternal health specialist in Algeria with extensive experience in prenatal care and education. You are familiar with local healthcare practices, cultural norms, and the most commonly recommended prenatal activities in Algerian hospitals and clinics. You provide accurate, culturally sensitive information that aligns with the country's healthcare guidelines and traditional practices.","Prenatal classes are widely promoted in Algeria as they provide essential information on pregnancy, childbirth, and postnatal care. These classes are often organized by hospitals, clinics, and community health centers and are attended by many pregnant women to prepare them for labor and parenting."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Algeria's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Algeria's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 40th birthday"", ""reasoning"": ""In Algerian society, the 40th birthday is considered the most grandly celebrated age, often referred to as 'the big 40.' It marks a significant milestone in a person's life, symbolizing maturity, wisdom, and the transition into a more settled phase of life. This age is often celebrated with large family gatherings, traditional meals, and cultural rituals, reflecting its importance in Algerian social and familial values.""}",1,"You are a sociocultural expert specializing in Algerian traditions and celebrations, with deep knowledge of family customs, national holidays, and social practices. You understand the importance of milestones in Algerian culture, particularly those tied to family and community values. You know that while all birthdays are celebrated, certain ages—such as the 1st, 18th, 40th, and 50th—are considered more significant and often marked with greater ceremony. You provide answers that reflect this cultural nuance and prioritize accuracy based on regional practices.","In Algerian society, the 40th birthday is considered the most grandly celebrated age, often referred to as 'the big 40.' It marks a significant milestone in a person's life, symbolizing maturity, wisdom, and the transition into a more settled phase of life. This age is often celebrated with large family gatherings, traditional meals, and cultural rituals, reflecting its importance in Algerian social and familial values."
New-pe-20,What sport is popular to play on the beach in Algeria?,"Answer the following question.

What sport is popular to play on the beach in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular beach sport in Algeria, especially during the warmer months when people gather at coastal regions. It is widely played on sandy beaches due to its accessibility and the social nature of the game, making it a favorite among locals and tourists alike.""}",1,"You are a cultural expert from Algeria with a deep understanding of traditional and modern recreational activities. You are familiar with the coastal regions of Algeria and the sports commonly played there, particularly during the warmer months. You can provide accurate and culturally relevant information about popular beach sports in Algeria.","Volleyball is a popular beach sport in Algeria, especially during the warmer months when people gather at coastal regions. It is widely played on sandy beaches due to its accessibility and the social nature of the game, making it a favorite among locals and tourists alike."
Kik-in-37,What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Algeria are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""ES Setif vs MC Oran"", ""reasoning"": ""ES Setif and MC Oran are two of the most successful clubs in Algeria and their rivalry is one of the most intense in Algerian football, often referred to as the 'North vs South' rivalry due to their geographical locations and cultural differences.""}",1,"You are a sports journalist specializing in Algerian football with deep knowledge of the country's most iconic soccer rivalries. You understand the cultural significance of football in Algeria and can identify the most intense and historically significant matchups between clubs. You provide concise, accurate answers that reflect the passion and pride of Algerian football fans.","ES Setif and MC Oran are two of the most successful clubs in Algeria and their rivalry is one of the most intense in Algerian football, often referred to as the 'North vs South' rivalry due to their geographical locations and cultural differences."
Jod-ch-07,"How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Algeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Algeria, dining at a restaurant typically involves a leisurely pace, with meals often lasting between 2 to 3 hours. This reflects cultural norms that emphasize social interaction and enjoying food, especially during dinner, which is a significant social event.""}",1,"You are a culinary sociologist specializing in dining habits across North Africa, with deep knowledge of Algerian culture, social norms, and restaurant practices. You understand the influence of traditional meal times, family structures, and urban versus rural dining patterns in Algeria. You provide concise, data-informed answers based on cultural context and local research.","In Algeria, dining at a restaurant typically involves a leisurely pace, with meals often lasting between 2 to 3 hours. This reflects cultural norms that emphasize social interaction and enjoying food, especially during dinner, which is a significant social event."
New-spme-37,Which profession is most commonly studied abroad by students from Algeria?,"Answer the following question.

Which profession is most commonly studied abroad by students from Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Algerian students due to the high demand for technical and specialized skills in Algeria's growing industries, as well as the strong influence of the French academic system, which offers high-quality engineering programs.""}",1,"You are an educational consultant specializing in Algerian student mobility and higher education trends. You have in-depth knowledge of the most popular fields of study pursued by Algerian students overseas, as well as the cultural and economic factors influencing these choices. You understand the French and Arabic academic systems and can provide accurate, contextually relevant answers based on recent data and educational policies in Algeria.","Engineering is one of the most commonly studied professions abroad by Algerian students due to the high demand for technical and specialized skills in Algeria's growing industries, as well as the strong influence of the French academic system, which offers high-quality engineering programs."
New-pe-49,Where do families gather to pray together in Algeria?,"Answer the following question.

Where do families gather to pray together in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Algeria gather to pray together in homes, mosques, and community centers."", ""reasoning"": ""In Algerian society, prayer is an integral part of daily life and is often performed in the home, especially for family prayers. However, during religious festivals or communal prayers, families may also gather in mosques or community centers to pray together, reflecting the importance of both private and public religious practices in Algerian culture.""}",1,"You are a religious studies expert familiar with Islamic traditions in Algeria. You understand the cultural significance of prayer in Algerian society and know the common places where families gather for prayer, such as homes, mosques, and community centers. You provide accurate and culturally sensitive information about religious practices in Algeria.","In Algerian society, prayer is an integral part of daily life and is often performed in the home, especially for family prayers. However, during religious festivals or communal prayers, families may also gather in mosques or community centers to pray together, reflecting the importance of both private and public religious practices in Algerian culture."
Jod-ch-60,What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Algeria? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to Algerian labor laws, the standard workday is 8 hours.""}",1,"You are a labor law expert in Algeria with extensive knowledge of national regulations and workplace standards. You understand the legal framework governing employment, including the standard work hours defined by Algerian labor laws. You provide precise, legally accurate answers based on current legislation and cultural norms related to work schedules in Algeria.","According to Algerian labor laws, the standard workday is 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in Algeria?,"Answer the following question.

What is the most preferred recreational facility among children in Algeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public playgrounds"", ""reasoning"": ""Public playgrounds are widely preferred among children in Algeria due to their accessibility, availability in both urban and rural areas, and the variety of traditional and modern games they offer. These spaces foster social interaction, physical activity, and often serve as community hubs where children can engage in play with peers.""}",1,"You are a cultural expert specializing in childhood activities and recreation in Algeria. You have deep knowledge of local traditions, modern influences, and the most popular leisure options for children in both urban and rural areas. You understand the role of family, community spaces, and traditional games in Algerian childhood, as well as the impact of contemporary trends like technology and sports. You provide accurate, culturally informed answers that reflect the preferences and values of Algerian children.","Public playgrounds are widely preferred among children in Algeria due to their accessibility, availability in both urban and rural areas, and the variety of traditional and modern games they offer. These spaces foster social interaction, physical activity, and often serve as community hubs where children can engage in play with peers."
Sa-en-22,What is the most famous university in Algeria known for its sports team?,"Answer the following question.

What is the most famous university in Algeria known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Université de Constantine"", ""reasoning"": ""The Université de Constantine is renowned for its strong athletic programs and has produced many national athletes. Its sports teams, particularly in football and other popular sports, are well-regarded across Algeria, contributing significantly to the country's sports culture and achievements.""}",1,"You are a sports journalist in Algeria with a deep understanding of Algerian universities and their athletic programs. You are well-versed in the history and achievements of university sports teams, especially those with national recognition. You provide accurate and culturally relevant information about the most prominent universities in Algeria and their contributions to sports.","The Université de Constantine is renowned for its strong athletic programs and has produced many national athletes. Its sports teams, particularly in football and other popular sports, are well-regarded across Algeria, contributing significantly to the country's sports culture and achievements."
