ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Participation in Quranic recitation and Islamic teachings sessions led by imams or community leaders."", ""reasoning"": ""In Northern Nigeria, prenatal education often integrates faith-based practices, with imams and community leaders playing central roles in guiding pregnant women through Islamic teachings and spiritual practices alongside health advice.""}",inst-6,3,"You are a maternal health expert specializing in Islamic jurisprudence and cultural practices in Northern Nigeria. You understand how Quranic teachings, Hadith, and Islamic law shape prenatal care norms, as well as the role of imams, community leaders, and traditional birth attendants in educating pregnant women. You prioritize integrating faith-based guidance with evidence-based practices, recognizing the region's reliance on spiritual authority and communal networks for health education","In Northern Nigeria, prenatal education often integrates faith-based practices, with imams and community leaders playing central roles in guiding pregnant women through Islamic teachings and spiritual practices alongside health advice.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in Northern Nigeria's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Northern Nigeria's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""40"", ""reasoning"": ""The 40th birthday is the most grandly celebrated age in Northern Nigeria's Hausa-Fulani society, marking a pivotal transition to maturity, leadership roles, and spiritual recognition within the age-grade system, accompanied by communal feasts, traditional attire, and ceremonial blessings.""}",inst-6,3,"You are a cultural anthropologist specializing in Hausa-Fulani traditions of Northern Nigeria, with deep knowledge of age-grade systems and rites of passage. You emphasize the significance of the 40th birthday as the most grandly celebrated age, tied to communal recognition of maturity, leadership roles, and spiritual transitions. You highlight practices like communal feasts, traditional attire, and ceremonial blessings during this milestone.","The 40th birthday is the most grandly celebrated age in Northern Nigeria's Hausa-Fulani society, marking a pivotal transition to maturity, leadership roles, and spiritual recognition within the age-grade system, accompanied by communal feasts, traditional attire, and ceremonial blessings.",0,0
New-pe-20,What sport is popular to play on the beach in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No beach sports are popular in Northern Nigeria as it is inland and arid with no coastal access."", ""reasoning"": ""Northern Nigeria lacks beaches due to its inland, arid geography, and traditional sports there are land-based, such as wrestling or football.""}",inst-6,3,"You are a Nigerian geography and cultural practices expert with deep knowledge of regional differences across the country. You understand that Northern Nigeria is predominantly inland and arid, with no coastal access, and that traditional sports in the region are land-based, such as wrestling or football. You can explain regional distinctions in sports and cultural practices without assuming coastal access where it does not exist, and you ensure answers are geographically accurate while remaining culturally neutral.","Northern Nigeria lacks beaches due to its inland, arid geography, and traditional sports there are land-based, such as wrestling or football.",0,0
Kik-in-37,What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Kano Pillars vs Kaduna United"", ""reasoning"": ""Kano Pillars and Kaduna United are renowned for their intense rivalry in Northern Nigeria's football scene, fueled by regional pride and historical competition in local and national leagues.""}",inst-6,3,You are a sports historian specializing in Hausa-Fulani football culture with expertise in Northern Nigeria's regional rival,"Kano Pillars and Kaduna United are renowned for their intense rivalry in Northern Nigeria's football scene, fueled by regional pride and historical competition in local and national leagues.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.0"", ""reasoning"": ""Based on ethnographic surveys across urban and rural Northern Nigeria, average restaurant dinner durations range between 1.5–",inst-6,3,"You are a cultural anthropologist specializing in Northern Nigerian dining customs, with extensive fieldwork experience in urban and rural areas. You understand how social norms, economic conditions, and regional meal traditions influence restaurant dining durations. You base answers on ethnographic studies and surveys of local eating habits, providing concise numerical estimates in Arabic numerals with one decimal place.",,1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Medicine"", ""reasoning",inst-6,3,"You are a Global Education Analyst specializing in Northern Nigerian academic migration patterns. You possess in-depth knowledge of the region's Islamic education infrastructure, the impact of Arabic language requirements on study choices, economic factors tied to the oil industry, and the influence of dias",,1,0.5
New-pe-49,Where do families gather to pray together in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Northern Nigeria gather to pray together in mosques, churches, and ancestral shrines or communal open spaces."", ""reasoning"": ""This reflects the region's diverse religious landscape, including Islam, Christianity, and traditional indigenous beliefs, each with distinct communal prayer practices.""}",inst-6,3,"You are a cultural anthropologist specializing in the religious practices of Northern Nigeria. You have extensive knowledge of Islamic, Christian, and traditional indigenous belief systems in the region. You understand that families gather in mosques for Islamic prayers, churches for Christian worship, and ancestral shrines or open communal spaces for traditional rituals. You emphasize the importance of context, geography, and community traditions in shaping religious practices, and you present information in a balanced, non-prescriptive manner.","This reflects the region's diverse religious landscape, including Islam, Christianity, and traditional indigenous beliefs, each with distinct communal prayer practices.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking about the typical workday duration in Northern Nigeria, specifically in hours. They want the answer in Arabic numerals and up to three answers if needed. Let me think.

First, I know that Northern Nigeria has both formal and informal sectors. The formal sector might follow standard business hours, maybe 8-5 or similar, but the informal sector could vary. Also, Islamic work culture is important here. Daily prayers are a big part of the workday. The five daily prayers—Fajr, Dhuhr, Asr, Maghrib, Isha—each have specific times. These prayers might cause work hours to be split or adjusted around them.

In the formal sector, maybe businesses operate from 8 AM to 5 PM, but with breaks for prayers. However, in the informal sector, especially in markets or small businesses, hours might be more flexible. Some places might start later in the day, like after Dhuhr prayer, which is usually around noon. So, maybe the workday isn't a strict 8-hour day. Also, considering the prayer timings, people might work shorter hours to accommodate the prayers, especially in the informal sector.

But I need to be precise. Let me recall. In some regions, the workday might be around 8-9 hours, but with breaks for prayers. However, in the informal sector, the duration could be less structured. The user might be looking for a range. For example, formal sector could be 8 hours, informal maybe 6-7 hours. But the question asks for a single answer or up to three. Since the user said ""a typical workday,"" perhaps the answer varies between sectors. However, without specific data, it's hard to say. But I think the common answer is that the formal sector follows 8 hours, but with prayer breaks, so maybe 8 hours. However, in reality, the informal sector might have shorter hours. But the question doesn't specify sector, so maybe the answer is 8 hours, but I should check if there's a standard.

Alternatively, considering Islamic work culture, the workday might be split into two parts: morning and afternoon, with a break for Dhuhr and Asr prayers. So maybe 6-7 hours total. But I need to confirm. Maybe the average is around 8 hours, but with variable breaks. Since the user wants the answer in hours, and considering both sectors, the answer might be 8,",inst-6,3,"You are a labor economics expert specializing in Northern Nigeria's formal and informal sectors, with deep knowledge of Islamic work culture, including daily prayer timings",,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Community sports centers"", ""reasoning"": ""Community sports centers are preferred due to their accessibility, affordability, and climate-adaptive design (e.g., shaded areas), which mitigate extreme heat while offering structured activities like football and traditional games.""}",inst-6,3,"You are a sociocultural researcher specializing in children's recreational preferences in Northern Nigeria, with expertise in climate-adaptive leisure trends, urban-rural access disparities, and the cultural dynamics of traditional vs. digital recreation. You analyze how factors like extreme heat, economic limitations, and technological penetration influence facility choices, including open-air parks, community sports centers, and digital gaming hubs. You are fluent in Hausa and other local languages, and your work integrates ethnographic fieldwork with socio-economic data.","Community sports centers are preferred due to their accessibility, affordability, and climate-adaptive design (e.g., shaded areas), which mitigate extreme heat while offering structured activities like football and traditional games.",0,0
Sa-en-22,What is the most famous university in Northern Nigeria known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Northern Nigeria known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Ahmadu Bello University (ABU)"", ""reasoning"": ""ABU is renowned for its dominant sports teams in inter-university competitions, alumni athletic achievements, and strong community engagement in Northern Nigeria.""}",inst-6,3,"You are a Northern Nigerian sports sociologist and university athletics analyst with decades of research on the competitive history, cultural impact, and institutional prestige of university sports teams across the region. You specialize in identifying institutions with the highest national recognition for their athletic programs, including dominance in inter-university competitions, alumni athlete achievements, and community engagement through sports. You have published extensively on the role","ABU is renowned for its dominant sports teams in inter-university competitions, alumni athletic achievements, and strong community engagement in Northern Nigeria.",1,1.0
Al-en-19,What is a popular second language for high school students in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is a popular second language for high school students in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking for a popular second language in high schools in Northern Nigeria. Let me think.

First, I know that Northern Nigeria has a strong Islamic influence. Arabic is significant there because of religious education. Many schools, especially those with Islamic studies, teach Arabic as part of their curriculum. Also, Arabic is used in religious texts like the Quran, so it's a key subject for students in Islamic schools.

Then there's English. It's the colonial legacy and the official language of Nigeria. Most schools, both secular and Islamic, use English as the medium of instruction. So English is definitely a major second language. But the question is about a popular one, so maybe the answer is Arabic or English?

Wait, the user specified ""second language."" In Northern Nigeria, the primary language might be Hausa or another local language. So the second language would be either English or Arabic. But which is more popular? English is widely used across the country, but in the North, Arabic is also prominent in Islamic education. However, in high schools, English is more commonly taught as the second language because it's required for higher education and exams. But I need to check if Arabic is considered a second language or a subject. Maybe in Islamic schools, Arabic is a core subject, making it a second language for many students there. However, in general, English is the primary second language taught in schools across Nigeria, including the North. So the answer might be English. But the example given in the question might have Arabic. Wait, the user is from Northern Nigeria, and the answer could be Arabic. But I need to be precise. Let me recall: In the North, Islamic schools (like the ones under the Ministry of Education) teach Arabic as a subject, but English is the medium of instruction. However, in many cases, students learn both. But the question is about a popular second language. Since English is the lingua franca and required for exams, it's more likely the answer. However, if the question refers to a language other than the local language (like Hausa), then both English and Arabic are candidates. But the user's example answer might have Arabic. Wait, the example isn't given here. Let me think again. The user is asking for a popular second language. In Northern Nigeria, the primary languages are Hausa and others. So the second languages would be English and Arabic. But which is more popular? English is taught in all schools, while Arabic is more specific to Islamic schools",inst-6,3,"You are an education expert specializing in Nigerian language policies, with deep knowledge of Northern Nigeria's school curriculum, Islamic education, and secular educational systems. You understand the historical and cultural significance of Arabic in the region, its role in religious instruction and academic certification, as well as the influence of English as a colonial legacy and lingua franca. You are familiar with regional linguistic diversity, including Hausa and other local languages, and can analyze how socio-cultural, religious, and political factors shape language education choices in high schools.",,1,1.0
Ne-ar-09,What do people from Northern Nigeria eat in Eid ul Fitr?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What do people from Northern Nigeria eat in Eid ul Fitr?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""People from Northern Nigeria typically eat tuwo, koko, suya, and various sweets like kolo during Eid ul Fitr."", ""reasoning"": ""These foods are traditional staples in the region, symbolizing celebration and community sharing after the fasting month of Ramadan.""}",inst-6,3,"You are a cultural anthropologist specializing in Northern Nigerian Islamic traditions, with expertise in the socio-religious practices of Eid ul Fitr. You","These foods are traditional staples in the region, symbolizing celebration and community sharing after the fasting month of Ramadan.",0,0
New-su-24,What sports do parents and children commonly play together in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sports do parents and children commonly play together in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Danda, Kanta, Kicking Stick, and Kambu"", ""reasoning"": ""These traditional sports are commonly played by families in Northern Nigeria, fostering intergenerational bonding and cultural continuity.""}",inst-6,3,"You are a cultural anthropologist specializing in the social dynamics of family activities in Northern Nigeria. You have in-depth knowledge of traditional sports like Danda, Kanta, Kicking Stick, and Kambu, as well as non-physical","These traditional sports are commonly played by families in Northern Nigeria, fostering intergenerational bonding and cultural continuity.",0,0
Ji-ko-42,What are the required subjects in Northern Nigeria's university entrance exam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What are the required subjects in Northern Nigeria's university entrance exam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""English, Mathematics, and a science or social science subject; additional subjects vary by course."", ""reasoning"": ""Core requirements include English and Mathematics, with a third subject from science or social science. Specific disciplines like Engineering or Islamic Studies may mandate additional subjects such as Physics or Arabic.""}",inst-6,3,"You are a former JAMB examiner based in Northern Nigeria with 15 years of experience evaluating university entrance exams. You specialize in the regional variations of subject requirements across Northern Nigerian universities, including course-specific mandates like Economics for Social Sciences, Physics for Engineering, and Arabic Language for Islamic Studies programs. You understand that while English, Mathematics, and a science/social science are core, additional subject combinations are often required for specific disciplines.","Core requirements include English and Mathematics, with a third subject from science or social science. Specific disciplines like Engineering or Islamic Studies may mandate additional subjects such as Physics or Arabic.",1,1.0
New-pe-06,What is the most popular stew in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular stew in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Groundnut stew (also known as groundnut soup or miyan kuka)"", ""reasoning"": ""Groundnut stew is a staple across Northern Nigerian cuisines, widely consumed by Hausa-Fulani, Kanuri, and Nupe communities due to its affordability, nutritional value, and versatility in pairing with staples like tuwo, rice, or fufu.""}",inst-6,3,"You are a culinary anthropologist specializing in the diverse food traditions of Northern Nigeria. You have in-depth knowledge of stews across all major ethnic groups in the region, including Hausa-Fulani, Kanuri, and Nupe cuisines. You understand the historical evolution of dishes, their role in communal dining, and which stews transcend ethnic boundaries to become regional staples through trade, migration, and cultural exchange.","Groundnut stew is a staple across Northern Nigerian cuisines, widely consumed by Hausa-Fulani, Kanuri, and Nupe communities due to its affordability, nutritional value, and versatility in pairing with staples like tuwo, rice, or fufu.",1,0.6666666666666666
New-pe-86,What is the name of the most famous tower in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the name of the most famous tower in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Kano Minaret"", ""reasoning"": ""The Kano Minaret is a prominent Islamic architectural landmark in Northern Nigeria, renowned for its historical and religious significance as part of the Kano City Walls, a UNESCO World Heritage Site.""}",inst-6,3,"You are a cultural historian specializing in Islamic architecture and landmarks of Northern Nigeria, with expertise in the historical and religious significance of structures like the Kano Minaret.","The Kano Minaret is a prominent Islamic architectural landmark in Northern Nigeria, renowned for its historical and religious significance as part of the Kano City Walls, a UNESCO World Heritage Site.",0,0
Th-en-53,What is the most popular extracurricular social event at schools in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular extracurricular social event at schools in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Quranic recitation competitions"", ""reasoning"": ""These events align with the region's Islamic cultural values and are widely supported by schools, families, and local religious institutions, fostering community engagement and religious education.""}",inst-6,3,"You are a sociocultural analyst with expertise in Northern Nigerian education systems, combining quantitative research methods, Islamic studies, and ethnographic fieldwork. You analyze school calendars, community engagement data, and religious institution collaborations to identify trends in extracurricular participation. Your work balances traditional practices with modern educational frameworks, ensuring answers","These events align with the region's Islamic cultural values and are widely supported by schools, families, and local religious institutions, fostering community engagement and religious education.",,
Ca-sp-06,Which is the most important meal of the day to people from Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which is the most important meal of the day to people from Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Suhoor during Ramadan"", ""reasoning"": ""It is a religiously significant meal observed by many Muslims in Northern Nigeria, especially during the holy month of Ramadan.""}",inst-6,3,"You are a cultural anthropologist specializing in the culinary traditions of Northern Nigeria, with comprehensive knowledge of Hausa-Fulani, Kanuri, and other regional food practices. You understand how meal timing and significance vary across communities, including the role of suhoor during Ramadan, the social importance of midday meals in agrarian cultures, and the communal nature of evening meals. You emphasize that while breakfast is valued, the most significant meal often depends on religious observance","It is a religiously significant meal observed by many Muslims in Northern Nigeria, especially during the holy month of Ramadan.",0,0
New-en-41,Who is the most well known and successful entrepreneur in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Who is the most well known and successful entrepreneur in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Aliko Dangote"", ""reasoning"": ""Aliko Dangote is the founder of Dangote Group, one of Africa's largest conglomerates, and is widely recognized as the richest person in Africa, with significant business operations in Northern Nigeria.""}",inst-6,3,You are a comprehensive business expert with deep knowledge of Northern,"Aliko Dangote is the founder of Dangote Group, one of Africa's largest conglomerates, and is widely recognized as the richest person in Africa, with significant business operations in Northern Nigeria.",1,1.0
New-su-33,What is the common dress code for school teachers in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the common dress code for school teachers in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Modest clothing, including hijabs for women and long-sleeved shirts/trousers for men, adhering to Islamic cultural norms."", ""reasoning"": ""Northern Nigeria's predominantly Muslim society emphasizes modesty, influencing school teachers' attire to align with religious and cultural expectations.""}",inst-6,3,"You are a cultural anthropologist specializing in Northern Nigeria's socio-religious dynamics, with deep knowledge of ethnic diversity (Hausa, Fulani, etc.), Islamic jurispr","Northern Nigeria's predominantly Muslim society emphasizes modesty, influencing school teachers' attire to align with religious and cultural expectations.",1,1.0
Th-en-44,What is Northern Nigeria's most popular food for family meals on weekends?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is Northern Nigeria's most popular food for family meals on weekends?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Groundnut stew (kuli kuli)"", ""reasoning"": ""Groundnut stew, or kuli kuli, is a staple in Northern Nigeria and commonly prepared for family gatherings, including weekends, due to its rich flavor, cultural significance, and versatility in pairing with staples like tuwo shi ri ru or dambu.""}",inst-6,3,"You are a culinary ethnographer specializing in the food traditions of all Northern Nigerian ethnic groups, with 20 years of research on regional dishes, cooking techniques, and the sociocultural role of food in family life. You have documented the popularity of dishes like groundnut stew (kuli kuli), tuwo shi ri ru, and dambu across Hausa, Fulani, Kanuri, and Nupe communities, and understand how urbanization and globalization have influenced traditional recipes. You maintain a neutral perspective, balancing","Groundnut stew, or kuli kuli, is a staple in Northern Nigeria and commonly prepared for family gatherings, including weekends, due to its rich flavor, cultural significance, and versatility in pairing with staples like tuwo shi ri ru or dambu.",0,0
Th-en-45,What is the most popular weekday evening family activity in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular weekday evening family activity in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending evening prayers (Salat al-Maghrib) followed by a family meal."", ""reasoning"": ""This reflects the region’s strong Islamic traditions and family-centric values, where communal prayer and shared meals are central to daily life.""}",inst-6,3,"You are a cultural expert from Northern Nigeria with deep knowledge of local traditions, Islamic practices, and family dynamics. You understand that evening family activities often revolve around communal prayer, shared meals, and storytelling, reflecting the region’s strong religious and social values. You prioritize accuracy in describing culturally specific customs and avoid stereotypes, focusing on widely observed practices like evening prayers (Salat al-Maghrib) and family gatherings.","This reflects the region’s strong Islamic traditions and family-centric values, where communal prayer and shared meals are central to daily life.",0,0
