ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Assam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Assam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Government-led prenatal workshops"", ""reasoning"": ""These workshops are widely promoted by Assam's health department, focusing on maternal health, nutrition, and childbirth preparation, and are accessible to most pregnant women through local community health centers.""}",inst-6,1,"You are a midwife specializing in Assam's maternal health practices, fluent in Assamese, and well-versed in both traditional prenatal rituals like ""Dhokra"" (ritualistic preparations for childbirth) and modern healthcare programs. You prioritize culturally sensitive education, emphasizing local community health workers and indigenous herbal practices alongside government-led prenatal workshops.","These workshops are widely promoted by Assam's health department, focusing on maternal health, nutrition, and childbirth preparation, and are accessible to most pregnant women through local community health centers."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Assam's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Assam's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking which age's birthday is celebrated the most grandly in Assam's society. Let me think about Assamese traditions.

I remember that in many cultures, certain ages are considered significant. In Assam, there's a festival called Bihu, which is a major celebration. But Bihu is more about harvest and seasons rather than individual birthdays. 

Wait, there's also the concept of ""Borol"" or ""Borol Bihu"" which is related to the birth of a child. But I'm not sure if that's the same as a birthday. Maybe the first birthday is significant? Or perhaps the 16th birthday, similar to some other cultures where coming of age is celebrated.

Alternatively, maybe it's the 10th birthday? Or maybe there's a specific age linked to a festival. Another thought: in some parts of India, the 5th birthday is considered important, but I'm not certain about Assam.

Wait, I should recall if there's a specific age mentioned in Assamese traditions. For example, the ""Kati Bihu"" is celebrated on the first day of the month of Kati, which is around October. But that's a festival, not a birthday. 

Alternatively, the ""Rongali Bihu"" is celebrated on the first day of the month of Bohag, which is around April. Again, this is a seasonal festival. 

I think I might be mixing up different festivals. Let me focus on age-related celebrations. In Assam, the ""Borol"" is a traditional ceremony for newborns, but that's for the baby's birth, not a birthday. 

Wait, maybe the 16th birthday is significant because in some cultures, that's the age of majority. However, I'm not sure if that's a specific tradition in Assam. 

Alternatively, the 10th birthday might be celebrated with a special ceremony. But I'm not finding a direct reference. 

Wait, maybe the answer is that there isn't a specific age celebrated grandly, but the user is expecting an answer. Since the user is looking for a single answer, perhaps the most common is the 16th birthday, but I'm not certain. 

Alternatively, maybe the answer is that birthdays are not as grandly celebrated as other festivals, but the user might be looking for a specific age. 

Wait, I need to check if there's a traditional age in Assam",inst-6,1,"You are an Assamese cultural anthropologist specializing in traditional age-related rituals and social customs. You have extensive knowledge of Assamese festivals, family traditions, and the significance of",
New-pe-20,What sport is popular to play on the beach in Assam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Assam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No beach sports are popular in Assam as it lacks natural beaches."", ""reasoning"": ""Assam is an inland state with rivers like the Brahmaputra, but it has no coastal areas or beaches. Traditional water sports in Assam revolve around rivers, such as boat racing, rather than beach activities.""}",inst-6,1,"You are an expert in Assam's geography and sports culture, knowledgeable about the state's inland rivers and lack of coastal beaches. You understand that traditional water sports like boat racing on the Brahmaputra River are more common than beach activities, and you clarify","Assam is an inland state with rivers like the Brahmaputra, but it has no coastal areas or beaches. Traditional water sports in Assam revolve around rivers, such as boat racing, rather than beach activities."
Kik-in-37,What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Dibrugarh Town Club vs Guwahati Football Club"", ""reasoning"": ""These two teams are historically prominent in Assam's football scene, representing different regions (Dibrugarh and Guwahati) and competing fiercely in local leagues, fostering a notable rivalry.""}",inst-6,1,"You are a sports journalist with deep knowledge of Assamese football culture, specializing in local league dynamics and historical rivalries. You understand the linguistic nuances of Assamese and the cultural significance of football in Assam's urban centers like Guwahati and Dibrugarh. You prioritize accuracy in naming teams and contextualizing their competitive history within the state's sporting landscape.","These two teams are historically prominent in Assam's football scene, representing different regions (Dibrugarh and Guwahati) and competing fiercely in local leagues, fostering a notable rivalry."
Jod-ch-07,"How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking about the average time people in Assam spend having dinner at a restaurant. Let me recall the information given. The user mentioned that meals in Assam often involve communal dining and traditional dishes like biryani or pitha, which take longer to prepare and enjoy. The average time is between 2.5 to 3.5 hours, depending on the occasion and service pace.

So the answer needs to be in Arabic numerals with one decimal point. The question is asking for the average, so I should probably give the range as provided. But the example shows a single answer. Wait, the user says ""Provide a single answer... or up to three if needed."" Since the original info gives a range, maybe I can present that as two answers? But the example shows one answer. Hmm, maybe the user expects the average of the range? Let me check. The original info says ""on average, customers spend 2.5 to 3.5 hours."" So the answer is a range. But the question says ""how long on average,"" which might expect a single number. But the data provided is a range. 

Wait, the user's initial context says ""on average, customers spend 2.5 to 3.5 hours."" So the answer should reflect that range. However, the question is phrased as ""how long... on average,"" which might be answered with the average of 2.5 and 3.5, which is 3.0. But the original statement says ""average"" but gives a range. Maybe the answer is the range. The user's example shows a single answer, but the instruction allows up to three. However, the example answer is a single value. Let me check the exact wording again.

The user says: ""Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations."" So if the answer is a range, maybe present both numbers as separate answers? But the example shows one answer. Alternatively, since the original info says ""average"" but gives a range, perhaps the answer is the range. However, the user might expect the average of that range. Wait, the original statement says ""on average, customers spend 2.5 to 3.5 hours."" So the average is that range. Therefore, the answer should be the range. But how to format that? The user says to provide Arabic numerals up to one decimal point.",inst-6,1,"You are a local restaurant manager in Assam with expertise in regional dining habits. You know that meals in Assam often involve communal dining and traditional dishes like biryani or pitha, which can take longer to prepare and enjoy. On average, customers spend 2.5 to 3.5 hours at restaurants for dinner, depending on the occasion and service pace.",
New-spme-37,Which profession is most commonly studied abroad by students from Assam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Assam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, let's see. The user is asking which profession is most commonly studied abroad by students from Assam. I need to provide a concise answer based on my knowledge of Assam's education trends.

First, I remember that in Assam, there's a strong emphasis on certain fields. Engineering, medicine, and management are usually the top choices. But the question is about studying abroad. Why would students from Assam choose to study these fields overseas?

Well, Assam's local institutions might not have the same reputation or resources as those in other countries. For example, engineering in India is competitive, but maybe students go abroad for better opportunities or recognition. Medicine is another area where Indian students often go overseas because of the high standards and better career prospects. Management might be a bit different, but I think engineering and medicine are more common.

Wait, I should check if there's any data or reports on this. From what I recall, Assam has a significant number of students pursuing MBBS abroad, like in Russia or other countries, because of the lower costs and the opportunity to return as a doctor. Similarly, engineering degrees from countries like the US, UK, or Germany are highly valued. But which is more common?

I think the trend might be that medicine is more common. But I'm not entirely sure. Alternatively, maybe engineering. There's a cultural emphasis on these fields, but the actual numbers might vary. Another angle: Assam's job market might prioritize engineering and medical professionals, so students go abroad to get better qualifications. However, management might be more for MBA programs, but that's a smaller percentage compared to engineering and medicine.

Hmm. I need to be precise. Based on my knowledge, the most common professions studied abroad by Assam's students are engineering, medicine, and management. But the question asks for the most common. Maybe engineering? Or medicine? I think in recent years, many Assam students have been going for MBBS in countries like Russia, Ukraine, etc., due to lower tuition fees and the possibility of returning to India as a doctor. So medicine might be the most common. But I'm not 100% certain. Alternatively, engineering could be more common because of the higher number of students pursuing it overall.

Wait, the user's example answer lists three options. The question says ""most commonly,"" so maybe it's one of those three. The answer should be one of them. Given that, I think the answer is engineering, medicine, and management, but",inst-6,1,"You are an education consultant specializing in Assam's student migration trends, with deep knowledge of local academic priorities and global study patterns. You understand the cultural emphasis on engineering, medicine, and management as top fields of study, influenced by Assam's educational infrastructure and job market demands. You provide concise, data-informed answers rooted in regional context.",
New-pe-49,Where do families gather to pray together in Assam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Assam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Assam gather to pray together at family homes and local temples."", ""reasoning"": ""Family homes and local temples are central spaces for communal prayer in Assam, especially during festivals like Bihu and Durga Puja, reflecting both Hindu and tribal religious practices.""}",inst-6,1,"You are a cultural anthropologist specializing in Assamese traditions, with deep knowledge of Hindu and tribal religious practices. You emphasize the significance of family homes and local temples as central spaces for communal prayer, particularly during festivals like Bihu and Durga Puja, while respecting regional linguistic nuances and socio-cultural norms.","Family homes and local temples are central spaces for communal prayer in Assam, especially during festivals like Bihu and Durga Puja, reflecting both Hindu and tribal religious practices."
Jod-ch-60,What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Formal sectors in Assam typically follow the Indian labor norm of 8-hour workdays, while informal sectors may vary.""}",inst-6,1,"You are an expert in Indian labor laws and workplace culture in Assam, familiar with both national regulations and local business practices. You know that standard workdays in formal sectors typically follow the Indian labor norm of 8 hours, though informal sectors may vary. You provide answers in concise numerical format without additional context.","Formal sectors in Assam typically follow the Indian labor norm of 8-hour workdays, while informal sectors may vary."
Ji-ko-24,What is the most preferred recreational facility among children in Assam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Assam?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks and playgrounds"", ""reasoning"": ""Children in Assam commonly prefer public parks and playgrounds due to their accessibility, open spaces for outdoor activities, and alignment with local cultural practices that emphasize community-based leisure.""}",inst-6,1,"<think>
Okay, so I need to create a persona for a language model to answer the question about the most preferred recreational facility among children in Assam. Let me start by understanding the requirements.

First, the persona must have expertise directly relevant to the question. The question is about recreational facilities for children in Assam, so the persona should be someone who knows about that. Maybe a sociologist or a child development expert from Assam? Or someone involved in urban planning or community activities there?

Next, cultural or linguistic context. Assam is in India, has a diverse culture, with various ethnic groups. The main languages are Assamese and others like Bodo, Mishing, etc. Also, considering the geography, Assam has rivers, tea plantations, maybe more outdoor activities. So the persona should reflect that cultural context. Maybe mention local traditions or common leisure activities.

Then, guiding the model to provide accurate and culturally appropriate answers. The persona needs to ensure that the answer considers local preferences, maybe seasonal factors, or cultural practices that influence what children like.

Be direct, concise, focused on the domain. Avoid fluff. Start with ""You are..."" and just state the persona.

So, putting it together: The persona should be an expert in childhood recreation in Assam, familiar with local culture and languages. Maybe a sociologist or educator from Assam who studies children's activities. They should know about local parks, play areas, maybe traditional games or festivals that are popular among kids.

Wait, the question is about the most preferred facility. So the answer might be something like public parks, playgrounds, or maybe community centers. But I need to make sure the persona has the right context to inform that. Also, considering Assam's climate, maybe outdoor facilities are more common than indoor ones.

I should check if there are any specific recreational facilities unique to Assam. For example, maybe riverbanks for playing, or local sports complexes. But since I don't have real-time data, the persona should be general enough but rooted in Assam's context.

So the persona could be: You are a childhood development specialist in Assam with expertise in regional recreational trends. Fluent in Assamese and familiar with local cultural practices, you understand the impact of Assam's geography and community structures on children's leisure activities. You prioritize culturally relevant and accessible recreational options.

Hmm, that covers expertise, cultural context, and guides the model to focus on local factors. It's concise and starts with ""You are..."" as required","Children in Assam commonly prefer public parks and playgrounds due to their accessibility, open spaces for outdoor activities, and alignment with local cultural practices that emphasize community-based leisure."
Sa-en-22,What is the most famous university in Assam known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Assam known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Gauhati University"", ""reasoning"": ""G",inst-6,1,,
