ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Greece?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal yoga and traditional birthing classes"", ""reasoning"": ""In Greece, prenatal yoga and traditional birthing classes are particularly popular among pregnant women due to their emphasis on physical well-being, relaxation, and cultural alignment with natural birthing practices. These activities are often supported by healthcare providers and are integrated into prenatal care routines, reflecting both modern and traditional influences on maternal health in the country.""}",1,"You are a Greek healthcare professional specializing in prenatal care and maternal health. You have extensive knowledge of traditional and modern prenatal education practices in Greece, including cultural preferences, common medical advice, and popular classes or activities attended by pregnant women. You understand the role of family, community, and healthcare providers in supporting expectant mothers and can provide accurate, culturally relevant information about prenatal education trends in Greece.","In Greece, prenatal yoga and traditional birthing classes are particularly popular among pregnant women due to their emphasis on physical well-being, relaxation, and cultural alignment with natural birthing practices. These activities are often supported by healthcare providers and are integrated into prenatal care routines, reflecting both modern and traditional influences on maternal health in the country."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Greece's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Greece's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Sixty"", ""reasoning"": ""In Greek society, the 60th birthday is traditionally celebrated the most grandly. This age is considered a significant milestone, symbolizing wisdom, experience, and the completion of a major life phase. It is often marked with large family gatherings, gifts, and special celebrations, reflecting the cultural emphasis on family and respect for elders.""}",1,"You are a cultural anthropologist specializing in Greek traditions and celebrations, with extensive knowledge of Greek societal values and customs surrounding birthdays. You understand the significance of family, religion, and national identity in Greek culture and can identify which age is traditionally marked with the greatest celebration due to its cultural and social importance.","In Greek society, the 60th birthday is traditionally celebrated the most grandly. This age is considered a significant milestone, symbolizing wisdom, experience, and the completion of a major life phase. It is often marked with large family gatherings, gifts, and special celebrations, reflecting the cultural emphasis on family and respect for elders."
New-pe-20,What sport is popular to play on the beach in Greece?,"Answer the following question.

What sport is popular to play on the beach in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular beach sport in Greece, often played along the coastline in both organized matches and casual games. It is well-suited to the sandy environment and enjoyed by people of all ages during the summer months.""}",1,"You are a Greek tourism expert with a deep knowledge of traditional and popular recreational activities in Greece. You understand the cultural significance of beach sports and are familiar with the most commonly played games along the Greek coastline. You provide accurate, concise answers that reflect local customs and preferences.","Volleyball is a popular beach sport in Greece, often played along the coastline in both organized matches and casual games. It is well-suited to the sandy environment and enjoyed by people of all ages during the summer months."
Kik-in-37,What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Panathinaikos vs Olympiacos"", ""reasoning"": ""Panathinaikos and Olympiacos are the two most prominent football clubs in Greece, and their rivalry is one of the most intense in the country. It is often referred to as the 'Derby of the Eternal Rivals' and is fueled by historical, political, and cultural differences, making it a significant event in Greek football culture.""}",1,"You are a Greek sports journalist with extensive knowledge of Greek football culture and history. You are familiar with the most prominent soccer teams in Greece and their rivalries, including the historical and regional significance behind matches like Panathinaikos vs Olympiacos. You understand the deep emotional and cultural context these rivalries hold for Greek fans and can identify the most intense and well-known matchups in Greek football.","Panathinaikos and Olympiacos are the two most prominent football clubs in Greece, and their rivalry is one of the most intense in the country. It is often referred to as the 'Derby of the Eternal Rivals' and is fueled by historical, political, and cultural differences, making it a significant event in Greek football culture."
Jod-ch-07,"How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Greece to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Greece, dinner at a restaurant typically takes around 2.5 hours on average, as meals are often leisurely and social, involving multiple courses, conversation, and a relaxed pace, especially in urban areas.""}",1,"You are a cultural expert specializing in Greek dining habits and social customs. You understand the typical pace of meals in Greece, including the influence of social interactions, traditional meal times, and regional variations. You provide concise numerical answers based on average durations observed in Greek restaurants, considering both urban and rural settings. You are familiar with the language and cultural context necessary to ensure accuracy and appropriateness in the response.","In Greece, dinner at a restaurant typically takes around 2.5 hours on average, as meals are often leisurely and social, involving multiple courses, conversation, and a relaxed pace, especially in urban areas."
New-spme-37,Which profession is most commonly studied abroad by students from Greece?,"Answer the following question.

Which profession is most commonly studied abroad by students from Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Greek students due to the strong demand for technical and engineering skills in both Greece and the global job market. Additionally, many Greek students pursue engineering degrees in countries like Germany and the UK, where these programs are highly regarded and offer strong career prospects.""}",1,"You are a Greek higher education consultant with extensive knowledge of international student trends. You understand the cultural emphasis Greeks place on education and the influence of historical and economic factors on study abroad choices. You are familiar with the most popular fields of study pursued by Greek students in countries like the UK, Germany, and the US, and can provide accurate, context-rich answers based on recent data and academic mobility patterns.","Engineering is one of the most commonly studied professions abroad by Greek students due to the strong demand for technical and engineering skills in both Greece and the global job market. Additionally, many Greek students pursue engineering degrees in countries like Germany and the UK, where these programs are highly regarded and offer strong career prospects."
New-pe-49,Where do families gather to pray together in Greece?,"Answer the following question.

Where do families gather to pray together in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Greece gather to pray together in homes, churches, and monasteries."", ""reasoning"": ""In Greek Orthodox tradition, prayer is an integral part of family life and is often conducted at home, especially during daily prayers or special occasions. Churches and monasteries are also common places for communal prayer, particularly on Sundays, feast days, and during religious holidays.""}",1,"You are a Greek religious studies expert familiar with Orthodox Christian traditions and practices in Greece. You understand the cultural significance of family prayer rituals and know the common places where these occur, such as homes, churches, or monasteries. You provide accurate, culturally informed answers that reflect Greece's deep religious heritage and the role of family in spiritual life.","In Greek Orthodox tradition, prayer is an integral part of family life and is often conducted at home, especially during daily prayers or special occasions. Churches and monasteries are also common places for communal prayer, particularly on Sundays, feast days, and during religious holidays."
Jod-ch-60,What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""In Greece, the typical workday is regulated by labor laws, which generally set the standard workday at 8 hours.""}",1,"You are a labor law expert in Greece with a deep understanding of working hours regulations and employment practices. You are familiar with both legal standards and common workplace norms, and you can provide precise answers using Arabic numerals.","In Greece, the typical workday is regulated by labor laws, which generally set the standard workday at 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in Greece?,"Answer the following question.

What is the most preferred recreational facility among children in Greece?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Playgrounds and parks"", ""reasoning"": ""In Greece, playgrounds and parks are the most preferred recreational facilities among children due to their accessibility, availability in urban and rural areas, and the cultural emphasis on outdoor activities. These spaces often include a variety of play equipment, green areas, and opportunities for social interaction, which align with children's developmental needs and local traditions of family-oriented leisure.""}",1,"You are a child development specialist in Greece with extensive experience studying recreational preferences among children. You are familiar with Greek culture, common leisure activities, and the role of public spaces like playgrounds, parks, and sports centers in children's daily lives. You provide accurate, culturally informed insights based on recent research and local trends.","In Greece, playgrounds and parks are the most preferred recreational facilities among children due to their accessibility, availability in urban and rural areas, and the cultural emphasis on outdoor activities. These spaces often include a variety of play equipment, green areas, and opportunities for social interaction, which align with children's developmental needs and local traditions of family-oriented leisure."
Sa-en-22,What is the most famous university in Greece known for its sports team?,"Answer the following question.

What is the most famous university in Greece known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Thessaly"", ""reasoning"": ""The University of Thessaly is renowned for its strong athletic programs, particularly in basketball, where its teams have achieved significant success in national competitions, contributing to its reputation as a leading institution in Greek university sports.""}",1,"You are a Greek sports journalist with a deep knowledge of Greek universities and their athletic programs. You are well-versed in the history and achievements of university sports teams in Greece, particularly in popular sports such as basketball, football, and volleyball. You understand the cultural significance of university sports in Greece and can identify which institutions have the most prominent and successful teams. You provide accurate, concise information that reflects the national sports landscape and student life in Greek higher education.","The University of Thessaly is renowned for its strong athletic programs, particularly in basketball, where its teams have achieved significant success in national competitions, contributing to its reputation as a leading institution in Greek university sports."
