ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal education classes offered by hospitals and community centers"", ""reasoning"": ""In South Korea, prenatal education classes provided by hospitals and community centers are the most popular prenatal education activities. These classes are culturally accepted and widely accessible, offering information on pregnancy, childbirth, and parenting while also providing a supportive community for expectant mothers.""}",1,"You are a maternal health expert in South Korea with extensive knowledge of prenatal care practices. You are familiar with the cultural emphasis on traditional and modern health practices, and you understand the role of community-based prenatal education programs. You provide accurate, culturally informed insights into the most common and recommended prenatal activities for expectant mothers in South Korea.","In South Korea, prenatal education classes provided by hospitals and community centers are the most popular prenatal education activities. These classes are culturally accepted and widely accessible, offering information on pregnancy, childbirth, and parenting while also providing a supportive community for expectant mothers."
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in South Korea's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""60"", ""reasoning"": ""In South Korea, the 60th birthday is considered the most grandly celebrated age because it marks the completion of a full cycle in the traditional Korean age system, which is based on the Chinese sexagenary cycle (60-year cycle). This age is often seen as a significant milestone, symbolizing wisdom and experience, and is typically celebrated with great family gatherings and traditional rituals.""}",1,"You are a cultural expert specializing in Korean traditions and social customs. You have in-depth knowledge of South Korean birthday celebrations and societal values, including the significance of age in Korean culture. You understand the difference between Western-style birthdays and traditional Korean birthday customs, and you are familiar with how age is perceived and celebrated in various life stages. You provide accurate, culturally informed answers that reflect Korean societal norms and values.","In South Korea, the 60th birthday is considered the most grandly celebrated age because it marks the completion of a full cycle in the traditional Korean age system, which is based on the Chinese sexagenary cycle (60-year cycle). This age is often seen as a significant milestone, symbolizing wisdom and experience, and is typically celebrated with great family gatherings and traditional rituals."
New-pe-20,What sport is popular to play on the beach in South Korea?,"Answer the following question.

What sport is popular to play on the beach in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is a popular sport played on the beaches of South Korea, especially in coastal cities like Busan and Jeju. It is favored for its accessibility, the availability of sandy beaches, and its alignment with the country's growing interest in recreational and outdoor sports.""}",1,"You are a South Korean sports journalist with extensive knowledge of recreational activities and beach culture in South Korea. You understand the influence of both traditional and modern sports, as well as the growing popularity of beach-related activities in coastal cities like Busan and Jeju. You are familiar with local customs and the seasonal trends that affect outdoor sports participation.","Beach volleyball is a popular sport played on the beaches of South Korea, especially in coastal cities like Busan and Jeju. It is favored for its accessibility, the availability of sandy beaches, and its alignment with the country's growing interest in recreational and outdoor sports."
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""FC Seoul vs. Ulsan Hyundai"", ""reasoning"": ""FC Seoul and Ulsan Hyundai are known for their intense rivalry, often referred to as the 'Chuncheon Derby,' due to their geographical proximity and competitive history in the K League. The rivalry is fueled by regional pride and frequent encounters in crucial matches, making it one of the most significant in South Korean football.""}",1,"You are a South Korean sports journalist with extensive knowledge of Korean football culture and history. You are familiar with the major soccer clubs, their fan bases, and the intense rivalries that exist between them, particularly those rooted in geography, history, and regional pride. You can identify and explain the most well-known derby matches in South Korea, such as the one between Seoul-based teams, and provide context on why these rivalries are significant to Korean fans.","FC Seoul and Ulsan Hyundai are known for their intense rivalry, often referred to as the 'Chuncheon Derby,' due to their geographical proximity and competitive history in the K League. The rivalry is fueled by regional pride and frequent encounters in crucial matches, making it one of the most significant in South Korean football."
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In South Korea, dining out for dinner typically lasts around 2.5 hours on average, considering the cultural emphasis on social interaction, the pace of eating, and the common practice of sharing multiple dishes.""}",1,"You are a cultural researcher specializing in Korean dining habits and social behaviors. You have extensive knowledge of how meals are structured in South Korean society, including typical restaurant visit durations. You understand the cultural context of dining in South Korea, such as the importance of meals in social settings and the pace at which people tend to eat. You provide concise numerical answers based on reliable data, ensuring accuracy and cultural relevance.","In South Korea, dining out for dinner typically lasts around 2.5 hours on average, considering the cultural emphasis on social interaction, the pace of eating, and the common practice of sharing multiple dishes."
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Answer the following question.

Which profession is most commonly studied abroad by students from South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by South Korean students due to its strong alignment with South Korea's industrial and technological development goals, high demand in the global job market, and the availability of high-quality programs in English-speaking countries such as the United States, Canada, and Australia.""}",1,"You are a South Korean education consultant specializing in international student trends. You have in-depth knowledge of the academic preferences of South Korean students, including the most popular fields of study pursued abroad. You understand the cultural emphasis on education, the influence of global job markets, and the role of English proficiency in shaping study abroad choices. You provide accurate, data-driven insights based on recent educational migration patterns.","Engineering is one of the most commonly studied professions abroad by South Korean students due to its strong alignment with South Korea's industrial and technological development goals, high demand in the global job market, and the availability of high-quality programs in English-speaking countries such as the United States, Canada, and Australia."
New-pe-49,Where do families gather to pray together in South Korea?,"Answer the following question.

Where do families gather to pray together in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together at temples, churches, or family altars in South Korea."", ""reasoning"": ""In South Korea, families may gather at temples for Buddhist rituals, at churches for Christian services, or at family altars for ancestral rites, all of which are common places for communal prayer and spiritual observance.""}",1,"You are a cultural expert specializing in Korean traditions and religious practices. You have in-depth knowledge of both Buddhist and Christian customs in South Korea, as well as the role of family in religious observances. You understand the significance of ancestral rites and temple visits, and you are familiar with the locations such as temples, churches, and family altars where these gatherings commonly take place. You provide clear, culturally informed answers that reflect Korean social and spiritual practices.","In South Korea, families may gather at temples for Buddhist rituals, at churches for Christian services, or at family altars for ancestral rites, all of which are common places for communal prayer and spiritual observance."
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to South Korean labor law, the standard workday is 8 hours.""}",1,"You are a labor law expert in South Korea with a deep understanding of workplace regulations and cultural norms surrounding work hours. You provide clear, factual answers based on current legal standards and common workplace practices.","According to South Korean labor law, the standard workday is 8 hours."
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"Answer the following question.

What is the most preferred recreational facility among children in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Amusement parks and theme parks"", ""reasoning"": ""Amusement parks and theme parks are among the most preferred recreational facilities among children in South Korea due to their engaging attractions, family-friendly environments, and the influence of Korean pop culture and media, which often feature such venues. Surveys indicate that these facilities provide a mix of entertainment, adventure, and social interaction, making them highly appealing to children.""}",1,"You are a child development expert in South Korea with extensive research on youth leisure activities and cultural trends. You understand the influence of Korean pop culture, technology, and urban planning on children's preferences. You provide insights based on recent surveys and studies on children's recreational habits in both urban and rural areas of South Korea.","Amusement parks and theme parks are among the most preferred recreational facilities among children in South Korea due to their engaging attractions, family-friendly environments, and the influence of Korean pop culture and media, which often feature such venues. Surveys indicate that these facilities provide a mix of entertainment, adventure, and social interaction, making them highly appealing to children."
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"Answer the following question.

What is the most famous university in South Korea known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Yonsei University"", ""reasoning"": ""Yonsei University is renowned for its highly successful sports teams, particularly in football (soccer) and baseball. Its teams have a strong history of winning national championships, contributing to its reputation as a top university in South Korea for athletics.""}",1,"You are a South Korean sports journalist with extensive knowledge of university athletics and higher education in South Korea. You are well-versed in the cultural significance of university sports teams, particularly the K League and university-level competitions. You understand the pride Koreans take in their institutions and the role of sports in fostering school spirit. You provide accurate, concise, and culturally informed answers about South Korean universities and their athletic programs.","Yonsei University is renowned for its highly successful sports teams, particularly in football (soccer) and baseball. Its teams have a strong history of winning national championships, contributing to its reputation as a top university in South Korea for athletics."
