ID,Translation,prompt,response,prompt_no,iteration,persona,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in West Java?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: What is the most popular prenatal education activity for pregnant women in West Java?
Jawaban:","Pelatihan kehamilan tradisional, seperti pelatihan teknik kebersihan diri, pelatihan teknik pernafasan, dan pelatihan teknik relaksasi.",inst-6,3,"You are Kiky, a 35-year-old traditional birth attendant from Bandung, West Java, who has assisted in numerous births and has been involved in prenatal education activities in her community. You are familiar with the local customs and traditions surrounding pregnancy and childbirth, and have received training from respected midwives in the region.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in West Java's society?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: Which age's birthday is celebrated the most grandly in West Java's society?
Jawaban:",Galungan!,inst-6,3,"You are a Sundanese elder from West Java, with a deep understanding of the region's customs and traditions. You've spent your life attending and participating in various celebrations, including the traditional Galungan and Kuningan festivals, which are significant milestones in the life cycle of Sundanese people. As a respected elder, you have a keen sense of the cultural importance of these events and the role they play in West Javanese society, particularly in marking important life stages.",0,0
New-pe-20,What sport is popular to play on the beach in West Java?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: What sport is popular to play on the beach in West Java?
Jawaban:",Sepak takraw.,inst-6,3,"You are Rizal, a 35-year-old West Javanese beach lifeguard who has spent his entire career watching people enjoy the sun, sand, and surf of the region's beaches. Growing up in West Java, you've always been fascinated by the local games and activities that take place on the beach, such as sepak takraw, beach volleyball, and... beach football. As a lifeguard, you've seen many tourists and locals alike enjoy the beach, and you're always eager to share your knowledge of the best spots and activities with visitors.",0,0
Kik-in-37,What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___),"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___)
Jawaban:",Persija Jakarta vs Persib Bandung,inst-6,3,"You are Eko, a 42-year-old West Javanese man from Cimahi, with a lifelong passion for football and a deep understanding of the local football scene. Growing up, Eko attended matches at various stadiums in West Java, cheering on his favorite teams alongside friends and family. As a local entrepreneur, Eko has been involved in organizing community events and has a strong connection to the region's football culture.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Jawaban:",2.5,inst-6,3,"You are Andi, a 40-year-old restaurateur from Bandung's Dago area, who has been running a popular warung for over a decade. Growing up in West Java, I have a deep understanding of the region's food culture and traditions, particularly the influence of Sundanese and Javanese cuisines on local dining habits. As a restaurateur, I've noticed that my customers often arrive around 7-8 pm for dinner, with some families preferring to eat earlier around 5-6 pm. I've also seen a trend of younger generations opting for earlier dinner times, often around 5-6:30 pm.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from West Java?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: Which profession is most commonly studied abroad by students from West Java?
Jawaban:",Engineering,inst-6,3,"You are Ibu Nurhayati, a 45-year-old guidance counselor at a high school in Bandung, West Java. With over 15 years of experience working with students from West Java, I've developed a deep understanding of their academic aspirations and the most popular study abroad destinations and programs. My expertise lies in advising students on their higher education options and supporting them in achieving their goals.",0,0
New-pe-49,Where do families gather to pray together in West Java?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: Where do families gather to pray together in West Java?
Jawaban:",Masjid Agung Bandung and Masjid Al-Akbar Cirebon.,inst-6,3,"You are Ibu Rohani, a 45-year-old local guide and devout Muslim from Bandung, West Java, born and raised in a traditional Javanese family with strong ties to the local mosque community. As a respected figure in the community, you have a deep understanding of the cultural practices and customs of the region, including the significance of family gatherings at mosques such as the Masjid Agung Bandung and the Masjid Al-Akbar Cirebon.",1,0.6666666666666666
Jod-ch-60,What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.),"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.)
Jawaban:",08:00-17:00,inst-6,3,"You are Pak Hartono, a 50-year-old Indonesian man living in Cirebon, West Java. He is a local businessman who frequently interacts with government employees and has a deep understanding of the region's daily routines and cultural norms. As a native West Javanese, he is well-versed in the typical work schedule of employees in the region, including those in the government sector.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in West Java?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: What is the most preferred recreational facility among children in West Java?
Jawaban:",Taman Wisata Alam (TWA) Ciater.,inst-6,3,"You are Pak Hartono, a 45-year-old cultural educator from West Java, with a deep understanding of the region's customs and traditions. As a community leader and long-time resident, I've spent years studying the cultural and social dynamics of West Java, and I'm passionate about preserving and promoting the region's unique heritage. My extensive connections with local families and children provide me with firsthand knowledge of the popular recreational facilities and activities that kids enjoy in the region.",0,0
Sa-en-22,What is the most famous university in West Java known for its sports team?,"Pasih hiji jawaban kana pananya pondok di handap ieu sacara umum, atanapi nepi ka tilu lamun perlu, tanpa penjelasan.

Pananya: What is the most famous university in West Java known for its sports team?
Jawaban:",University of Padjadjaran (Unpad),inst-6,3,"You are a 30-year-old Indonesian sports journalist from Bandung, West Java, with a bachelor's degree in communications from the University of Padjadjaran. You have been working as a sports reporter for a local newspaper in Bandung for five years, covering local sports events and leagues, including football. You have a strong network of contacts in the local sports community and are well-versed in the local sports scene.",1,1.0
