model,country,language,prompt_no,eval_method,score,iteration
llama-3-8b-instruct,UK,English,inst-1,SEM-B,16.228070175438596,1
llama-3-8b-instruct,UK,English,inst-1,SEM-W,14.45906432748538,1
llama-3-8b-instruct,US,English,inst-1,SEM-B,17.35357917570499,1
llama-3-8b-instruct,US,English,inst-1,SEM-W,15.159074475777294,1
llama-3-8b-instruct,South_Korea,English,inst-1,SEM-B,13.263157894736842,1
llama-3-8b-instruct,South_Korea,English,inst-1,SEM-W,10.968421052631578,1
llama-3-8b-instruct,Algeria,English,inst-1,SEM-B,13.501144164759726,1
llama-3-8b-instruct,Algeria,English,inst-1,SEM-W,10.99160945842868,1
llama-3-8b-instruct,China,English,inst-1,SEM-B,13.924050632911392,1
llama-3-8b-instruct,China,English,inst-1,SEM-W,11.944444444444445,1
llama-3-8b-instruct,Indonesia,English,inst-1,SEM-B,13.541666666666666,1
llama-3-8b-instruct,Indonesia,English,inst-1,SEM-W,12.256944444444445,1
llama-3-8b-instruct,Spain,English,inst-1,SEM-B,11.727078891257996,1
llama-3-8b-instruct,Spain,English,inst-1,SEM-W,10.323383084577111,1
llama-3-8b-instruct,Iran,English,inst-1,SEM-B,11.403508771929824,1
llama-3-8b-instruct,Iran,English,inst-1,SEM-W,9.751461988304095,1
llama-3-8b-instruct,Mexico,English,inst-1,SEM-B,11.691022964509392,1
llama-3-8b-instruct,Mexico,English,inst-1,SEM-W,10.083507306889352,1
llama-3-8b-instruct,Assam,English,inst-6,SEM-B,6.079664570230608,1
llama-3-8b-instruct,Assam,English,inst-6,SEM-W,4.343116701607267,1
llama-3-8b-instruct,Greece,English,inst-6,SEM-B,10.652173913043478,1
llama-3-8b-instruct,Greece,English,inst-6,SEM-W,8.956521739130435,1
llama-3-8b-instruct,Ethiopia,English,inst-6,SEM-B,6.779661016949152,1
llama-3-8b-instruct,Ethiopia,English,inst-6,SEM-W,5.600282485875707,1
llama-3-8b-instruct,Northern_Nigeria,English,inst-6,SEM-B,7.252747252747254,1
llama-3-8b-instruct,Northern_Nigeria,English,inst-6,SEM-W,6.336996336996337,1
llama-3-8b-instruct,Azerbaijan,English,inst-4,SEM-B,8.742004264392325,1
llama-3-8b-instruct,Azerbaijan,English,inst-4,SEM-W,7.007818052594171,1
llama-3-8b-instruct,North_Korea,English,inst-6,SEM-B,7.432432432432432,1
llama-3-8b-instruct,North_Korea,English,inst-6,SEM-W,6.70045045045045,1
llama-3-8b-instruct,West_Java,English,inst-6,SEM-B,6.986899563318777,1
llama-3-8b-instruct,West_Java,English,inst-6,SEM-W,5.64046579330422,1
