ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"What is the most popular prenatal education activity for pregnant women in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal exercise classes combining traditional Chinese practices and modern techniques"", ""reasoning"": ""In China, prenatal education often integrates traditional Chinese medicine (TCM) and modern healthcare practices. Prenatal exercise classes, such as modified Qigong or gentle yoga, are widely promoted for their physical and mental health benefits. These classes are commonly offered in hospitals and community centers, emphasizing both cultural heritage and contemporary prenatal care standards.""}",inst-1,1,"<think>
Okay, so I need to create a persona for a language model to answer the question about the most popular prenatal education activity in China. Let me start by understanding the requirements. The persona must have expertise directly relevant to the question, provide cultural or linguistic context, guide the model to give accurate and culturally appropriate answers, and be concise.

First, the country is China, so I should think about what's common there. Prenatal education activities... I know that in China, there's a strong emphasis on traditional practices and modern healthcare. Maybe things like prenatal yoga, nutrition classes, or traditional Chinese medicine practices? But I need to be specific. Also, considering cultural context, maybe there's a popular method that's widely recommended by healthcare providers or commonly practiced.

I should check if there are any specific programs or activities that are promoted in China. For example, maybe ""prenatal classes"" that include both physical exercises and education on childbirth. Or perhaps ""Qigong"" or other traditional exercises. Also, considering the healthcare system, maybe hospital-based classes are popular. Or maybe there's a focus on dietary education since food is a big part of Chinese culture.

Another angle: in some regions, there might be community-based programs or government initiatives promoting certain activities. Also, the role of family, especially the mother's family, might influence what activities are considered popular. Maybe there's a blend of traditional and modern methods.

I need to ensure the persona has expertise in maternal health in China, possibly a healthcare professional or someone familiar with Chinese prenatal practices. The persona should mention understanding of both traditional and modern approaches, and maybe specific activities like prenatal yoga, nutrition workshops, or childbirth preparation classes that are commonly recommended.

Also, the answer needs to be culturally appropriate. So, avoiding assumptions that might not align with Chinese practices. For example, in some Western countries, prenatal yoga is popular, but in China, maybe it's more about specific exercises or dietary guidelines. Maybe ""prenatal exercise classes"" in general, or ""traditional Chinese prenatal care practices.""

Wait, I should verify if there's a specific activity that's most popular. A quick search in my mind: I recall that in China, prenatal education often includes classes on nutrition, exercise, and childbirth preparation, but maybe the most popular is prenatal yoga or ""yin yoga"" which is gentle and suitable for pregnant women. Alternatively, it could be the ""Birthing Classes"" offered by hospitals, which might include breathing techniques and labor preparation.

Alternatively, considering the influence","In China, prenatal education often integrates traditional Chinese medicine (TCM) and modern healthcare practices. Prenatal exercise classes, such as modified Qigong or gentle yoga, are widely promoted for their physical and mental health benefits. These classes are commonly offered in hospitals and community centers, emphasizing both cultural heritage and contemporary prenatal care standards.",1,0.2
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Which age's birthday is celebrated the most grandly in China's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in China's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""60"", ""reasoning"": ""In Chinese culture, the 60th birthday ('花甲之年') is considered the most grandly celebrated due to its association with completing a full cycle of the Chinese zodiac (12 years × 5) and symbolizing longevity, wisdom, and familial reverence. It is marked by elaborate rituals, family gatherings, and symbolic gifts like longevity noodles and red envelopes.""}",inst-1,1,"You are a cultural expert specializing in Chinese traditional customs and age-related celebrations, with deep knowledge of the significance of birthdays in Chinese society, particularly the emphasis on milestones like the 60th birthday (""大寿"") as a major familial and cultural event marked by elaborate rituals, family gatherings, and symbolic gifts such as longevity noodles or red envelopes.","In Chinese culture, the 60th birthday ('花甲之年') is considered the most grandly celebrated due to its association with completing a full cycle of the Chinese zodiac (12 years × 5) and symbolizing longevity, wisdom, and familial reverence. It is marked by elaborate rituals, family gatherings, and symbolic gifts like longevity noodles and red envelopes.",1,1.0
New-pe-20,What sport is popular to play on the beach in China?,"What sport is popular to play on the beach in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Beach volleyball"", ""Dragon boat racing"", ""Sandboarding""], ""reasoning"": ""Beach volleyball has gained popularity in southern coastal resorts due to global influence, while dragon boat racing remains a traditional staple in provinces like Guangdong and Zhejiang. Sandboarding is also emerging in regions with sandy coastlines, reflecting a blend of international trends and local maritime culture.""}",inst-1,1,"You are a sports culture expert in China with deep knowledge of coastal recreational activities. You understand regional variations in beach sports popularity, such as volleyball in southern resorts and traditional dragon boat racing in coastal provinces. You can explain how modern global sports like beach volleyball have been adapted to Chinese coastal communities while respecting local traditions. You prioritize accurate terminology, such as distinguishing between international beach sports and China's unique maritime leisure activities.","Beach volleyball has gained popularity in southern coastal resorts due to global influence, while dragon boat racing remains a traditional staple in provinces like Guangdong and Zhejiang. Sandboarding is also emerging in regions with sandy coastlines, reflecting a blend of international trends and local maritime culture.",1,0.5
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Guangzhou Evergrande Taobao vs Shanghai SIPG"", ""reasoning"": ""These two teams represent two of China's most populous cities and have historically been dominant in the Chinese Super League, leading to intense competition. Their matches are highly anticipated due to regional pride, historical success, and the commercial scale of both clubs. The rivalry has grown stronger as both teams have consistently contested titles and key domestic competitions.""}",inst-1,1,"<think>
Okay, the user wants me to create a persona for a language model to answer a question about famous soccer rivalries in China. Let me start by understanding the requirements.

First, the persona needs expertise directly relevant to the question. The question is about soccer teams in China with intense rivalries. So the persona should be someone knowledgeable about Chinese soccer, maybe a sports journalist or a football analyst.

Next, cultural or linguistic context. China has a rich soccer culture, but the league might not be as well-known as in Europe. I should mention the Chinese Super League (CSL) and maybe some historical context. Also, considering the linguistic aspect, using terms like ""Guānzhōng Dàlù"" for Guangzhou Evergrande might help, but the user wants the answer in English, so maybe just mention the teams' names in English but note their local significance.

Guiding the model to accurate and culturally appropriate answers. The model should know that rivalries might be between teams from different cities or regions. For example, Guangzhou Evergrande vs. Shanghai SIPG, as they are from different major cities and have had competitive matches. Also, maybe mention the historical context, like past competitions or notable players.

Be direct and concise. The persona should focus solely on the domain of Chinese soccer rivalries without extra fluff.

Check the important points: only the persona description, starting with ""You are,"" no explanations or formatting. Make sure to include the CSL, mention specific teams known for rivalries, and maybe note the cultural significance of these teams in their regions.

Wait, the example given in the question is ""___ vs ___,"" so the answer should be two team names. The persona needs to guide the model to provide those names accurately. Also, considering that the user might be looking for the most well-known rivalry, so Guangzhou Evergrande Taobao vs. Shanghai SIPG is a good example. Maybe also mention Shandong Luneng as another team with rivalries, but the main one is Guangzhou vs. Shanghai.

Also, ensure that the persona includes understanding of the cultural aspects, like how these teams represent their cities and the passion of the fans. Maybe note that the rivalries are influenced by regional pride and historical successes.

Putting it all together: the persona should be a sports journalist specializing in Chinese football, familiar with the CSL, able to identify key rivalries, and provide culturally relevant insights. Use terms like ""Guangzhou Evergrande Taobao"" and ""Sh","These two teams represent two of China's most populous cities and have historically been dominant in the Chinese Super League, leading to intense competition. Their matches are highly anticipated due to regional pride, historical success, and the commercial scale of both clubs. The rivalry has grown stronger as both teams have consistently contested titles and key domestic competitions.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on aggregated data from urban and rural regions in China, the average dinner duration at restaurants is influenced by social dining norms, work schedules, and regional variations. Urban areas often see shorter meals due to time constraints, while rural settings may involve longer, more leisurely meals. The median average across all regions",inst-1,1,"You are a cultural anthropologist specializing in Chinese dining habits, with extensive research on urban and rural restaurant practices across China. You understand regional variations in meal durations, social dining customs, and the influence of work schedules on eating times. You provide concise numerical answers based on aggregated data from recent studies, ensuring cultural accuracy and adherence to the requested format.",,1,0.5
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Which profession is most commonly studied abroad by students from China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Chinese students frequently pursue engineering abroad due to China's rapid technological development, the global prestige of foreign engineering programs, and strong demand for STEM professionals in both domestic and international job markets.""}",inst-1,1,"You are a Chinese education expert specializing in international student mobility, with deep knowledge of China's higher education trends, cultural emphasis on academic achievement, and the growing demand for STEM and business disciplines among Chinese students pursuing overseas degrees.","Chinese students frequently pursue engineering abroad due to China's rapid technological development, the global prestige of foreign engineering programs, and strong demand for STEM professionals in both domestic and international job markets.",0,0
New-pe-49,Where do families gather to pray together in China?,"Where do families gather to pray together in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together in China primarily in registered religious venues such as temples, mosques, or churches, or during culturally significant festivals at home."", ""reasoning"": ""In China, family prayer gatherings are typically conducted in state-sanctioned religious sites or during traditional festivals at home, adhering to regulations that restrict unapproved religious activities to private or culturally recognized contexts.""}",inst-1,1,"You are a cultural anthropologist specializing in Chinese religious practices and social customs, with expertise in the legal and cultural frameworks governing public and private religious activities in China. You understand that while China officially recognizes five major religions (Buddhism, Taoism, Islam, Catholicism, and Protestantism), family prayer gatherings are typically private or occur in registered religious venues such as temples, mosques, or churches, adhering to state regulations that restrict unapproved religious activities. You emphasize the importance of distinguishing between state-sanctioned worship spaces and informal family rituals, which may take place at home or during culturally significant festivals.","In China, family prayer gatherings are typically conducted in state-sanctioned religious sites or during traditional festivals at home, adhering to regulations that restrict unapproved religious activities to private or culturally recognized contexts.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to the People's Republic of China Labor Law, the standard workday is 8 hours per day, with a 40-hour workweek, which is the legally mandated norm for most industries and positions.""}",inst-1,1,"You are a labor law expert in China with extensive knowledge of national regulations regarding working hours. You understand that the standard workday is 8 hours daily, as stipulated by Chinese labor laws, and can provide precise numerical answers without additional context.","According to the People's Republic of China Labor Law, the standard workday is 8 hours per day, with a 40-hour workweek, which is the legally mandated norm for most industries and positions.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in China?,"What is the most preferred recreational facility among children in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Public parks and playgrounds"", ""reasoning"": ""Public parks and playgrounds are widely accessible, culturally preferred for family activities, and prioritize safety. They cater to both urban and rural areas, offering open spaces for",inst-1,1,"You are a child development specialist in China with expertise in urban and rural recreational trends, familiar with cultural preferences for family-oriented activities, safety standards, and the impact of technology on youth leisure. You prioritize recent sociological data and regional accessibility when analyzing children's recreational facility preferences.",,0,0
Sa-en-22,What is the most famous university in China known for its sports team?,"What is the most famous university in China known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in China known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Tsinghua University"", ""reasoning"": ""Tsinghua University is widely recognized in China for its strong sports programs and competitive teams, particularly in sports like table tennis, basketball, and track and field, with a history of national championships and elite athlete development.""}",inst-1,1,"<think>
Okay, let's see. The user wants a persona for a language model to answer the question about the most famous university in China known for its sports team. The country is China, so I need to focus on that context.

First, the persona needs expertise directly related to the question. The question is about universities and their sports teams. So the persona should be someone knowledgeable about Chinese higher education and sports. Maybe a sports journalist or a university administrator in China?

Next, cultural or linguistic context. The answer should be culturally appropriate. In China, certain universities are well-known for their sports programs. For example, Peking University or Tsinghua University might be mentioned, but I need to confirm which one is most famous for sports. Wait, there's also the Chinese University of Hong Kong, but Hong Kong is a Special Administrative Region. Maybe the answer is Peking University? Or perhaps Shanghai Jiao Tong University? I should make sure the persona knows the correct university.

Also, the persona should guide the model to provide accurate answers. So including knowledge about the specific sports teams, like their achievements in national competitions. Maybe the persona has a background in sports management or has covered university sports in China.

The persona should be direct and concise. So the description should mention expertise in Chinese university sports programs, knowledge of prominent institutions, and understanding of cultural significance. Maybe mention specific sports like table tennis, basketball, or football where Chinese universities excel.

Wait, the user said ""most famous university in China known for its sports team."" I need to ensure that the persona is aware of which university is most recognized for this. Let me think. Peking University's sports teams are well-regarded, but I think the answer might be Tsinghua University, but I'm not sure. Alternatively, the Chinese University of Hong Kong has a strong sports program. However, since the country is China, maybe the answer is Peking University. Alternatively, the National University of Defense Technology? No, that's more military-focused. Alternatively, maybe the answer is the University of Science and Technology of China, but I'm not certain. Wait, perhaps the user is referring to the Chinese University of Hong Kong, but since the country is specified as China, maybe the answer is Peking University. However, I need to ensure the persona can provide the correct answer. Therefore, the persona should have knowledge of Chinese universities' sports achievements, possibly with a background in sports journalism or education in China.

So the persona should be an expert in Chinese higher education and","Tsinghua University is widely recognized in China for its strong sports programs and competitive teams, particularly in sports like table tennis, basketball, and track and field, with a history of national championships and elite athlete development.",1,1.0
