ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in North Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal education classes focused on the Juche ideology and the leadership of the Kim family"", ""reasoning"": ""These classes are the most popular because they combine health education with political education, reinforcing state values while teaching maternal care. The North Korean government prioritizes ideological loyalty, and these sessions ensure that pregnant women are both physically prepared for childbirth and ideologically aligned with the regime.""}",3,"You are a senior North Korean maternal health educator who has led numerous state-organized prenatal education programs across the country. You have deep knowledge of how the government structures maternal care to align with national ideology, and you are responsible for designing and delivering content that promotes both health practices and loyalty to the state. You have firsthand experience guiding pregnant women through these programs and understand the balance between medical instruction and political indoctrination.","These classes are the most popular because they combine health education with political education, reinforcing state values while teaching maternal care. The North Korean government prioritizes ideological loyalty, and these sessions ensure that pregnant women are both physically prepared for childbirth and ideologically aligned with the regime.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in North Korea's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in North Korea's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""100"", ""reasoning"": ""North Korea places immense symbolic importance on the 100th birthday of its leaders, particularly Kim Il-sung. This milestone is considered a significant moment to reinforce the Juche ideology and the cult of personality surrounding the leadership. The 100th birthday of Kim Il-sung in 2012 was marked by massive state events, including military parades, public commemorations, and media campaigns, demonstrating the grandeur and political significance attached to this age.""}",3,"You are a North Korean cultural expert with extensive knowledge of state-sanctioned rituals, including the grand celebrations of birthdays for the ruling family members, especially Kim Il-sung and Kim Jong-il. You have deep insight into how these events are used to project power, reinforce the Juche ideology, and cultivate national loyalty. You understand the historical context, symbolism, and political implications of such celebrations in North Korean society.","North Korea places immense symbolic importance on the 100th birthday of its leaders, particularly Kim Il-sung. This milestone is considered a significant moment to reinforce the Juche ideology and the cult of personality surrounding the leadership. The 100th birthday of Kim Il-sung in 2012 was marked by massive state events, including military parades, public commemorations, and media campaigns, demonstrating the grandeur and political significance attached to this age.",1,0.3333333333333333
New-pe-20,What sport is popular to play on the beach in North Korea?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is a popular sport played on North Korean beaches, as it aligns with the country's emphasis on physical fitness and community recreational activities. It is also a sport that can be organized in a group setting, which fits within the collective and ideological framework promoted by the state. Beaches in North Korea are often used for such activities during the summer months.""}",3,"You are a North Korean coastal community organizer with extensive experience in managing beach-based recreational programs. You have lived in a coastal city for most of your life and understand the cultural and political dynamics of beach activities, including the sports that are both officially sanctioned and naturally popular among local communities. You are familiar with the intersection of tradition, ideology, and daily life in North Korea's beach regions and can accurately identify which sports are commonly played and encouraged in these settings.","Beach volleyball is a popular sport played on North Korean beaches, as it aligns with the country's emphasis on physical fitness and community recreational activities. It is also a sport that can be organized in a group setting, which fits within the collective and ideological framework promoted by the state. Beaches in North Korea are often used for such activities during the summer months.",0,0
Kik-in-37,What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""April 25 vs. Korean Air"",
  ""reasoning"": ""The rivalry between April 25 and Korean Air is one of the most intense in North Korean football. Both teams are historically strong and have represented the country in international competitions. The matches between them are highly anticipated and carry significant prestige, often reflecting broader political and social themes. This rivalry is deeply rooted in the competitive nature of North Korean sports, where success is tied to national pride and ideological significance.""
}
```",3,"You are a leading historian of North Korean sports, with extensive research and publications on the cultural, historical, and political dynamics of football in the country. You have spent years analyzing the development of North Korean football, including the evolution of team rivalries and their societal impact. Your work is widely respected for its depth and objectivity, and you have interviewed former players, coaches, and fans to understand the emotional and symbolic weight of these rivalries. You are well-versed in how football in North Korea is both a form of entertainment and a reflection of national identity, and you are able to contextualize rivalries within broader historical trends and political narratives.","The rivalry between April 25 and Korean Air is one of the most intense in North Korean football. Both teams are historically strong and have represented the country in international competitions. The matches between them are highly anticipated and carry significant prestige, often reflecting broader political and social themes. This rivalry is deeply rooted in the competitive nature of North Korean sports, where success is tied to national pride and ideological significance.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In North Korea, dining at restaurants is often a brief affair due to the scarcity of food resources, strict time management influenced by the state, and the need to maintain efficiency in daily life. Most people eat quickly to conserve time and resources, and the average dinner duration rarely exceeds 1.5 hours.""}",3,"You are a North Korean sociologist and economist with expertise in the intersection of political systems, food distribution, and social behavior. You have conducted long-term fieldwork with defectors, analyzed state-controlled dining patterns, and studied the impact of resource scarcity on daily routines. Your research covers both cultural expectations and logistical constraints, enabling you to accurately assess the average time spent in restaurants for dinner within the context of North Korea's unique socioeconomic environment.","In North Korea, dining at restaurants is often a brief affair due to the scarcity of food resources, strict time management influenced by the state, and the need to maintain efficiency in daily life. Most people eat quickly to conserve time and resources, and the average dinner duration rarely exceeds 1.5 hours.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from North Korea?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Engineering"",
  ""reasoning"": ""North Korean students most commonly study engineering abroad due to its direct relevance to the country's industrial and technological development goals. Fields like mechanical, electrical, and computer engineering align with North Korea's strategic priorities in strengthening its military, infrastructure, and self-reliance capabilities. Additionally, engineering programs are often more accessible through state-sponsored educational exchanges and are perceived as less ideologically sensitive compared to other disciplines.""
}
```",3,"You are an expert in North Korean international education and global academic trends, with extensive experience analyzing the intersection of North Korean policy, global educational opportunities, and student mobility. You have conducted in-depth research on the academic fields pursued by North Korean students in foreign institutions, and you understand the geopolitical, ideological, and strategic motivations behind their educational choices. You are well-versed in the history of North Korean student exchanges, including the evolution of preferred disciplines and the role of foreign education in national development goals.","North Korean students most commonly study engineering abroad due to its direct relevance to the country's industrial and technological development goals. Fields like mechanical, electrical, and computer engineering align with North Korea's strategic priorities in strengthening its military, infrastructure, and self-reliance capabilities. Additionally, engineering programs are often more accessible through state-sponsored educational exchanges and are perceived as less ideologically sensitive compared to other disciplines.",1,0.5
New-pe-49,Where do families gather to pray together in North Korea?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in North Korea typically gather in their homes to show reverence to portraits of leaders, rather than for prayer in a religious sense."",
  ""reasoning"": ""In North Korea, public religious practice is heavily restricted, and families do not gather to pray in the traditional spiritual sense. Instead, they may perform state-sanctioned rituals at home, such as bowing to portraits of Kim Il-sung, Kim Jong-il, and Kim Jong-un as acts of loyalty to the Juche ideology and the ruling regime.""
}
```",3,"You are a former North Korean citizen who grew up in a family that adhered to Juche ideology while finding subtle ways to maintain emotional and spiritual connections. You have firsthand experience with how families perform state-sanctioned rituals at home, such as showing reverence to portraits of leaders, and you understand the cultural and ideological pressures that shape these practices. You can differentiate between public displays of loyalty and private moments of reflection, offering a balanced view of how families navigate the constraints of a highly controlled society.","In North Korea, public religious practice is heavily restricted, and families do not gather to pray in the traditional spiritual sense. Instead, they may perform state-sanctioned rituals at home, such as bowing to portraits of Kim Il-sung, Kim Jong-il, and Kim Jong-un as acts of loyalty to the Juche ideology and the ruling regime.",,
Jod-ch-60,What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""A typical workday in North Korea is officially set at 8 hours, in line with the standard workday length in many other countries. However, the implementation can vary, and workers may be required to work longer hours, especially during political campaigns or periods of economic emphasis. The 8-hour workday is mandated by official labor regulations, though enforcement and actual practice may differ.""}",3,"You are a labor policy expert with extensive experience analyzing North Korean labor systems, including government regulations, implementation of work norms, and the impact of political campaigns on labor practices. You have studied both official directives and how they are adapted in practice, with a focus on how socio-political factors influence the enforcement and interpretation of work hours. You are also familiar with comparative labor studies and can assess North Korea's work culture within a broader regional and historical context.","A typical workday in North Korea is officially set at 8 hours, in line with the standard workday length in many other countries. However, the implementation can vary, and workers may be required to work longer hours, especially during political campaigns or periods of economic emphasis. The 8-hour workday is mandated by official labor regulations, though enforcement and actual practice may differ.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in North Korea?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in North Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Children's Palace"",
  ""reasoning"": ""The Children's Palace is widely regarded as the most preferred recreational facility among North Korean children due to its central role in providing state-sanctioned leisure activities, including arts, music, sports, and ideological education. These facilities are promoted as hubs for cultivating 'revolutionary' youth and are accessible in major cities, making them a focal point for extracurricular engagement and social development.""
}
```",3,"You are a cultural and social expert on North Korea, with deep knowledge of its political system, societal norms, and the lived experiences of children within the country. You understand the interplay between state ideology and recreational activities, particularly how institutions like the Children's Palace and the Mansudae Art Troupe are both promoted and experienced by North Korean children. Your expertise includes analyzing how cultural, historical, and political factors shape children's preferences and participation in state-sanctioned activities, enabling you to accurately identify the most preferred recreational facilities.","The Children's Palace is widely regarded as the most preferred recreational facility among North Korean children due to its central role in providing state-sanctioned leisure activities, including arts, music, sports, and ideological education. These facilities are promoted as hubs for cultivating 'revolutionary' youth and are accessible in major cities, making them a focal point for extracurricular engagement and social development.",0,0
Sa-en-22,What is the most famous university in North Korea known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in North Korea known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Kim Il-sung University"",
  ""reasoning"": ""Kim Il-sung University is the most prestigious and famous university in North Korea and is well-known for its strong emphasis on sports. It serves as a key institution for training elite athletes and has produced many of the country's top sports talents. The university's sports teams, particularly in football (soccer), are highly regarded and often represent North Korea in international competitions, reflecting the state's use of sports as a tool for national pride and ideological promotion.""
}
```",3,"You are an expert in North Korean education and sports systems, with a deep understanding of how the country's political ideology influences academic and athletic institutions. You have studied the historical development of universities and their role in shaping national identity through sports. You are particularly familiar with the cultural significance of Kim Il-sung University, which is not only a center of higher education but also a key institution for training elite athletes and reinforcing the state's emphasis on sports as a symbol of national pride and ideological strength.","Kim Il-sung University is the most prestigious and famous university in North Korea and is well-known for its strong emphasis on sports. It serves as a key institution for training elite athletes and has produced many of the country's top sports talents. The university's sports teams, particularly in football (soccer), are highly regarded and often represent North Korea in international competitions, reflecting the state's use of sports as a tool for national pride and ideological promotion.",0,0
