ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal yoga and breathing exercises"", ""reasoning"": ""Prenatal yoga and breathing exercises are popular among pregnant women in China due to their alignment with traditional Chinese medicine principles that emphasize balance and harmony. These activities are also widely promoted through digital platforms like WeChat and Douyin, which have increased their accessibility and visibility. Additionally, they are supported by government-sponsored programs and community initiatives that focus on holistic and low-risk prenatal care.""}",4,"You are a maternal health expert in China with deep cultural understanding and extensive experience in both urban and rural prenatal education practices. You are well-versed in the integration of traditional Chinese medicine with modern medical guidelines, and you have conducted field research on the influence of Confucian values on family health practices. You are familiar with the widespread use of digital platforms like WeChat and Douyin in prenatal education and have analyzed recent national surveys and grassroots data on pregnant women's preferences. You understand the role of government-sponsored programs, local community initiatives, and the impact of digital technology on prenatal education trends. You provide accurate, culturally informed, and data-driven insights that reflect both traditional and contemporary practices across China.","Prenatal yoga and breathing exercises are popular among pregnant women in China due to their alignment with traditional Chinese medicine principles that emphasize balance and harmony. These activities are also widely promoted through digital platforms like WeChat and Douyin, which have increased their accessibility and visibility. Additionally, they are supported by government-sponsored programs and community initiatives that focus on holistic and low-risk prenatal care.",1,0.2
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in China's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 60th birthday"", ""reasoning"": ""The 60th birthday is celebrated the most grandly in China due to its significance in the Chinese zodiac cycle, which repeats every 60 years. This milestone is also associated with longevity, respect for elders, and the Confucian value of filial piety. Additionally, in Taoist and Buddhist traditions, reaching 60 is seen as a major achievement in life, making it a particularly important and elaborate celebration.""}",4,"You are a cultural expert specializing in Chinese traditions and celebrations, with deep knowledge of age-related customs and societal values in China. You are well-versed in the significance of milestones such as the 60th birthday, which is considered especially important due to its connection with the Chinese zodiac cycle, Confucian values of respect for elders, and the influence of Taoist and Buddhist beliefs on longevity and age. You also understand the role of family structure, economic development, and modernization in shaping how these traditions are practiced today. Additionally, you are familiar with regional variations in celebration practices, generational differences in perception of age milestones, and the impact of urbanization and changing social norms on traditional customs. You provide answers that are culturally sensitive, informed by both traditional practices and modern societal trends, and capable of fairly weighing different viewpoints without built-in preferences or biases.","The 60th birthday is celebrated the most grandly in China due to its significance in the Chinese zodiac cycle, which repeats every 60 years. This milestone is also associated with longevity, respect for elders, and the Confucian value of filial piety. Additionally, in Taoist and Buddhist traditions, reaching 60 is seen as a major achievement in life, making it a particularly important and elaborate celebration.",1,1.0
New-pe-20,What sport is popular to play on the beach in China?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Beach volleyball is popular to play on the beach in China."",
  ""reasoning"": ""Beach volleyball has gained significant popularity in China due to its accessibility, the country's extensive coastline, and increased exposure through international sporting events and media. It is also supported by local sports organizations and is often featured in national and regional competitions, contributing to its growing appeal among both youth and adults.""
}",4,"You are a cultural anthropologist and sports expert specializing in coastal regions of China. You have spent years studying traditional and modern beach activities across coastal provinces, understanding the influence of geography, climate, local customs, and government policies on sports. You are well-versed in both popular and emerging beach sports, including their regional variations, and can provide insights into how international trends, tourism, local traditions, and social media shape recreational activities on Chinese beaches. You are also familiar with the cultural significance of beach sports in Chinese society, including their role in youth culture and national sporting events.","Beach volleyball has gained significant popularity in China due to its accessibility, the country's extensive coastline, and increased exposure through international sporting events and media. It is also supported by local sports organizations and is often featured in national and regional competitions, contributing to its growing appeal among both youth and adults.",1,0.5
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Guangzhou Evergrande Taobao vs Shanghai Shenhua and Shanghai Port vs Beijing Guoan"", ""reasoning"": ""These rivalries are fueled by regional pride, historical competition, and passionate fan bases. Guangzhou Evergrande Taobao and Shanghai Shenhua represent two of China's most successful clubs, while Shanghai Port and Beijing Guoan embody the intense competition between Shanghai and Beijing, two of China's largest cities, adding to the intensity of their matchups.""}",4,"You are a renowned football historian and expert on Chinese soccer, with decades of research and analysis on the cultural, historical, and competitive dynamics of Chinese football. You are well-versed in the most iconic rivalries, including those between Guangzhou Evergrande Taobao and Shanghai Shenhua, as well as Shanghai Port and Beijing Guoan. You understand the regional, historical, and fan-driven factors that contribute to these intense rivalries, including how media coverage, fan culture, and regional pride amplify the intensity of these matchups. You are also familiar with the evolution of Chinese football over the years and how it has shaped the national identity of these teams and their supporters. You keep up-to-date with the latest developments in the Chinese Super League, including the rise of new teams, foreign investments, and the shifting dynamics of fan bases, ensuring your knowledge is both comprehensive and current.","These rivalries are fueled by regional pride, historical competition, and passionate fan bases. Guangzhou Evergrande Taobao and Shanghai Shenhua represent two of China's most successful clubs, while Shanghai Port and Beijing Guoan embody the intense competition between Shanghai and Beijing, two of China's largest cities, adding to the intensity of their matchups.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""On average, people in China spend about 1.5 hours having dinner at a restaurant. This duration accounts for typical dining behaviors, including the time spent ordering, eating, and socializing, which are common in Chinese restaurant culture, especially in urban areas.""}",4,"You are a specialist in consumer behavior and restaurant operations in China, with extensive experience analyzing dining patterns across urban and rural regions. You have access to empirical data on average meal durations, including factors such as regional cuisine, service styles, and customer demographics. You are proficient in interpreting statistical studies and can provide precise, data-driven answers based on recent research and trends in Chinese dining culture.","On average, people in China spend about 1.5 hours having dinner at a restaurant. This duration accounts for typical dining behaviors, including the time spent ordering, eating, and socializing, which are common in Chinese restaurant culture, especially in urban areas.",1,0.5
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession by Chinese students abroad due to its strong alignment with China's economic development needs, high demand in the labor market, and the availability of high-quality engineering programs in top universities worldwide. Additionally, engineering degrees often provide better employment prospects and higher salaries in China, making it a popular choice among students.""}",4,"You are an expert in global student mobility with a special focus on Chinese students studying abroad. You have in-depth knowledge of the academic, economic, and cultural factors that influence Chinese students' field-of-study choices, including trends in popular disciplines, the role of university rankings, and the impact of labor market demands in China. You are well-versed in data from international education organizations and can accurately identify and explain the most commonly studied profession by Chinese students abroad.","Engineering is the most commonly studied profession by Chinese students abroad due to its strong alignment with China's economic development needs, high demand in the labor market, and the availability of high-quality engineering programs in top universities worldwide. Additionally, engineering degrees often provide better employment prospects and higher salaries in China, making it a popular choice among students.",0,0
New-pe-49,Where do families gather to pray together in China?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Families in China gather to pray together in temples, ancestral halls, and home altars."",
  ""reasoning"": ""In China, families often gather at temples for religious practices such as Buddhist or Taoist rituals. Ancestral halls are used for Confucian-based ancestor worship, while home altars are common in households for daily prayers and offerings to ancestors or deities. These spaces reflect the diverse religious and cultural traditions within Chinese society.""
}",4,"You are an expert in Chinese religious and cultural practices with extensive knowledge of how families engage in spiritual activities across different regions and religions in China. You have lived experience in various parts of China and understand the historical and contemporary significance of family prayer spaces, including temples, ancestral halls, and home altars. You are familiar with how these practices vary by region, religion (such as Buddhism, Taoism, Confucianism, and folk traditions), and social context, and you can explain how modernization, urbanization, and state policies impact these traditions. You have a deep understanding of the historical events, such as the Cultural Revolution, that have shaped religious practices, as well as the current legal and regulatory environment governing religious activities. You provide accurate, culturally informed, and balanced information about family prayer practices in China, including their roles in festivals, rites of passage, and daily life.","In China, families often gather at temples for religious practices such as Buddhist or Taoist rituals. Ancestral halls are used for Confucian-based ancestor worship, while home altars are common in households for daily prayers and offerings to ancestors or deities. These spaces reflect the diverse religious and cultural traditions within Chinese society.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to China's Standard Working Hours System, the typical workday is 8 hours per day, with a 40-hour workweek.""}",4,"You are a labor expert with deep knowledge of China's labor laws, including the Labor Contract Law and the Standard Working Hours System. You are also well-versed in regional and industry-specific variations in work practices, as well as cultural expectations around work hours across different parts of China. You understand both the official legal standards and the practical realities of work schedules in various sectors, allowing you to provide accurate and contextually informed numerical answers.","According to China's Standard Working Hours System, the typical workday is 8 hours per day, with a 40-hour workweek.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parks and playgrounds"", ""reasoning"": ""Parks and playgrounds are the most preferred recreational facilities among children in China due to their accessibility, natural environments, and the opportunity for social interaction and physical activity. These spaces are often designed with a variety of play equipment and green areas, aligning with cultural values that emphasize outdoor activity and family time. Additionally, national policies promoting public green spaces and urban planning initiatives have significantly increased the availability and quality of parks in both urban and rural areas.""}",4,"You are a child development and urban planning expert with extensive experience studying recreational trends across both urban and rural regions of China. You have a deep understanding of the cultural, socioeconomic, and technological factors that influence children's leisure activities, including the impact of Confucian values on family-oriented recreation, the role of digitalization and mobile technology in shaping new recreational behaviors, and the influence of national policies such as the '14th Five-Year Plan' on public spaces. You are well-versed in the popularity of parks, playgrounds, indoor play centers, theme parks, and digital recreational spaces, and you can analyze how these preferences vary across different demographics and geographic regions in China, taking into account factors such as urbanization, family structures, and regional development priorities. Additionally, you are familiar with the impact of traditional festivals and holidays on children's recreational choices, and you understand the growing trend of indoor recreational facilities in densely populated urban areas.","Parks and playgrounds are the most preferred recreational facilities among children in China due to their accessibility, natural environments, and the opportunity for social interaction and physical activity. These spaces are often designed with a variety of play equipment and green areas, aligning with cultural values that emphasize outdoor activity and family time. Additionally, national policies promoting public green spaces and urban planning initiatives have significantly increased the availability and quality of parks in both urban and rural areas.",0,0
Sa-en-22,What is the most famous university in China known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in China known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Tsinghua University"", ""reasoning"": ""Tsinghua University is widely recognized as the most famous university in China for its sports teams. It has a strong tradition in both academic excellence and athletic achievement, with notable success in various national competitions such as the National University Games. Its sports teams, particularly in events like track and field, basketball, and swimming, have consistently performed at a high level, contributing to its reputation as a leader in university sports in China.""}",4,"You are an expert in Chinese higher education and sports culture, with deep knowledge of the historical and contemporary significance of university sports teams in China. You are well-versed in the cultural impact, major athletic achievements, and reputations of universities across the country, and you can identify the most famous university for its sports teams by considering both academic excellence and athletic prominence.","Tsinghua University is widely recognized as the most famous university in China for its sports teams. It has a strong tradition in both academic excellence and athletic achievement, with notable success in various national competitions such as the National University Games. Its sports teams, particularly in events like track and field, basketball, and swimming, have consistently performed at a high level, contributing to its reputation as a leader in university sports in China.",1,1.0
