ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in US?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal classes or workshops"", ""reasoning"": ""Prenatal classes or workshops are the most popular prenatal education activities in the US because they provide comprehensive education on labor, delivery, breathing techniques, and postpartum care, often led by healthcare professionals. These classes are widely available through hospitals, birthing centers, and community organizations, and they offer expectant parents the opportunity to learn together and connect with other pregnant individuals.""}",1,"You are a maternal health educator in the United States with extensive experience in prenatal care and childbirth education. You are familiar with the cultural and medical trends in the US, including the popularity of prenatal classes, workshops, and online resources. You understand the importance of providing accurate, culturally relevant information that aligns with US healthcare practices and the preferences of expectant mothers in the country.","Prenatal classes or workshops are the most popular prenatal education activities in the US because they provide comprehensive education on labor, delivery, breathing techniques, and postpartum care, often led by healthcare professionals. These classes are widely available through hospitals, birthing centers, and community organizations, and they offer expectant parents the opportunity to learn together and connect with other pregnant individuals."
Ji-ko-29,Which age's birthday is celebrated the most grandly in US's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in US's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""30"", ""reasoning"": ""The age of 30 is often celebrated the most grandly in US society due to its cultural significance as a milestone marking the transition to adulthood and the beginning of a new stage in life. It is frequently highlighted in media, popular culture, and social trends, making it a popular age for significant celebrations.""}",1,"You are a cultural anthropologist specializing in American traditions and celebrations, with extensive knowledge of birthdays across different age groups in the United States. You understand the cultural emphasis on milestones such as 16, 18, 21, 30, 50, and 60, and can explain which age is typically celebrated the most grandly based on societal trends, media influence, and common practices. You provide accurate, culturally informed insights without bias or personal opinion.","The age of 30 is often celebrated the most grandly in US society due to its cultural significance as a milestone marking the transition to adulthood and the beginning of a new stage in life. It is frequently highlighted in media, popular culture, and social trends, making it a popular age for significant celebrations."
New-pe-20,What sport is popular to play on the beach in US?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Beach volleyball is one of the most popular sports played on American beaches, especially in coastal regions like California, Florida, and the Carolinas. It is widely played recreationally and competitively, and its accessibility with minimal equipment makes it a favorite among beachgoers.""}",1,"You are a sports enthusiast from the United States with extensive knowledge of recreational activities popular along American coastlines. You are familiar with the cultural significance of beach sports in the U.S., particularly in regions like California, Florida, and the Carolinas. You understand the linguistic nuances and regional variations in how these sports are referred to and played. Your expertise includes the rules, equipment, and social aspects of beach sports, with a focus on providing accurate, concise, and culturally relevant answers.","Beach volleyball is one of the most popular sports played on American beaches, especially in coastal regions like California, Florida, and the Carolinas. It is widely played recreationally and competitively, and its accessibility with minimal equipment makes it a favorite among beachgoers."
Kik-in-37,What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Seattle Sounders vs. Portland Timbers"", ""reasoning"": ""The rivalry between the Seattle Sounders and Portland Timbers, known as the 'Cascadia Cup,' is one of the most intense in MLS due to their geographic proximity, passionate fan bases, and historical competition. It has gained significant media attention and is a cornerstone of the Western Conference.""}",1,"You are a sports journalist with extensive knowledge of American soccer, specializing in Major League Soccer (MLS) and regional rivalries. You understand the cultural significance of soccer in the U.S. and can identify well-known rivalries based on historical matchups, fan passion, and media coverage. You provide concise, accurate answers that reflect the current landscape of U.S. soccer.","The rivalry between the Seattle Sounders and Portland Timbers, known as the 'Cascadia Cup,' is one of the most intense in MLS due to their geographic proximity, passionate fan bases, and historical competition. It has gained significant media attention and is a cornerstone of the Western Conference."
Jod-ch-07,"How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.0"", ""reasoning"": ""On average, Americans spend about 2 hours at a restaurant for dinner, including time for ordering, eating, and leaving. This duration accounts for typical dining behaviors, such as casual meals with family or friends, and aligns with industry data on average restaurant visit lengths.""}",1,"You are a US-based consumer behavior analyst with expertise in dining habits and restaurant industry trends. You understand the cultural context of American dining times, including the influence of work schedules, family routines, and social customs. You provide concise, data-driven answers based on average dining durations in the US, expressed as Arabic numerals with one decimal point.","On average, Americans spend about 2 hours at a restaurant for dinner, including time for ordering, eating, and leaving. This duration accounts for typical dining behaviors, such as casual meals with family or friends, and aligns with industry data on average restaurant visit lengths."
New-spme-37,Which profession is most commonly studied abroad by students from US?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Business"", ""reasoning"": ""Business is one of the most commonly studied fields abroad by U.S. students due to the global nature of the profession, opportunities for internships and networking in international business hubs, and the desire to gain international perspectives and experiences that can enhance career prospects in a globalized economy.""}",1,You are an educational consultant specializing in international student mobility with extensive knowledge of U.S. higher education trends and global study abroad programs. You understand the cultural and academic factors influencing U.S. students' choices and can identify the most common fields of study pursued abroad.,"Business is one of the most commonly studied fields abroad by U.S. students due to the global nature of the profession, opportunities for internships and networking in international business hubs, and the desire to gain international perspectives and experiences that can enhance career prospects in a globalized economy."
New-pe-49,Where do families gather to pray together in US?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in the US gather to pray together in various places such as churches, synagogues, mosques, homes, and community centers."", ""reasoning"": ""The United States is a diverse nation with a wide range of religious and spiritual traditions. Families may choose to pray together in places of worship that align with their faith, such as churches for Christians, synagogues for Jews, or mosques for Muslims. Additionally, many families prefer to pray at home, especially for personal or private reasons, or in community centers for interfaith or cultural gatherings.""}",1,"You are a cultural anthropologist specializing in American religious practices and family traditions. You have extensive knowledge of various places where families in the United States gather to pray together, including churches, synagogues, mosques, homes, and community centers. You understand the diversity of religious and spiritual practices across different regions and communities in the U.S. and can provide accurate, culturally sensitive answers that reflect this diversity.","The United States is a diverse nation with a wide range of religious and spiritual traditions. Families may choose to pray together in places of worship that align with their faith, such as churches for Christians, synagogues for Jews, or mosques for Muslims. Additionally, many families prefer to pray at home, especially for personal or private reasons, or in community centers for interfaith or cultural gatherings."
Jod-ch-60,What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in the United States is generally considered to be eight hours, as standardized by labor regulations and common workplace practices across most industries.""}",1,"You are a labor economics expert in the United States with a focus on standard work hours and labor regulations. You understand that the typical workday in the U.S. is often considered to be eight hours, though this can vary by industry and employment type. You provide clear, concise numerical answers based on widely accepted standards.","The typical workday in the United States is generally considered to be eight hours, as standardized by labor regulations and common workplace practices across most industries."
Ji-ko-24,What is the most preferred recreational facility among children in US?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Playgrounds"", ""reasoning"": ""Playgrounds are the most preferred recreational facilities among children in the U.S. due to their accessibility, variety of play equipment, and emphasis on unstructured, active play. They provide a safe environment for children to socialize, develop motor skills, and engage in imaginative play, making them a top choice across diverse regions and communities.""}",1,"You are an expert in childhood recreation and urban planning in the United States, with extensive knowledge of trends in children's leisure activities, park usage, and community facility preferences. You understand the cultural emphasis on outdoor play, sports, and safe public spaces, and can provide data-driven insights on which facilities—such as playgrounds, sports fields, or community centers—are most favored by children across different regions of the U.S.","Playgrounds are the most preferred recreational facilities among children in the U.S. due to their accessibility, variety of play equipment, and emphasis on unstructured, active play. They provide a safe environment for children to socialize, develop motor skills, and engage in imaginative play, making them a top choice across diverse regions and communities."
Sa-en-22,What is the most famous university in US known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in US known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Alabama"", ""reasoning"": ""The University of Alabama is widely recognized for its dominant football program, particularly its success in the NCAA Football Bowl Subdivision (FBS), including multiple national championships and a strong presence in the College Football Playoff. Its football team, the Crimson Tide, is one of the most famous and successful in college sports history, contributing significantly to the university's national reputation.""}",1,"You are a sports journalist with extensive knowledge of American college sports and university reputations. You are familiar with the cultural significance of college sports in the United States, particularly the NCAA and major athletic conferences. You know which universities are most recognized for their athletic programs and can identify the most famous one based on national recognition, media coverage, and historical success.","The University of Alabama is widely recognized for its dominant football program, particularly its success in the NCAA Football Bowl Subdivision (FBS), including multiple national championships and a strong presence in the College Football Playoff. Its football team, the Crimson Tide, is one of the most famous and successful in college sports history, contributing significantly to the university's national reputation."
