ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"What is the most popular prenatal education activity for pregnant women in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Prenatal classes""}], ""reasoning"": ""Prenatal classes are a common and effective way to educate pregnant women about pregnancy, childbirth, and parenting in Iran, and are often offered by healthcare providers and hospitals.""}",inst-1,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Which age's birthday is celebrated the most grandly in Iran's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in Iran's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""age"": ""15""}], ""reasoning"": ""In Iran, the 15th birthday is considered a significant milestone, marking the transition from childhood to adolescence. It is often celebrated with grand festivities, including traditional foods, music, and gifts.""}",inst-1,1,,
New-pe-20,What sport is popular to play on the beach in Iran?,"What sport is popular to play on the beach in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Beach Volleyball""], ""reasoning"": ""Beach volleyball is a popular sport in Iran, and the country has hosted several international beach volleyball tournaments, including the FIVB Beach Volleyball World Tour.""}",inst-1,1,,"Beach volleyball is a popular sport in Iran, and the country has hosted several international beach volleyball tournaments, including the FIVB Beach Volleyball World Tour."
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""team1"": ""Esteghlal"", ""team2"": ""Persepolis""}], ""reasoning"": ""Esteghlal and Persepolis are the two most successful and popular clubs in Iran, with a long history of rivalry and intense matches between them.""}",inst-1,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{
""answer"": [1.5],
""reasoning"": ""According to a survey, the average time spent by Iranians at a restaurant for dinner is around 1 hour and 30 minutes, which is a reasonable duration for a meal and socializing.""
}",inst-1,1,,"According to a survey, the average time spent by Iranians at a restaurant for dinner is around 1 hour and 30 minutes, which is a reasonable duration for a meal and socializing."
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Which profession is most commonly studied abroad by students from Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Software Engineering""}], ""reasoning"": ""According to various reports and studies, a significant number of Iranian students choose to study abroad, particularly in fields related to technology and engineering. Software engineering is a highly sought-after profession in Iran, and studying abroad provides students with access to advanced education, research opportunities, and a stronger job market.""}",inst-1,1,,
New-pe-49,Where do families gather to pray together in Iran?,"Where do families gather to pray together in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""location"": ""Mosques""}], ""reasoning"": ""Mosques are common gathering places for families to pray together in Iran, as they are an integral part of Islamic worship and community life.""}",inst-1,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [8], ""reasoning"": ""In Iran, the typical workday is typically 8 hours long, with most employees working from 8:00 AM to 4:00 PM, with a one-hour lunch break.""}",inst-1,1,,"In Iran, the typical workday is typically 8 hours long, with most employees working from 8:00 AM to 4:00 PM, with a one-hour lunch break."
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"What is the most preferred recreational facility among children in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Playgrounds""}], ""reasoning"": ""Based on various studies and surveys, playgrounds are often the most preferred recreational facility among children in Iran, providing a safe and accessible space for physical activity, socialization, and imagination.""}",inst-1,1,,
Sa-en-22,What is the most famous university in Iran known for its sports team?,"What is the most famous university in Iran known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in Iran known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Amirkabir University of Technology""], ""reasoning"": ""Amirkabir University of Technology is one of the most prestigious universities in Iran, and its sports teams, particularly its football team, are widely recognized and respected.""}",inst-1,1,,"Amirkabir University of Technology is one of the most prestigious universities in Iran, and its sports teams, particularly its football team, are widely recognized and respected."
Al-en-19,What is a popular second language for high school students in Iran?,"What is a popular second language for high school students in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a popular second language for high school students in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{
""answer"": [
[""English""]
],
""reasoning"": ""English is widely taught and learned in Iran, and it is a popular choice for high school students due to its global importance and relevance in international communication, education, and business.""
}",inst-1,1,,"English is widely taught and learned in Iran, and it is a popular choice for high school students due to its global importance and relevance in international communication, education, and business."
Ne-ar-09,What do people from Iran eat in Eid ul Fitr?,"What do people from Iran eat in Eid ul Fitr? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What do people from Iran eat in Eid ul Fitr?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Saffron rice with herbs"", ""Grilled fish"", ""Fesenjan chicken"", ""Khoresh bademjan"", ""Halva""], ""reasoning"": ""Traditional Iranian dishes are often served during Eid ul Fitr, with a focus on sweet and savory flavors, and a variety of textures.""}",inst-1,1,,"Traditional Iranian dishes are often served during Eid ul Fitr, with a focus on sweet and savory flavors, and a variety of textures."
New-su-24,What sports do parents and children commonly play together in Iran?,"What sports do parents and children commonly play together in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sports do parents and children commonly play together in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""sport"": ""Futsal""}], ""reasoning"": ""Futsal is a popular team sport in Iran, and it is common to see families playing together, with parents and children forming teams or playing in the same league.""}",inst-1,1,,
Ji-ko-42,What are the required subjects in Iran's university entrance exam?,"What are the required subjects in Iran's university entrance exam? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What are the required subjects in Iran's university entrance exam?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Mathematics"", ""Physics"", ""Chemistry"", ""English""], ""reasoning"": ""These four subjects are the required and mandatory subjects for the university entrance exam in Iran, and are considered as the foundation of scientific and cultural knowledge.""}",inst-1,1,,"These four subjects are the required and mandatory subjects for the university entrance exam in Iran, and are considered as the foundation of scientific and cultural knowledge."
New-pe-06,What is the most popular stew in Iran?,"What is the most popular stew in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular stew in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""most popular stew in Iran"": ""Fesenjan""}], ""reasoning"": ""Fesenjan is a classic Persian stew made with chicken or duck, pomegranate juice, and ground walnuts, and is often served with steamed rice. Its unique flavor and texture have made it a beloved dish throughout Iran.""}",inst-1,1,,
New-pe-86,What is the name of the most famous tower in Iran?,"What is the name of the most famous tower in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the name of the most famous tower in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""name"": ""Milad Tower""}], ""reasoning"": ""The Milad Tower, also known as the Tehran Tower, is the tallest tower in Iran and one of the most recognizable landmarks in the country.""}",inst-1,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Iran?,"What is the most popular extracurricular social event at schools in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular extracurricular social event at schools in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""name"": ""Nowruz Celebrations""}], ""reasoning"": ""Nowruz, the Persian New Year, is a significant cultural event in Iran, and schools often organize celebrations to promote social bonding and cultural awareness among students.""}",inst-1,1,,
Ca-sp-06,Which is the most important meal of the day to people from Iran?,"Which is the most important meal of the day to people from Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which is the most important meal of the day to people from Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""most important meal of the day to people from Iran"": ""Breakfast""}], ""reasoning"": ""In Iranian culture, breakfast is considered the most important meal of the day as it provides energy and sustenance for the day ahead, following a traditional late dinner the previous night.""}",inst-1,1,,
New-en-41,Who is the most well known and successful entrepreneur in Iran?,"Who is the most well known and successful entrepreneur in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Who is the most well known and successful entrepreneur in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Mahdi Alizadeh""], ""reasoning"": ""Mahdi Alizadeh is a well-known and successful entrepreneur in Iran, having founded and led several successful startups and companies, including the popular online marketplace Digikala. He is widely recognized as one of the most successful entrepreneurs in Iran and has received numerous awards and recognition for his achievements.""}",inst-1,1,,"Mahdi Alizadeh is a well-known and successful entrepreneur in Iran, having founded and led several successful startups and companies, including the popular online marketplace Digikala. He is widely recognized as one of the most successful entrepreneurs in Iran and has received numerous awards and recognition for his achievements."
New-su-33,What is the common dress code for school teachers in Iran?,"What is the common dress code for school teachers in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the common dress code for school teachers in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": {""answer"": [""Chador or hijab with a modest dress""], ""reasoning"": ""In Iran, school teachers are expected to dress modestly and in accordance with the country's Islamic laws. A chador or hijab is a symbol of modesty and is commonly worn by women in Iran. The dress code for male teachers is generally more relaxed, but they are still expected to dress modestly and avoid revealing clothing.""}}",inst-1,1,,
Th-en-44,What is Iran's most popular food for family meals on weekends?,"What is Iran's most popular food for family meals on weekends? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is Iran's most popular food for family meals on weekends?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Fesenjan and Chicken""]}, ""reasoning"": ""Fesenjan is a popular Persian dish made with chicken cooked in a pomegranate and walnut sauce, which is often served on special occasions and weekends. It's a comforting and flavorful meal that brings families together.""}",inst-1,1,,
Th-en-45,What is the most popular weekday evening family activity in Iran?,"What is the most popular weekday evening family activity in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular weekday evening family activity in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{
""answer"": [{""Most popular weekday evening family activity in Iran: Watching TV together""}],
""reasoning"": ""Based on cultural and social norms in Iran, watching TV together is a common and relaxing activity that families enjoy during the evening after dinner, allowing them to bond and spend quality time together.""
}",inst-1,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Iran? (e.g., 1 month).","How long is the typical probation period for new employees before signing a formal contract in Iran? (e.g., 1 month). Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long is the typical probation period for new employees before signing a formal contract in Iran? (e.g., 1 month).','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""probation_period"": 3}], ""reasoning"": ""Typically, the probation period for new employees before signing a formal contract in Iran is 3 months.""}",inst-1,1,,
New-in-62,What university in Iran is popular because of its engineering major? (Provide the official name.),"What university in Iran is popular because of its engineering major? (Provide the official name.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What university in Iran is popular because of its engineering major? (Provide the official name.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""name"": ""Sharif University of Technology""}],
""reasoning"": ""Sharif University of Technology is one of the most prestigious and well-known universities in Iran, particularly for its strong programs in engineering fields such as mechanical, electrical, and computer engineering.""}",inst-1,1,,
Ji-ko-34,How do elementary school students in Iran go to school?,"How do elementary school students in Iran go to school? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How do elementary school students in Iran go to school?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Elementary school students in Iran typically start their day by taking a bus or walking to school.""}], ""reasoning"": [""This is a common mode of transportation for students in Iran, as many schools are located in urban areas and public transportation is widely available.""]}",inst-1,1,,
Ta-pe-21,Where do children usually play soccer in Iran?,"Where do children usually play soccer in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do children usually play soccer in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""soccer fields"", ""neighborhood parks"", ""school yards""}], ""reasoning"": ""Children in Iran often play soccer in publicly accessible areas, such as designated soccer fields, neighborhood parks, and school yards, due to the country's limited availability of private spaces for recreational activities.""}",inst-1,1,,
Tmp-ar-01,Where do university students in Iran usually go to study for their final exams?,"Where do university students in Iran usually go to study for their final exams? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do university students in Iran usually go to study for their final exams?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""library""}], ""reasoning"": ""University students in Iran typically go to the library to study for their final exams due to its quiet and conducive environment, access to relevant study materials, and availability of support services.""}",inst-1,1,,
Ne-ar-38,Which food do people usually offer as charity in Iran?,"Which food do people usually offer as charity in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which food do people usually offer as charity in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""dates""], ""reasoning"": ""In Iran, dates are considered a traditional and symbolic food for charity, as they are believed to have nourishing properties and are often distributed during religious holidays and celebrations.""}",inst-1,1,,"In Iran, dates are considered a traditional and symbolic food for charity, as they are believed to have nourishing properties and are often distributed during religious holidays and celebrations."
Jod-ch-01,What eating utensils do people commonly used in Iran?,"What eating utensils do people commonly used in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What eating utensils do people commonly used in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""spoon"", ""fork"", ""chopsticks""}], ""reasoning"": ""In Iran, people commonly use a combination of utensils for eating, including spoons for soups and desserts, forks for meat and vegetables, and chopsticks for some specific dishes like rice and kebabs.""}",inst-1,1,,
New-gr-08,What type of alcoholic drink is most commonly consumed at festivals in Iran?,"What type of alcoholic drink is most commonly consumed at festivals in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What type of alcoholic drink is most commonly consumed at festivals in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Doogh""], ""reasoning"": ""Doogh is a popular yogurt-based drink in Iran, often consumed at festivals and other social gatherings.""}",inst-1,1,,"Doogh is a popular yogurt-based drink in Iran, often consumed at festivals and other social gatherings."
Th-en-11,Who is the most popular sportperson in Iran?,"Who is the most popular sportperson in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Who is the most popular sportperson in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""name"": ""Alireza Beiranvand""}], ""reasoning"": ""Alireza Beiranvand is a well-known Iranian professional footballer who plays as a goalkeeper for Persepolis FC and the Iran national team, and has gained widespread popularity in Iran due to his impressive performances and achievements in international competitions.""}",inst-1,1,,
New-gr-15,What is the most popular traditional dessert in Iran?,"What is the most popular traditional dessert in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular traditional dessert in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Gaz"",], ""reasoning"": ""Gaz is a traditional Iranian dessert made from sugar, cornstarch, and rose water, and is often served at special occasions and celebrations.""}",inst-1,1,,
Ni-en-40,What is the most popular Christmas song in Iran?,"What is the most popular Christmas song in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular Christmas song in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""title"": ""Shab-e Yalda"", ""song"": ""Shab-e Yalda (Persian: شب یلدا)""}], ""reasoning"": ""Shab-e Yalda is a traditional Iranian winter festival, often referred to as the Persian Christmas, as it is celebrated on the same day as Christmas in the Northern Hemisphere. The song 'Shab-e Yalda' is a popular winter song in Iran, often played during this festive period.""}",inst-1,1,,
