ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"What is the most popular prenatal education activity for pregnant women in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Prenatal Yoga Class""], ""reasoning"": ""Prenatal yoga classes are popular in South Korea due to the country's cultural emphasis on physical fitness and wellness, as well as the growing awareness of the importance of prenatal care and childbirth education.""}",inst-1,1,,"Prenatal yoga classes are popular in South Korea due to the country's cultural emphasis on physical fitness and wellness, as well as the growing awareness of the importance of prenatal care and childbirth education.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Which age's birthday is celebrated the most grandly in South Korea's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in South Korea's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""age"": 30}], ""reasoning"": ""In South Korean culture, 30 is considered a significant age, marking the transition from being considered 'young' to being considered 'adult'. As a result, 30th birthday celebrations are often seen as a major milestone, and are celebrated with grandeur.""}",inst-1,1,,,0,0
New-pe-20,What sport is popular to play on the beach in South Korea?,"What sport is popular to play on the beach in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","Here is the response:

{""answer"": [{""Beach Volleyball""}], ""reasoning"": ""Beach Volleyball is a popular sport to play on the beach in South Korea due to its accessibility, ease of learning, and the country's strong volleyball culture.""}",inst-1,1,,,0,0
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""team1"": ""Seoul FC"", ""team2"": ""Jeonbuk Hyundai Motors""}], ""reasoning"": ""The rivalry between these two teams is considered one of the most intense in South Korean football, with a long history of competition and a strong following from both sides. Seoul FC is based in the capital city and has a strong support base, while Jeonbuk Hyundai Motors is based in the city of Jeonju and has a reputation for being a dominant force in the K League.""}",inst-1,1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [1.8], ""reasoning"": ""According to a survey by the Korea National Council on Social Welfare, the average dining time at a restaurant in South Korea is around 1 hour and 48 minutes. This is because Koreans tend to prioritize speed and efficiency, and restaurants often have a time limit for customers to finish their meals to accommodate a high volume of customers.""}",inst-1,1,,"According to a survey by the Korea National Council on Social Welfare, the average dining time at a restaurant in South Korea is around 1 hour and 48 minutes. This is because Koreans tend to prioritize speed and efficiency, and restaurants often have a time limit for customers to finish their meals to accommodate a high volume of customers.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Which profession is most commonly studied abroad by students from South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""profession"": ""Business""}], ""reasoning"": ""South Korean students often choose to study abroad for business-related fields due to the country's strong economy and global trade ties. Many Korean companies have international operations, and a degree from a foreign university can be highly valued in the job market.""}",inst-1,1,,,1,1.0
New-pe-49,Where do families gather to pray together in South Korea?,"Where do families gather to pray together in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": {""answer"": [""Bulguksa Temple"", ""Jeonju Hanok Village""]}, ""reasoning"": ""In South Korea, families often gather to pray together at sacred sites that hold cultural and spiritual significance. Bulguksa Temple is a famous Buddhist temple in Gyeongju that offers a serene and peaceful environment for families to pray and reflect. Jeonju Hanok Village, a traditional Korean village, also provides a unique setting for families to come together and connect with each other while praying.""}",inst-1,1,,,,
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [8.5], ""reasoning"": ""The duration of a typical workday in South Korea is around 8.5 hours, which is commonly divided into two shifts: 9:00 AM to 6:00 PM and 1:00 PM to 10:00 PM. Many South Korean companies, especially large conglomerates, operate on a 5-day workweek, with Saturday and Sunday being the weekends.""}",inst-1,1,,"The duration of a typical workday in South Korea is around 8.5 hours, which is commonly divided into two shifts: 9:00 AM to 6:00 PM and 1:00 PM to 10:00 PM. Many South Korean companies, especially large conglomerates, operate on a 5-day workweek, with Saturday and Sunday being the weekends.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"What is the most preferred recreational facility among children in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""name"": ""Indoor Play Centers""}], ""reasoning"": ""According to various studies and surveys, indoor play centers are the most preferred recreational facility among children in South Korea. This is because they offer a safe and controlled environment for kids to play and socialize, which is particularly important in a country with a strong emphasis on education and academic achievement. Additionally, indoor play centers often feature a wide range of activities and equipment, such as trampolines, climbing structures, and ball pits, which cater to different ages and interests, making them a popular choice among children.""}",inst-1,1,,,0,0
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"What is the most famous university in South Korea known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in South Korea known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Yonsei University""], ""reasoning"": ""Yonsei University is one of the most prestigious private research universities in South Korea, and its sports teams are highly competitive and well-known. The university has a strong reputation for its football, basketball, volleyball, and wrestling teams, and has won numerous national championships and titles in various sports.""}",inst-1,1,,"Yonsei University is one of the most prestigious private research universities in South Korea, and its sports teams are highly competitive and well-known. The university has a strong reputation for its football, basketball, volleyball, and wrestling teams, and has won numerous national championships and titles in various sports.",1,1.0
