ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in UK?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in UK?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in UK?"",""answer"":[""antenatal classes""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in UK's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in UK's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in UK's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in UK's society?"",""answer"":[""21""]}",1,,
New-pe-20,What sport is popular to play on the beach in UK?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in UK?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in UK?"",""answer"":[""football""]}",1,,
Kik-in-37,What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""Manchester United vs Liverpool"", ""Arsenal vs Tottenham Hotspur"", ""Manchester United vs Manchester City"", ""Liverpool vs Everton"", ""Chelsea vs Tottenham Hotspur""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""1.5""]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from UK?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from UK?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from UK?"",""answer"":[""Business and Administration""]}",1,,
New-pe-49,Where do families gather to pray together in UK?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in UK?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in UK?"",""answer"":[""church""]}",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in UK?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in UK?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in UK?"",""answer"":[""playgrounds""]}",1,,
Sa-en-22,What is the most famous university in UK known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in UK known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in UK known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in UK known for its sports team?"",""answer"":[""University of Oxford""]}",1,,
Al-en-19,What is a popular second language for high school students in UK?,"Show your thoughts clearly and answer the following question.

What is a popular second language for high school students in UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is a popular second language for high school students in UK?"",""answer"":[""answer here""]}","{""question"":""What is a popular second language for high school students in UK?"",""answer"":[""French""]}",1,,
Ne-ar-09,What do people from UK eat in Eid ul Fitr?,"Show your thoughts clearly and answer the following question.

What do people from UK eat in Eid ul Fitr?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What do people from UK eat in Eid ul Fitr?"",""answer"":[""answer here""]}","{""question"":""What do people from UK eat in Eid ul Fitr?"",""answer"":[""Biryani"",""Samosas"",""Kebabs"",""Pakoras"",""Halwa"",""Sheer Khurma"",""Chaat"",""Bread (Naan, Roti)""]}",1,,
New-su-24,What sports do parents and children commonly play together in UK?,"Show your thoughts clearly and answer the following question.

What sports do parents and children commonly play together in UK?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports do parents and children commonly play together in UK?"",""answer"":[""answer here""]}","{""question"":""What sports do parents and children commonly play together in UK?"",""answer"":[""football""]}",1,,
Ji-ko-42,What are the required subjects in UK's university entrance exam?,"Show your thoughts clearly and answer the following question.

What are the required subjects in UK's university entrance exam?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What are the required subjects in UK's university entrance exam?"",""answer"":[""answer here""]}","{""question"":""What are the required subjects in UK's university entrance exam?"",""answer"":[""There are no required subjects in the UK's university entrance exam; subject requirements vary by university and course.""]}",1,,
