ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in US?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in US?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Childbirth Education Classes,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in US's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in US's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",16,1,,
New-pe-20,What sport is popular to play on the beach in US?,"Answer the following question.

What sport is popular to play on the beach in US?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Volleyball,1,,
Kik-in-37,What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",LA Galaxy vs. LAFC,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.2,1,,
New-spme-37,Which profession is most commonly studied abroad by students from US?,"Answer the following question.

Which profession is most commonly studied abroad by students from US?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Engineering,1,,
New-pe-49,Where do families gather to pray together in US?,"Answer the following question.

Where do families gather to pray together in US?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Churches,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in US?,"Answer the following question.

What is the most preferred recreational facility among children in US?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Swimming pools,1,,
Sa-en-22,What is the most famous university in US known for its sports team?,"Answer the following question.

What is the most famous university in US known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",University of Alabama,1,,
Al-en-19,What is a popular second language for high school students in US?,"Answer the following question.

What is a popular second language for high school students in US?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Spanish,1,,
