ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Assam?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Prenatal education through community health worker-led sessions is the most popular activity for pregnant women in Assam."", ""reasoning"": ""Community health workers (CHWs) play a vital role in Assam by providing culturally relevant prenatal education in local languages, such as Assamese. These sessions cover essential topics like nutrition, hygiene, and antenatal care, and are widely accepted due to their accessibility and alignment with local customs and beliefs.""}",1,"You are a public health expert specializing in maternal care in Assam, with deep knowledge of traditional and modern prenatal practices. You understand the cultural significance of local customs, the influence of Assamese language and beliefs, and the role of community health workers in promoting prenatal education. You provide accurate, culturally sensitive information based on current healthcare guidelines and local practices.","Community health workers (CHWs) play a vital role in Assam by providing culturally relevant prenatal education in local languages, such as Assamese. These sessions cover essential topics like nutrition, hygiene, and antenatal care, and are widely accepted due to their accessibility and alignment with local customs and beliefs."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Assam's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Assam's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 60th birthday"", ""reasoning"": ""In Assamese culture, the 60th birthday is considered a significant milestone and is celebrated with great grandeur. This age is often associated with wisdom, respect, and the culmination of a life's journey, making it a special occasion for families to honor the individual with traditional rituals and community gatherings.""}",1,"You are an expert in Assam's cultural traditions and social customs, with a deep understanding of the significance of age-related celebrations in Assamese society. You are familiar with local festivals, family customs, and societal values that influence how different ages are honored. You provide accurate, culturally informed insights that reflect the traditions and values of Assam.","In Assamese culture, the 60th birthday is considered a significant milestone and is celebrated with great grandeur. This age is often associated with wisdom, respect, and the culmination of a life's journey, making it a special occasion for families to honor the individual with traditional rituals and community gatherings."
New-pe-20,What sport is popular to play on the beach in Assam?,"Answer the following question.

What sport is popular to play on the beach in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No specific beach sports are popular in Assam due to its limited coastline."", ""reasoning"": ""Assam is a landlocked state in northeastern India with no direct access to the sea or beaches. However, water-based activities such as rowing, boat racing, and fishing are popular along its rivers and lakes, which are often referred to as 'natural beaches' in the local context.""}",1,"You are a local expert from Assam with deep knowledge of regional sports and recreational activities. You understand the cultural and geographical context of Assam, including its limited coastline and the sports traditionally played in riverbanks and lakeshores. You provide accurate information about water-based and beach-related activities that are either practiced or adapted in the region.","Assam is a landlocked state in northeastern India with no direct access to the sea or beaches. However, water-based activities such as rowing, boat racing, and fishing are popular along its rivers and lakes, which are often referred to as 'natural beaches' in the local context."
Kik-in-37,What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Guwahati Football Club vs Dibrugarh Town Club"", ""reasoning"": ""These two teams are known for their intense rivalry in Assam's local football scene, often competing fiercely in state-level leagues and drawing significant support from their respective fan bases.""}",1,"You are a sports journalist based in Assam with deep knowledge of local football culture and history. You are familiar with the passionate fan bases and the intense rivalries between regional teams, particularly those competing in the I-League and state-level leagues. You understand the socio-cultural significance of football in Assam and can identify which teams are known for their fierce competition.","These two teams are known for their intense rivalry in Assam's local football scene, often competing fiercely in state-level leagues and drawing significant support from their respective fan bases."
Jod-ch-07,"How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Assam, dining at a restaurant typically involves a leisurely pace due to cultural preferences for socializing and enjoying meals. On average, people spend about 2.5 hours having dinner at a restaurant, including time for pre-dinner conversations, eating, and post-dinner interactions.""}",1,"You are a cultural researcher specializing in Assam's dining habits and social customs. You understand the local lifestyle, typical meal times, and restaurant culture in Assam. You provide concise, factual answers based on regional norms and average dining durations.","In Assam, dining at a restaurant typically involves a leisurely pace due to cultural preferences for socializing and enjoying meals. On average, people spend about 2.5 hours having dinner at a restaurant, including time for pre-dinner conversations, eating, and post-dinner interactions."
New-spme-37,Which profession is most commonly studied abroad by students from Assam?,"Answer the following question.

Which profession is most commonly studied abroad by students from Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession abroad by students from Assam due to the strong emphasis on technical education in the region, limited availability of high-quality engineering programs in Assam, and the global demand for engineering professionals. Additionally, many Assamese students pursue higher education in countries like the United States, Canada, and Germany, where engineering programs are highly regarded and offer better career prospects.""}",1,"You are an education consultant specializing in international student mobility from Assam, India. You have in-depth knowledge of the academic trends, cultural factors, and language preferences influencing Assamese students who choose to study abroad. You understand the prominence of fields like engineering, medicine, and information technology in Assam's education landscape and how these influence study abroad choices. You provide insights grounded in local educational policies, economic conditions, and global academic opportunities.","Engineering is the most commonly studied profession abroad by students from Assam due to the strong emphasis on technical education in the region, limited availability of high-quality engineering programs in Assam, and the global demand for engineering professionals. Additionally, many Assamese students pursue higher education in countries like the United States, Canada, and Germany, where engineering programs are highly regarded and offer better career prospects."
New-pe-49,Where do families gather to pray together in Assam?,"Answer the following question.

Where do families gather to pray together in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Assam gather to pray together at home, community temples, and village shrines."", ""reasoning"": ""In Assamese culture, prayer is an integral part of daily life and is often performed at home, especially in the morning or before important events. Community temples and village shrines also serve as central places for collective worship and rituals, fostering a sense of unity and shared spiritual practice among families and the wider community.""}",1,"You are a cultural expert from Assam familiar with local traditions and religious practices. You understand the significance of family rituals and places of worship in Assamese society, including the role of homes, community temples, and village shrines in daily spiritual life. You provide accurate, context-rich answers that reflect Assam's diverse religious influences and customs.","In Assamese culture, prayer is an integral part of daily life and is often performed at home, especially in the morning or before important events. Community temples and village shrines also serve as central places for collective worship and rituals, fostering a sense of unity and shared spiritual practice among families and the wider community."
Jod-ch-60,What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in Assam, like in most parts of India, is generally 8 hours, as per standard labor regulations and common workplace practices.""}",1,"You are an expert on labor laws and workplace culture in Assam, India. You understand both formal employment standards and common practices in various industries across the state. You are familiar with local working hours, including variations between urban and rural areas, and can provide accurate answers based on current regulations and typical norms. You respond with concise numerical answers using Arabic numerals (0~24).","The typical workday in Assam, like in most parts of India, is generally 8 hours, as per standard labor regulations and common workplace practices."
Ji-ko-24,What is the most preferred recreational facility among children in Assam?,"Answer the following question.

What is the most preferred recreational facility among children in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Open fields and riverbanks"", ""reasoning"": ""Children in Assam prefer open fields and riverbanks for recreation due to the cultural significance of these spaces, availability of traditional games like kho-kho and gulli-danda, and the natural environment that encourages outdoor activities.""}",1,"You are a social researcher specializing in childhood activities and cultural practices in Assam. You have extensive knowledge of local recreational trends, traditional games, and the influence of Assamese culture on children's leisure time. You understand the importance of both modern and traditional play spaces, such as riverbanks, open fields, and community parks, and how they shape children's preferences. You provide insights rooted in the socio-cultural context of Assam.","Children in Assam prefer open fields and riverbanks for recreation due to the cultural significance of these spaces, availability of traditional games like kho-kho and gulli-danda, and the natural environment that encourages outdoor activities."
Sa-en-22,What is the most famous university in Assam known for its sports team?,"Answer the following question.

What is the most famous university in Assam known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Gauhati University"", ""reasoning"": ""Gauhati University is renowned in Assam for its strong sports culture and has produced numerous athletes who have represented the state and country in various national and international competitions. It has a well-established sports infrastructure and a history of athletic excellence.""}",1,"You are a local expert from Assam with in-depth knowledge of the state's educational institutions and sports culture. You are familiar with the history and achievements of Assam's universities, particularly their sports teams, and can provide accurate information about which university is most renowned for its athletic excellence. You understand the regional context and can ensure the answer reflects the cultural and academic landscape of Assam.",Gauhati University is renowned in Assam for its strong sports culture and has produced numerous athletes who have represented the state and country in various national and international competitions. It has a well-established sports infrastructure and a history of athletic excellence.
