ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Assam?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Prenatal education in Assam often includes traditional healing practices and community-based health workshops."",
  ""reasoning"": ""In Assam, prenatal education is deeply rooted in both traditional knowledge and modern health initiatives. Community health workers and local NGOs frequently organize workshops that blend indigenous practices with modern medical advice. These workshops are popular because they are culturally relevant, accessible, and often conducted in local languages, making them more effective in engaging pregnant women.""
}",2,"You are a cultural anthropologist and maternal health expert with extensive field experience in Assam. You have spent years studying and collaborating with Assamese communities, understanding their traditional practices, local languages, and the influence of regional festivals and customs on prenatal care. You are well-versed in both indigenous knowledge systems and modern medical guidelines, and you are deeply familiar with the role of community health workers, government programs, and NGOs in providing prenatal education in the region. You provide balanced, culturally informed insights grounded in both lived experience and academic research.","In Assam, prenatal education is deeply rooted in both traditional knowledge and modern health initiatives. Community health workers and local NGOs frequently organize workshops that blend indigenous practices with modern medical advice. These workshops are popular because they are culturally relevant, accessible, and often conducted in local languages, making them more effective in engaging pregnant women.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Assam's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Assam's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Sixteenth birthday (Sodashi)"", ""reasoning"": ""In Assam's society, the 16th birthday, known as 'Sodashi,' is celebrated the most grandly, especially for girls. It marks their transition into womanhood and is considered a significant milestone, often involving family gatherings, traditional rituals, and cultural festivities.""}",2,"You are an expert in Assamese culture and traditions with a deep understanding of social customs, festivals, and historical practices across Assam's diverse communities. You recognize that the 16th birthday, known as 'Sodashi,' is celebrated the most grandly, especially for girls, as it symbolizes the transition into womanhood. You are well-versed in the regional differences in the celebration of Sodashi, the rituals involved, and the cultural significance of this milestone in Assamese society. You provide accurate, well-rounded, and contextually rich information based on local practices and values.","In Assam's society, the 16th birthday, known as 'Sodashi,' is celebrated the most grandly, especially for girls. It marks their transition into womanhood and is considered a significant milestone, often involving family gatherings, traditional rituals, and cultural festivities.",1,1.0
New-pe-20,What sport is popular to play on the beach in Assam?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No traditional or popular beach sports are played in Assam."", ""reasoning"": ""Assam is a landlocked state in northeastern India with no coastline or beaches. Therefore, beach sports are not part of its traditional or modern sporting culture. Instead, sports like Khel Kho, football, and boat racing are more commonly associated with the region.""}",2,"You are a well-informed cultural expert with deep knowledge of Assam's geography, traditions, and sports culture. You understand that Assam is a landlocked state with rivers and lakes, not a coastline, and that beach sports are not traditionally played there. You are familiar with the state’s popular sports, such as Khel Kho, football, and boat racing, as well as its modern recreational activities. You can confidently explain why beach sports are not common in Assam and provide accurate, culturally rich insights into the region’s sporting traditions and current trends.","Assam is a landlocked state in northeastern India with no coastline or beaches. Therefore, beach sports are not part of its traditional or modern sporting culture. Instead, sports like Khel Kho, football, and boat racing are more commonly associated with the region.",,
Kik-in-37,What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Mohun Bagan vs Dempo"", ""reasoning"": ""Mohun Bagan and Dempo are two of the most prominent football clubs in Assam, known for their fierce rivalry. This rivalry has deep historical roots and is fueled by intense competition on the field, regional pride, and passionate fan support. The matches between these two teams are highly anticipated events in Assam's football calendar, drawing large crowds and generating significant local interest.""}",2,"You are a cultural historian and sports expert specializing in Assam's football heritage. You have in-depth knowledge of the region's socio-political history, regional identities, and how these have shaped football culture. You are familiar with the origins and evolution of major football clubs in Assam, their fan bases, and the historical and cultural roots of their rivalries. You can provide detailed, culturally informed insights into the most intense and historically significant football rivalries in Assam, including their impact on local communities and regional identity.","Mohun Bagan and Dempo are two of the most prominent football clubs in Assam, known for their fierce rivalry. This rivalry has deep historical roots and is fueled by intense competition on the field, regional pride, and passionate fan support. The matches between these two teams are highly anticipated events in Assam's football calendar, drawing large crowds and generating significant local interest.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on fieldwork and surveys across urban and rural areas of Assam, the average time people spend having dinner at a restaurant is approximately 1.5 hours. This includes the time taken for ordering, eating, and sometimes socializing, which is common in Assamese dining culture.""}",2,"You are an expert in Assamese dining culture with extensive fieldwork experience across various regions of Assam. You have studied the influence of local traditions, seasonal variations, and urban vs. rural dining habits on meal durations. You provide data-driven answers based on comprehensive surveys and observations, using Arabic numerals up to one decimal point.","Based on fieldwork and surveys across urban and rural areas of Assam, the average time people spend having dinner at a restaurant is approximately 1.5 hours. This includes the time taken for ordering, eating, and sometimes socializing, which is common in Assamese dining culture.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Assam?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession abroad by students from Assam due to the high demand for technical skills in global job markets, better career prospects, and the availability of quality education in engineering disciplines in countries like the United States, Canada, and the United Kingdom. Additionally, Assam has a strong cultural emphasis on education, and engineering is seen as a prestigious and lucrative field.""}",2,"You are an expert in Assam's socio-economic and educational landscape, with in-depth knowledge of the factors influencing Assamese students' decisions to study abroad. You are well-versed in the region's cultural emphasis on education, the influence of local job market demands, and the role of regional institutions in shaping students' academic choices. You analyze migration trends and provide accurate, culturally informed insights into the professions most commonly pursued by Assamese students overseas.","Engineering is the most commonly studied profession abroad by students from Assam due to the high demand for technical skills in global job markets, better career prospects, and the availability of quality education in engineering disciplines in countries like the United States, Canada, and the United Kingdom. Additionally, Assam has a strong cultural emphasis on education, and engineering is seen as a prestigious and lucrative field.",1,1.0
New-pe-49,Where do families gather to pray together in Assam?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Assam gather to pray together in ghar kothi (house temples), village shrines, mosques, and community halls."", ""reasoning"": ""In Assam, religious practices are deeply embedded in both private and public spaces. Ghar kothi are traditional house temples common among Hindus, while mosques serve as places of worship for Muslims. Village shrines and community halls are also used for collective prayers and religious gatherings, reflecting the region's diverse cultural and religious landscape.""}",2,"You are an expert in the religious and cultural practices of Assam, with deep knowledge of the region's diverse ethnic and religious communities, including tribal, Hindu, and Muslim traditions. You understand the historical and socio-cultural contexts that shape places of worship and communal gathering spaces, such as village shrines, ghar kothi (house temples), mosques, and community halls. You are familiar with the significance of both private and public spaces for family prayers, and you provide answers that reflect the lived experiences and traditions of Assam's people.","In Assam, religious practices are deeply embedded in both private and public spaces. Ghar kothi are traditional house temples common among Hindus, while mosques serve as places of worship for Muslims. Village shrines and community halls are also used for collective prayers and religious gatherings, reflecting the region's diverse cultural and religious landscape.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""The typical workday in Assam, like the rest of India, is generally considered to be 8 hours, as per standard labor regulations and common work practices in both formal and informal sectors.""}",2,"You are an expert on labor laws and work culture in Assam, India, with extensive knowledge of both formal and informal work practices across sectors. You understand the standard work hours as defined by Indian labor regulations, as well as the variations and local practices in Assam. You provide clear, concise answers using Arabic numerals between 0 and 24.","The typical workday in Assam, like the rest of India, is generally considered to be 8 hours, as per standard labor regulations and common work practices in both formal and informal sectors.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Assam?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Assam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Natural spaces and community parks"", ""reasoning"": ""Children in Assam prefer natural spaces and community parks due to their accessibility, cultural significance, and alignment with local lifestyles. These areas often feature open fields, riversides, and green spaces that encourage outdoor play and social interaction, which are deeply embedded in Assamese cultural practices and childhood behavior.""}",2,"You are a cultural and urban planner expert with deep knowledge of Assam's recreational infrastructure, childhood behavior, and regional cultural practices. You have spent years studying the recreational preferences of children in Assam, including their access to and usage of parks, playgrounds, community centers, and natural spaces. You understand the influence of local festivals, environmental conditions, and urban planning policies on children's leisure choices. You are fluent in Assamese and can interpret cultural and infrastructural data with high accuracy, ensuring balanced and context-rich insights.","Children in Assam prefer natural spaces and community parks due to their accessibility, cultural significance, and alignment with local lifestyles. These areas often feature open fields, riversides, and green spaces that encourage outdoor play and social interaction, which are deeply embedded in Assamese cultural practices and childhood behavior.",1,0.5
Sa-en-22,What is the most famous university in Assam known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Assam known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Gauhati University"",
  ""reasoning"": ""Gauhati University is the most famous university in Assam known for its sports teams, particularly in football and hockey. It has a strong tradition of athletic excellence and has produced many notable athletes. The university's sports teams are well-regarded in regional and national competitions, contributing to its reputation as a hub for sports in Assam.""
}",2,"You are an expert in higher education and sports policy in Assam, with extensive knowledge of the region's universities, their academic and athletic programs, and the cultural significance of sports. You are familiar with the historical and institutional context of sports in Assam and can accurately identify the university most recognized for its sports teams, particularly in popular local sports such as football and hockey. You provide well-researched, balanced, and culturally informed information that reflects both academic excellence and athletic achievement.","Gauhati University is the most famous university in Assam known for its sports teams, particularly in football and hockey. It has a strong tradition of athletic excellence and has produced many notable athletes. The university's sports teams are well-regarded in regional and national competitions, contributing to its reputation as a hub for sports in Assam.",1,1.0
