model,country,iteration,question_id,correct,model_response,ground_truth
qwen3.5-35b,UK,1,Al-en-01,0,"fresh fruit kebabs, cheese sticks, and unsweetened yogurt pots.",fruit; apple; breadsticks; banana; cheese; toast
qwen3.5-35b,UK,1,Al-en-04,1,bananas,apple; apples; banana
qwen3.5-35b,UK,1,Al-en-19,1,spanish,french; spanish; german
qwen3.5-35b,UK,1,Al-en-36,0,toffee apples (candy apples) are the primary traditional food associated with halloween in the uk.,pumpkin; pumpkins; sweets; chocolate
qwen3.5-35b,UK,1,Al-en-39,1,"people in the uk typically eat a birthday cake, often decorated with candles and accompanied by the singing of 'happy birthday'.",cake; birthday cake
qwen3.5-35b,UK,1,An-ar-03,1,5,5; 6
qwen3.5-35b,UK,1,Ca-sp-06,0,"there is no single most important meal; it varies by region and generation, often centering on the sunday roast or the traditional full english breakfast rather than a universal daily staple.",breakfast; dinner; evening meal; supper; lunch
qwen3.5-35b,UK,1,Ca-sp-11,1,sunday,sunday; saturday; friday
qwen3.5-35b,UK,1,Ca-sp-41,0,"most dependent elderly people in the uk age in place within their own homes with community support, while a smaller proportion reside in sheltered housing, residential care homes, or nursing homes.",care homes; retirement homes; sheltered accomodation; with relatives; with family
qwen3.5-35b,UK,1,Gu-ch-08,1,"football is the most popular sport among children in the uk, followed closely by swimming and athletics.",soccer; football; rugby; egg and spoon; netball; cricket
qwen3.5-35b,UK,1,Gu-ch-38,1,3,3
qwen3.5-35b,UK,1,Ji-ko-24,1,playgrounds,park; soft play; playground; indoor play gym
qwen3.5-35b,UK,1,Ji-ko-25,0,"key family-related holidays in the uk include christmas (25-26 december), new year's day (1 january), easter (variable), good friday and easter monday, the spring and autumn bank holidays (typically may and august), and regional observances like st. david's day (wales), st. andrew's day (scotland), and st. patrick's day (northern ireland).",christmas; easter; new year; caravan holidays; mother's day; father's day
qwen3.5-35b,UK,1,Ji-ko-26,0,"key milestones in the uk include age 16 (leaving compulsory education, driving, medical consent), age 18 (legal adulthood, voting, financial contracts), and often age 21+ for full financial independence due to housing costs and student debt.",driving test at 17; passing driving test; driving; going to university; leaving school for university; leaving home; school; job; becoming an adult
qwen3.5-35b,UK,1,Ji-ko-28,0,"there is no single statutory first day of celebration; gatherings typically occur informally within the first few days to weeks, while formal religious ceremonies (christenings) or secular naming ceremonies are usually scheduled weeks or months later.",first birthday; birthday; christening; Baptism
qwen3.5-35b,UK,1,Ji-ko-29,0,the 50th birthday,1; 18; 21
qwen3.5-35b,UK,1,Ji-ko-33,0,"most uk high school students return to their bedrooms to complete homework or relax using digital devices, while others spend time with family; late-night socializing typically occurs online rather than at physical venues.",canteen; back to school; home; form time
qwen3.5-35b,UK,1,Ji-ko-34,0,"most pupils walk or are driven by parents, while those living beyond statutory distances (3 miles in england, 2 miles in wales/scotland) may receive council-provided free transport; public buses and 'walking buses' are also common.",walk; car; bus
qwen3.5-35b,UK,1,Ji-ko-35,0,day schools,"boarding school; private school, public school, independent school; boarding schools"
qwen3.5-35b,UK,1,Ji-ko-36,1,mathematics,"english; maths; math, mathematics; science"
qwen3.5-35b,UK,1,Ji-ko-37,1,"most uk secondary students wear a school uniform consisting of a blazer, tie, branded polo shirt or shirt, and trousers or a skirt, often paired with a specific pe kit.",uniform; blazer; tie; jacket; trousers; skirt; shirt; black trousers
qwen3.5-35b,UK,1,Ji-ko-40,1,"students typically gather in corridors or the playground to socialise, buy snacks from the tuck shop, and interact with peers from different year groups, distinct from the longer lunch break.","eat lunch; work part-time; go outside; talk with friends from different classes.; talk, chat, socialise"
qwen3.5-35b,UK,1,Ji-ko-42,0,there are no required subjects in a uk university entrance exam because no single mandatory national exam exists; admission is based on a-level results in subjects chosen by the student.,english; maths; mathematics; math; critical thinking; science
qwen3.5-35b,UK,1,Ji-ko-45,0,the social buzz of the freshers' week pub crawl and the chance to join student societies.,alcohol; drinking; pub crawl; music; find a hook up; sexual encounter; drugs; beer
qwen3.5-35b,UK,1,Jo-sp-13,1,swimming,swimming; rowing; sailing
qwen3.5-35b,UK,1,Jo-sp-19,0,the home counties and the midlands,yorkshire; oxfordshire; wales; west country; sussex; gloucestershire; scotland; south west
qwen3.5-35b,UK,1,Jod-ch-01,0,"the standard set of eating utensils in the uk comprises a fork, a knife, and a spoon, typically used in the continental style where the fork is held in the left hand and the knife in the right.",knife; fork; fork ; spoon
qwen3.5-35b,UK,1,Jod-ch-07,0,2.0,2; 1.5; 1; 2.5
qwen3.5-35b,UK,1,Jod-ch-60,1,8,8; 12; 7
qwen3.5-35b,UK,1,Ki-pe-34,1,tea,coffee; tea; juice; fruit juice
qwen3.5-35b,UK,1,Kik-in-16,1,tea,tea; hot chocolate; coffee; bovril
qwen3.5-35b,UK,1,Kik-in-37,1,"celtic vs rangers (old firm), manchester united vs manchester city (manchester derby), liverpool vs everton (merseyside derby), and manchester united vs leeds united (north west derby).",celtic vs rangers; liverpool vs everton; tottenham vs arsenal; spurs vs arsenal; newcastle vs sunderland; man utd vs man city; liverpool vs manchester united
qwen3.5-35b,UK,1,Na-ko-20,0,the fifa world cup and the uefa european championship in football (soccer).,soccer; football; cricket; swimming; World Club; FIFA Club World Club; FIFA; world cup football
qwen3.5-35b,UK,1,Na-ko-29,0,adam peaty,duncan goodhew; sharron davies; Tom Daley
qwen3.5-35b,UK,1,Na-ko-39,1,monetary gift via a wedding card or honeymoon fund contribution,gift from the wedding list; gifts; wedding gift; a hand shake; handshake; throwing confetti; a round of applause; kiss on the cheek; big hug; money; cards; homeware
qwen3.5-35b,UK,1,Ne-ar-09,0,"british south asians typically serve rich meat biryani, kebabs, and sweet vermicelli pudding (sheer khurma), often accompanied by british-style desserts like fruit crumbles or ice cream.",rice
qwen3.5-35b,UK,1,Ne-ar-26,0,british airways,bbc; hsbc
qwen3.5-35b,UK,1,Ne-ar-36,1,"the traditional festive meal is a christmas dinner featuring roast turkey, stuffing, roast potatoes, vegetables, and christmas pudding.",turkey and the trimmings; christmas dinner; roast meat; roast beef; turkey; roast chicken; roast lamb; burn supper
qwen3.5-35b,UK,1,Ne-ar-38,1,"canned goods, pasta, rice, and tinned meat or fish.","tinned food; tins; tinned foods, canned foods, tinned food, cans, tins, tinned goods, canned goods; canned goods; canned food"
qwen3.5-35b,UK,1,New-as-20,1,swimming,swimming; netball; badminton; crossfit; gymnastics; tennis
qwen3.5-35b,UK,1,New-ch-07,1,"typical pairings include pork scratchings, salted crisps, mature cheddar cheese, pickled onions, and salted roasted nuts.",chips; chinese; kebab; crisps; cheese; pork scratchings; curry; nuts
qwen3.5-35b,UK,1,New-ch-16,0,the damned united,bend it like beckham; ferrari; chariots of fire; The Brothers Grimsby
qwen3.5-35b,UK,1,New-ch-32,0,"microsoft office 365 is the dominant suite, with google workspace gaining traction in tech and creative sectors.",microsoft office; google workspace ; word; excel; outlook; oracle
qwen3.5-35b,UK,1,New-ch-38,0,"the key cities and regions are london, felixstowe, liverpool, teesside, grimsby-hull, and south wales.",london; scotland; wales; kent; portsmouth; liverpool; bristol; dover; north east
