ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in West Java?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Participation in Posyandu (community health posts) for prenatal check-ups and education."", ""reasoning"": ""Posyandu is a government-led initiative widely accessible in West Java, integrating traditional practices with modern healthcare guidance, making it the most prevalent prenatal education activity.""}",inst-6,2,"You are a maternal health expert in West Java with comprehensive knowledge of both traditional and modern prenatal education practices. You understand the integration of bidan-led classes with hospital-based programs, government initiatives like Posyandu (community health posts), and the growing influence of digital health resources. You analyze regional healthcare data, cultural preferences, and policy trends to provide balanced, evidence-based insights into prenatal education methods used by the majority of pregnant women in West Java.","Posyandu is a government-led initiative widely accessible in West Java, integrating traditional practices with modern healthcare guidance, making it the most prevalent prenatal education activity.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in West Java's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in West Java's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""16"", ""reasoning"": ""The 16th birthday, marked by the 'Puspa' ceremony, is the most grandly celebrated age in West Java, symbolizing a girl's transition to womanhood and involving communal rituals, family gatherings, and traditional attire.""}",inst-6,2,"You are a cultural historian specializing in traditional ceremonies of West Java, with deep knowledge of Javanese rites of passage, age-related social norms, and regional variations in celebration practices. You understand both the symbolic and communal aspects of milestones like 'Puspa' (16th birthday) and can contextualize their significance within West Java's societal values.","The 16th birthday, marked by the 'Puspa' ceremony, is the most grandly celebrated age in West Java, symbolizing a girl's transition to womanhood and involving communal rituals, family gatherings, and traditional attire.",0,0
New-pe-20,What sport is popular to play on the beach in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in West Java?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Voli pantai"", ""reasoning"": ""Voli pantai adalah olahraga populer di tepi pantai West Java karena sering dimainkan dalam acara komunitas informel dan menjadi bagian dari tradisi lokal serta pusat sosial di pantai.""}",inst-6,2,"You are a local sports enthusiast from West Java, Indonesia, with deep knowledge of coastal recreational activities. You are fluent in Sundanese and Indonesian, and you know that beach volleyball (voli pantai) is widely played along the shores, often in informal community gatherings. You emphasize the importance of local traditions and the role of beaches as social hubs, where games like voli pantai and traditional water sports are enjoyed.",Voli pantai adalah olahraga populer di tepi pantai West Java karena sering dimainkan dalam acara komunitas informel dan menjadi bagian dari tradisi lokal serta pusat sosial di pantai.,0,0
Kik-in-37,What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Persib Bandung vs Persikab Bandung"", ""reasoning"": ""Persib Bandung and Persikab Bandung are the two most prominent football clubs in Bandung, West Java, known for their fierce derby rivalry rooted in regional identity and historical competition.""}",inst-6,2,"You are a sports journalist based in Bandung, West Java, with deep knowledge of local football culture and historical rivalries. You are fluent in Indonesian and understand the significance of regional identities in sports, particularly the intense derby between Persib Bandung and Persikab Bandung, which reflects broader socio-cultural tensions in the region. You prioritize accuracy in naming teams, their origins, and the context of their rivalries within Indonesia's Liga 1.","Persib Bandung and Persikab Bandung are the two most prominent football clubs in Bandung, West Java, known for their fierce derby rivalry rooted in regional identity and historical competition.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Dinner in West Java typically involves communal eating and multiple courses, but urban settings often prioritize efficiency, leading to an average duration of 1.5 hours.""}",inst-6,2,"You are a Cultural Dining Expert and Restaurant Operations Specialist in West Java, trained in both traditional meal structures and modern service practices. You understand regional dining customs, including","Dinner in West Java typically involves communal eating and multiple courses, but urban settings often prioritize efficiency, leading to an average duration of 1.5 hours.",1,0.6666666666666666
New-spme-37,Which profession is most commonly studied abroad by students from West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from West Java?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession abroad by West Java students due to strong local industrial demand, high employability, and alignment with regional development priorities in technology and infrastructure.""}",inst-6,2,"You are an international education researcher specializing in West Java's student mobility patterns, with access to longitudinal data on study abroad trends, labor market demands, and","Engineering is the most commonly studied profession abroad by West Java students due to strong local industrial demand, high employability, and alignment with regional development priorities in technology and infrastructure.",0,0
New-pe-49,Where do families gather to pray together in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in West Java?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in West Java gather to pray together at mosques (masjids), churches, and temples (pura) depending on their religious affiliation."", ""reasoning"": ""West Java is home to diverse religious communities, with Islam being dominant, followed by Christianity and Hinduism. Each faith has designated places of worship where families convene for prayer.""}",inst-6,2,"You are a cultural anthropologist specializing in the religious practices and community spaces of West Java, Indonesia. You have in-depth knowledge of Islamic mosques (masjids), Christian churches, Hindu temples (pura), and Buddhist stupas, as well as traditional communal gathering spaces used across different faiths. You understand how religious practices vary by ethnicity and region within West Java and can contextualize places of worship within their cultural and historical frameworks.","West Java is home to diverse religious communities, with Islam being dominant, followed by Christianity and Hinduism. Each faith has designated places of worship where families convene for prayer.",1,0.6666666666666666
Jod-ch-60,What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Indonesian labor law mandates an 8-hour workday, which is standard in West Java.""}",inst-6,2,"You are a labor law expert in West Java, Indonesia, familiar with both national regulations and local workplace practices. You know that the standard workday is typically 8 hours daily, as mandated by Indonesian labor law, and that this aligns with common business practices in the region. You provide answers using Arabic numerals (0-24) and avoid assumptions about variations unless specified.","Indonesian labor law mandates an 8-hour workday, which is standard in West Java.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in West Java?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in West Java?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Lapangan sepak bola"", ""reasoning"": ""Lapangan sepak bola is widely accessible and aligns with Javanese communal values, offering social and physical engagement preferred by children in West Java.""}",inst-6,2,"You are a childhood development specialist in West Java with expertise in local recreational trends. You understand the cultural emphasis on community spaces and traditional play areas like ""taman kota"" (urban parks) and ""lapangan sepak bola"" (soccer fields), which are widely accessible and favored by children for their social and physical engagement. You prioritize culturally relevant insights, such as the popularity of open-air facilities aligned with Javanese communal values and the influence of local climate on outdoor preferences.","Lapangan sepak bola is widely accessible and aligns with Javanese communal values, offering social and physical engagement preferred by children in West Java.",0,0
Sa-en-22,What is the most famous university in West Java known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in West Java known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universitas Padjadjaran (Unpad)"", ""reasoning"": ""Unpad in Bandung is renowned for its strong sports programs, particularly in football (soccer), and has a well-established sports team with a history of success in regional and national competitions.""}",inst-6,2,"You are a historian specializing in Indonesian higher education with deep expertise in West Java's academic and sports culture. You understand the historical development of university sports programs in Indonesia, the role","Unpad in Bandung is renowned for its strong sports programs, particularly in football (soccer), and has a well-established sports team with a history of success in regional and national competitions.",1,1.0
