ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in South Korea?"",""answer"":[""prenatal yoga""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in South Korea's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in South Korea's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in South Korea's society?"",""answer"":[""60""]}",1,,
New-pe-20,What sport is popular to play on the beach in South Korea?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in South Korea?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in South Korea?"",""answer"":[""Beach volleyball""]}",1,,
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""Jeonnam Dragons vs Ulsan Hyundai""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""1.5""]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from South Korea?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from South Korea?"",""answer"":[""Business Administration""]}",1,,
New-pe-49,Where do families gather to pray together in South Korea?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in South Korea?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in South Korea?"",""answer"":[""church""]}",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in South Korea?"",""answer"":[""Theme parks""]}",1,,
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in South Korea known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in South Korea known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in South Korea known for its sports team?"",""answer"":[""Yonsei University""]}",1,,
Al-en-19,What is a popular second language for high school students in South Korea?,"Show your thoughts clearly and answer the following question.

What is a popular second language for high school students in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is a popular second language for high school students in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is a popular second language for high school students in South Korea?"",""answer"":[""English""]}",1,,
Ne-ar-09,What do people from South Korea eat in Eid ul Fitr?,"Show your thoughts clearly and answer the following question.

What do people from South Korea eat in Eid ul Fitr?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What do people from South Korea eat in Eid ul Fitr?"",""answer"":[""answer here""]}","{""question"":""What do people from South Korea eat in Eid ul Fitr?"",""answer"":[""People from South Korea do not traditionally celebrate Eid ul Fitr, as it is a Muslim holiday, and South Korea is predominantly non-Muslim, so there is no traditional food associated with it in the country.""]}",1,,
New-su-24,What sports do parents and children commonly play together in South Korea?,"Show your thoughts clearly and answer the following question.

What sports do parents and children commonly play together in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports do parents and children commonly play together in South Korea?"",""answer"":[""answer here""]}","{""question"":""What sports do parents and children commonly play together in South Korea?"",""answer"":[""soccer""]}",1,,
Ji-ko-42,What are the required subjects in South Korea's university entrance exam?,"Show your thoughts clearly and answer the following question.

What are the required subjects in South Korea's university entrance exam?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What are the required subjects in South Korea's university entrance exam?"",""answer"":[""answer here""]}","{""question"":""What are the required subjects in South Korea's university entrance exam?"",""answer"":[""Korean"",""Mathematics"",""English"",""Science"",""Social Studies""]}",1,,
New-pe-06,What is the most popular stew in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular stew in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular stew in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular stew in South Korea?"",""answer"":[""Kimchi""]}",1,,
New-pe-86,What is the name of the most famous tower in South Korea?,"Show your thoughts clearly and answer the following question.

What is the name of the most famous tower in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the name of the most famous tower in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the name of the most famous tower in South Korea?"",""answer"":[""N Seoul Tower""]}",1,,
Th-en-53,What is the most popular extracurricular social event at schools in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular extracurricular social event at schools in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular extracurricular social event at schools in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular extracurricular social event at schools in South Korea?"",""answer"":[""Culture and Arts Festival""]}",1,,
Ca-sp-06,Which is the most important meal of the day to people from South Korea?,"Show your thoughts clearly and answer the following question.

Which is the most important meal of the day to people from South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which is the most important meal of the day to people from South Korea?"",""answer"":[""answer here""]}","{""question"":""Which is the most important meal of the day to people from South Korea?"",""answer"":[""breakfast""]}",1,,
New-en-41,Who is the most well known and successful entrepreneur in South Korea?,"Show your thoughts clearly and answer the following question.

Who is the most well known and successful entrepreneur in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Who is the most well known and successful entrepreneur in South Korea?"",""answer"":[""answer here""]}","{""question"":""Who is the most well known and successful entrepreneur in South Korea?"",""answer"":[""Lee Kun-hee""]}",1,,
New-su-33,What is the common dress code for school teachers in South Korea?,"Show your thoughts clearly and answer the following question.

What is the common dress code for school teachers in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the common dress code for school teachers in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the common dress code for school teachers in South Korea?"",""answer"":[""Business casual or professional attire, typically including blazers, button-up shirts, skirts, or slacks for women, and dress shirts, ties, and slacks for men, with neat and conservative styles""]}",1,,
Th-en-44,What is South Korea's most popular food for family meals on weekends?,"Show your thoughts clearly and answer the following question.

What is South Korea's most popular food for family meals on weekends?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is South Korea's most popular food for family meals on weekends?"",""answer"":[""answer here""]}","{""question"":""What is South Korea's most popular food for family meals on weekends?"",""answer"":[""bibimbap""]}",1,,
Th-en-45,What is the most popular weekday evening family activity in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular weekday evening family activity in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular weekday evening family activity in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular weekday evening family activity in South Korea?"",""answer"":[""Watching television""]}",1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in South Korea? (e.g., 1 month).","Show your thoughts clearly and answer the following question.

How long is the typical probation period for new employees before signing a formal contract in South Korea? (e.g., 1 month).Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long is the typical probation period for new employees before signing a formal contract in South Korea? (e.g., 1 month)."",""answer"":[""answer here""]}","{""question"":""How long is the typical probation period for new employees before signing a formal contract in South Korea? (e.g., 1 month)."",""answer"":[""3 months""]}",1,,
New-in-62,What university in South Korea is popular because of its engineering major? (Provide the official name.),"Show your thoughts clearly and answer the following question.

What university in South Korea is popular because of its engineering major? (Provide the official name.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What university in South Korea is popular because of its engineering major? (Provide the official name.)"",""answer"":[""answer here""]}","{""question"":""What university in South Korea is popular because of its engineering major? (Provide the official name.)"",""answer"":[""Seoul National University""]}",1,,
Ji-ko-34,How do elementary school students in South Korea go to school?,"Show your thoughts clearly and answer the following question.

How do elementary school students in South Korea go to school?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How do elementary school students in South Korea go to school?"",""answer"":[""answer here""]}","{""question"":""How do elementary school students in South Korea go to school?"",""answer"":[""They typically go to school by walking, taking the school bus, or being driven by their parents or guardians.""]}",1,,
Ta-pe-21,Where do children usually play soccer in South Korea?,"Show your thoughts clearly and answer the following question.

Where do children usually play soccer in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do children usually play soccer in South Korea?"",""answer"":[""answer here""]}","{""question"":""Where do children usually play soccer in South Korea?"",""answer"":[""school fields""]}",1,,
Tmp-ar-01,Where do university students in South Korea usually go to study for their final exams?,"Show your thoughts clearly and answer the following question.

Where do university students in South Korea usually go to study for their final exams?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do university students in South Korea usually go to study for their final exams?"",""answer"":[""answer here""]}","{""question"":""Where do university students in South Korea usually go to study for their final exams?"",""answer"":[""library""]}",1,,
Ne-ar-38,Which food do people usually offer as charity in South Korea?,"Show your thoughts clearly and answer the following question.

Which food do people usually offer as charity in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which food do people usually offer as charity in South Korea?"",""answer"":[""answer here""]}","{""question"":""Which food do people usually offer as charity in South Korea?"",""answer"":[""rice cakes""]}",1,,
Jod-ch-01,What eating utensils do people commonly used in South Korea?,"Show your thoughts clearly and answer the following question.

What eating utensils do people commonly used in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What eating utensils do people commonly used in South Korea?"",""answer"":[""answer here""]}","{""question"":""What eating utensils do people commonly used in South Korea?"",""answer"":[""spoons"", ""chopsticks"", ""bowls""]}",1,,
New-gr-08,What type of alcoholic drink is most commonly consumed at festivals in South Korea?,"Show your thoughts clearly and answer the following question.

What type of alcoholic drink is most commonly consumed at festivals in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What type of alcoholic drink is most commonly consumed at festivals in South Korea?"",""answer"":[""answer here""]}","{""question"":""What type of alcoholic drink is most commonly consumed at festivals in South Korea?"",""answer"":[""soju""]}",1,,
Th-en-11,Who is the most popular sportperson in South Korea?,"Show your thoughts clearly and answer the following question.

Who is the most popular sportperson in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Who is the most popular sportperson in South Korea?"",""answer"":[""answer here""]}","{""question"":""Who is the most popular sportperson in South Korea?"",""answer"":[""Son Heung-min""]}",1,,
New-gr-15,What is the most popular traditional dessert in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular traditional dessert in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular traditional dessert in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular traditional dessert in South Korea?"",""answer"":[""Bingsu""]}",1,,
Ni-en-40,What is the most popular Christmas song in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular Christmas song in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular Christmas song in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular Christmas song in South Korea?"",""answer"":[""Jingle Bells""]}",1,,
Na-ko-20,What sports event do people from South Korea passionately support the most in international competitions?,"Show your thoughts clearly and answer the following question.

What sports event do people from South Korea passionately support the most in international competitions?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports event do people from South Korea passionately support the most in international competitions?"",""answer"":[""answer here""]}","{""question"":""What sports event do people from South Korea passionately support the most in international competitions?"",""answer"":[""Olympic Games""]}",1,,
Al-en-04,What is the most popular fruit in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular fruit in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular fruit in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular fruit in South Korea?"",""answer"":[""Strawberry""]}",1,,
New-gr-06,What is the most popular food in South Korea among young people?,"Show your thoughts clearly and answer the following question.

What is the most popular food in South Korea among young people?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular food in South Korea among young people?"",""answer"":[""answer here""]}","{""question"":""What is the most popular food in South Korea among young people?"",""answer"":[""tanghulu""]}",1,,
New-su-34,What is the most popular extracurricular activity related to music in schools in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular extracurricular activity related to music in schools in South Korea?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular extracurricular activity related to music in schools in South Korea?"",""answer"":[""answer here""]}","{""question"":""What is the most popular extracurricular activity related to music in schools in South Korea?"",""answer"":[""choir""]}",1,,
Ji-ko-26,What are the key milestones associated with children's independence from their parents in South Korea's society?,"Show your thoughts clearly and answer the following question.

What are the key milestones associated with children's independence from their parents in South Korea's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What are the key milestones associated with children's independence from their parents in South Korea's society?"",""answer"":[""answer here""]}","{""question"":""What are the key milestones associated with children's independence from their parents in South Korea's society?"",""answer"":[""Moving out of the family home"",""Completing higher education"",""Securing full-time employment"",""Getting married""]}",1,,
