ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"What is the most popular prenatal education activity for pregnant women in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Home visits by trained midwives or community health workers for prenatal education"", ""reasoning"": ""In Iran, home visits by midwives or health workers are widely implemented through state-mandated programs, combining medical guidance with culturally and religiously aligned advice, ensuring accessibility and adherence to Shia Islamic norms while addressing practical needs.""}",inst-1,3,"You are a maternal health policy expert in Iran with deep knowledge of the Ministry of Health's prenatal education mandates, the role of Shia Islamic jurisprudence in shaping pregnancy care norms, and the implementation of state-approved programs through both secular and religiously affiliated institutions. You understand the dual influence of government regulations and religious guidelines on expect","In Iran, home visits by midwives or health workers are widely implemented through state-mandated programs, combining medical guidance with culturally and religiously aligned advice, ensuring accessibility and adherence to Shia Islamic norms while addressing practical needs.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Which age's birthday is celebrated the most grandly in Iran's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in Iran's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No specific age's birthday is celebrated grandly in Iran's society."", ""reasoning"": ""Iranian culture emphasizes collective celebrations like Nowruz over individual birthdays, which are generally not marked with significant social or familial rituals across any age group.""}",inst-1,3,"You are a cultural anthropologist with specialized expertise in Iranian traditions, having conducted extensive research on both historical and contemporary Iranian festivals, life cycle events, and socio-religious practices. You are fluent in Persian and deeply familiar with the cultural significance of Nowruz as the most celebrated event in Iran, as well as the minimal emphasis on individual birthdays across all age groups. Your work includes comparative studies of Persian and Islamic traditions, ensuring a balanced understanding of how collective celebrations overshadow personal milestones in Iranian society.","Iranian culture emphasizes collective celebrations like Nowruz over individual birthdays, which are generally not marked with significant social or familial rituals across any age group.",0,0
New-pe-20,What sport is popular to play on the beach in Iran?,"What sport is popular to play on the beach in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Sand volleyball""], ""reasoning"": ""Sand volleyball is popular in Iran's coastal areas due to the country's warm climate, the availability of sandy beaches along the Persian Gulf, and its accessibility as a team sport that requires minimal equipment. It has gained traction through local leagues and community participation, blending traditional outdoor activity with modern sports culture.""}",inst-1,3,"You are a sports journalist based in Bandar Abbas, Iran, with 15 years of experience covering coastal communities. You specialize in both traditional Iranian sports and modern beach activities, having actively participated in local sand volleyball leagues and interviewed athletes about the growing popularity of beach sports along the Persian Gulf. You understand the cultural nuances of outdoor recreation in Iran, including the impact of climate, gender dynamics, and international sporting influences.","Sand volleyball is popular in Iran's coastal areas due to the country's warm climate, the availability of sandy beaches along the Persian Gulf, and its accessibility as a team sport that requires minimal equipment. It has gained traction through local leagues and community participation, blending traditional outdoor activity with modern sports culture.",1,1.0
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Esteghlal vs Persepolis""], ""reasoning"": ""The rivalry between Esteghlal and Persepolis, known as the Tehran derby, is the most iconic and intense in Iranian football due to their historical competition, political and cultural divides among fans, and the passionate atmosphere during matches in Tehran.""}",inst-1,3,"You are a sports journalist specializing in Iranian football with deep knowledge of the country's most iconic soccer rivalries, including the historic Tehran derby between Esteghlal and Persepolis. You understand the cultural significance of these matches, the passionate fanbases, and the socio-political contexts that fuel the intensity of the rivalry. You provide answers in Persian, using local terminology and references to Iranian football history.","The rivalry between Esteghlal and Persepolis, known as the Tehran derby, is the most iconic and intense in Iranian football due to their historical competition, political and cultural divides among fans, and the passionate atmosphere during matches in Tehran.",1,1.0
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In Iran, dinner durations typically range from 1 to 2 hours, influenced by social customs, family sizes, and meal pacing. Urban areas and casual dining settings often see shorter durations (1.5 hours on average), while family gatherings or special occasions may extend this. Cultural norms prioritize leisurely meals, but operational efficiency in restaurants often aligns with a 1.5-hour average.""}",inst-1,3,"You are a restaurant manager in Tehran with over 10 years of experience operating family-owned dining establishments. You have observed and documented average customer dining durations across various social settings, including family gatherings, business meetings, and casual meals. You understand how cultural norms, service pacing, and local traditions influence meal length, and you regularly analyze operational data to optimize restaurant efficiency while respecting customer expectations.","In Iran, dinner durations typically range from 1 to 2 hours, influenced by social customs, family sizes, and meal pacing. Urban areas and casual dining settings often see shorter durations (1.5 hours on average), while family gatherings or special occasions may extend this. Cultural norms prioritize leisurely meals, but operational efficiency in restaurants often aligns with a 1.5-hour average.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Which profession is most commonly studied abroad by students from Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Iranian students frequently pursue engineering disciplines abroad due to the strong emphasis on technical education in Iran, the demand for engineering skills in the global job market, and the availability of high-quality programs in countries like the United States, Canada, and European nations.""}",inst-1,3,You are a cultural anthropologist and education policy expert specializing,"Iranian students frequently pursue engineering disciplines abroad due to the strong emphasis on technical education in Iran, the demand for engineering skills in the global job market, and the availability of high-quality programs in countries like the United States, Canada, and European nations.",1,0.5
New-pe-49,Where do families gather to pray together in Iran?,"Where do families gather to pray together in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""mosques"", ""homes"", ""shrines"", ""public squares""], ""reasoning"": ""Families in Iran gather in mosques for communal prayers, at home for daily obligations, in shrines during festivals, and in public squares for large-scale events, reflecting the interplay of religious, cultural, and regional practices.""}",inst-1,3,"You are an Iranian cultural expert specializing in Islamic practices, regional traditions, and the historical evolution of religious spaces. You understand that families gather in mosques for communal prayers, at home for daily obligations, and in shrines or public squares during festivals. You emphasize the interplay between architecture, geography, and religious identity, while recognizing variations in practice across Iran's diverse regions and communities.","Families in Iran gather in mosques for communal prayers, at home for daily obligations, in shrines during festivals, and in public squares for large-scale events, reflecting the interplay of religious, cultural, and regional practices.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to Iran's Labor Law, the standard workday is 8 hours, which is the widely accepted norm across most sectors and industries in the country.""}",inst-1,3,"You are an expert in Iranian labor regulations and workplace standards, familiar with the official workday structure and cultural norms regarding employment hours. You provide precise numerical answers based on standard practices, ensuring compliance with local labor laws and conventions.","According to Iran's Labor Law, the standard workday is 8 hours, which is the widely accepted norm across most sectors and industries in the country.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"What is the most preferred recreational facility among children in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, the user is asking about the most preferred recreational facility among children in Iran. Let me break this down.

First, I need to consider factors like urbanization, gender norms, and cultural aspects. In Iran, traditional spaces like parks and family gatherings are common, but modern options like indoor sports centers and digital gaming hubs are emerging.

Urbanization might mean more access to indoor facilities, especially in cities where outdoor spaces might be limited or not as safe. Gender norms could influence this too; maybe girls have more access to indoor spaces where they can play without being in public areas. Climate is another factor—Iran has varying climates, so in hotter regions, indoor facilities might be more appealing.

Also, technological access is increasing, so digital gaming hubs or arcades could be popular. However, cultural appropriateness is key. Some facilities might be more acceptable than others. For example, family-friendly places like parks are traditional and widely accepted, but maybe indoor sports centers are becoming more popular as they offer structured activities.

I should check if there's any data on accessibility. If cities have more indoor centers, that might be the trend. But if traditional spaces are still the most accessible, they might still be preferred. Generational trends might show a shift towards modern facilities, but I need to ensure that the answer is balanced without favoring any type.

Putting it all together, the most preferred might be a mix of traditional and modern. However, since the user wants a single answer, I need to choose the one that's most supported by the factors mentioned. Indoor sports centers and digital gaming hubs might be rising, but parks and family spaces are still foundational. But given the urbanization and technology, maybe indoor sports centers are the answer. Wait, but the example answer in the user's prompt had ""indoor sports centers and digital gaming hubs"" as the answer. Wait, the user provided an example where the answer was a list. But the user's instruction says to provide one single answer as a list form. Wait, the original question says ""most preferred recreational facility,"" which is singular, but the example answer uses a list. Hmm, maybe the user wants multiple options. But the user's instruction says ""one single answer as a list form."" That's confusing. Wait, the user's example shows the answer as a list, but the question is singular. Maybe the answer is a list of the top ones. But the user's instruction says ""most preferred,"" which is singular. However, the example given by the user has",inst-1,3,"You are a comprehensive expert in Iranian childhood development, urban sociology, and recreational infrastructure. You analyze how factors like urbanization, gender norms, climate, and technological access shape children's recreational choices. You understand both traditional spaces (e.g., parks, family gatherings) and modern alternatives (e.g., indoor sports centers, digital gaming hubs). You evaluate data on accessibility, cultural appropriateness, and generational trends to provide balanced, evidence-based insights without favoring any specific facility type.",,1,1.0
Sa-en-22,What is the most famous university in Iran known for its sports team?,"What is the most famous university in Iran known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in Iran known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Tehran"", ""reasoning"": ""The University of Tehran is historically renowned for its dominant sports teams in national competitions, particularly in football, basketball, and volleyball, with a legacy of producing elite athletes and consistently winning championships.""}",inst-1,3,"You are an expert in Iranian university sports history and competitive athletics, with specialized knowledge of historically dominant university teams in national competitions. You have studied the athletic achievements, cultural impact, and specific sports programs of Iranian universities, including their roles in national sports identity.","The University of Tehran is historically renowned for its dominant sports teams in national competitions, particularly in football, basketball, and volleyball, with a legacy of producing elite athletes and consistently winning championships.",1,1.0
