model,country,language,eval_method,score,iteration
qwen3-14b,UK,English,SEM-B,15.13157894736842,1
qwen3-14b,UK,English,SEM-W,14.035087719298245,1
qwen3-14b,US,English,SEM-B,16.702819956616054,1
qwen3-14b,US,English,SEM-W,15.61822125813449,1
qwen3-14b,South_Korea,English,SEM-B,15.157894736842106,1
qwen3-14b,South_Korea,English,SEM-W,13.087719298245617,1
qwen3-14b,Algeria,English,SEM-B,13.043478260869565,1
qwen3-14b,Algeria,English,SEM-W,11.46834477498093,1
qwen3-14b,China,English,SEM-B,16.244725738396625,1
qwen3-14b,China,English,SEM-W,14.437412095639942,1
qwen3-14b,Indonesia,English,SEM-B,14.166666666666666,1
qwen3-14b,Indonesia,English,SEM-W,12.329861111111112,1
qwen3-14b,Spain,English,SEM-B,13.219616204690832,1
qwen3-14b,Spain,English,SEM-W,12.029140014214642,1
qwen3-14b,Iran,English,SEM-B,12.719298245614036,1
qwen3-14b,Iran,English,SEM-W,11.699561403508772,1
qwen3-14b,Mexico,English,SEM-B,12.943632567849686,1
qwen3-14b,Mexico,English,SEM-W,12.21642310368824,1
qwen3-14b,Assam,English,SEM-B,11.949685534591197,1
qwen3-14b,Assam,English,SEM-W,10.391334730957372,1
qwen3-14b,Greece,English,SEM-B,14.565217391304348,1
qwen3-14b,Greece,English,SEM-W,12.307971014492756,1
qwen3-14b,Ethiopia,English,SEM-B,11.228813559322036,1
qwen3-14b,Ethiopia,English,SEM-W,9.276129943502823,1
qwen3-14b,Northern_Nigeria,English,SEM-B,10.10989010989011,1
qwen3-14b,Northern_Nigeria,English,SEM-W,8.992673992673993,1
qwen3-14b,Azerbaijan,English,SEM-B,14.925373134328357,1
qwen3-14b,Azerbaijan,English,SEM-W,13.098791755508174,1
qwen3-14b,North_Korea,English,SEM-B,9.45945945945946,1
qwen3-14b,North_Korea,English,SEM-W,8.314564564564565,1
qwen3-14b,West_Java,English,SEM-B,12.663755458515285,1
qwen3-14b,West_Java,English,SEM-W,10.727802037845704,1
