model,country,iteration,question_id,correct,model_response,ground_truth
qwen3.5-35b,UK,1,Al-en-01,1,fruit,fruit; apple; breadsticks; banana; cheese; toast
qwen3.5-35b,UK,1,Al-en-04,1,banana,apple; apples; banana
qwen3.5-35b,UK,1,Al-en-19,1,french,french; spanish; german
qwen3.5-35b,UK,1,Al-en-36,0,toffee apples,pumpkin; pumpkins; sweets; chocolate
qwen3.5-35b,UK,1,Al-en-39,1,birthday cake,cake; birthday cake
qwen3.5-35b,UK,1,An-ar-03,1,6,5; 6
qwen3.5-35b,UK,1,Ca-sp-06,1,breakfast,breakfast; dinner; evening meal; supper; lunch
qwen3.5-35b,UK,1,Ca-sp-11,1,sunday,sunday; saturday; friday
qwen3.5-35b,UK,1,Ca-sp-41,1,nursing homes or care homes,care homes; retirement homes; sheltered accomodation; with relatives; with family
qwen3.5-35b,UK,1,Gu-ch-08,1,football,soccer; football; rugby; egg and spoon; netball; cricket
qwen3.5-35b,UK,1,Gu-ch-38,1,3,3
qwen3.5-35b,UK,1,Ji-ko-24,1,playgrounds,park; soft play; playground; indoor play gym
qwen3.5-35b,UK,1,Ji-ko-25,0,"christmas, easter, mother's day, father's day",christmas; easter; new year; caravan holidays; mother's day; father's day
qwen3.5-35b,UK,1,Ji-ko-26,0,"leaving home at 18, driving at 17, voting at 18, and financial independence at 18.",driving test at 17; passing driving test; driving; going to university; leaving school for university; leaving home; school; job; becoming an adult
qwen3.5-35b,UK,1,Ji-ko-28,0,nan,first birthday; birthday; christening; Baptism
qwen3.5-35b,UK,1,Ji-ko-29,1,18,1; 18; 21
qwen3.5-35b,UK,1,Ji-ko-33,1,home,canteen; back to school; home; form time
qwen3.5-35b,UK,1,Ji-ko-34,0,"walking, cycling, school bus, or parent drop-off.",walk; car; bus
qwen3.5-35b,UK,1,Ji-ko-35,1,independent schools,"boarding school; private school, public school, independent school; boarding schools"
qwen3.5-35b,UK,1,Ji-ko-36,1,mathematics,"english; maths; math, mathematics; science"
qwen3.5-35b,UK,1,Ji-ko-37,1,school uniforms,uniform; blazer; tie; jacket; trousers; skirt; shirt; black trousers
qwen3.5-35b,UK,1,Ji-ko-40,1,"socialize, eat lunch, or use mobile phones.","eat lunch; work part-time; go outside; talk with friends from different classes.; talk, chat, socialise"
