model,country,language,eval_method,score,iteration
qwen3-32b,UK,English,SEM-B,16.885964912280702,1
qwen3-32b,UK,English,SEM-W,14.87938596491228,1
qwen3-32b,UK,English,SEM-B,16.00877192982456,2
qwen3-32b,UK,English,SEM-W,14.477339181286547,2
qwen3-32b,UK,English,SEM-B,16.885964912280702,3
qwen3-32b,UK,English,SEM-W,14.95979532163743,3
qwen3-32b,UK,English,SEM-B,15.350877192982455,4
qwen3-32b,UK,English,SEM-W,14.07529239766082,4
qwen3-32b,UK,English,SEM-B,15.789473684210526,5
qwen3-32b,UK,English,SEM-W,14.294590643274857,5
qwen3-32b,US,English,SEM-B,17.35357917570499,1
qwen3-32b,US,English,SEM-W,15.383224873463485,1
qwen3-32b,US,English,SEM-B,17.35357917570499,2
qwen3-32b,US,English,SEM-W,15.328994938539406,2
qwen3-32b,US,English,SEM-B,17.35357917570499,3
qwen3-32b,US,English,SEM-W,15.29645697758496,3
qwen3-32b,US,English,SEM-B,18.004338394793926,4
qwen3-32b,US,English,SEM-W,15.925524222704263,4
qwen3-32b,US,English,SEM-B,17.136659436008678,5
qwen3-32b,US,English,SEM-W,15.07953723788865,5
qwen3-32b,South_Korea,English,SEM-B,14.947368421052632,1
qwen3-32b,South_Korea,English,SEM-W,12.877192982456142,1
qwen3-32b,South_Korea,English,SEM-B,13.473684210526317,2
qwen3-32b,South_Korea,English,SEM-W,11.421052631578949,2
qwen3-32b,South_Korea,English,SEM-B,14.105263157894738,3
qwen3-32b,South_Korea,English,SEM-W,11.614035087719298,3
qwen3-32b,South_Korea,English,SEM-B,13.894736842105262,4
qwen3-32b,South_Korea,English,SEM-W,11.771929824561402,4
qwen3-32b,South_Korea,English,SEM-B,13.894736842105262,5
qwen3-32b,South_Korea,English,SEM-W,12.29122807017544,5
qwen3-32b,Algeria,English,SEM-B,13.958810068649884,1
qwen3-32b,Algeria,English,SEM-W,11.945080091533182,1
qwen3-32b,Algeria,English,SEM-B,12.128146453089244,2
qwen3-32b,Algeria,English,SEM-W,10.316552250190693,2
qwen3-32b,Algeria,English,SEM-B,12.585812356979408,3
qwen3-32b,Algeria,English,SEM-W,10.652173913043478,3
qwen3-32b,Algeria,English,SEM-B,13.043478260869565,4
qwen3-32b,Algeria,English,SEM-W,11.079328756674292,4
qwen3-32b,Algeria,English,SEM-B,12.814645308924485,5
qwen3-32b,Algeria,English,SEM-W,10.964912280701752,5
qwen3-32b,China,English,SEM-B,13.924050632911392,1
qwen3-32b,China,English,SEM-W,11.856540084388186,1
qwen3-32b,China,English,SEM-B,14.345991561181432,2
qwen3-32b,China,English,SEM-W,12.482419127988749,2
qwen3-32b,China,English,SEM-B,14.556962025316457,3
qwen3-32b,China,English,SEM-W,13.094233473980308,3
qwen3-32b,China,English,SEM-B,13.502109704641349,4
qwen3-32b,China,English,SEM-W,12.074542897327706,4
qwen3-32b,China,English,SEM-B,14.135021097046414,5
qwen3-32b,China,English,SEM-W,12.40154711673699,5
qwen3-32b,Indonesia,English,SEM-B,12.5,1
