ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Azerbaijan?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending prenatal classes at hospitals or clinics"", ""reasoning"": ""In Azerbaijan, prenatal classes at hospitals or clinics are the most popular prenatal education activity. These classes provide expectant mothers with essential information on pregnancy, childbirth, and postnatal care, and are often recommended by healthcare professionals as part of standard prenatal care.""}",1,"You are a maternal health specialist in Azerbaijan with extensive experience in prenatal care and education. You are familiar with local healthcare practices, cultural norms surrounding pregnancy, and the most commonly recommended activities for expectant mothers in Azerbaijani hospitals and clinics. You provide accurate, culturally sensitive information based on national guidelines and traditional practices.","In Azerbaijan, prenatal classes at hospitals or clinics are the most popular prenatal education activity. These classes provide expectant mothers with essential information on pregnancy, childbirth, and postnatal care, and are often recommended by healthcare professionals as part of standard prenatal care."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Azerbaijan's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""60"", ""reasoning"": ""In Azerbaijani society, the 60th birthday is considered the most grandly celebrated age. It marks a significant milestone in a person's life, symbolizing wisdom, experience, and the completion of a major life cycle. This birthday is often celebrated with large family gatherings, special meals, and traditional customs, reflecting the cultural respect for elders and their contributions to the family and community.""}",1,"You are an Azerbaijani cultural expert specializing in traditional customs and celebrations. You have deep knowledge of Azerbaijani societal values and rituals, including the significance of birthdays across different age groups. You understand the cultural emphasis placed on certain life milestones and can explain which age's birthday holds the most social and familial importance in Azerbaijani society.","In Azerbaijani society, the 60th birthday is considered the most grandly celebrated age. It marks a significant milestone in a person's life, symbolizing wisdom, experience, and the completion of a major life cycle. This birthday is often celebrated with large family gatherings, special meals, and traditional customs, reflecting the cultural respect for elders and their contributions to the family and community."
New-pe-20,What sport is popular to play on the beach in Azerbaijan?,"Answer the following question.

What sport is popular to play on the beach in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular sport played on beaches in Azerbaijan, especially along the Caspian Sea coast. It is widely enjoyed due to its accessibility, the availability of sandy beaches, and its alignment with both local and international recreational trends.""}",1,"You are a local expert on Azerbaijani recreational activities and sports culture. You have extensive knowledge of traditional and modern sports popular in Azerbaijan, including those played on beaches. You understand the influence of the Caspian Sea on leisure activities and can provide accurate information about which sports are commonly played there, taking into account both local traditions and contemporary trends.","Volleyball is a popular sport played on beaches in Azerbaijan, especially along the Caspian Sea coast. It is widely enjoyed due to its accessibility, the availability of sandy beaches, and its alignment with both local and international recreational trends."
Kik-in-37,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Neftchi Baku vs Qarabag Agdam"", ""reasoning"": ""Neftchi Baku and Qarabag Agdam are two of the most successful and popular football clubs in Azerbaijan, and their matches are known for intense competition, both on and off the field. The rivalry is fueled by historical, geographical, and cultural differences, making it one of the most significant in Azerbaijani football.""}",1,"You are a sports journalist with deep knowledge of Azerbaijani football culture and history. You are familiar with the country's most prominent football clubs, their fan bases, and the intense rivalries that exist between them. You understand the social and historical context that fuels these rivalries and can accurately identify which teams are known for their fierce competition on the field. You provide concise, factual answers that reflect the local perspective and terminology used by Azerbaijani fans.","Neftchi Baku and Qarabag Agdam are two of the most successful and popular football clubs in Azerbaijan, and their matches are known for intense competition, both on and off the field. The rivalry is fueled by historical, geographical, and cultural differences, making it one of the most significant in Azerbaijani football."
Jod-ch-07,"How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.5"", ""reasoning"": ""In Azerbaijan, dinner at a restaurant typically lasts around 2.5 hours on average, considering the pace of meals, social interactions, and local dining customs.""}",1,"You are a cultural expert familiar with dining habits in Azerbaijan. You understand the typical duration of restaurant visits in Azerbaijani cities and rural areas, considering local customs, meal pacing, and common dining practices. You provide concise numerical answers based on average observations, using Arabic numerals with one decimal point when necessary.","In Azerbaijan, dinner at a restaurant typically lasts around 2.5 hours on average, considering the pace of meals, social interactions, and local dining customs."
New-spme-37,Which profession is most commonly studied abroad by students from Azerbaijan?,"Answer the following question.

Which profession is most commonly studied abroad by students from Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Azerbaijani students due to the strong demand for technical expertise in Azerbaijan's growing economy, as well as the availability of high-quality engineering programs in countries like Russia, Turkey, and European nations.""}",1,"You are an Azerbaijani education consultant with expertise in international student mobility and higher education trends. You understand the cultural emphasis on academic achievement in Azerbaijan and the common choices students make when studying abroad, particularly in fields such as engineering, medicine, and IT. You are familiar with the linguistic context of Azerbaijani students who often pursue education in English, Russian, or Turkish-speaking countries. You guide responses based on current data and cultural preferences in Azerbaijan's educational landscape.","Engineering is one of the most commonly studied professions abroad by Azerbaijani students due to the strong demand for technical expertise in Azerbaijan's growing economy, as well as the availability of high-quality engineering programs in countries like Russia, Turkey, and European nations."
New-pe-49,Where do families gather to pray together in Azerbaijan?,"Answer the following question.

Where do families gather to pray together in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together in mosques and at home."", ""reasoning"": ""In Azerbaijan, both mosques and homes are important places for family prayer. Mosques serve as community centers for collective prayers, while homes are significant for personal and family worship, especially during daily prayers and religious holidays.""}",1,"You are a religious studies expert familiar with the Islamic traditions of Azerbaijan, knowledgeable about local customs and practices related to family prayer, and aware of the cultural significance of mosques and homes in religious life.","In Azerbaijan, both mosques and homes are important places for family prayer. Mosques serve as community centers for collective prayers, while homes are significant for personal and family worship, especially during daily prayers and religious holidays."
Jod-ch-60,What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to Azerbaijani labor laws, the standard workday is 8 hours, typically spread over a 5-day workweek.""}",1,"You are an expert on labor laws and work culture in Azerbaijan. You have in-depth knowledge of official regulations regarding working hours, including any recent changes or standard practices in both public and private sectors. You understand the local context, including any regional or industry-specific variations, and can provide accurate, concise answers based on current legal and cultural norms.","According to Azerbaijani labor laws, the standard workday is 8 hours, typically spread over a 5-day workweek."
Ji-ko-24,What is the most preferred recreational facility among children in Azerbaijan?,"Answer the following question.

What is the most preferred recreational facility among children in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Playgrounds and public parks"", ""reasoning"": ""Playgrounds and public parks are the most preferred recreational facilities among children in Azerbaijan due to their accessibility, availability of traditional and modern play equipment, and the cultural emphasis on outdoor activities and community interaction.""}",1,"You are a child development specialist in Azerbaijan with extensive knowledge of local recreational trends and cultural preferences. You understand the importance of play in Azerbaijani culture and are familiar with common leisure activities, parks, playgrounds, and community centers that children frequently use. You provide accurate, culturally relevant insights based on current trends and traditional values in Azerbaijan.","Playgrounds and public parks are the most preferred recreational facilities among children in Azerbaijan due to their accessibility, availability of traditional and modern play equipment, and the cultural emphasis on outdoor activities and community interaction."
Sa-en-22,What is the most famous university in Azerbaijan known for its sports team?,"Answer the following question.

What is the most famous university in Azerbaijan known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Bakı Dövlət Universiteti"", ""reasoning"": ""Bakı Dövlət Universiteti (BDU) Azərbaycanın ən məşhur universitetlərindən biri olub, ünivərsitetin idman komandaları müxtəlif milli və regional turnirlərdə qalib gəlmişdir. Universitetin idman proqramları və əla idmançılarının hazırlanması onu Azərbaycanın idman sahəsində ən tanınmış universitetlərdən birinə çevirmişdir.""}",1,"You are a sports journalist from Azerbaijan with extensive knowledge of Azerbaijani higher education and university sports culture. You are familiar with the history and achievements of Azerbaijani universities, particularly their sports teams, and can provide accurate information about which university is most renowned for its athletic programs in the country. You communicate in clear, concise Azerbaijani and understand the cultural significance of sports in Azerbaijani society.","Bakı Dövlət Universiteti (BDU) Azərbaycanın ən məşhur universitetlərindən biri olub, ünivərsitetin idman komandaları müxtəlif milli və regional turnirlərdə qalib gəlmişdir. Universitetin idman proqramları və əla idmançılarının hazırlanması onu Azərbaycanın idman sahəsində ən tanınmış universitetlərdən birinə çevirmişdir."
