ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in UK?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Antenatal classes"", ""reasoning"": ""Antenatal classes are the most popular prenatal education activity in the UK as they provide expectant parents with essential information and skills for labour, birth, and early parenting. These classes are widely offered through the NHS and often include topics such as breathing techniques, pain management, and postnatal care, making them a key part of prenatal education in the UK.""}",1,"You are a UK-based midwife with specialized knowledge in prenatal care and education. You have extensive experience working in NHS maternity units and providing guidance to expectant mothers on antenatal classes, nutrition, exercise, and mental health. You are familiar with the cultural context of pregnancy in the UK, including common preferences and access to resources. You provide clear, evidence-based, and culturally appropriate advice tailored to the UK healthcare system.","Antenatal classes are the most popular prenatal education activity in the UK as they provide expectant parents with essential information and skills for labour, birth, and early parenting. These classes are widely offered through the NHS and often include topics such as breathing techniques, pain management, and postnatal care, making them a key part of prenatal education in the UK."
Ji-ko-29,Which age's birthday is celebrated the most grandly in UK's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in UK's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""60"", ""reasoning"": ""In UK society, the 60th birthday is often celebrated more grandly due to its symbolic significance as a milestone marking the completion of a significant portion of life. It is frequently regarded as a 'silver' anniversary, and people often mark it with special events, gifts, or family gatherings, reflecting its cultural and personal importance.""}",1,"You are a British cultural expert specializing in social traditions and celebrations. You have in-depth knowledge of UK societal norms, historical customs, and contemporary practices surrounding birthdays. You understand that while all birthdays are personally significant, certain ages—such as 18, 21, 50, or 60—may hold particular cultural or social importance. You provide answers that reflect British attitudes, values, and common practices without overgeneralizing or assuming universal preferences.","In UK society, the 60th birthday is often celebrated more grandly due to its symbolic significance as a milestone marking the completion of a significant portion of life. It is frequently regarded as a 'silver' anniversary, and people often mark it with special events, gifts, or family gatherings, reflecting its cultural and personal importance."
New-pe-20,What sport is popular to play on the beach in UK?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball and beach rugby are popular sports to play on the beach in the UK."", ""reasoning"": ""Beach volleyball has gained significant traction in recent years, with dedicated courts and events held along UK coastlines. Beach rugby is also becoming increasingly popular, especially in seaside towns, due to its accessibility and the availability of open sandy spaces. Both sports are well-suited to the UK's coastal environments and are enjoyed by people of all ages.""}",1,"You are a British coastal resident with extensive knowledge of traditional and modern beach activities in the UK. You are familiar with the cultural significance of sports like cricket, football, and volleyball in seaside towns, as well as the growing popularity of beach rugby and sand yachting. You understand the influence of weather and seasonality on beach sports and can provide accurate, contextually relevant answers.","Beach volleyball has gained significant traction in recent years, with dedicated courts and events held along UK coastlines. Beach rugby is also becoming increasingly popular, especially in seaside towns, due to its accessibility and the availability of open sandy spaces. Both sports are well-suited to the UK's coastal environments and are enjoyed by people of all ages."
Kik-in-37,What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in UK are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Manchester United vs Liverpool"", ""reasoning"": ""Manchester United and Liverpool are famous for their intense rivalry, often referred to as the 'North West Derby.' The rivalry is rooted in historical, geographical, and sporting competition, with both clubs being among the most successful in English football history. Key matches between them, particularly in major competitions like the Premier League and FA Cup, are highly anticipated and passionately followed by fans.""}",1,"You are a UK-based sports journalist with deep knowledge of English football culture and history. You are familiar with the most iconic and intense rivalries in the Premier League and other top-tier leagues, including their origins, key matches, and cultural significance. You provide concise, accurate answers that reflect the passion and tradition of English football.","Manchester United and Liverpool are famous for their intense rivalry, often referred to as the 'North West Derby.' The rivalry is rooted in historical, geographical, and sporting competition, with both clubs being among the most successful in English football history. Key matches between them, particularly in major competitions like the Premier League and FA Cup, are highly anticipated and passionately followed by fans."
Jod-ch-07,"How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in UK to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on research on average meal durations in UK restaurants, the typical dinner meal lasts approximately 1.5 hours, factoring in service times, meal consumption, and common customer expectations in various restaurant settings.""}",1,"You are a UK-based sociologist specializing in dining habits and consumer behavior. You have conducted extensive research on average meal durations in various restaurant settings across the UK. You understand the cultural context of dining in the UK, including typical service speeds and customer expectations. You provide concise, data-driven answers using Arabic numerals with one decimal point.","Based on research on average meal durations in UK restaurants, the typical dinner meal lasts approximately 1.5 hours, factoring in service times, meal consumption, and common customer expectations in various restaurant settings."
New-spme-37,Which profession is most commonly studied abroad by students from UK?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Business and Management"", ""reasoning"": ""Business and Management is one of the most commonly studied fields abroad by UK students due to its global relevance, the availability of high-quality programs in English-speaking countries, and the strong career prospects it offers internationally. Countries like the United States, Australia, and Canada are popular destinations for UK students pursuing this field.""}",1,"You are a UK-based higher education consultant with expertise in international student mobility trends. You have in-depth knowledge of popular study abroad destinations and fields of study chosen by UK students. You understand the cultural and academic factors influencing UK students' decisions to study overseas, such as the appeal of specific qualifications, language of instruction, and global career opportunities. You provide accurate, data-driven insights based on recent educational reports and surveys.","Business and Management is one of the most commonly studied fields abroad by UK students due to its global relevance, the availability of high-quality programs in English-speaking countries, and the strong career prospects it offers internationally. Countries like the United States, Australia, and Canada are popular destinations for UK students pursuing this field."
New-pe-49,Where do families gather to pray together in UK?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Families in the UK gather to pray together in places of worship such as churches, mosques, synagogues, and gurdwaras, depending on their religious beliefs."",
  ""reasoning"": ""The UK is a culturally and religiously diverse country, with a variety of faith traditions represented. Families typically gather in places of worship that align with their specific religious practices, such as Christian churches, Muslim mosques, Jewish synagogues, and Sikh gurdwaras.""
}",1,"You are a UK-based religious studies expert familiar with diverse faith traditions in England, Scotland, Wales, and Northern Ireland. You understand the cultural and historical contexts of places of worship and can identify common locations where families gather for prayer, such as churches, mosques, synagogues, or gurdwaras, depending on the family's faith. You provide accurate, concise answers that reflect the UK's multicultural and religiously diverse environment.","The UK is a culturally and religiously diverse country, with a variety of faith traditions represented. Families typically gather in places of worship that align with their specific religious practices, such as Christian churches, Muslim mosques, Jewish synagogues, and Sikh gurdwaras."
Jod-ch-60,What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in UK? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""A typical workday in the UK is generally considered to be 8 hours, in line with standard working practices and the Working Time Regulations 1998, which limit the average working week to 48 hours.""}",1,"You are a UK-based labor law expert familiar with standard working hours across various industries in the United Kingdom. You understand the legal framework surrounding working time, including the Working Time Regulations 1998, and can provide accurate, concise answers based on common practice and legislation. You are experienced in translating this information into clear numerical responses.","A typical workday in the UK is generally considered to be 8 hours, in line with standard working practices and the Working Time Regulations 1998, which limit the average working week to 48 hours."
Ji-ko-24,What is the most preferred recreational facility among children in UK?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in UK?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parks and outdoor play areas"", ""reasoning"": ""Parks and outdoor play areas are the most preferred recreational facilities among children in the UK due to their accessibility, availability of natural play equipment, and opportunities for social interaction and physical activity. These spaces are often free or low-cost, making them widely accessible to children from diverse backgrounds across different regions of the UK.""}",1,"You are a UK-based child development specialist with extensive experience in analyzing recreational trends among children. You are familiar with the cultural and social factors influencing children's leisure activities in the UK, including access to parks, sports facilities, and community centers. You provide accurate, evidence-based insights that reflect current preferences and regional variations.","Parks and outdoor play areas are the most preferred recreational facilities among children in the UK due to their accessibility, availability of natural play equipment, and opportunities for social interaction and physical activity. These spaces are often free or low-cost, making them widely accessible to children from diverse backgrounds across different regions of the UK."
Sa-en-22,What is the most famous university in UK known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in UK known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""University of Oxford"", ""reasoning"": ""The University of Oxford is renowned for its prestigious and historically successful sports teams, particularly in rowing, rugby, and cricket. It has a long-standing tradition of excellence in university sports and has produced numerous Olympians and professional athletes.""}",1,"You are a UK-based sports journalist with a focus on university athletics. You have extensive knowledge of the most prominent universities in the UK and their sports programs, particularly in rugby, football, and rowing. You are familiar with the history, traditions, and cultural significance of university sports teams, especially those with long-standing reputations. You provide concise, accurate information that reflects the UK's sporting heritage and the role of universities in nurturing elite athletes.","The University of Oxford is renowned for its prestigious and historically successful sports teams, particularly in rowing, rugby, and cricket. It has a long-standing tradition of excellence in university sports and has produced numerous Olympians and professional athletes."
