ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in Ethiopia?"",""answer"":[""attendance at antenatal care (ANC) clinics""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Ethiopia's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in Ethiopia's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in Ethiopia's society?"",""answer"":[""50""]}",1,,
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in Ethiopia?"",""answer"":[""football""]}",1,,
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""St. George vs. Ethiopian Police""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""1.5""]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from Ethiopia?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from Ethiopia?"",""answer"":[""Medicine""]}",1,,
New-pe-49,Where do families gather to pray together in Ethiopia?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in Ethiopia?"",""answer"":[""church""]}",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in Ethiopia?"",""answer"":[""Playground""]}",1,,
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Ethiopia known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in Ethiopia known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in Ethiopia known for its sports team?"",""answer"":[""Addis Ababa University""]}",1,,
Al-en-19,What is a popular second language for high school students in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is a popular second language for high school students in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is a popular second language for high school students in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What is a popular second language for high school students in Ethiopia?"",""answer"":[""English""]}",1,,
Ne-ar-09,What do people from Ethiopia eat in Eid ul Fitr?,"Show your thoughts clearly and answer the following question.

What do people from Ethiopia eat in Eid ul Fitr?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What do people from Ethiopia eat in Eid ul Fitr?"",""answer"":[""answer here""]}","{""question"":""What do people from Ethiopia eat in Eid ul Fitr?"",""answer"":[""Doro Wat, a spicy chicken stew""]}",1,,
New-su-24,What sports do parents and children commonly play together in Ethiopia?,"Show your thoughts clearly and answer the following question.

What sports do parents and children commonly play together in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sports do parents and children commonly play together in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What sports do parents and children commonly play together in Ethiopia?"",""answer"":[""traditional stick fighting"",""ganna (Ethiopian chess)"",""football (soccer)"",""tug of war"",""hide and seek""]}",1,,
Ji-ko-42,What are the required subjects in Ethiopia's university entrance exam?,"Show your thoughts clearly and answer the following question.

What are the required subjects in Ethiopia's university entrance exam?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What are the required subjects in Ethiopia's university entrance exam?"",""answer"":[""answer here""]}","{""question"":""What are the required subjects in Ethiopia's university entrance exam?"",""answer"":[""Amenity subjects such as English, Bahasa Indonesia, or French"",""Mathematics"",""Science for students who took Science Stream"",""Social Studies for students who took Humanities Stream""]}",1,,
New-pe-06,What is the most popular stew in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is the most popular stew in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular stew in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What is the most popular stew in Ethiopia?"",""answer"":[""Doro Wat""]}",1,,
New-pe-86,What is the name of the most famous tower in Ethiopia?,"Show your thoughts clearly and answer the following question.

What is the name of the most famous tower in Ethiopia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the name of the most famous tower in Ethiopia?"",""answer"":[""answer here""]}","{""question"":""What is the name of the most famous tower in Ethiopia?"",""answer"":[""St. George's Cathedral Tower""]}",1,,
