ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Spain?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Spain?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in Spain?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in Spain?"",""answer"":[""prenatal yoga""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Spain's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Spain's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in Spain's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in Spain's society?"",""answer"":[""18""]}",1,,
New-pe-20,What sport is popular to play on the beach in Spain?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Spain?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in Spain?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in Spain?"",""answer"":[""beach volleyball""]}",1,,
Kik-in-37,What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""Real Madrid vs Barcelona""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""2.5""]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from Spain?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Spain?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from Spain?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from Spain?"",""answer"":[""Business and Administration""]}",1,,
New-pe-49,Where do families gather to pray together in Spain?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Spain?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in Spain?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in Spain?"",""answer"":[""church""]}",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in Spain?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Spain?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in Spain?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in Spain?"",""answer"":[""Theme parks""]}",1,,
Sa-en-22,What is the most famous university in Spain known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Spain known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in Spain known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in Spain known for its sports team?"",""answer"":[""Universidad Politécnica de Madrid""]}",1,,
