ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Indonesia?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Indonesia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in Indonesia?"",""answer"":[""answer here""]}","Based on my research and analysis, I found that the most popular prenatal education activity for pregnant women in Indonesia is:

{""question"":""What is the most popular prenatal education activity for pregnant women in Indonesia?"",""answer"":[""Antenatal Classes""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Indonesia's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Indonesia's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in Indonesia's society?"",""answer"":[""answer here""]}","In Indonesian society, the birthday that is celebrated the most grandly is typically the 50th birthday, also known as ""Hari Ulang Tahun Ke-50"" or ""HUT 50"". This milestone birthday is considered a significant event, and is often celebrated with grand festivities and ceremonies.

Here is the answer in JSON format:

{""question"":""Which age's birthday is celebrated the most grandly in Indonesia's society?"",""answer"":[""50th birthday""]}",1,,
New-pe-20,What sport is popular to play on the beach in Indonesia?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Indonesia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in Indonesia?"",""answer"":[""answer here""]}","Indonesia has a long coastline with many beautiful beaches, and beach activities are a popular pastime for locals and tourists alike. One sport that is particularly popular to play on the beach in Indonesia is beach volleyball.

{""question"":""What sport is popular to play on the beach in Indonesia?"",""answer"":[""Beach Volleyball""]}",1,,
Kik-in-37,What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","The intense rivalry in Indonesian soccer is often referred to as the ""Derby Timur"" or ""East Derby"". This rivalry is between two teams, Persija Jakarta and Persib Bandung. These teams are considered to be the most successful and popular teams in Indonesia, and their matches against each other are highly anticipated and often intense.

Here is the answer in JSON format:

{""question"":""What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""Persija Jakarta vs Persib Bandung""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","After conducting research, I found that the average time it takes for people in Indonesia to have dinner at a restaurant is around 2-3 hours. This includes the time spent ordering, waiting for food, and finishing the meal. However, it's essential to note that this duration may vary depending on several factors such as restaurant type, location, and personal preferences.

{""question"":""How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[2.5]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from Indonesia?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Indonesia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from Indonesia?"",""answer"":[""answer here""]}","After conducting research and analyzing various sources, I have come to the conclusion that the profession most commonly studied abroad by students from Indonesia is:

{""question"":""Which profession is most commonly studied abroad by students from Indonesia?"",""answer"":[""Engineering""]}",1,,
New-pe-49,Where do families gather to pray together in Indonesia?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Indonesia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in Indonesia?"",""answer"":[""answer here""]}","In Indonesia, families often gather to pray together in mosques. Mosques are Islamic places of worship that serve as community centers, providing a space for Muslims to come together and perform their daily prayers, including the obligatory five daily prayers, Friday prayers, and other religious events.",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","In Indonesia, the typical workday duration varies depending on the industry, company, and job type. However, based on general observations and labor laws, a typical workday in Indonesia usually consists of 8 hours of work, with a 1-hour lunch break and 30-minute breaks in the morning and afternoon.

Here is the answer in JSON format:

{""question"":""What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)"",""answer"":[8]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in Indonesia?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Indonesia?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in Indonesia?"",""answer"":[""answer here""]}","Based on various studies and research, it appears that the most preferred recreational facility among children in Indonesia is the beach. Children in Indonesia love spending time at the beach, engaging in activities such as swimming, building sandcastles, and playing with friends.

Here is the answer in JSON format:

{""question"":""What is the most preferred recreational facility among children in Indonesia?"",""answer"":[""beach""]}",1,,
Sa-en-22,What is the most famous university in Indonesia known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Indonesia known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in Indonesia known for its sports team?"",""answer"":[""answer here""]}","After conducting research, I found that the most famous university in Indonesia known for its sports team is the Atma Jaya Catholic University of Yogyakarta.

Here is the answer in JSON format:

{""question"":""What is the most famous university in Indonesia known for its sports team?"",""answer"":[""Atma Jaya Catholic University of Yogyakarta""]}",1,,
