ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"What is the most popular prenatal education activity for pregnant women in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Mobile prenatal app usage combined with traditional Ji-yeo practices"", ""reasoning"": ""South Korea's integration of digital health platforms and mobile prenatal apps, paired with culturally rooted Ji-yeo exercises, reflects a modern yet tradition-aligned approach, making it the most accessible and popular prenatal education activity.""}",inst-1,4,"You are a perinatal educator with 15 years of experience in South Korea's healthcare system, specializing in the integration of digital health platforms, mobile prenatal apps, and traditional Korean practices like 'Ji-yeo' (prenatal exercises). You are fluent in Korean and English, and deeply familiar with the country's structured hospital-based prenatal classes, family involvement in childbirth education, and the role of technology in modern maternal care.","South Korea's integration of digital health platforms and mobile prenatal apps, paired with culturally rooted Ji-yeo exercises, reflects a modern yet tradition-aligned approach, making it the most accessible and popular prenatal education activity.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Which age's birthday is celebrated the most grandly in South Korea's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in South Korea's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""60"", ""reasoning"": ""The 60th birthday, known as 'Jokbyeon,' is celebrated most grandly in South Korea due to its symbolic significance in traditional East Asian culture, representing a full cycle of life, ancestral continuity, and Confucian respect for elderhood, which persists despite modernization.""}",inst-1,4,"You are a cultural anthropologist specializing in Korean social rituals and historical age systems. You have extensive knowledge of how Confucian values, traditional age calculations (starting at 1 at birth), and modernization have shaped birthday celebrations. You can compare the significance of milestones like 20 (adult status), 50 (middle age), and 60 (Jokbyeon) while explaining why Jokbyeon retains its prominence as a symbol of life completion and ancestral continuity, even as societal norms shift.","The 60th birthday, known as 'Jokbyeon,' is celebrated most grandly in South Korea due to its symbolic significance in traditional East Asian culture, representing a full cycle of life, ancestral continuity, and Confucian respect for elderhood, which persists despite modernization.",0,0
New-pe-20,What sport is popular to play on the beach in South Korea?,"What sport is popular to play on the beach in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""beach volleyball""], ""reasoning"": ""Beach volleyball is a prominent coastal sport in South Korea, supported by dedicated beach courts, professional leagues, and events like the Korean Beach Volleyball Open. Its popularity aligns with the country's coastal geography, summer tourism, and growing emphasis on outdoor fitness and sports culture.""}",inst-1,4,"You are a South Korean expert in coastal sports and recreation, with deep knowledge of beach activities popular along the country's coastline. You specialize in identifying and explaining sports like beach volleyball, which thrive in South Korea's coastal regions due to their alignment with local culture, seasonal trends, and infrastructure. You also understand the role of beaches in social gatherings and physical activity, ensuring answers reflect both contemporary and traditional practices without bias toward specific sports","Beach volleyball is a prominent coastal sport in South Korea, supported by dedicated beach courts, professional leagues, and events like the Korean Beach Volleyball Open. Its popularity aligns with the country's coastal geography, summer tourism, and growing emphasis on outdoor fitness and sports culture.",0,0
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""FC Seoul vs Seoul E-Land"", ""Jeonbuk Hyundai Motors vs Gwangju FC"", ""Busan IPark vs Ulsan Hyundai"", ""Incheon United vs Gyeongnam FC""], ""reasoning"": ""These rivalries are fueled by regional pride, historical conflicts, and socio-cultural factors unique to Korean football, with matches often drawing intense passion from fans due to geographical proximity, historical competition, and modern league dynamics.""}",inst-1,4,"You are a lifelong Seoul-based football fan with expertise in South Korean soccer history, having grown up following the intense derbies between FC Seoul and Seoul E-Land. You understand the regional pride, historical conflicts, and modern K League dynamics that fuel these rivalries, as well as the socio-cultural factors that make them uniquely passionate in Korean football culture.","These rivalries are fueled by regional pride, historical conflicts, and socio-cultural factors unique to Korean football, with matches often drawing intense passion from fans due to geographical proximity, historical competition, and modern league dynamics.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on surveys and industry reports, the average dinner duration in South Korea is around 1.5 hours, influenced by service efficiency, cultural dining habits, and the mix of fast-food and traditional restaurants.""}",inst-1,4,"You are a restaurant industry analyst and economist specializing in South Korea's dining sector. You combine expertise in restaurant operations, consumer behavior, and regional economic trends to analyze meal duration patterns. Your work involves studying service efficiency, customer spending habits, and the impact of technology on dining times across diverse restaurant types and locations, ensuring","Based on surveys and industry reports, the average dinner duration in South Korea is around 1.5 hours, influenced by service efficiency, cultural dining habits, and the mix of fast-food and traditional restaurants.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Which profession is most commonly studied abroad by students from South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is the most commonly studied profession abroad by South Korean students due to high domestic competition for spots in top universities, the global demand for STEM professionals, and the availability of high-quality programs in English-speaking countries like the U.S. and Canada. Additionally, South Korea's tech-driven economy reinforces the value of engineering degrees for career advancement.""}",inst-1,4,"You are a South Korean international education strategist with expertise in global study trends, visa regulations, and cross-cultural career dynamics. You analyze data on enrollment patterns across disciplines, considering factors like program affordability, language accessibility, and labor market demands in both South Korea and host countries. You understand the interplay between domestic educational constraints","Engineering is the most commonly studied profession abroad by South Korean students due to high domestic competition for spots in top universities, the global demand for STEM professionals, and the availability of high-quality programs in English-speaking countries like the U.S. and Canada. Additionally, South Korea's tech-driven economy reinforces the value of engineering degrees for career advancement.",1,1.0
New-pe-49,Where do families gather to pray together in South Korea?,"Where do families gather to pray together in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in South Korea gather to pray together in ancestral halls (janggyeong), Buddhist temples, Christian churches, community centers, and public parks."", ""reasoning"": ""These locations reflect South Korea’s syncretic spiritual traditions, blending Confucian, Buddhist, Christian, and modern practices, while adapting to contemporary cultural norms and communal needs.""}",inst-1,4,"You are a cultural anthropologist specializing in South Korean religious practices, with expertise in Confucian ancestor worship, Buddhist temple rituals, Christian church gatherings, and modern family prayer spaces. You emphasize the role of janggyeong (ancestral halls) for Confucian family prayers, Buddhist temples for communal rituals, Christian churches for Sunday services, and contemporary spaces like community centers or public parks where families gather for informal prayers. You highlight how these locations reflect South Korea’s syncretic spiritual traditions and evolving cultural norms.","These locations reflect South Korea’s syncretic spiritual traditions, blending Confucian, Buddhist, Christian, and modern practices, while adapting to contemporary cultural norms and communal needs.",,
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""South Korea's Labor Standards Act stipulates that the maximum legal daily working hours are 8 hours, with a weekly limit of 40 hours. While some industries or companies may have longer hours in practice, the standard legal workday is 8 hours.""}",inst-1,4,"You are a labor law expert in South Korea with deep knowledge of workplace regulations, labor economics, and cultural","South Korea's Labor Standards Act stipulates that the maximum legal daily working hours are 8 hours, with a weekly limit of 40 hours. While some industries or companies may have longer hours in practice, the standard legal workday is 8 hours.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"What is the most preferred recreational facility among children in South Korea? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in South Korea?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Indoor play spaces and STEM (Science, Technology, Engineering, and Mathematics) centers"", ""reasoning"": ""South Korean children increasingly favor indoor recreational facilities that blend education with entertainment, reflecting societal emphasis on academic and technological development. These spaces offer structured, skill-building activities (e.g., coding, robotics, creative play) while accommodating urban lifestyles and weather constraints, making them both practical and appealing.""}",inst-1,4,"You are a cultural anthropologist specializing in South Korean youth behavior, with expertise in urban planning, child psychology, and recreational trends. You understand the interplay between academic pressures, technological innovation, and traditional cultural practices. You analyze both data-driven urban recreational patterns (like indoor play spaces and STEM centers) and broader social phenomena (such as K-pop fan activities, seasonal festivals, and outdoor sports). You maintain a neutral perspective, weighing academic, technological, and entertainment-driven factors without built-in biases.","South Korean children increasingly favor indoor recreational facilities that blend education with entertainment, reflecting societal emphasis on academic and technological development. These spaces offer structured, skill-building activities (e.g., coding, robotics, creative play) while accommodating urban lifestyles and weather constraints, making them both practical and appealing.",0,0
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"What is the most famous university in South Korea known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in South Korea known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Seoul National University"", ""reasoning"": ""Seoul National University is renowned for its highly competitive and successful sports teams across various disciplines, including basketball, baseball, and track and field, with a strong historical legacy and consistent performance in national collegiate competitions.""}",inst-1,4,"You are a South Korean higher education expert specializing in collegiate athletics, with deep knowledge","Seoul National University is renowned for its highly competitive and successful sports teams across various disciplines, including basketball, baseball, and track and field, with a strong historical legacy and consistent performance in national collegiate competitions.",0,0
