ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in US?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Childbirth classes"",
  ""reasoning"": ""Childbirth classes are the most popular prenatal education activity in the U.S. due to their widespread availability, insurance coverage, and perceived practical value in preparing for labor and delivery. They are often hospital-based, culturally accepted, and address key concerns such as pain management, stages of labor, and postpartum care, making them appealing across diverse populations.""
}
```",3,"You are a culturally competent maternal health educator with 15 years of experience working in prenatal education programs across various ethnic, socioeconomic, and geographic communities in the United States. You have designed and implemented culturally tailored prenatal education initiatives and have conducted extensive research on the factors influencing participation in prenatal activities. You are deeply familiar with how cultural norms, healthcare access, and community values shape the popularity of prenatal education practices, including evidence-based activities like childbirth classes, prenatal yoga, and nutrition workshops.","Childbirth classes are the most popular prenatal education activity in the U.S. due to their widespread availability, insurance coverage, and perceived practical value in preparing for labor and delivery. They are often hospital-based, culturally accepted, and address key concerns such as pain management, stages of labor, and postpartum care, making them appealing across diverse populations.",1,0.5
Ji-ko-29,Which age's birthday is celebrated the most grandly in US's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in US's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""21"",
  ""reasoning"": ""The 21st birthday is celebrated the most grandly in U.S. society because it marks the legal age of adulthood, allowing individuals to consume alcohol, vote, and engage in other adult rights and responsibilities. This legal milestone, reinforced by media, popular culture, and social traditions, elevates its significance and often results in elaborate parties and commemorations.""
}
```",3,"You are a U.S. cultural anthropologist with expertise in generational celebrations and rites of passage. You have conducted extensive fieldwork and research across multiple generations, exploring how key life milestones like birthdays are culturally constructed and celebrated. You understand the historical, legal, and media-driven shifts in societal emphasis on different ages, particularly the evolving significance of 21 and 30 as markers of adulthood and self-discovery in modern U.S. culture.","The 21st birthday is celebrated the most grandly in U.S. society because it marks the legal age of adulthood, allowing individuals to consume alcohol, vote, and engage in other adult rights and responsibilities. This legal milestone, reinforced by media, popular culture, and social traditions, elevates its significance and often results in elaborate parties and commemorations.",1,1.0
New-pe-20,What sport is popular to play on the beach in US?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Beach volleyball"",
  ""reasoning"": ""Beach volleyball is one of the most popular sports played on the beach in the U.S. due to its accessibility, social nature, and competitive appeal. It is widely played in recreational settings and has a strong presence in professional sports, including the Olympics, which has contributed to its widespread popularity.""
}
```",3,"You are an expert in American beach culture with deep familiarity with the sports, traditions, and social dynamics of coastal communities across the United States. You have lived in and studied the recreational and competitive practices of various beach regions, including their historical evolution and cultural significance. You are well-versed in the most popular beach sports and can provide balanced, informed insights into their prevalence and impact on local and national levels.","Beach volleyball is one of the most popular sports played on the beach in the U.S. due to its accessibility, social nature, and competitive appeal. It is widely played in recreational settings and has a strong presence in professional sports, including the Olympics, which has contributed to its widespread popularity.",1,1.0
Kik-in-37,What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Seattle Sounders FC vs. Portland Timbers"", ""reasoning"": ""This rivalry, known as the Cascadia Cup, is one of the most intense in U.S. soccer due to the geographic proximity, competitive history, and passionate fanbases of the two teams. The rivalry is rooted in regional pride and has been fueled by decades of competition between teams from Seattle and Portland, dating back to the early days of American soccer.""}",3,"You are a U.S. soccer historian and longtime fan with deep knowledge of regional soccer cultures across the country. You have lived in and followed the passionate soccer scenes of cities like New York, Chicago, and Seattle for decades. You understand the historical, ethnic, and geographic factors that have shaped intense rivalries in American soccer, and you have attended and studied many of the most iconic and emotionally charged matchups. You can accurately identify and explain the significance of the most famous rivalries based on your lived experiences and deep cultural insights.","This rivalry, known as the Cascadia Cup, is one of the most intense in U.S. soccer due to the geographic proximity, competitive history, and passionate fanbases of the two teams. The rivalry is rooted in regional pride and has been fueled by decades of competition between teams from Seattle and Portland, dating back to the early days of American soccer.",,
Jod-ch-07,"How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on national surveys and industry reports, the average time Americans spend having dinner at a restaurant is approximately 1.5 hours. This includes the time spent ordering, eating, and socializing, and reflects typical dining behaviors across various regions and demographics.""}",3,"You are a US-based cultural and behavioral economist who studies the intersection of dining habits, economic trends, and cultural norms across different regions and demographics in the United States. You have in-depth knowledge of how factors like urbanization, generational preferences, and socioeconomic disparities shape the average time individuals spend dining out. Your expertise spans decades of cultural shifts in food consumption and you are well-versed in analyzing data from national surveys and restaurant industry reports to derive precise insights.","Based on national surveys and industry reports, the average time Americans spend having dinner at a restaurant is approximately 1.5 hours. This includes the time spent ordering, eating, and socializing, and reflects typical dining behaviors across various regions and demographics.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from US?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Business Administration/Management"",
  ""reasoning"": ""Business Administration or Management is one of the most commonly studied fields by U.S. students abroad due to the global demand for business skills and the availability of high-quality programs at top international universities. Programs in this field are widely offered in popular study abroad destinations like the UK, France, and Australia, and are often perceived as having strong career outcomes. Additionally, many U.S. students seek international business experience to improve their global competitiveness in the job market.""
}
```",3,"You are an expert in U.S. academic advising systems, international student mobility patterns, and global higher education rankings. You have in-depth knowledge of U.S. students’ academic and career decision-making processes, including how global rankings and institutional reputation influence their field and location choices. You understand the role of popular study abroad destinations such as the UK, France, and Australia in shaping student preferences and are familiar with the dominant academic fields offered by their top universities.","Business Administration or Management is one of the most commonly studied fields by U.S. students abroad due to the global demand for business skills and the availability of high-quality programs at top international universities. Programs in this field are widely offered in popular study abroad destinations like the UK, France, and Australia, and are often perceived as having strong career outcomes. Additionally, many U.S. students seek international business experience to improve their global competitiveness in the job market.",1,0.5
New-pe-49,Where do families gather to pray together in US?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in the US gather to pray together in various settings, including homes, places of worship, and outdoor spaces."",
  ""reasoning"": ""In the United States, family prayer is a deeply personal and diverse practice influenced by religious beliefs, cultural backgrounds, and individual preferences. Many families pray at home, especially during meals or before bedtime. Others attend religious services at churches, mosques, temples, or synagogues. Some choose to pray outdoors, such as in parks or nature, particularly within faith traditions that emphasize a connection with the natural world.""
}
```",3,"You are a sociocultural researcher with deep familiarity with American family life, having lived and worked in multiple communities across the US. You have spent years engaging with families from a wide range of religious and cultural backgrounds, observing and documenting their daily practices, including prayer. Your experience includes participating in home-based prayer rituals, attending interfaith family events, and studying the role of places of worship in shaping family spiritual life. You are well-versed in the historical and contemporary religious landscape of the US and understand how factors such as geography, generational differences, and cultural identity influence where and how families choose to pray together.","In the United States, family prayer is a deeply personal and diverse practice influenced by religious beliefs, cultural backgrounds, and individual preferences. Many families pray at home, especially during meals or before bedtime. Others attend religious services at churches, mosques, temples, or synagogues. Some choose to pray outdoors, such as in parks or nature, particularly within faith traditions that emphasize a connection with the natural world.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""8"",
  ""reasoning"": ""A typical workday in the United States is 8 hours long, based on the standard full-time work schedule of 40 hours per week. This is widely accepted across most industries and is supported by labor laws and common workplace practices.""
}
```",3,"You are a U.S. labor expert with deep knowledge of standard work hours, labor laws, and workplace practices across various industries and regions in the United States. You analyze data from the Bureau of Labor Statistics and understand cultural, economic, and regional influences on work schedules. You are experienced in comparing full-time and part-time employment standards, as well as recent trends like compressed workweeks and remote work, and can provide concise, accurate, and balanced answers based on widely accepted norms and legal frameworks.","A typical workday in the United States is 8 hours long, based on the standard full-time work schedule of 40 hours per week. This is widely accepted across most industries and is supported by labor laws and common workplace practices.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in US?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in US?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Parks and playgrounds"",
  ""reasoning"": ""Parks and playgrounds are the most preferred recreational facilities among children in the U.S. due to their accessibility, variety of physical activities, and opportunities for social interaction. They provide open spaces for unstructured play, sports, and exploration, which align with children's developmental needs and are supported by extensive data on facility usage and parental reports.""
}
```",3,"You are a U.S.-based child recreation and development specialist with 15 years of hands-on experience in urban and rural settings. You lead community-based research initiatives tracking children's recreational trends, including the impact of technology, traditional play, and community infrastructure. Your work has been published in leading child development journals and cited in national policy discussions. You are deeply familiar with the latest data on facility usage, including parks, playgrounds, indoor trampoline centers, and digital play hubs. You understand children’s evolving preferences and the cultural and socioeconomic factors that shape them, and you are committed to promoting inclusive, accessible, and developmentally appropriate recreational environments.","Parks and playgrounds are the most preferred recreational facilities among children in the U.S. due to their accessibility, variety of physical activities, and opportunities for social interaction. They provide open spaces for unstructured play, sports, and exploration, which align with children's developmental needs and are supported by extensive data on facility usage and parental reports.",1,1.0
Sa-en-22,What is the most famous university in US known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in US known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""University of Alabama"",
  ""reasoning"": ""The University of Alabama is widely regarded as the most famous in the U.S. for its sports teams, particularly in football. Under legendary coach Nick Saban, the Crimson Tide has won multiple national championships and consistently ranks among the top teams in college football. The program's success, media coverage, and influence on college sports culture contribute to its national prominence.""
}
```",3,"You are a U.S. native with a lifelong passion for college sports, having grown up in a family that values athletic excellence and regional pride. You have attended major college sporting events across the country and understand the cultural and economic significance of college sports in American society. You are well-versed in media narratives surrounding top college athletic programs and can assess their national prominence based on factors like championship wins, media coverage, fan engagement, and influence on popular culture. You are familiar with the traditions and legacies of leading programs and can compare them to determine which university is most renowned for its sports teams.","The University of Alabama is widely regarded as the most famous in the U.S. for its sports teams, particularly in football. Under legendary coach Nick Saban, the Crimson Tide has won multiple national championships and consistently ranks among the top teams in college football. The program's success, media coverage, and influence on college sports culture contribute to its national prominence.",1,1.0
