ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"What is the most popular prenatal education activity for pregnant women in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""most popular prenatal education activity"": ""antenatal classes""}], ""reasoning"": ""Based on various studies and reports, antenatal classes are widely regarded as the most popular prenatal education activity for pregnant women in China. These classes typically cover topics such as pregnancy, childbirth, parenting, and infant care, and are often provided by hospitals, clinics, or private companies.""}",inst-1,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Which age's birthday is celebrated the most grandly in China's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in China's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""60th birthday""], ""reasoning"": ""In Chinese culture, the 60th birthday is considered a significant milestone, marking the completion of the 60-year cycle of the Chinese calendar. It is traditionally seen as a time of celebration and reflection, and is often marked with grand festivities and gifts.""}",inst-1,1,,"In Chinese culture, the 60th birthday is considered a significant milestone, marking the completion of the 60-year cycle of the Chinese calendar. It is traditionally seen as a time of celebration and reflection, and is often marked with grand festivities and gifts."
New-pe-20,What sport is popular to play on the beach in China?,"What sport is popular to play on the beach in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Beach Volleyball""}], ""reasoning"": ""Beach volleyball is a popular sport in China, especially among young people, and is often played on beaches and coastal areas during the summer months.""}",inst-1,1,,
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Team"": ""Shanghai Shenhua"", ""Team"": ""Shanghai SIPG""}], ""reasoning"": ""The intense rivalry between Shanghai Shenhua and Shanghai SIPG is due to their geographical proximity, cultural significance, and frequent matches in national competitions.""}",inst-1,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [1.5], ""reasoning"": ""According to a survey by Chinese food delivery platform Ele.me, the average dining time at a restaurant in China is around 1 hour and 30 minutes. This includes time spent ordering, eating, and leaving the restaurant.""}",inst-1,1,,"According to a survey by Chinese food delivery platform Ele.me, the average dining time at a restaurant in China is around 1 hour and 30 minutes. This includes time spent ordering, eating, and leaving the restaurant."
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Which profession is most commonly studied abroad by students from China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Engineering""], ""reasoning"": ""Engineering is a highly sought-after field among Chinese students due to its strong demand in the Chinese job market and the country's rapid industrialization, as well as the reputation of international universities in this field.""}",inst-1,1,,"Engineering is a highly sought-after field among Chinese students due to its strong demand in the Chinese job market and the country's rapid industrialization, as well as the reputation of international universities in this field."
New-pe-49,Where do families gather to pray together in China?,"Where do families gather to pray together in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""Temples and shrines""}], ""reasoning"": ""In many Chinese households, families may gather to pray together at temples and shrines, which are often revered for their historical and cultural significance.""}",inst-1,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [8.5], ""reasoning"": ""The typical workday in China varies, but 8-9 hours is common, with a 30-45 minute lunch break.""}",inst-1,1,,"The typical workday in China varies, but 8-9 hours is common, with a 30-45 minute lunch break."
Ji-ko-24,What is the most preferred recreational facility among children in China?,"What is the most preferred recreational facility among children in China? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in China?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [{""name"": ""Amusement Parks""}], ""reasoning"": ""According to various studies and surveys, amusement parks are the most preferred recreational facility among children in China, providing a wide range of exciting rides, games, and entertainment options that cater to their sense of adventure and joy.""}",inst-1,1,,
Sa-en-22,What is the most famous university in China known for its sports team?,"What is the most famous university in China known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in China known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
DO NOT include any other text or comments in your response.","{""answer"": [""Beijing Sport University""], ""reasoning"": ""Beijing Sport University is one of the most renowned universities in China for its strong sports programs and achievements. It has produced many Olympic and World Champions in various sports, and its teams have won numerous national and international titles.""}",inst-1,1,,"Beijing Sport University is one of the most renowned universities in China for its strong sports programs and achievements. It has produced many Olympic and World Champions in various sports, and its teams have won numerous national and international titles."
