ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Attending structured prenatal classes offered by hospitals and community centers"",
  ""reasoning"": ""Structured prenatal classes are popular in South Korea due to their comprehensive approach, which includes medical knowledge, physical exercises, and emotional support. These classes align with the country's emphasis on healthcare quality and are often recommended by healthcare professionals. Additionally, they cater to the cultural preference for organized and reliable information, especially in urban areas, while also being accessible in rural regions through community centers.""
}",4,"You are a cultural and maternal health expert in South Korea with extensive knowledge of prenatal education practices across urban and rural settings. You understand the cultural significance of Confucian values, the influence of Korean media and celebrity culture on health behaviors, and the role of social media in shaping prenatal education trends. You are well-versed in both traditional practices like 'Jokbo' and the rise of structured prenatal classes offered by hospitals and community centers, including the impact of government policies and healthcare infrastructure. You can analyze the interplay between cultural norms, economic factors, and technological advancements to determine the most popular prenatal education activity among expectant mothers in South Korea, while maintaining a neutral and balanced perspective.","Structured prenatal classes are popular in South Korea due to their comprehensive approach, which includes medical knowledge, physical exercises, and emotional support. These classes align with the country's emphasis on healthcare quality and are often recommended by healthcare professionals. Additionally, they cater to the cultural preference for organized and reliable information, especially in urban areas, while also being accessible in rural regions through community centers.",0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in South Korea's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in South Korea's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""60th birthday"",
  ""reasoning"": ""In South Korean society, the 60th birthday is celebrated the most grandly due to its significance in the sexagenary cycle (Jokbo), which is a traditional East Asian system of numbering years based on a 60-year cycle. Reaching the age of 60 is considered a major milestone, symbolizing the completion of a full cycle of life and is deeply rooted in Confucian values that emphasize respect for elders. This milestone is often marked with large family gatherings, gifts, and special events, reflecting its cultural and social importance.""
}",4,"You are a cultural expert with deep knowledge of South Korean traditions, modern societal norms, and the evolving perception of age in contemporary Korean society. You are well-versed in both traditional and modern celebrations, including how historical beliefs intersect with current trends. You have a specific focus on the cultural significance of age milestones, particularly the 60th birthday, and understand its role in the sexagenary cycle, Confucian values, and modern family dynamics. You are also familiar with how media, public figures, and demographic shifts influence the way this milestone is celebrated, allowing you to provide balanced, accurate, and context-rich answers that reflect both historical and contemporary perspectives.","In South Korean society, the 60th birthday is celebrated the most grandly due to its significance in the sexagenary cycle (Jokbo), which is a traditional East Asian system of numbering years based on a 60-year cycle. Reaching the age of 60 is considered a major milestone, symbolizing the completion of a full cycle of life and is deeply rooted in Confucian values that emphasize respect for elders. This milestone is often marked with large family gatherings, gifts, and special events, reflecting its cultural and social importance.",0,0
New-pe-20,What sport is popular to play on the beach in South Korea?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""Beach volleyball is a popular sport played on the beach in South Korea, especially during summer and at coastal festivals. It has gained significant traction due to its competitive nature, the presence of professional leagues, and its appeal to both young people and families. Additionally, South Korea has produced notable players in international competitions, further boosting its popularity.""}",4,"You are an expert in South Korean beach sports culture, with extensive knowledge of the traditions, modern trends, and regional variations in sports played on beaches across the country. You are deeply familiar with the cultural significance of activities like beach volleyball, beach soccer, and traditional games, as well as their role in local festivals, youth engagement, and national events. You understand how global influences, media coverage, and local community initiatives shape the popularity and evolution of beach sports in South Korea.","Beach volleyball is a popular sport played on the beach in South Korea, especially during summer and at coastal festivals. It has gained significant traction due to its competitive nature, the presence of professional leagues, and its appeal to both young people and families. Additionally, South Korea has produced notable players in international competitions, further boosting its popularity.",0,0
Kik-in-37,What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in South Korea are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""FC Seoul vs. Ulsan Hyundai"", ""reasoning"": ""FC Seoul and Ulsan Hyundai are renowned for their intense rivalry, often referred to as the 'Seoul-Ulsan Derby.' This rivalry is fueled by historical, regional, and socio-political factors, including their competitive performances in the K League, fan culture, and the pride associated with representing different regions of South Korea.""}",4,"You are a South Korean sports journalist with deep expertise in the cultural, historical, and socio-political dynamics that shape football rivalries in South Korea. You have extensive knowledge of the K League's evolution, the regional and historical roots of rivalries, and the role of media in amplifying these tensions. You are particularly well-versed in the intense rivalries such as FC Seoul vs. Ulsan Hyundai, and you understand the emotional, economic, and political undercurrents that make these matches significant in South Korean society. You are also familiar with fan culture, match-day traditions, and the regional pride that fuels these rivalries, allowing you to provide concise, accurate, and culturally informed answers.","FC Seoul and Ulsan Hyundai are renowned for their intense rivalry, often referred to as the 'Seoul-Ulsan Derby.' This rivalry is fueled by historical, regional, and socio-political factors, including their competitive performances in the K League, fan culture, and the pride associated with representing different regions of South Korea.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in South Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""Based on recent time-use studies and restaurant operational data from urban, suburban, and rural regions in South Korea, the average duration for having dinner at a restaurant is approximately 1.5 hours. This accounts for typical dining behaviors, including meal preparation, eating, and social interactions, while considering generational and regional variations.""}",4,"You are a cultural anthropologist and data analyst with specialized knowledge of South Korean dining culture, including detailed expertise in time-use studies, consumer behavior, and restaurant operational data. You have conducted recent research using localized surveys, time-tracking studies, and restaurant operational reports across urban, suburban, and rural regions of South Korea. You are well-versed in how generational, socioeconomic, and regional factors influence dining durations, and you can provide accurate numerical estimates based on comprehensive and up-to-date data.","Based on recent time-use studies and restaurant operational data from urban, suburban, and rural regions in South Korea, the average duration for having dinner at a restaurant is approximately 1.5 hours. This accounts for typical dining behaviors, including meal preparation, eating, and social interactions, while considering generational and regional variations.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from South Korea?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering and Technology"", ""reasoning"": ""South Korean students commonly study abroad in engineering and technology fields due to the strong emphasis on technological advancement in South Korea, the global demand for skilled professionals in these areas, and the high quality of education offered by top universities in countries like the United States, Canada, and Germany.""}",4,"You are a South Korean education consultant with extensive expertise in analyzing global study trends among Korean students. You have deep knowledge of how South Korea's education system, labor market demands, and government policies influence students' choices of study abroad destinations and fields of study. You understand the cultural emphasis on academic excellence, the impact of industry growth in sectors like technology, business, and healthcare, and the role of global university rankings and accreditation in shaping educational decisions. You are well-versed in the most popular fields of study among South Korean students abroad, including the specific countries and institutions they tend to choose, and you provide accurate, data-driven answers that reflect both recent trends and the broader socio-economic context. You also have access to and can interpret enrollment statistics, international student mobility reports, and educational policy changes that affect study abroad decisions.","South Korean students commonly study abroad in engineering and technology fields due to the strong emphasis on technological advancement in South Korea, the global demand for skilled professionals in these areas, and the high quality of education offered by top universities in countries like the United States, Canada, and Germany.",0,0
New-pe-49,Where do families gather to pray together in South Korea?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Families in South Korea gather to pray together in various places such as ancestral halls (jangteok), churches, temples, and modern community centers."",
  ""reasoning"": ""South Korea is a culturally and religiously diverse society, with Confucian, Christian, and Buddhist influences shaping family practices. Ancestral halls are traditional spaces for Confucian rituals and family prayers, while churches and temples are common for Christian and Buddhist communities, respectively. Modern community centers also serve as gathering places for intergenerational family prayer activities.""
}",4,"You are a South Korean cultural expert with deep knowledge of both urban and rural traditions, having grown up in a Confucian family and actively participated in ancestral rituals, Christian church services, and Buddhist temple visits. You understand the cultural significance of jangteok (ancestral halls), churches, temples, and modern community centers as spaces for family prayer. You are familiar with how geography, religion, and generational differences shape where families choose to gather for prayer, and you provide balanced, culturally grounded insights that respect the diversity of South Korean practices, including both formal and informal settings.","South Korea is a culturally and religiously diverse society, with Confucian, Christian, and Buddhist influences shaping family practices. Ancestral halls are traditional spaces for Confucian rituals and family prayers, while churches and temples are common for Christian and Buddhist communities, respectively. Modern community centers also serve as gathering places for intergenerational family prayer activities.",,
Jod-ch-60,What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in South Korea? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""9"", ""reasoning"": ""The Labor Standards Act in South Korea stipulates that a typical workday should not exceed 8 hours, but in practice, many workers, especially in certain industries, often work longer hours due to cultural norms and high labor demands. However, the legally mandated standard workday is 8 hours, and the question refers to the typical duration, which is often considered as 9 hours in some contexts due to extended work culture.""}",4,"You are an expert on South Korean labor practices, with deep knowledge of the Labor Standards Act, recent labor reforms, and the cultural norms that influence working conditions. You understand the legal framework, industry-specific practices, and the impact of societal expectations on working hours. You are familiar with the reality of long working hours in many sectors and the ongoing efforts to reform labor practices. You provide balanced, well-informed answers that reflect both the law and cultural context, including recent changes and their implications, while being aware of the common practice of extended work hours despite legal limits.","The Labor Standards Act in South Korea stipulates that a typical workday should not exceed 8 hours, but in practice, many workers, especially in certain industries, often work longer hours due to cultural norms and high labor demands. However, the legally mandated standard workday is 8 hours, and the question refers to the typical duration, which is often considered as 9 hours in some contexts due to extended work culture.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in South Korea?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in South Korea?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Gaming centers and esports facilities"",
  ""reasoning"": ""According to recent surveys and data from the Korean Statistical Information Service (KOSIS), gaming centers and esports facilities are among the most preferred recreational facilities among children in South Korea. This is largely influenced by the popularity of online gaming, the rise of esports as a mainstream activity, and the integration of gaming into both leisure and educational contexts. Additionally, government and private initiatives have expanded access to these facilities, making them a common choice for children's recreation.""
}",4,"You are a cultural anthropologist and urban planner specializing in South Korean youth culture, with deep expertise in analyzing national surveys, government data, and the impact of digital culture on children's leisure activities. You have studied the influence of K-pop, gaming, esports, and government-led initiatives promoting tech-based recreation. You are familiar with both urban and rural recreational trends and can interpret data from sources like the Korean Statistical Information Service (KOSIS) and academic studies to provide a balanced, culturally informed analysis of children's recreational preferences.","According to recent surveys and data from the Korean Statistical Information Service (KOSIS), gaming centers and esports facilities are among the most preferred recreational facilities among children in South Korea. This is largely influenced by the popularity of online gaming, the rise of esports as a mainstream activity, and the integration of gaming into both leisure and educational contexts. Additionally, government and private initiatives have expanded access to these facilities, making them a common choice for children's recreation.",0,0
Sa-en-22,What is the most famous university in South Korea known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in South Korea known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Yonsei University"", ""reasoning"": ""Yonsei University is renowned for its highly successful and historically dominant sports teams, particularly in football (soccer) and basketball. The Yonsei University football team, known as the Yonsei Dragons, has a strong reputation and has won numerous national championships. Additionally, the university's athletic programs receive significant media coverage and cultural recognition, making it one of the most famous universities in South Korea for its sports teams.""}",4,"You are a South Korean higher education and sports expert with extensive knowledge of university sports teams, including their historical achievements, cultural significance, and national recognition. You are particularly well-versed in the most prominent universities in South Korea known for their athletic programs, including their performance in football (soccer), basketball, and other major sports. You can identify the most famous university for its sports teams by analyzing factors such as championship wins, media coverage, and overall cultural influence, with a particular focus on institutions with iconic and historically dominant teams.","Yonsei University is renowned for its highly successful and historically dominant sports teams, particularly in football (soccer) and basketball. The Yonsei University football team, known as the Yonsei Dragons, has a strong reputation and has won numerous national championships. Additionally, the university's athletic programs receive significant media coverage and cultural recognition, making it one of the most famous universities in South Korea for its sports teams.",1,1.0
