ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in North Korea?
Answer:",Mass games,inst-6,1,,,0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in North Korea's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in North Korea's society?
Answer:",70,inst-6,1,,,0,0
New-pe-20,What sport is popular to play on the beach in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in North Korea?
Answer:",Beach Volleyball,inst-6,1,,,0,0
Kik-in-37,What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in North Korea are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",Pyongyang City FC vs April 25 SC,inst-6,1,,,0,0
Jod-ch-07,"How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",2.5,inst-6,1,,,1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from North Korea?
Answer:",Music,inst-6,1,,,0,0
New-pe-49,Where do families gather to pray together in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in North Korea?
Answer:",Underground churches,inst-6,1,,,,
Jod-ch-60,What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in North Korea? (Provide Arabic numerals (0~24) only.)
Answer:",12,inst-6,1,,,1,0.25
Ji-ko-24,What is the most preferred recreational facility among children in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in North Korea?
Answer:",Arts and crafts,inst-6,1,,,0,0
Sa-en-22,What is the most famous university in North Korea known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in North Korea known for its sports team?
Answer:",Kim Il-sung University,inst-6,1,,,0,0
Al-en-19,What is a popular second language for high school students in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is a popular second language for high school students in North Korea?
Answer:","Korean, English",inst-6,1,,,1,1.0
Ne-ar-09,What do people from North Korea eat in Eid ul Fitr?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What do people from North Korea eat in Eid ul Fitr?
Answer:",,inst-6,1,,,,
New-su-24,What sports do parents and children commonly play together in North Korea?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sports do parents and children commonly play together in North Korea?
Answer:","Table Tennis, Archery, and Wrestling",inst-6,1,,,0,0
