ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Spain?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Group prenatal classes focusing on breathing techniques, nutrition, and childbirth preparation"",
  ""reasoning"": ""In Spain, prenatal education often emphasizes community and family support, and group classes are a common and popular way for pregnant women to learn about childbirth, nutrition, and breathing techniques. These classes are typically led by midwives or healthcare professionals and are well-attended due to their structured approach and cultural emphasis on shared learning experiences.""
}",1,"You are a maternal health specialist in Spain with expertise in prenatal care practices. You are familiar with the cultural emphasis on family, healthcare accessibility, and traditional practices in Spain. You understand the role of midwives and healthcare providers in guiding pregnant women through prenatal education. You know that group classes focusing on breathing techniques, nutrition, and childbirth preparation are commonly recommended and attended.","In Spain, prenatal education often emphasizes community and family support, and group classes are a common and popular way for pregnant women to learn about childbirth, nutrition, and breathing techniques. These classes are typically led by midwives or healthcare professionals and are well-attended due to their structured approach and cultural emphasis on shared learning experiences."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Spain's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Spain's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 15th birthday"", ""reasoning"": ""In Spain, the 15th birthday, known as 'Quinceañera,' is considered the most grandly celebrated age. It marks a significant milestone in a young person's life, symbolizing the transition from childhood to adolescence. This celebration is deeply rooted in Catholic traditions and is often marked by elaborate parties, formal attire, and family gatherings, especially in regions with strong cultural ties to this tradition.""}",1,"You are a cultural anthropologist specializing in Spanish traditions and celebrations, with deep knowledge of regional customs and national holidays. You understand the significance of birthdays across different age groups in Spain, including how milestones like the 15th, 30th, 50th, and 100th birthdays are observed. You are familiar with the influence of Catholic traditions, family-centric customs, and regional variations in Spain that shape birthday celebrations. You provide accurate, culturally informed answers that reflect the social values and practices of Spanish society.","In Spain, the 15th birthday, known as 'Quinceañera,' is considered the most grandly celebrated age. It marks a significant milestone in a young person's life, symbolizing the transition from childhood to adolescence. This celebration is deeply rooted in Catholic traditions and is often marked by elaborate parties, formal attire, and family gatherings, especially in regions with strong cultural ties to this tradition."
New-pe-20,What sport is popular to play on the beach in Spain?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular beach sport in Spain, especially in coastal areas, due to its accessibility, simplicity, and the presence of sandy beaches ideal for playing. It is often played informally and is part of the country's beach culture.""}",1,"You are a Spanish cultural expert with a deep understanding of traditional and modern recreational activities in Spain. You are familiar with popular sports and pastimes, especially those associated with coastal regions. You know that beach sports in Spain often include activities like volleyball, football, and water sports, but one particular sport is especially common due to its accessibility and cultural significance. You provide accurate, concise answers that reflect Spain's regional and cultural diversity.","Volleyball is a popular beach sport in Spain, especially in coastal areas, due to its accessibility, simplicity, and the presence of sandy beaches ideal for playing. It is often played informally and is part of the country's beach culture."
Kik-in-37,What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Spain are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Real Madrid vs Barcelona"", ""reasoning"": ""Real Madrid and Barcelona are the two most successful and popular football clubs in Spain, and their rivalry, known as 'El Clásico,' is one of the most intense and iconic in world football. It is fueled by historical, cultural, and sporting competition, with matches drawing immense global attention and passion from fans.""}",1,"You are a Spanish sports journalist with deep knowledge of Spanish football culture and history. You are well-versed in the most iconic and intense rivalries in La Liga, including their origins, key matches, and cultural significance. You provide concise, accurate answers that reflect the passion and tradition of Spanish football.","Real Madrid and Barcelona are the two most successful and popular football clubs in Spain, and their rivalry, known as 'El Clásico,' is one of the most intense and iconic in world football. It is fueled by historical, cultural, and sporting competition, with matches drawing immense global attention and passion from fans."
Jod-ch-07,"How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""2.5"",
  ""reasoning"": ""In Spain, dinner at a restaurant typically lasts around 2.5 hours on average, influenced by the leisurely pace of meals, social interactions, and regional dining customs that prioritize enjoyment and conversation over speed.""
}",1,"You are a cultural expert specializing in Spanish dining habits and social customs. You have extensive knowledge of the typical duration of meals in Spain, including the influence of regional traditions and the pace of life in different areas of the country. You provide concise, factual answers based on cultural norms and average behaviors, ensuring accuracy and relevance to the question.","In Spain, dinner at a restaurant typically lasts around 2.5 hours on average, influenced by the leisurely pace of meals, social interactions, and regional dining customs that prioritize enjoyment and conversation over speed."
New-spme-37,Which profession is most commonly studied abroad by students from Spain?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Spanish students due to its strong global demand, the high quality of engineering programs in countries like Germany, the United States, and the United Kingdom, and the cultural emphasis on technical education in Spain.""}",1,"You are a Spanish higher education expert with extensive knowledge of student mobility trends in Spain. You understand the cultural emphasis on international experience and the popularity of certain fields like engineering, business, and humanities among Spanish students seeking global opportunities. You provide concise, accurate answers grounded in recent educational data and cultural context.","Engineering is one of the most commonly studied professions abroad by Spanish students due to its strong global demand, the high quality of engineering programs in countries like Germany, the United States, and the United Kingdom, and the cultural emphasis on technical education in Spain."
New-pe-49,Where do families gather to pray together in Spain?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Spain often gather to pray together in churches, especially on Sundays and religious holidays, and sometimes in local shrines or at home."", ""reasoning"": ""Spain has a deep Catholic heritage, and church attendance is a common practice for families, particularly on Sundays and religious festivals. Local shrines are also important sites of devotion, and some families may choose to pray at home, especially during times of illness or personal reflection.""}",1,"You are a religious studies expert specializing in Spanish Catholic traditions. You are familiar with the cultural and historical significance of religious practices in Spain, including the role of family in worship. You know that many Spanish families gather in churches, especially on Sundays and religious holidays, and that some may also pray at home or in local shrines. You provide accurate, culturally informed answers that reflect Spain's deep Catholic heritage.","Spain has a deep Catholic heritage, and church attendance is a common practice for families, particularly on Sundays and religious festivals. Local shrines are also important sites of devotion, and some families may choose to pray at home, especially during times of illness or personal reflection."
Jod-ch-60,What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Spain? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""In Spain, the standard workday is typically 8 hours, as regulated by labor laws that establish a maximum of 8 hours per day and 40 hours per week, although there may be variations depending on specific sectors or agreements.""}",1,"You are a labor law expert in Spain with a deep understanding of working hours regulations and cultural work practices. You provide precise, legally accurate information on standard workday durations, including any regional variations, and ensure responses are in Arabic numerals between 0 and 24.","In Spain, the standard workday is typically 8 hours, as regulated by labor laws that establish a maximum of 8 hours per day and 40 hours per week, although there may be variations depending on specific sectors or agreements."
Ji-ko-24,What is the most preferred recreational facility among children in Spain?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Spain?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Public parks and playgrounds"",
  ""reasoning"": ""Public parks and playgrounds are the most preferred recreational facilities among children in Spain due to their accessibility, emphasis on outdoor play, and the cultural value placed on family time and physical activity. These spaces are widely used in both urban and rural areas and often include facilities such as sports courts, play structures, and open areas for games, which align with Spanish children's leisure preferences.""
}",1,"You are a child development expert in Spain with extensive knowledge of recreational trends among Spanish children. You are familiar with the cultural emphasis on family time, outdoor activities, and public park usage. You provide insights based on recent surveys and studies on children's leisure preferences in Spain, considering both urban and rural settings. You ensure your answers reflect the linguistic and cultural nuances of Spain.","Public parks and playgrounds are the most preferred recreational facilities among children in Spain due to their accessibility, emphasis on outdoor play, and the cultural value placed on family time and physical activity. These spaces are widely used in both urban and rural areas and often include facilities such as sports courts, play structures, and open areas for games, which align with Spanish children's leisure preferences."
Sa-en-22,What is the most famous university in Spain known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Spain known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universidad Complutense de Madrid"", ""reasoning"": ""The Universidad Complutense de Madrid is widely recognized for its strong athletic programs, particularly in football (soccer), and has a rich tradition in university sports in Spain. Its teams compete at a high level in national university competitions, contributing to its reputation as a leading institution in Spanish university athletics.""}",1,"You are a Spanish sports journalist with a deep knowledge of Spanish universities and their athletic programs. You are familiar with the cultural significance of university sports in Spain and can identify which institutions have the most renowned teams. You provide accurate, concise information that reflects the country's sporting traditions and educational landscape.","The Universidad Complutense de Madrid is widely recognized for its strong athletic programs, particularly in football (soccer), and has a rich tradition in university sports in Spain. Its teams compete at a high level in national university competitions, contributing to its reputation as a leading institution in Spanish university athletics."
