ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Northern Nigeria?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Antenatal clinic visits,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Northern Nigeria's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Northern Nigeria's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",40,1,,
New-pe-20,What sport is popular to play on the beach in Northern Nigeria?,"Answer the following question.

What sport is popular to play on the beach in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beach soccer,1,,
Kik-in-37,What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kano Pillars vs Enyimba,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.3,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Northern Nigeria?,"Answer the following question.

Which profession is most commonly studied abroad by students from Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Medicine,1,,
New-pe-49,Where do families gather to pray together in Northern Nigeria?,"Answer the following question.

Where do families gather to pray together in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mosques.,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Northern Nigeria?,"Answer the following question.

What is the most preferred recreational facility among children in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Football field.,1,,
Sa-en-22,What is the most famous university in Northern Nigeria known for its sports team?,"Answer the following question.

What is the most famous university in Northern Nigeria known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Bayero University Kano,1,,
Al-en-19,What is a popular second language for high school students in Northern Nigeria?,"Answer the following question.

What is a popular second language for high school students in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",French,1,,
Ne-ar-09,What do people from Northern Nigeria eat in Eid ul Fitr?,"Answer the following question.

What do people from Northern Nigeria eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Kilishi, Suya, and Momo.",1,,
New-su-24,What sports do parents and children commonly play together in Northern Nigeria?,"Answer the following question.

What sports do parents and children commonly play together in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Football, Basketball, and Chess.",1,,
Ji-ko-42,What are the required subjects in Northern Nigeria's university entrance exam?,"Answer the following question.

What are the required subjects in Northern Nigeria's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","English Language, Mathematics, Biology, Chemistry, Physics",1,,
New-pe-06,What is the most popular stew in Northern Nigeria?,"Answer the following question.

What is the most popular stew in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Pepper Pot Stew.,1,,
New-pe-86,What is the name of the most famous tower in Northern Nigeria?,"Answer the following question.

What is the name of the most famous tower in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Shekarau Minaret,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Northern Nigeria?,"Answer the following question.

What is the most popular extracurricular social event at schools in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Hajj and Umrah competition.,1,,
Ca-sp-06,Which is the most important meal of the day to people from Northern Nigeria?,"Answer the following question.

Which is the most important meal of the day to people from Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Breakfast,1,,
New-en-41,Who is the most well known and successful entrepreneur in Northern Nigeria?,"Answer the following question.

Who is the most well known and successful entrepreneur in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Aliko Dangote,1,,
New-su-33,What is the common dress code for school teachers in Northern Nigeria?,"Answer the following question.

What is the common dress code for school teachers in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Hijab and trousers/skirt.,1,,
Th-en-44,What is Northern Nigeria's most popular food for family meals on weekends?,"Answer the following question.

What is Northern Nigeria's most popular food for family meals on weekends?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Jollof Rice,1,,
Th-en-45,What is the most popular weekday evening family activity in Northern Nigeria?,"Answer the following question.

What is the most popular weekday evening family activity in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Watching football (soccer) together,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Northern Nigeria? (e.g., 1 month).","Answer the following question.

How long is the typical probation period for new employees before signing a formal contract in Northern Nigeria? (e.g., 1 month).

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",3-6 months,1,,
New-in-62,What university in Northern Nigeria is popular because of its engineering major? (Provide the official name.),"Answer the following question.

What university in Northern Nigeria is popular because of its engineering major? (Provide the official name.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Ahmadu Bello University (ABU), Zaria.",1,,
Ji-ko-34,How do elementary school students in Northern Nigeria go to school?,"Answer the following question.

How do elementary school students in Northern Nigeria go to school?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Many elementary school students in Northern Nigeria walk to school, while others use motorcycles or bicycles.",1,,
Ta-pe-21,Where do children usually play soccer in Northern Nigeria?,"Answer the following question.

Where do children usually play soccer in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Dusty fields and streets.,1,,
Tmp-ar-01,Where do university students in Northern Nigeria usually go to study for their final exams?,"Answer the following question.

Where do university students in Northern Nigeria usually go to study for their final exams?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mosques.,1,,
Ne-ar-38,Which food do people usually offer as charity in Northern Nigeria?,"Answer the following question.

Which food do people usually offer as charity in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Rice.,1,,
Jod-ch-01,What eating utensils do people commonly used in Northern Nigeria?,"Answer the following question.

What eating utensils do people commonly used in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Forks, knives, and spoons.",1,,
New-gr-08,What type of alcoholic drink is most commonly consumed at festivals in Northern Nigeria?,"Answer the following question.

What type of alcoholic drink is most commonly consumed at festivals in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Pito,1,,
Th-en-11,Who is the most popular sportperson in Northern Nigeria?,"Answer the following question.

Who is the most popular sportperson in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mikel Obi,1,,
New-gr-15,What is the most popular traditional dessert in Northern Nigeria?,"Answer the following question.

What is the most popular traditional dessert in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Kulikuli.,1,,
Ni-en-40,What is the most popular Christmas song in Northern Nigeria?,"Answer the following question.

What is the most popular Christmas song in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","""Sufurti""",1,,
Na-ko-20,What sports event do people from Northern Nigeria passionately support the most in international competitions?,"Answer the following question.

What sports event do people from Northern Nigeria passionately support the most in international competitions?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Basketball,1,,
Al-en-04,What is the most popular fruit in Northern Nigeria?,"Answer the following question.

What is the most popular fruit in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mango,1,,
New-gr-06,What is the most popular food in Northern Nigeria among young people?,"Answer the following question.

What is the most popular food in Northern Nigeria among young people?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Suya,1,,
New-su-34,What is the most popular extracurricular activity related to music in schools in Northern Nigeria?,"Answer the following question.

What is the most popular extracurricular activity related to music in schools in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Drumming,1,,
Ji-ko-26,What are the key milestones associated with children's independence from their parents in Northern Nigeria's society?,"Answer the following question.

What are the key milestones associated with children's independence from their parents in Northern Nigeria's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","1. Weaning (around 1 year)
2. Potty training (around 2 years)
3. Starting school (around 5-6 years)
4. Moving to a separate room (around 10-12 years)
5. Marrying (around 18-22 years)",1,,
Ne-ar-36,What is a typical festive meal in Northern Nigeria?,"Answer the following question.

What is a typical festive meal in Northern Nigeria?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Suya, Moin Moin, and Rice.",1,,
