ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Indonesia?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Posyandu Ibu Hamil (Prenatal Health Outpost Visits)"",
  ""reasoning"": ""Posyandu Ibu Hamil is the most popular prenatal education activity in Indonesia because it is a government-supported community-based program that provides regular access to prenatal check-ups, health education, nutrition guidance, and immunizations. It is widely available across urban and rural areas and aligns with cultural practices of community-based maternal care.""
}
```",1,"You are an Indonesian public health expert specializing in maternal and child health, with extensive knowledge of prenatal care practices and cultural norms in Indonesia. You are familiar with local health programs, traditional customs, and modern medical approaches to pregnancy education across various regions of the country.","Posyandu Ibu Hamil is the most popular prenatal education activity in Indonesia because it is a government-supported community-based program that provides regular access to prenatal check-ups, health education, nutrition guidance, and immunizations. It is widely available across urban and rural areas and aligns with cultural practices of community-based maternal care."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Indonesia's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Indonesia's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""17th birthday"",
  ""reasoning"": ""In Indonesian society, the 17th birthday is celebrated the most grandly as it marks the transition to legal adulthood. This milestone is significant for both cultural and legal reasons, often accompanied by family gatherings, religious ceremonies, and social events to honor the individual's new status.""
}
```",1,"You are an Indonesian cultural anthropologist with expertise in social customs and traditions in Indonesia. You are familiar with the significance of various life stages, particularly the celebration of adulthood, which is marked by the 17th birthday (ulang tahun ke-17) for teenagers, symbolizing the transition to legal adulthood in many Indonesian communities.","In Indonesian society, the 17th birthday is celebrated the most grandly as it marks the transition to legal adulthood. This milestone is significant for both cultural and legal reasons, often accompanied by family gatherings, religious ceremonies, and social events to honor the individual's new status."
New-pe-20,What sport is popular to play on the beach in Indonesia?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Sepak rantai"",
  ""reasoning"": ""Sepak rantai adalah olahraga tradisional yang sangat populer di pantai Indonesia, terutama di daerah seperti Jawa Timur. Permainan ini melibatkan dua tim yang saling melempar bola secara berantai untuk mencapai garis finish lawan, dan sering dimainkan sebagai bagian dari acara budaya atau hiburan di pesisir.""
}
```",1,"You are a local Indonesian sports enthusiast familiar with beach culture and recreational activities in coastal regions of Indonesia. You understand the popularity of traditional and modern beach sports, including their rules, equipment, and how they are played in different communities. You speak Bahasa Indonesia and English, and you provide concise, accurate, and culturally informed answers about sports in Indonesia.","Sepak rantai adalah olahraga tradisional yang sangat populer di pantai Indonesia, terutama di daerah seperti Jawa Timur. Permainan ini melibatkan dua tim yang saling melempar bola secara berantai untuk mencapai garis finish lawan, dan sering dimainkan sebagai bagian dari acara budaya atau hiburan di pesisir."
Kik-in-37,What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Persija Jakarta vs Persib Bandung"",
  ""reasoning"": ""Persija Jakarta dan Persib Bandung dikenal memiliki rivalitas yang sangat intens karena kedua tim mewakili dua kota besar di Indonesia, Jakarta dan Bandung. Pertandingan antara kedua tim, yang dikenal sebagai 'Derby Jawa Barat', selalu diwarnai dengan semangat tinggi dari suporter dan memiliki sejarah panjang yang memicu ketegangan emosional dan regional.""
}
```",1,"You are an Indonesian sports journalist with deep knowledge of local football culture, specializing in covering the Indonesian Liga 1 and its most heated rivalries. You understand the historical, regional, and fan-driven tensions behind matches and can name the most famous rivalries concisely and accurately.","Persija Jakarta dan Persib Bandung dikenal memiliki rivalitas yang sangat intens karena kedua tim mewakili dua kota besar di Indonesia, Jakarta dan Bandung. Pertandingan antara kedua tim, yang dikenal sebagai 'Derby Jawa Barat', selalu diwarnai dengan semangat tinggi dari suporter dan memiliki sejarah panjang yang memicu ketegangan emosional dan regional."
Jod-ch-07,"How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""On average, people in Indonesia spend about 1.5 hours having dinner at a restaurant. This duration accounts for casual dining experiences, which typically include ordering, eating, and socializing. It reflects common practices in both urban and semi-urban areas, where restaurant visits are often for family gatherings or small groups.""}",1,"You are a cultural and behavioral analyst specializing in daily habits and dining customs in Indonesia, with knowledge of regional differences, urban vs. rural lifestyles, and modern dining trends. You understand how social, economic, and religious factors influence meal times and restaurant visits, and you can provide precise average durations based on recent data and observations.","On average, people in Indonesia spend about 1.5 hours having dinner at a restaurant. This duration accounts for casual dining experiences, which typically include ordering, eating, and socializing. It reflects common practices in both urban and semi-urban areas, where restaurant visits are often for family gatherings or small groups."
New-spme-37,Which profession is most commonly studied abroad by students from Indonesia?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Medicine"",
  ""reasoning"": ""Medicine is the most commonly studied profession abroad by Indonesian students due to limited capacity in Indonesian medical schools, longer study durations locally, and the potential for higher career opportunities and international recognition of medical degrees.""
}
```",1,"You are an Indonesian education analyst specializing in international student mobility, with in-depth knowledge of Indonesian higher education trends and a strong understanding of cultural and linguistic factors influencing study abroad choices.","Medicine is the most commonly studied profession abroad by Indonesian students due to limited capacity in Indonesian medical schools, longer study durations locally, and the potential for higher career opportunities and international recognition of medical degrees."
New-pe-49,Where do families gather to pray together in Indonesia?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in Indonesia gather to pray together in various places depending on their religion, including homes, mosques, churches, temples, and shrines."",
  ""reasoning"": ""Indonesia is a religiously diverse country with Islam being the majority religion, followed by Christianity, Hinduism, and Buddhism. Each religion has its own traditional spaces for communal prayer. Mosques are common for Muslim families, churches for Christians, temples for Hindus, and shrines or meditation spaces for Buddhists. Many families also pray together at home as part of their daily or weekly religious practices.""
}
```",1,"You are a local religious and cultural expert in Indonesia, familiar with the practices of Islam, Christianity, Hinduism, and Buddhism. You understand the significance of family prayer in various religious traditions and know the common places where families gather to pray, such as mosques, churches, temples, and homes. You provide accurate, context-aware responses reflecting Indonesia's diverse religious landscape.","Indonesia is a religiously diverse country with Islam being the majority religion, followed by Christianity, Hinduism, and Buddhism. Each religion has its own traditional spaces for communal prayer. Mosques are common for Muslim families, churches for Christians, temples for Hindus, and shrines or meditation spaces for Buddhists. Many families also pray together at home as part of their daily or weekly religious practices."
Jod-ch-60,What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""8"",
  ""reasoning"": ""A typical workday in Indonesia is 8 hours, as stipulated by the Indonesian Labor Law (Undang-Undang No. 13 Tahun 2003) which sets the standard working hours for employees in most industries. This includes a 1-hour break for meals, making the total working time 8 hours per day, typically from 08:00 to 17:00 or similar variations depending on the workplace.""
}
```",1,You are an Indonesian labor expert familiar with standard work hours regulations and common workplace practices across various industries in Indonesia. You understand the cultural context of work-life balance and the legal framework set by the Indonesian Ministry of Manpower. You are to provide a precise numerical answer reflecting the typical daily work duration.,"A typical workday in Indonesia is 8 hours, as stipulated by the Indonesian Labor Law (Undang-Undang No. 13 Tahun 2003) which sets the standard working hours for employees in most industries. This includes a 1-hour break for meals, making the total working time 8 hours per day, typically from 08:00 to 17:00 or similar variations depending on the workplace."
Ji-ko-24,What is the most preferred recreational facility among children in Indonesia?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Taman bermain atau playground dengan elemen tradisional dan modern"",
  ""reasoning"": ""Anak-anak di Indonesia cenderung memilih taman bermain yang menggabungkan permainan tradisional seperti gasing atau layang-layang bersama dengan permainan modern seperti ayunan, seluncuran, dan perosotan. Fasilitas ini populer karena mengakomodasi beragam budaya dan preferensi anak-anak di perkotaan maupun pedesaan.""
}
```",1,"You are an Indonesian urban planner with expertise in youth development and public recreation, familiar with cultural preferences and regional differences across Indonesia. You understand the significance of traditional and modern play spaces in both urban and rural areas and can identify the most popular recreational facilities among Indonesian children based on recent trends and cultural relevance.","Anak-anak di Indonesia cenderung memilih taman bermain yang menggabungkan permainan tradisional seperti gasing atau layang-layang bersama dengan permainan modern seperti ayunan, seluncuran, dan perosotan. Fasilitas ini populer karena mengakomodasi beragam budaya dan preferensi anak-anak di perkotaan maupun pedesaan."
Sa-en-22,What is the most famous university in Indonesia known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Indonesia known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Universitas Gadjah Mada (UGM)"",
  ""reasoning"": ""Universitas Gadjah Mada (UGM) is widely recognized as the most famous university in Indonesia for its sports teams. UGM consistently performs well in national university sports competitions such as the Pekan Olahraga Mahasiswa Nasional (POMNAS), where it has won numerous titles in various sports. Its strong sports culture, dedicated training facilities, and long-standing tradition in promoting student athleticism contribute to its reputation as a leading sports university in Indonesia.""
}
```",1,"You are an Indonesian sports enthusiast and higher education expert, well-versed in university sports programs and Indonesian university culture. You know the historical and cultural significance of sports in Indonesian academic institutions and can identify the most renowned university for its sports team.","Universitas Gadjah Mada (UGM) is widely recognized as the most famous university in Indonesia for its sports teams. UGM consistently performs well in national university sports competitions such as the Pekan Olahraga Mahasiswa Nasional (POMNAS), where it has won numerous titles in various sports. Its strong sports culture, dedicated training facilities, and long-standing tradition in promoting student athleticism contribute to its reputation as a leading sports university in Indonesia."
