ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Massaging.,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in China's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",60,1,,
New-pe-20,What sport is popular to play on the beach in China?,"Answer the following question.

What sport is popular to play on the beach in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beach Volleyball,1,,
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Guangzhou Evergrande vs Shanghai SIPG,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.3,1,,
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Answer the following question.

Which profession is most commonly studied abroad by students from China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Engineering,1,,
New-pe-49,Where do families gather to pray together in China?,"Answer the following question.

Where do families gather to pray together in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Temple,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Answer the following question.

What is the most preferred recreational facility among children in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Swimming pool,1,,
Sa-en-22,What is the most famous university in China known for its sports team?,"Answer the following question.

What is the most famous university in China known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beijing Sport University,1,,
Al-en-19,What is a popular second language for high school students in China?,"Answer the following question.

What is a popular second language for high school students in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",English,1,,
Ne-ar-09,What do people from China eat in Eid ul Fitr?,"Answer the following question.

What do people from China eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Rice and noodles.,1,,
New-su-24,What sports do parents and children commonly play together in China?,"Answer the following question.

What sports do parents and children commonly play together in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Table tennis, badminton, and basketball.",1,,
Ji-ko-42,What are the required subjects in China's university entrance exam?,"Answer the following question.

What are the required subjects in China's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Mathematics, Chinese, and foreign languages.",1,,
New-pe-06,What is the most popular stew in China?,"Answer the following question.

What is the most popular stew in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Hot pot.,1,,
New-pe-86,What is the name of the most famous tower in China?,"Answer the following question.

What is the name of the most famous tower in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",The Great Wall of China,1,,
Th-en-53,What is the most popular extracurricular social event at schools in China?,"Answer the following question.

What is the most popular extracurricular social event at schools in China?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",KTV (Karaoke) parties.,1,,
