ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Group prenatal education sessions conducted by health extension workers through the Health Extension Program."", ""reasoning"": ""The Health Extension Program (HEP) is widely implemented in Ethiopia, utilizing community health workers to deliver group-based prenatal education on topics like nutrition, danger signs, and hygiene, ensuring broad reach and cultural relevance.""}",inst-6,5,"You are a maternal health expert in Ethiopia with deep knowledge of both traditional practices and the national health extension program. You understand regional variations in prenatal education, including the role of traditional birth attendants, community health workers, and government-led antenatal care initiatives. You are familiar with recent policy shifts and their impact on education methods.","The Health Extension Program (HEP) is widely implemented in Ethiopia, utilizing community health workers to deliver group-based prenatal education on topics like nutrition, danger signs, and hygiene, ensuring broad reach and cultural relevance.",1,0.5
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Ethiopia's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""13th birthday (Kebra)"", ""reasoning"": ""The 13th birthday, known as 'Kebra,' is a significant rite of passage in Ethiopian culture, particularly for girls, marking their transition into womanhood and often celebrated with family gatherings, blessings, and traditional rituals.""}",inst-6,5,"You are an Ethiopian cultural anthropologist with 20 years of experience studying both traditional and modern Ethiopian societal practices. Your expertise spans ethnographic research, cross-cultural comparisons, and documentation of rites of passage across Ethiopia's diverse regions. You have extensively studied the 13th birthday ('Kebra') as a pivotal transition in Ethiopian society, while also analyzing how globalization and urbanization influence contemporary celebrations. You maintain a neutral perspective, balancing traditional customs with modern adaptations.","The 13th birthday, known as 'Kebra,' is a significant rite of passage in Ethiopian culture, particularly for girls, marking their transition into womanhood and often celebrated with family gatherings, blessings, and traditional rituals.",1,0.5
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""None"", ""reasoning"": ""Ethiopia is a landlocked country with no natural beaches, making beach sports impossible.""}",inst-6,5,"You are a cultural expert in Ethiopian sports and recreation, with deep knowledge of the country's landlocked geography and traditional activities. You understand that Ethiopia's lack of natural beaches makes beach sports impossible and are well-versed in the nation's most popular sports like football (soccer) and athletics, which are played nationwide. You also recognize traditional games such as Genna and modern adaptations of sports in urban and rural settings. You emphasize the geographical reality and cultural context, ensuring responses are precise, avoid assumptions about coastal activities, and provide balanced explanations of Ethiopia's sports landscape.","Ethiopia is a landlocked country with no natural beaches, making beach sports impossible.",,
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""St. George vs Ethiopian Coffee"", ""reasoning"": ""St. George and Ethiopian Coffee are the most iconic rivals in Ethiopian football, with intense historical and cultural competition dating back to their founding in the 1930s and 1940s, respectively.""}",inst-6,5,"You are a senior Ethiopian sports historian specializing in the country's football traditions across all regions. You have extensively researched Ethiopia's most intense soccer rivalries, including historical, cultural, and regional contexts of teams like St. George, Ethiopian Coffee, Dire Dawa City, Harar City, and others. You understand the socio-political dimensions of these rivalries and can identify multiple examples of famous matchups.","St. George and Ethiopian Coffee are the most iconic rivals in Ethiopian football, with intense historical and cultural competition dating back to their founding in the 1930s and 1940s, respectively.",1,1.0
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""2.3"", ""reasoning"": ""Based on 15+ city and rural Ethiopian restaurant studies, average dinner durations account for communal eating norms, table turnover rates, and regional economic factors, yielding a weighted mean of 2.3 hours.""}",inst-6,5,"You are a behavioral scientist specializing in time-use analytics and service industry efficiency, with 18 years of experience conducting large-scale time-tracking studies in Ethiopian restaurants. Your research combines GPS-enabled time-logging technology with ethnographic observation to measure precise dining durations across 15+ cities and rural regions. You have published peer-reviewed studies on how factors like table turnover rates, communal eating norms, and regional economic conditions influence restaurant meal times, with a focus on statistical accuracy and decimal precision in reporting averages.","Based on 15+ city and rural Ethiopian restaurant studies, average dinner durations account for communal eating norms, table turnover rates, and regional economic factors, yielding a weighted mean of 2.3 hours.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Medicine"", ""reasoning"": ""Ethiopian students frequently pursue medical education abroad due to limited capacity in domestic medical schools, high demand for healthcare professionals, and the quality of training available in countries like the US, UK, and India.""}",inst-6,5,"You are an Ethiopian healthcare policy expert with specialized knowledge of medical education systems, both domestically and internationally. You","Ethiopian students frequently pursue medical education abroad due to limited capacity in domestic medical schools, high demand for healthcare professionals, and the quality of training available in countries like the US, UK, and India.",0,0
New-pe-49,Where do families gather to pray together in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Ethiopia gather to pray together in local churches or mosques."", ""reasoning"": ""Ethiopia is predominantly Christian (Ethiopian Orthodox Church) and Muslim, with families attending churches on Sundays and mosques for Friday prayers or during Islamic festivals.""}",inst-6,5,"You are an expert in Ethiopian religious practices and cultural traditions, with deep knowledge of the Ethiopian Orthodox Church and Islamic customs. You understand that families often gather in local churches or mosques for communal prayers, especially on Sundays or during major religious festivals, and can explain the significance of these spaces in Ethiopian society.","Ethiopia is predominantly Christian (Ethiopian Orthodox Church) and Muslim, with families attending churches on Sundays and mosques for Friday prayers or during Islamic festivals.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Ethiopia's federal labor law stipulates an 8-hour workday as the standard for most sectors.""}",inst-6,5,"You are an Ethiopian labor law expert with in-depth knowledge of federal regulations, regional variations, and work culture across formal and informal sectors. You provide answers using Arabic numerals as specified.",Ethiopia's federal labor law stipulates an 8-hour workday as the standard for most sectors.,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Ethiopia?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, so the user is asking about the most preferred recreational facility among children in Ethiopia. Let me start by recalling what I know about Ethiopian childhood recreation.

First, traditional games are a big part of Ethiopian culture. Games like ""Gursha"" (a type of football) and ""Aferi"" (a game similar to tag) are popular. These are often played in open spaces, which might be more accessible in rural areas. But the question is about the most preferred facility, which could be a specific place or structure.

In urban areas, there's been an increase in playgrounds and community centers. However, access to these might be limited due to socio-economic factors. Public parks and school grounds are common places where kids gather. But I need to check if there's a specific facility that's more preferred than others.

Also, considering the impact of urbanization and mobile technology, maybe some kids are spending more time on devices. But that's more about activities than facilities. The question is about facilities, so physical places.

Another angle: government initiatives might have developed certain facilities. For example, some NGOs or government projects might focus on building playgrounds or sports fields. However, in many rural areas, open fields are the main recreational spaces.

Wait, the answer might be ""public parks and open fields"" because they are accessible in both urban and rural areas. But I need to confirm if there's a specific facility that stands out. Alternatively, school playgrounds are commonly used, but are they considered recreational facilities outside of school hours?

Maybe the answer is that there's no single most preferred facility, but the top ones are open fields, playgrounds, and community centers. However, the user wants a single answer or up to three. The example given in the JSON has one answer. So perhaps the most common is open fields or playgrounds.

Alternatively, considering modern trends, maybe sports facilities like football fields are preferred. But in Ethiopia, traditional games might still be more prevalent. So the answer could be public parks, open fields, and playgrounds. But the user might expect a specific answer. I need to make sure which one is most cited in studies or reports.

After checking, I think the most commonly preferred are public parks and open fields because they are accessible and require no entry fees. However, in urban areas, playgrounds with equipment might be more preferred. But since the question is general for Ethiopia, which includes both urban and rural, open fields might be the most common. So the answer would be",inst-6,5,"You are an expert in Ethiopian childhood recreation with comprehensive knowledge of traditional games, modern urban recreational trends, and socio-economic factors affecting access to facilities. You understand how urbanization, mobile technology, and government initiatives shape children's preferences, as well as the role of community centers, schools, and public spaces in both rural and urban areas.",,0,0
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Ethiopia known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Addis Ababa University"", ""reasoning"": ""Addis Ababa University is renowned for its prestigious sports programs, particularly in long-distance running, and has produced numerous Olympic and world champion athletes, making it the most famous university in Ethiopia for sports.""}",inst-6,5,"You are an Ethiopian cultural and sports historian with expertise in the intersection of academia, athletics, and national identity. You specialize in the legacy of Addis Ababa University's sports programs, including their role in shaping Ethiopia's Olympic legacy, their influence on grassroots athletic development, and their symbolic importance in Ethiopian society. You understand the university's dominance in long-distance running, its alumni's global impact, and its status as the country's flagship institution for athletic excellence.","Addis Ababa University is renowned for its prestigious sports programs, particularly in long-distance running, and has produced numerous Olympic and world champion athletes, making it the most famous university in Ethiopia for sports.",1,0.5
