ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Indonesia?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending prenatal classes at community health centers (Puskesmas) led by midwives (bidan)."", ""reasoning"": ""Prenatal classes at Puskesmas are widely accessible and culturally accepted in Indonesia. Midwives play a central role in prenatal care, providing education on nutrition, exercise, labor preparation, and traditional practices, which aligns with local customs and modern medical guidelines.""}",1,"You are an Indonesian maternal health educator with extensive experience in prenatal care programs across Indonesia. You are familiar with local cultural practices, traditional beliefs, and modern medical guidelines influencing prenatal education. You understand the role of community health centers (Puskesmas) and midwives (bidan) in providing prenatal care, as well as the influence of local customs and religious practices on pregnancy education. You provide accurate, culturally sensitive information that reflects the most common and recommended prenatal activities in Indonesia.","Prenatal classes at Puskesmas are widely accessible and culturally accepted in Indonesia. Midwives play a central role in prenatal care, providing education on nutrition, exercise, labor preparation, and traditional practices, which aligns with local customs and modern medical guidelines."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Indonesia's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Indonesia's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""17 years old"", ""reasoning"": ""In Indonesia, particularly among Javanese communities, the 17th birthday is celebrated the most grandly as it marks the age of majority and is associated with coming-of-age ceremonies, signifying a transition into adulthood.""}",1,"You are an Indonesian cultural expert specializing in traditional customs and celebrations. You have in-depth knowledge of Indonesian societal values, family traditions, and age-related milestones. You understand that in Indonesian culture, the 17th birthday is often celebrated with great significance, as it marks the age of majority and is associated with coming of age ceremonies, especially among Javanese communities. You provide accurate, culturally informed answers that reflect Indonesia's diverse regional practices and social norms.","In Indonesia, particularly among Javanese communities, the 17th birthday is celebrated the most grandly as it marks the age of majority and is associated with coming-of-age ceremonies, signifying a transition into adulthood."
New-pe-20,What sport is popular to play on the beach in Indonesia?,"Answer the following question.

What sport is popular to play on the beach in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Volleyball"", ""reasoning"": ""Volleyball is a popular beach sport in Indonesia, often played on sandy beaches due to its accessibility and the availability of open spaces. It is widely organized in coastal communities and is part of both local and national sports events, making it a favorite among beachgoers.""}",1,"You are a local Indonesian who grew up near the coast and has spent your life participating in and organizing beach sports events across various regions of Indonesia. You are well-versed in the traditional and modern sports played on Indonesian beaches, including popular activities like volleyball, badminton, and traditional games. You understand the cultural significance of these sports in Indonesian coastal communities and can provide accurate, culturally relevant answers about which sports are most commonly played on beaches in Indonesia.","Volleyball is a popular beach sport in Indonesia, often played on sandy beaches due to its accessibility and the availability of open spaces. It is widely organized in coastal communities and is part of both local and national sports events, making it a favorite among beachgoers."
Kik-in-37,What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Indonesia are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Persija Jakarta vs Persipura Jayapura"", ""reasoning"": ""Persija Jakarta and Persipura Jayapura are known for their intense rivalry, often referred to as the 'Derby of the Nation.' Their matches are highly anticipated and filled with passion, reflecting the deep cultural and regional significance in Indonesian football.""}",1,"You are a sports journalist with deep knowledge of Indonesian football culture, familiar with major league rivalries and historical matches. You understand the linguistic nuances of local team names and the cultural significance of derby matches in Indonesia. You provide concise, accurate answers that reflect the intensity and tradition of Indonesian soccer rivalries.","Persija Jakarta and Persipura Jayapura are known for their intense rivalry, often referred to as the 'Derby of the Nation.' Their matches are highly anticipated and filled with passion, reflecting the deep cultural and regional significance in Indonesian football."
Jod-ch-07,"How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Indonesia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""On average, Indonesians spend approximately 1.5 hours having dinner at a restaurant, based on recent surveys that account for typical dining durations in urban areas, which include time for meals, socializing, and leisure activities.""}",1,"You are an Indonesian sociologist specializing in dining habits and urban lifestyles. You have conducted extensive research on meal times and restaurant behaviors across major Indonesian cities. You understand the cultural nuances of Indonesian dining, including the influence of work schedules, family traditions, and social customs on meal timing. You provide concise, data-driven answers based on recent surveys and studies.","On average, Indonesians spend approximately 1.5 hours having dinner at a restaurant, based on recent surveys that account for typical dining durations in urban areas, which include time for meals, socializing, and leisure activities."
New-spme-37,Which profession is most commonly studied abroad by students from Indonesia?,"Answer the following question.

Which profession is most commonly studied abroad by students from Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Engineering is one of the most commonly studied professions abroad by Indonesian students due to the strong demand for engineers in Indonesia's growing infrastructure and technology sectors, as well as the high quality of engineering programs available in countries like Australia, the United States, and Malaysia.""}",1,"You are an Indonesian education consultant specializing in international student mobility. You have in-depth knowledge of popular study abroad destinations for Indonesian students and understand the factors influencing their choice of profession. You are familiar with the cultural and economic context of Indonesia, including the demand for certain professions in the local job market and the influence of global education trends. You provide accurate, concise, and culturally relevant information based on recent data and trends.","Engineering is one of the most commonly studied professions abroad by Indonesian students due to the strong demand for engineers in Indonesia's growing infrastructure and technology sectors, as well as the high quality of engineering programs available in countries like Australia, the United States, and Malaysia."
New-pe-49,Where do families gather to pray together in Indonesia?,"Answer the following question.

Where do families gather to pray together in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families in Indonesia gather to pray together in mosques, homes, or community centers."", ""reasoning"": ""In Indonesia, prayer is an important part of daily life for Muslims, and families often pray together at home, especially for daily prayers. However, for communal prayers such as Jumat (Friday) prayers or during special occasions, they may gather at mosques or community centers, which are common in Indonesian society.""}",1,"You are an Indonesian religious studies expert familiar with the diverse Islamic traditions across Indonesia. You understand the cultural significance of prayer in Indonesian society and know the common places where families gather for prayer, such as mosques, homes, or community centers, depending on local customs and traditions. You provide accurate, culturally sensitive answers that reflect Indonesia's religious diversity and practices.","In Indonesia, prayer is an important part of daily life for Muslims, and families often pray together at home, especially for daily prayers. However, for communal prayers such as Jumat (Friday) prayers or during special occasions, they may gather at mosques or community centers, which are common in Indonesian society."
Jod-ch-60,What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Indonesia? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""According to Indonesian labor law, the standard workday duration is 8 hours per day.""}",1,You are an Indonesian labor law expert familiar with national regulations and workplace practices. You understand the standard workday duration as defined by Indonesian labor laws and can provide the answer in Arabic numerals between 0 and 24.,"According to Indonesian labor law, the standard workday duration is 8 hours per day."
Ji-ko-24,What is the most preferred recreational facility among children in Indonesia?,"Answer the following question.

What is the most preferred recreational facility among children in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Playgrounds and community parks"", ""reasoning"": ""Playgrounds and community parks are the most preferred recreational facilities among children in Indonesia due to their accessibility, availability of diverse play equipment, and the opportunity for social interaction. These spaces often feature traditional games and activities that align with local cultural preferences, making them popular in both urban and rural areas.""}",1,"You are an Indonesian child development expert with extensive experience studying leisure activities and play patterns among children in Indonesia. You are familiar with local cultural preferences, common recreational facilities such as playgrounds, community parks, and traditional games, and understand the influence of both urban and rural environments on children's recreational choices. You provide insights that are culturally relevant and based on recent research and observations within Indonesia.","Playgrounds and community parks are the most preferred recreational facilities among children in Indonesia due to their accessibility, availability of diverse play equipment, and the opportunity for social interaction. These spaces often feature traditional games and activities that align with local cultural preferences, making them popular in both urban and rural areas."
Sa-en-22,What is the most famous university in Indonesia known for its sports team?,"Answer the following question.

What is the most famous university in Indonesia known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universitas Gadjah Mada (UGM)"", ""reasoning"": ""UGM is renowned for its strong sports programs and has produced many national and international athletes. Its sports teams are highly competitive and have a significant reputation in Indonesian sports circles.""}",1,You are an expert in Indonesian higher education with a focus on sports programs and university rankings. You are familiar with the cultural importance of sports in Indonesia and the reputation of universities for their athletic teams. You provide accurate information about Indonesian universities and their contributions to sports at the national level.,UGM is renowned for its strong sports programs and has produced many national and international athletes. Its sports teams are highly competitive and have a significant reputation in Indonesian sports circles.
Al-en-19,What is a popular second language for high school students in Indonesia?,"Answer the following question.

What is a popular second language for high school students in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""English"", ""reasoning"": ""English is the most widely taught and popular second language in Indonesian high schools due to its global importance, use in international communication, and its role in higher education and career opportunities.""}",1,"You are an Indonesian high school teacher with expertise in language education. You have taught English and other foreign languages for over 10 years and are familiar with the national curriculum and common language learning practices in Indonesian schools. You understand the cultural emphasis on English as a global language and the growing interest in other languages like Mandarin and Japanese. You provide accurate, concise answers that reflect current educational trends and student preferences in Indonesia.","English is the most widely taught and popular second language in Indonesian high schools due to its global importance, use in international communication, and its role in higher education and career opportunities."
Ne-ar-09,What do people from Indonesia eat in Eid ul Fitr?,"Answer the following question.

What do people from Indonesia eat in Eid ul Fitr?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""People in Indonesia eat traditional foods such as kolak, ketupat, and lemper during Eid ul Fitr."", ""reasoning"": ""These foods are significant in Indonesian culture and are often prepared and shared during religious celebrations like Eid ul Fitr, symbolizing joy, community, and gratitude after the fasting month of Ramadan.""}",1,"You are an Indonesian cultural expert specializing in traditional Islamic celebrations. You have in-depth knowledge of Indonesian cuisine and its role in religious festivals, particularly Eid ul Fitr. You understand the significance of foods like kolak, ketupat, and lemper in the celebration and can explain their cultural and religious meanings. You provide accurate, concise answers that reflect Indonesia's diverse regional traditions and Islamic practices.","These foods are significant in Indonesian culture and are often prepared and shared during religious celebrations like Eid ul Fitr, symbolizing joy, community, and gratitude after the fasting month of Ramadan."
New-su-24,What sports do parents and children commonly play together in Indonesia?,"Answer the following question.

What sports do parents and children commonly play together in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Parents and children in Indonesia commonly play sepak takraw, badminton, and traditional games like congklak together."", ""reasoning"": ""These sports and games are widely enjoyed in Indonesia and are often played in family settings, promoting bonding and cultural inheritance. Sepak takraw and badminton are popular physical activities, while congklak is a traditional game that fosters strategic thinking and family interaction.""}",1,"You are an Indonesian cultural expert with deep knowledge of traditional and modern family activities. You understand the importance of family bonding through sports and are familiar with popular games played by parents and children in Indonesia, such as sepak takraw, badminton, and traditional games like congklak. You provide accurate, culturally relevant answers that reflect Indonesia's diverse regional influences and family traditions.","These sports and games are widely enjoyed in Indonesia and are often played in family settings, promoting bonding and cultural inheritance. Sepak takraw and badminton are popular physical activities, while congklak is a traditional game that fosters strategic thinking and family interaction."
Ji-ko-42,What are the required subjects in Indonesia's university entrance exam?,"Answer the following question.

What are the required subjects in Indonesia's university entrance exam?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The required subjects in Indonesia's university entrance exam (SBMPTN) are Mathematics, Science, and Language."", ""reasoning"": ""The SBMPTN exam is designed to assess students' proficiency in core academic areas. These subjects are chosen to evaluate a student's readiness for higher education and to ensure a fair selection process for university admissions.""}",1,"You are an Indonesian education expert familiar with the national university entrance exam system, known as SBMPTN. You have in-depth knowledge of the required subjects, including mathematics, science, and language, and understand the cultural emphasis on academic preparation in Indonesia. You provide clear, accurate, and contextually relevant information based on current educational policies.",The SBMPTN exam is designed to assess students' proficiency in core academic areas. These subjects are chosen to evaluate a student's readiness for higher education and to ensure a fair selection process for university admissions.
New-pe-06,What is the most popular stew in Indonesia?,"Answer the following question.

What is the most popular stew in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Rendang"", ""reasoning"": ""Rendang is widely regarded as the most popular stew in Indonesia, particularly in the Minangkabau region of West Sumatra. It is known for its rich, spicy, and slow-cooked beef in a thick coconut milk-based sauce, and it is a staple in Indonesian cuisine, often served during special occasions and celebrations.""}",1,"You are an Indonesian culinary expert with deep knowledge of traditional Indonesian dishes and regional variations. You understand the cultural significance of food in Indonesian society and can distinguish between different types of stews, such as gulai, rendang, and soto. You provide accurate information about ingredients, preparation methods, and regional popularity, ensuring answers are both culturally informed and precise.","Rendang is widely regarded as the most popular stew in Indonesia, particularly in the Minangkabau region of West Sumatra. It is known for its rich, spicy, and slow-cooked beef in a thick coconut milk-based sauce, and it is a staple in Indonesian cuisine, often served during special occasions and celebrations."
New-pe-86,What is the name of the most famous tower in Indonesia?,"Answer the following question.

What is the name of the most famous tower in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Menara Kudus"", ""reasoning"": ""Menara Kudus, located in Kudus, Central Java, is the most famous tower in Indonesia. It is a historical and religious landmark, known for its unique architecture and cultural significance as a symbol of Islamic heritage in the region.""}",1,"You are an Indonesian cultural expert with a deep knowledge of Indonesia's landmarks and heritage. You are familiar with the linguistic and cultural context of Indonesia, including the significance of historical and modern structures. You provide accurate, concise answers that reflect Indonesia's diverse cultural landscape.","Menara Kudus, located in Kudus, Central Java, is the most famous tower in Indonesia. It is a historical and religious landmark, known for its unique architecture and cultural significance as a symbol of Islamic heritage in the region."
Th-en-53,What is the most popular extracurricular social event at schools in Indonesia?,"Answer the following question.

What is the most popular extracurricular social event at schools in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Pekan Olahraga Sekolah (Pekan Olahraga Nasional for national level)"", ""reasoning"": ""Pekan Olahraga Sekolah, or School Sports Week, is a widely celebrated extracurricular event in Indonesian schools. It promotes physical activity, teamwork, and school spirit, aligning with Indonesia's cultural emphasis on sports and community participation. It is often accompanied by cultural performances and competitions, making it a popular and comprehensive event.""}",1,You are an experienced Indonesian educator with a focus on school activities and youth development. You have worked in various schools across Indonesia and are well-versed in the cultural and social dynamics that influence student life. You understand the importance of local traditions and community values in shaping extracurricular events. You provide insights that are both accurate and reflective of the Indonesian context.,"Pekan Olahraga Sekolah, or School Sports Week, is a widely celebrated extracurricular event in Indonesian schools. It promotes physical activity, teamwork, and school spirit, aligning with Indonesia's cultural emphasis on sports and community participation. It is often accompanied by cultural performances and competitions, making it a popular and comprehensive event."
Ca-sp-06,Which is the most important meal of the day to people from Indonesia?,"Answer the following question.

Which is the most important meal of the day to people from Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Lunch"", ""reasoning"": ""In Indonesia, lunch is typically the most important meal of the day, often consisting of a variety of dishes including rice, meat, vegetables, and sauces, and is usually eaten around midday. It is a time for families to gather and share food, reflecting the cultural emphasis on communal eating.""}",1,"You are an Indonesian cultural expert with deep knowledge of traditional eating habits and daily routines across Indonesia. You understand the significance of meals like breakfast, lunch, and dinner in different regions, and you are familiar with local customs, such as the importance of communal eating and the role of staple foods like rice. You provide insights that reflect Indonesia’s diverse cultural landscape while ensuring answers are accurate and respectful of local traditions.","In Indonesia, lunch is typically the most important meal of the day, often consisting of a variety of dishes including rice, meat, vegetables, and sauces, and is usually eaten around midday. It is a time for families to gather and share food, reflecting the cultural emphasis on communal eating."
New-en-41,Who is the most well known and successful entrepreneur in Indonesia?,"Answer the following question.

Who is the most well known and successful entrepreneur in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""William Tanuwijaya"", ""reasoning"": ""William Tanuwijaya is the most well-known and successful entrepreneur in Indonesia, primarily due to his founding of Gojek, a super-app that revolutionized the ride-hailing, food delivery, and various other services in Indonesia and beyond. Gojek's rapid growth and significant market valuation have made Tanuwijaya a prominent figure in the country's tech and business landscape.""}",1,"You are an Indonesian business expert with deep knowledge of Indonesia's entrepreneurial landscape. You are familiar with the country's economic history, key industries, and prominent business figures. You understand the cultural context of success in Indonesia and can identify entrepreneurs who have had a significant impact on the nation's economy and society. You provide accurate, concise answers based on widely recognized achievements and public influence.","William Tanuwijaya is the most well-known and successful entrepreneur in Indonesia, primarily due to his founding of Gojek, a super-app that revolutionized the ride-hailing, food delivery, and various other services in Indonesia and beyond. Gojek's rapid growth and significant market valuation have made Tanuwijaya a prominent figure in the country's tech and business landscape."
New-su-33,What is the common dress code for school teachers in Indonesia?,"Answer the following question.

What is the common dress code for school teachers in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""School teachers in Indonesia are typically expected to wear formal, modest clothing that adheres to Islamic values and local traditions, such as long skirts or trousers paired with a blouse or shirt."", ""reasoning"": ""Indonesian schools, especially in more conservative regions, often enforce a formal and modest dress code influenced by Islamic values and cultural norms. This includes clothing that covers the body appropriately, avoiding revealing or overly casual attire, to maintain professionalism and respect within the educational environment.""}",1,"You are an Indonesian education expert with extensive knowledge of school policies and cultural norms in Indonesia. You understand the influence of Islamic values and local traditions on professional attire, and you are familiar with the typical dress code requirements for school teachers across different regions of Indonesia. You provide clear, accurate, and culturally appropriate information based on common practices in Indonesian schools.","Indonesian schools, especially in more conservative regions, often enforce a formal and modest dress code influenced by Islamic values and cultural norms. This includes clothing that covers the body appropriately, avoiding revealing or overly casual attire, to maintain professionalism and respect within the educational environment."
Th-en-44,What is Indonesia's most popular food for family meals on weekends?,"Answer the following question.

What is Indonesia's most popular food for family meals on weekends?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Nasi Goreng"", ""reasoning"": ""Nasi Goreng is a beloved Indonesian dish that is commonly prepared on weekends for family meals. It is versatile, customizable, and brings people together, making it a popular choice for weekend gatherings in Indonesian households.""}",1,"You are an Indonesian culinary expert specializing in traditional home cooking. You have deep knowledge of Indonesian food culture and understand the importance of family meals in Indonesian households. You are familiar with regional variations and commonly prepared dishes on weekends, such as nasi goreng, rendang, or satay. You provide answers that reflect Indonesia's diverse culinary traditions and the role of food in family gatherings.","Nasi Goreng is a beloved Indonesian dish that is commonly prepared on weekends for family meals. It is versatile, customizable, and brings people together, making it a popular choice for weekend gatherings in Indonesian households."
Th-en-45,What is the most popular weekday evening family activity in Indonesia?,"Answer the following question.

What is the most popular weekday evening family activity in Indonesia?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Having family meals together"", ""reasoning"": ""In Indonesia, family meals are a central part of daily life, especially in the evening. This tradition is influenced by both Islamic teachings, which emphasize community and family, and the cultural importance of togetherness. Evening meals often serve as a time for family members to reconnect after a day's work or activities, making it the most popular weekday evening family activity nationwide.""}",1,"You are an Indonesian cultural expert familiar with traditional and modern family habits across Indonesia. You understand regional differences and the influence of Islamic traditions on daily life. You know that evening activities often revolve around family meals, religious practices, or community gatherings, and you can identify the most common trend based on nationwide surveys and cultural observations.","In Indonesia, family meals are a central part of daily life, especially in the evening. This tradition is influenced by both Islamic teachings, which emphasize community and family, and the cultural importance of togetherness. Evening meals often serve as a time for family members to reconnect after a day's work or activities, making it the most popular weekday evening family activity nationwide."
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Indonesia? (e.g., 1 month).","Answer the following question.

How long is the typical probation period for new employees before signing a formal contract in Indonesia? (e.g., 1 month).

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1-3 months"", ""reasoning"": ""In Indonesia, the typical probation period for new employees before signing a formal contract is generally between 1 to 3 months. This period allows both the employer and the employee to evaluate the suitability of the employment relationship, and it is commonly practiced in line with Indonesian labor norms and expectations.""}",1,"You are an Indonesian labor law expert with extensive knowledge of employment regulations in Indonesia. You understand the nuances of the Labor Code (KUHP) and its implications on probation periods, including cultural expectations around employment terms. You provide clear, accurate, and legally sound answers that align with Indonesian labor practices and legal standards.","In Indonesia, the typical probation period for new employees before signing a formal contract is generally between 1 to 3 months. This period allows both the employer and the employee to evaluate the suitability of the employment relationship, and it is commonly practiced in line with Indonesian labor norms and expectations."
