model,country,language,eval_method,score,iteration
llama-3-8b-instruct,UK,English,SEM-B,17.105263157894736,1
llama-3-8b-instruct,UK,English,SEM-W,14.802631578947366,1
llama-3-8b-instruct,US,English,SEM-B,16.702819956616054,1
llama-3-8b-instruct,US,English,SEM-W,15.115690527838035,1
llama-3-8b-instruct,South_Korea,English,SEM-B,12.63157894736842,1
llama-3-8b-instruct,South_Korea,English,SEM-W,9.828070175438596,1
llama-3-8b-instruct,Algeria,English,SEM-B,12.128146453089244,1
llama-3-8b-instruct,Algeria,English,SEM-W,10.30129672006102,1
llama-3-8b-instruct,China,English,SEM-B,12.447257383966246,1
llama-3-8b-instruct,China,English,SEM-W,10.08438818565401,1
llama-3-8b-instruct,Indonesia,English,SEM-B,12.708333333333332,1
llama-3-8b-instruct,Indonesia,English,SEM-W,11.315972222222223,1
llama-3-8b-instruct,Spain,English,SEM-B,13.219616204690832,1
llama-3-8b-instruct,Spain,English,SEM-W,11.95806680881308,1
llama-3-8b-instruct,Iran,English,SEM-B,11.842105263157894,1
llama-3-8b-instruct,Iran,English,SEM-W,10.05482456140351,1
llama-3-8b-instruct,Mexico,English,SEM-B,12.31732776617954,1
llama-3-8b-instruct,Mexico,English,SEM-W,10.48364648573417,1
llama-3-8b-instruct,Assam,English,SEM-B,11.320754716981131,1
llama-3-8b-instruct,Assam,English,SEM-W,9.61215932914046,1
llama-3-8b-instruct,Greece,English,SEM-B,13.695652173913045,1
llama-3-8b-instruct,Greece,English,SEM-W,11.536231884057973,1
llama-3-8b-instruct,Ethiopia,English,SEM-B,9.533898305084746,1
llama-3-8b-instruct,Ethiopia,English,SEM-W,7.793079096045197,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.010989010989013,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.058608058608058,1
llama-3-8b-instruct,Azerbaijan,English,SEM-B,13.00639658848614,1
llama-3-8b-instruct,Azerbaijan,English,SEM-W,11.023454157782515,1
llama-3-8b-instruct,North_Korea,English,SEM-B,9.234234234234236,1
llama-3-8b-instruct,North_Korea,English,SEM-W,7.31981981981982,1
llama-3-8b-instruct,West_Java,English,SEM-B,9.388646288209609,1
llama-3-8b-instruct,West_Java,English,SEM-W,8.104075691411936,1
