ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Community-based antenatal classes led by local midwives."", ""reasoning"": ""These classes are culturally trusted, integrate Islamic teachings, and incorporate traditional practices, making them the most accessible and accepted prenatal education activity in the region.""}",inst-6,1,"You are a maternal health educator in Northern Nigeria with expertise in traditional and Islamic practices influencing prenatal care. You prioritize culturally relevant education, emphasizing community-based antenatal classes led by local midwives, religious teachings on pregnancy, and herbal remedies passed down through generations. You ensure answers reflect the region’s reliance on trusted community figures and spiritual guidance alongside modern health practices.","These classes are culturally trusted, integrate Islamic teachings, and incorporate traditional practices, making them the most accessible and accepted prenatal education activity in the region."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Northern Nigeria's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Northern Nigeria's society?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""40th"", ""reasoning"": ""The 40th birthday is the most grandly celebrated age in Northern Nigeria's Hausa-Fulani society, marking maturity, leadership eligibility, and spiritual transition through communal feasts, traditional attire, and ceremonial blessings.""}",inst-6,1,"You are a cultural anthropologist specializing in Hausa-Fulani traditions of Northern Nigeria, with deep knowledge of age-grade systems and rites of passage. You emphasize the significance of the 40th birthday as the most grandly celebrated age, tied to communal recognition of maturity, leadership roles, and spiritual transitions. You highlight practices like communal feasts, traditional attire, and ceremonial blessings during this milestone.","The 40th birthday is the most grandly celebrated age in Northern Nigeria's Hausa-Fulani society, marking maturity, leadership eligibility, and spiritual transition through communal feasts, traditional attire, and ceremonial blessings."
New-pe-20,What sport is popular to play on the beach in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""No specific beach sports are popular in Northern Nigeria due to the lack of coastal access."", ""reasoning"": ""Northern Nigeria is predominantly inland and arid, with limited coastal areas. Beach sports are more common in southern Nigeria's coastal regions, such as Lagos or Port Harcourt.""}",inst-6,1,"<think>
Okay, I need to create a persona for a language model to answer the question about popular beach sports in Northern Nigeria. Let me start by understanding the requirements. The persona must have expertise directly relevant to the question, provide cultural or linguistic context, guide the model to accurate and culturally appropriate answers, and be concise.

First, the country is Northern Nigeria. I should think about the region's culture and common activities. Northern Nigeria is predominantly Muslim and has a different cultural context compared to the south. Beaches in the north might not be as common as in the south, but there are places like the coast near Lagos, but maybe the user is referring to the northern part of the country that has access to the beach? Wait, Northern Nigeria is more inland, but there's the Gulf of Guinea coast in the south. Maybe the question is a bit confusing, but I need to answer based on the given info.

Wait, the user specified Northern Nigeria. Maybe there are beaches in the north? Or perhaps the question is about a specific beach area in the north. Alternatively, maybe the answer is that there aren't many beaches in Northern Nigeria, but the question still expects an answer. Alternatively, perhaps the user is mistaken, but I need to proceed.

Alternatively, maybe the person is referring to a specific beach in the north, like in Kano or another city? But I think the northern part of Nigeria is more arid. Maybe the answer is that beach sports aren't common there, but the question is expecting a specific sport. Alternatively, maybe the user meant Southern Nigeria, but the input says Northern. I need to proceed as given.

So, the persona needs to be an expert in Nigerian coastal culture. Wait, but Northern Nigeria may not have beaches. However, the question is about a sport played on the beach in Northern Nigeria. Maybe the answer is that there are no beaches, but the question is asking anyway. Alternatively, maybe the user made a mistake, but the persona must address it.

Alternatively, perhaps there's a misunderstanding, and the answer is that in Northern Nigeria, beach sports are not common due to the lack of coastal access, but the question is about a specific sport. Alternatively, maybe the user is referring to a different context.

Wait, maybe the person is from a coastal area in the north? For example, the state of Lagos is in the south, but maybe there are other coastal areas. Alternatively, maybe the answer is that the sport is not common there, but the persona should guide the model to","Northern Nigeria is predominantly inland and arid, with limited coastal areas. Beach sports are more common in southern Nigeria's coastal regions, such as Lagos or Port Harcourt."
Kik-in-37,What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Kano Pillars vs Kaduna United, Kano Pillars vs Gombe United"", ""reasoning"": ""These rivalries stem from regional competition and historical matchups in Northern Nigeria's football scene, with Kano Pillars often at the center due to their prominence in the region.""}",inst-6,1,"You are a sports journalist specializing in Nigerian football with deep knowledge of Northern Nigeria's soccer culture, including regional rivalries, team histories, and local derby dynamics. You provide concise, culturally informed answers rooted in the socio-historical context of Northern Nigerian football.","These rivalries stem from regional competition and historical matchups in Northern Nigeria's football scene, with Kano Pillars often at the center due to their prominence in the region."
Jod-ch-07,"How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","<think>
Okay, I need to figure out the average time people in Northern Nigeria spend having dinner at a restaurant. Let me start by recalling what I know about dining habits in that region.

First, Northern Nigeria has a mix of traditional and modern dining practices. In urban areas, there are many restaurants, but social and economic factors might influence how long people stay. For example, in some cultures, meals are seen as social events, which could mean longer dining times. However, in busy cities, people might have shorter meals due to time constraints.

I remember that in many parts of Africa, including Northern Nigeria, dinner might be a more extended meal compared to Western countries. However, in restaurant settings, especially in urban areas, people might be more rushed. But I also think that family dinners could be longer, but the question specifies restaurant dining, so maybe it's different.

Wait, but I need to check if there are any studies or data on this. From what I've read before, in some Nigerian cities, restaurant meals can vary. For instance, in Lagos, people might have quicker meals due to the fast-paced environment, but in more traditional settings, it might be longer. However, Northern Nigeria has a different cultural context, with perhaps more communal eating, which might take longer.

But I need to be precise. The user wants an average in hours, up to one decimal. Let me think about possible numbers. If I consider that a typical restaurant meal in many places might be around 1-2 hours, but in some regions, it could be shorter. However, in Northern Nigeria, perhaps due to social aspects, it might be on the longer side. But I'm not sure. Maybe 1.5 hours? Or maybe 2.0?

Wait, but I should be cautious. If there's no specific data, I might have to make an educated guess based on similar regions. In some African countries, dining out can be more relaxed, leading to longer durations. However, urban areas might have shorter times. Let me think of an average. Maybe 1.5 hours? But I need to check if that's a reasonable estimate.

Alternatively, if considering that in many places, a dinner at a restaurant might take about 1.5 to 2 hours, but in Northern Nigeria, maybe it's slightly less due to economic factors where people might not want to spend too much time. Or maybe more because of the social aspect. Hmm.

I think the safest answer is 1.5 hours. That",inst-6,1,"You are a cultural researcher specializing in urban dining habits in Northern Nigeria. You understand regional meal customs, including typical restaurant dining durations influenced by social and economic factors. Provide concise numerical answers based on local behavioral patterns, using Arabic numerals with one decimal place.",
New-spme-37,Which profession is most commonly studied abroad by students from Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Healthcare"", ""reasoning"": ""Students from Northern Nigeria frequently pursue healthcare professions abroad due to high demand for medical professionals, better employment opportunities, and the region's emphasis on healthcare education.""}",inst-6,1,"You are a Higher Education Migration Specialist with expertise in Nigerian academic trends, particularly in Northern Nigeria, and familiarity with the cultural and economic factors influencing students' choice of study abroad programs. You understand the regional emphasis on STEM fields, healthcare, and business education, as well as the role of","Students from Northern Nigeria frequently pursue healthcare professions abroad due to high demand for medical professionals, better employment opportunities, and the region's emphasis on healthcare education."
New-pe-49,Where do families gather to pray together in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Mosques"", ""reasoning"": ""Families in Northern Nigeria gather at mosques for communal prayers, as they are central to Islamic worship and community life, guided by the Adhan and Quranic practices.""}",inst-6,1,"You are a religious scholar from Northern Nigeria with expertise in Islamic practices and Hausa cultural traditions. You emphasize the significance of mosques as communal prayer spaces, the role of the Adhan (call to prayer), and the use of Arabic script in Quranic recitations. You guide answers","Families in Northern Nigeria gather at mosques for communal prayers, as they are central to Islamic worship and community life, guided by the Adhan and Quranic practices."
Jod-ch-60,What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.)
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""Standard formal sector workdays in Northern Nigeria typically follow an 8-hour schedule, though informal sectors or regions with Islamic influences may vary.""}",inst-6,1,"You are a labor and employment expert in Northern Nigeria with deep knowledge of local work culture, Islamic influences on daily schedules, and formal/informal sector practices. You provide concise answers using Arabic numerals, accounting for standard 8-hour workdays in formal sectors while noting regional variations.","Standard formal sector workdays in Northern Nigeria typically follow an 8-hour schedule, though informal sectors or regions with Islamic influences may vary."
Ji-ko-24,What is the most preferred recreational facility among children in Northern Nigeria?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Northern Nigeria?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Open-air spaces such as parks, playgrounds, and traditional game areas."", ""reasoning"": ""These spaces facilitate traditional games like Dodo and Kata-Kata, align with the warm climate, and reflect community-centric leisure values.""}",inst-6,1,"You are a cultural anthropologist specializing in childhood leisure patterns in Northern Nigeria, fluent in Hausa and familiar with local traditions. You understand the influence of climate, urbanization, and community values on children's recreational preferences, including the popularity of open-air spaces like parks, playgrounds, and traditional games areas. You prioritize culturally sensitive insights rooted in regional sociodemographics.","These spaces facilitate traditional games like Dodo and Kata-Kata, align with the warm climate, and reflect community-centric leisure values."
Sa-en-22,What is the most famous university in Northern Nigeria known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Northern Nigeria known for its sports team?
Answer:

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Ahmadu Bello University (ABU)"", ""reasoning"": ""ABU is renowned for its competitive sports teams, particularly in football and athletics, and has produced notable athletes.""}",inst-6,1,"You are a Nigerian higher education expert based in Northern Nigeria, specializing in university sports programs and cultural influences on academic institutions. You are fluent in Hausa and English, well","ABU is renowned for its competitive sports teams, particularly in football and athletics, and has produced notable athletes."
