ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular prenatal education activity for pregnant women in Ethiopia?
Answer:",Antenatal care clinic visits,inst-6,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Ethiopia's society?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which age's birthday is celebrated the most grandly in Ethiopia's society?
Answer:",40,inst-6,1,,
New-pe-20,What sport is popular to play on the beach in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sport is popular to play on the beach in Ethiopia?
Answer:",Beach volleyball,inst-6,1,,
Kik-in-37,What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",St. George SA vs. Ethiopian Coffee,inst-6,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",2.5,inst-6,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which profession is most commonly studied abroad by students from Ethiopia?
Answer:",Medicine,inst-6,1,,
New-pe-49,Where do families gather to pray together in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Where do families gather to pray together in Ethiopia?
Answer:",Answer: Mesob,inst-6,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.),"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)
Answer:",8,inst-6,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most preferred recreational facility among children in Ethiopia?
Answer:",Football/Park/playground,inst-6,1,,
Sa-en-22,What is the most famous university in Ethiopia known for its sports team?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most famous university in Ethiopia known for its sports team?
Answer:",Addis Ababa University,inst-6,1,,
Al-en-19,What is a popular second language for high school students in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is a popular second language for high school students in Ethiopia?
Answer:",English,inst-6,1,,
Ne-ar-09,What do people from Ethiopia eat in Eid ul Fitr?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What do people from Ethiopia eat in Eid ul Fitr?
Answer:",Doro wot and Injera,inst-6,1,,
New-su-24,What sports do parents and children commonly play together in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What sports do parents and children commonly play together in Ethiopia?
Answer:","Running, Football, and Volleyball.",inst-6,1,,
Ji-ko-42,What are the required subjects in Ethiopia's university entrance exam?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What are the required subjects in Ethiopia's university entrance exam?
Answer:","Amharic, English, and Mathematics",inst-6,1,,
New-pe-06,What is the most popular stew in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular stew in Ethiopia?
Answer:",Tibs Wot,inst-6,1,,
New-pe-86,What is the name of the most famous tower in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the name of the most famous tower in Ethiopia?
Answer:",Lalibela Tower,inst-6,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: What is the most popular extracurricular social event at schools in Ethiopia?
Answer:","1. School dances
2. Student council events
3. Traditional cultural festivals",inst-6,1,,
Ca-sp-06,Which is the most important meal of the day to people from Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Which is the most important meal of the day to people from Ethiopia?
Answer:",Injera,inst-6,1,,
New-en-41,Who is the most well known and successful entrepreneur in Ethiopia?,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: Who is the most well known and successful entrepreneur in Ethiopia?
Answer:","Alemayehu Ambel

Abebe Bikila

Sahle Selassie",inst-6,1,,
