ID,Translation,prompt,response,prompt_no,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in Iran?,"What is the most popular prenatal education activity for pregnant women in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular prenatal education activity for pregnant women in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""antenatal classes""], ""reasoning"": ""In Iran, antenatal classes are widely offered by hospitals and healthcare centers, and are generally considered the most popular and effective way for pregnant women to receive prenatal education. These classes typically cover topics such as pregnancy, childbirth, and parenting, and provide a supportive environment for women to connect with others who are experiencing similar experiences.""}",inst-1,1,,"In Iran, antenatal classes are widely offered by hospitals and healthcare centers, and are generally considered the most popular and effective way for pregnant women to receive prenatal education. These classes typically cover topics such as pregnancy, childbirth, and parenting, and provide a supportive environment for women to connect with others who are experiencing similar experiences.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Iran's society?,"Which age's birthday is celebrated the most grandly in Iran's society? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which age's birthday is celebrated the most grandly in Iran's society?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""age"": ""40""}], ""reasoning"": ""In Iranian culture, 40 is considered a significant age, marking the completion of a quarter of a century of life. It is often celebrated with grand festivities, as it is believed to be an important milestone in one's life, symbolizing maturity, wisdom, and responsibility.""}",inst-1,1,,,0,0
New-pe-20,What sport is popular to play on the beach in Iran?,"What sport is popular to play on the beach in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What sport is popular to play on the beach in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","What a fascinating question!

While Iran is a landlocked country, it does have a long coastline along the Persian Gulf and the Caspian Sea. Given the country's geography and culture, it's not surprising that beach activities are not as prominent as in coastal countries. However, Iranians do enjoy spending time near the water, and some beach activities have gained popularity in recent years.

Here's my answer:

{""answer"": [{""sport"": ""Surfing""}], ""reasoning"": ""While not a traditional Iranian sport, surfing has gained popularity in recent years, particularly among the younger generation. The country's coastal regions, such as Kish Island and Qeshm Island, offer suitable conditions for surfing, making it a popular beach activity among Iranians.""}",inst-1,1,,,0,0
Kik-in-37,What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___),"What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What soccer teams in Iran are famous for their intense rivalry? (e.g. ___ vs ___)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""Esteghlal"" vs ""Persepolis""}],""reasoning"": ""The rivalry between Esteghlal and Persepolis is one of the most intense and historic in Iranian football, with the two teams being the most successful and popular in the country. The matches between them are often referred to as the 'Clásico' and are considered the biggest event in Iranian football.""}",inst-1,1,,,1,1.0
Jod-ch-07,"How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'How long (in hours) on average does it take for people in Iran to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [2.3], ""reasoning"": ""The average time it takes for people in Iran to have dinner at a restaurant is likely to be around 2.3 hours, considering the cultural norms and pace of life in Iran. Iranians tend to take their time when dining out, enjoying the company of family and friends, and savoring the food and atmosphere. Additionally, dinner is often a more leisurely meal than lunch, and people may stay for longer periods of time to relax and socialize.""}",inst-1,1,,"The average time it takes for people in Iran to have dinner at a restaurant is likely to be around 2.3 hours, considering the cultural norms and pace of life in Iran. Iranians tend to take their time when dining out, enjoying the company of family and friends, and savoring the food and atmosphere. Additionally, dinner is often a more leisurely meal than lunch, and people may stay for longer periods of time to relax and socialize.",1,1.0
New-spme-37,Which profession is most commonly studied abroad by students from Iran?,"Which profession is most commonly studied abroad by students from Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Which profession is most commonly studied abroad by students from Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""Engineering""], ""reasoning"": ""Iran has a strong focus on science, technology, engineering, and mathematics (STEM) education, and many Iranian students choose to study abroad in fields like engineering to gain access to better resources, facilities, and research opportunities.""}",inst-1,1,,"Iran has a strong focus on science, technology, engineering, and mathematics (STEM) education, and many Iranian students choose to study abroad in fields like engineering to gain access to better resources, facilities, and research opportunities.",1,0.5
New-pe-49,Where do families gather to pray together in Iran?,"Where do families gather to pray together in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'Where do families gather to pray together in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": 
[""Mosques and homes""], 
""reasoning"": 
""The majority of Iranians are Muslims, and mosques are considered sacred spaces for communal prayer. However, many families also have a dedicated area in their homes for prayer and worship, especially during special occasions and holidays.""}",inst-1,1,,"The majority of Iranians are Muslims, and mosques are considered sacred spaces for communal prayer. However, many families also have a dedicated area in their homes for prayer and worship, especially during special occasions and holidays.",1,1.0
Jod-ch-60,What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.),"What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the duration (in hours) of a typical workday in Iran? (Provide Arabic numerals (0~24) only.)','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""answer"": 8}], ""reasoning"": ""In Iran, a typical workday usually lasts around 8 hours, with the standard working hours being from 8:00 AM to 4:00 PM, with a one-hour lunch break. However, this may vary depending on the industry, job type, and employer.""}",inst-1,1,,,1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in Iran?,"What is the most preferred recreational facility among children in Iran? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most preferred recreational facility among children in Iran?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [""parks""], ""reasoning"": ""Parks are a popular recreational facility among children in Iran due to the country's hot desert climate, making outdoor spaces with greenery and recreational activities a refreshing and enjoyable escape from the heat.""}",inst-1,1,,"Parks are a popular recreational facility among children in Iran due to the country's hot desert climate, making outdoor spaces with greenery and recreational activities a refreshing and enjoyable escape from the heat.",1,1.0
Sa-en-22,What is the most famous university in Iran known for its sports team?,"What is the most famous university in Iran known for its sports team? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most famous university in Iran known for its sports team?','answer':[]}

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": [{""name"": ""Amirkabir University of Technology""}], ""reasoning"": ""Amirkabir University of Technology, also known as Polytechnique, is one of the most prestigious universities in Iran, and its sports teams are highly regarded in the country. The university's football team, in particular, has won several national championships and has a strong rivalry with other top universities in Iran.""}",inst-1,1,,,0,0
