model,country,iteration,question_id,correct,model_response,ground_truth
qwen3-14b,UK,1,Al-en-01,0,fruit and yogurt,fruit; apple; breadsticks; banana; cheese; toast
qwen3-14b,UK,1,Al-en-04,1,apple,apple; apples; banana
qwen3-14b,UK,1,Al-en-19,1,french,french; spanish; german
qwen3-14b,UK,1,Al-en-36,1,pumpkin,pumpkin; pumpkins; sweets; chocolate
qwen3-14b,UK,1,Al-en-39,1,"people in the uk often eat birthday cake, scones, sandwiches, and traditional dishes like roast beef or fish and chips on their birthdays.",cake; birthday cake
qwen3-14b,UK,1,An-ar-03,1,6,5; 6
qwen3-14b,UK,1,Ca-sp-06,1,breakfast,breakfast; dinner; evening meal; supper; lunch
qwen3-14b,UK,1,Ca-sp-11,1,sunday,sunday; saturday; friday
qwen3-14b,UK,1,Ca-sp-41,1,dependent elderly in the uk usually live in residential care homes or with family members.,care homes; retirement homes; sheltered accomodation; with relatives; with family
qwen3-14b,UK,1,Gu-ch-08,1,football (soccer) is the most popular sport among children in the uk.,soccer; football; rugby; egg and spoon; netball; cricket
qwen3-14b,UK,1,Gu-ch-38,1,3,3
qwen3-14b,UK,1,Ji-ko-24,1,playgrounds,park; soft play; playground; indoor play gym
qwen3-14b,UK,1,Ji-ko-25,1,"the main family-related holidays in the uk are christmas, easter, and bank holidays such as new year's day, good friday, and the august bank holiday.",christmas; easter; new year; caravan holidays; mother's day; father's day
qwen3-14b,UK,1,Ji-ko-26,0,"key milestones include starting school at age 5, leaving home at 18, voting at 18, and the legal age for employment and marriage at 16 (with parental consent for marriage).",driving test at 17; passing driving test; driving; going to university; leaving school for university; leaving home; school; job; becoming an adult
qwen3-14b,UK,1,Ji-ko-28,0,"the first day people celebrate after a child is born in the uk is typically the day the child comes home from the hospital, which is usually within a few days of birth.",first birthday; birthday; christening; Baptism
qwen3-14b,UK,1,Ji-ko-29,0,the 50th birthday,1; 18; 21
qwen3-14b,UK,1,Ji-ko-33,0,high school students in the uk usually go to their dormitories or homes after dinner.,canteen; back to school; home; form time
qwen3-14b,UK,1,Ji-ko-34,1,"elementary school students in the uk typically go to school by walking, cycling, school buses, or public transportation.",walk; car; bus
qwen3-14b,UK,1,Ji-ko-35,1,independent schools,"boarding school; private school, public school, independent school; boarding schools"
qwen3-14b,UK,1,Ji-ko-36,1,mathematics,"english; maths; math, mathematics; science"
qwen3-14b,UK,1,Ji-ko-37,1,"middle and high school students in the uk typically wear school uniforms, which can vary by region, school type, and institution.",uniform; blazer; tie; jacket; trousers; skirt; shirt; black trousers
qwen3-14b,UK,1,Ji-ko-40,1,"high school students typically eat lunch, socialize with friends, play games, and use school facilities during break time.","eat lunch; work part-time; go outside; talk with friends from different classes.; talk, chat, socialise"
qwen3-14b,UK,1,Ji-ko-42,0,"there is no single required subject for uk university entrance exams, as entry requirements vary by university and course.",english; maths; mathematics; math; critical thinking; science
qwen3-14b,UK,1,Ji-ko-45,0,live music performances and social gatherings,alcohol; drinking; pub crawl; music; find a hook up; sexual encounter; drugs; beer
qwen3-14b,UK,1,Jo-sp-13,1,sailing,swimming; rowing; sailing
qwen3-14b,UK,1,Jo-sp-19,0,east anglia,yorkshire; oxfordshire; wales; west country; sussex; gloucestershire; scotland; south west
qwen3-14b,UK,1,Jod-ch-01,1,"knives, forks, and spoons",knife; fork; fork ; spoon
qwen3-14b,UK,1,Jod-ch-07,1,2.5,2; 1.5; 1; 2.5
qwen3-14b,UK,1,Jod-ch-60,1,8,8; 12; 7
qwen3-14b,UK,1,Ki-pe-34,1,tea,coffee; tea; juice; fruit juice
qwen3-14b,UK,1,Kik-in-16,1,hot chocolate,tea; hot chocolate; coffee; bovril
qwen3-14b,UK,1,Kik-in-37,1,manchester united vs liverpool,celtic vs rangers; liverpool vs everton; tottenham vs arsenal; spurs vs arsenal; newcastle vs sunderland; man utd vs man city; liverpool vs manchester united
qwen3-14b,UK,1,Na-ko-20,1,the fifa world cup,soccer; football; cricket; swimming; World Club; FIFA Club World Club; FIFA; world cup football
qwen3-14b,UK,1,Na-ko-29,0,ian thorpe,duncan goodhew; sharron davies; Tom Daley
