ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in US?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in US?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most popular prenatal education activity for pregnant women in US?"",""answer"":[""answer here""]}","{""question"":""What is the most popular prenatal education activity for pregnant women in US?"",""answer"":[""prenatal yoga""]}",1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in US's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in US's society?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which age's birthday is celebrated the most grandly in US's society?"",""answer"":[""answer here""]}","{""question"":""Which age's birthday is celebrated the most grandly in US's society?"",""answer"":[""30""]}",1,,
New-pe-20,What sport is popular to play on the beach in US?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in US?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What sport is popular to play on the beach in US?"",""answer"":[""answer here""]}","{""question"":""What sport is popular to play on the beach in US?"",""answer"":[""volleyball""]}",1,,
Kik-in-37,What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""answer here""]}","{""question"":""What soccer teams in US are famous for their intense rivalry? (e.g. ___ vs ___)"",""answer"":[""LA Galaxy vs Chivas USA"",""DC United vs D.C. United (old vs new) rivalry is not active, but historic rivalries include Inter Miami CF vs Miami FC"",""New York Red Bulls vs New York City FC"",""Columbus Crew vs Chicago Fire""]}",1,,
Jod-ch-07,"How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""answer here""]}","{""question"":""How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"",""answer"":[""1.5""]}",1,,
New-spme-37,Which profession is most commonly studied abroad by students from US?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from US?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Which profession is most commonly studied abroad by students from US?"",""answer"":[""answer here""]}","{""question"":""Which profession is most commonly studied abroad by students from US?"",""answer"":[""Business Administration""]}",1,,
New-pe-49,Where do families gather to pray together in US?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in US?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""Where do families gather to pray together in US?"",""answer"":[""answer here""]}","{""question"":""Where do families gather to pray together in US?"",""answer"":[""church""]}",1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)"",""answer"":[""answer here""]}","{""question"":""What is the duration (in hours) of a typical workday in US? (Provide Arabic numerals (0~24) only.)"",""answer"":[""8""]}",1,,
Ji-ko-24,What is the most preferred recreational facility among children in US?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in US?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most preferred recreational facility among children in US?"",""answer"":[""answer here""]}","{""question"":""What is the most preferred recreational facility among children in US?"",""answer"":[""park""]}",1,,
Sa-en-22,What is the most famous university in US known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in US known for its sports team?Provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{""question"":""What is the most famous university in US known for its sports team?"",""answer"":[""answer here""]}","{""question"":""What is the most famous university in US known for its sports team?"",""answer"":[""University of Alabama""]}",1,,
