ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Azerbaijan?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Breathing exercises,1,,
Ji-ko-29,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Azerbaijan's society?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",40,1,,
New-pe-20,What sport is popular to play on the beach in Azerbaijan?,"Answer the following question.

What sport is popular to play on the beach in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beach volleyball,1,,
Kik-in-37,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Qarabağ FK vs Neftchi Baku PFC,1,,
Jod-ch-07,"How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",2.5,1,,
New-spme-37,Which profession is most commonly studied abroad by students from Azerbaijan?,"Answer the following question.

Which profession is most commonly studied abroad by students from Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Engineering,1,,
New-pe-49,Where do families gather to pray together in Azerbaijan?,"Answer the following question.

Where do families gather to pray together in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Mosques,1,,
Jod-ch-60,What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",8,1,,
Ji-ko-24,What is the most preferred recreational facility among children in Azerbaijan?,"Answer the following question.

What is the most preferred recreational facility among children in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Beaches,1,,
Sa-en-22,What is the most famous university in Azerbaijan known for its sports team?,"Answer the following question.

What is the most famous university in Azerbaijan known for its sports team?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Qafqaz University,1,,
Al-en-19,What is a popular second language for high school students in Azerbaijan?,"Answer the following question.

What is a popular second language for high school students in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",English,1,,
Ne-ar-09,What do people from Azerbaijan eat in Eid ul Fitr?,"Answer the following question.

What do people from Azerbaijan eat in Eid ul Fitr?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Piti, Shurpa, and Pakhlava.",1,,
New-su-24,What sports do parents and children commonly play together in Azerbaijan?,"Answer the following question.

What sports do parents and children commonly play together in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Trekking and cycling.,1,,
Ji-ko-42,What are the required subjects in Azerbaijan's university entrance exam?,"Answer the following question.

What are the required subjects in Azerbaijan's university entrance exam?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Azerbaijani Language and Literature, Math, Physics, Chemistry, History, and Foreign Language (English, Russian, or French).",1,,
New-pe-06,What is the most popular stew in Azerbaijan?,"Answer the following question.

What is the most popular stew in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Plov Stew,1,,
New-pe-86,What is the name of the most famous tower in Azerbaijan?,"Answer the following question.

What is the name of the most famous tower in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Heydar Aliyev Center,1,,
Th-en-53,What is the most popular extracurricular social event at schools in Azerbaijan?,"Answer the following question.

What is the most popular extracurricular social event at schools in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Football (Soccer),1,,
Ca-sp-06,Which is the most important meal of the day to people from Azerbaijan?,"Answer the following question.

Which is the most important meal of the day to people from Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Breakfast,1,,
New-en-41,Who is the most well known and successful entrepreneur in Azerbaijan?,"Answer the following question.

Who is the most well known and successful entrepreneur in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Ahmad Ahmadov,1,,
New-su-33,What is the common dress code for school teachers in Azerbaijan?,"Answer the following question.

What is the common dress code for school teachers in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Traditional attire or business casual,1,,
Th-en-44,What is Azerbaijan's most popular food for family meals on weekends?,"Answer the following question.

What is Azerbaijan's most popular food for family meals on weekends?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Plov,1,,
Th-en-45,What is the most popular weekday evening family activity in Azerbaijan?,"Answer the following question.

What is the most popular weekday evening family activity in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Playing backgammon,1,,
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in Azerbaijan? (e.g., 1 month).","Answer the following question.

How long is the typical probation period for new employees before signing a formal contract in Azerbaijan? (e.g., 1 month).

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",1 month,1,,
New-in-62,What university in Azerbaijan is popular because of its engineering major? (Provide the official name.),"Answer the following question.

What university in Azerbaijan is popular because of its engineering major? (Provide the official name.)

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Azerbaijan State Oil and Industrial University (Əzəriyan Dövlət Neft və Sənaye Universiteti),1,,
Ji-ko-34,How do elementary school students in Azerbaijan go to school?,"Answer the following question.

How do elementary school students in Azerbaijan go to school?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Elementary school students in Azerbaijan go to school from 9:00 am to 1:00 pm, Monday to Friday.",1,,
Ta-pe-21,Where do children usually play soccer in Azerbaijan?,"Answer the following question.

Where do children usually play soccer in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",School playgrounds and local sports facilities.,1,,
Tmp-ar-01,Where do university students in Azerbaijan usually go to study for their final exams?,"Answer the following question.

Where do university students in Azerbaijan usually go to study for their final exams?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Libraries.,1,,
Ne-ar-38,Which food do people usually offer as charity in Azerbaijan?,"Answer the following question.

Which food do people usually offer as charity in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.",Pita bread with herbs.,1,,
Jod-ch-01,What eating utensils do people commonly used in Azerbaijan?,"Answer the following question.

What eating utensils do people commonly used in Azerbaijan?

Only provide the short answer to the question. Do not include any explanation, reasoning, or other text. Output only the answer.","Fork, knife, spoon",1,,
