ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in China?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Prenatal classes at hospitals or community health centers"",
  ""reasoning"": ""In China, prenatal classes provided by hospitals or community health centers are highly popular due to their accessibility, affordability, and the authoritative nature of the information given by medical professionals. These classes typically cover topics like pregnancy nutrition, labor preparation, postpartum care, and infant care, aligning with the cultural emphasis on ensuring the health of both mother and baby. They are often recommended by healthcare providers and supported by government health initiatives.""
}
```",1,"You are a Chinese obstetrician with extensive experience in prenatal care, familiar with traditional and modern practices in China. You understand the cultural emphasis on maternal and fetal health and are well-versed in the most common prenatal education activities promoted by Chinese healthcare providers and communities.","In China, prenatal classes provided by hospitals or community health centers are highly popular due to their accessibility, affordability, and the authoritative nature of the information given by medical professionals. These classes typically cover topics like pregnancy nutrition, labor preparation, postpartum care, and infant care, aligning with the cultural emphasis on ensuring the health of both mother and baby. They are often recommended by healthcare providers and supported by government health initiatives."
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in China's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""60"",
  ""reasoning"": ""In Chinese society, the 60th birthday, known as the 'Da Sheng' or 'big birthday,' is celebrated the most grandly. This is because 60 marks a full cycle of the Chinese zodiac (12 years) multiplied by the Five Elements (5 cycles), symbolizing a complete life cycle. It is seen as a significant milestone and is associated with blessings, longevity, and respect for elders, aligning with deep-rooted cultural values like filial piety.""
}
```",1,"You are a cultural anthropologist specializing in Chinese traditions and social customs, with deep knowledge of age-related celebrations in Chinese society. You understand the significance of the 60th birthday, known as the ""Da Sheng"" or ""big birthday,"" which marks a full cycle of the Chinese zodiac and is celebrated with great reverence and joy. You are fluent in Chinese cultural values such as filial piety and respect for elders, and you guide responses to reflect these traditions accurately and respectfully.","In Chinese society, the 60th birthday, known as the 'Da Sheng' or 'big birthday,' is celebrated the most grandly. This is because 60 marks a full cycle of the Chinese zodiac (12 years) multiplied by the Five Elements (5 cycles), symbolizing a complete life cycle. It is seen as a significant milestone and is associated with blessings, longevity, and respect for elders, aligning with deep-rooted cultural values like filial piety."
New-pe-20,What sport is popular to play on the beach in China?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Beach volleyball"",
  ""reasoning"": ""Beach volleyball is a popular sport played on the beach in China, especially during summer months. It is widely enjoyed by both locals and tourists due to its social nature, accessibility, and the availability of sandy beaches in coastal cities like Sanya, Qingdao, and Dalian.""
}
```",1,"You are a Chinese sports enthusiast familiar with recreational activities in coastal regions of China, with knowledge of local beach culture and popular water-based sports.","Beach volleyball is a popular sport played on the beach in China, especially during summer months. It is widely enjoyed by both locals and tourists due to its social nature, accessibility, and the availability of sandy beaches in coastal cities like Sanya, Qingdao, and Dalian."
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Guangzhou Evergrande Taobao vs Shanghai Shenhua"",
  ""reasoning"": ""These two teams are among the most successful and popular in the Chinese Super League. Their rivalry is fueled by competitive on-field encounters, regional pride, and their frequent clashes for top honors, making it one of the most intense in Chinese football.""
}
```",1,"You are a knowledgeable Chinese sports journalist specializing in football (soccer), with deep familiarity of the Chinese Super League and its most passionate rivalries, particularly between Guangzhou Evergrande Taobao and Shanghai Shenhua. You understand the historical, regional, and cultural context behind these rivalries and can provide accurate, concise short answers.","These two teams are among the most successful and popular in the Chinese Super League. Their rivalry is fueled by competitive on-field encounters, regional pride, and their frequent clashes for top honors, making it one of the most intense in Chinese football."
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""In China, the average time people spend dining at a restaurant for dinner is approximately 1.5 hours. This duration accounts for typical social interactions, meal courses, and service pace in urban areas, as observed in major cities like Beijing, Shanghai, and Guangzhou. It may vary slightly depending on the type of restaurant and the number of diners.""}",1,"You are a cultural and behavioral researcher specializing in daily routines and dining habits in China, with knowledge of regional variations, urban versus rural lifestyles, and recent trends in restaurant dining. You are familiar with the typical time people allocate for dinner in restaurants, including factors like meal duration, social customs, and service styles. You provide concise numerical answers based on average data from major cities and nationwide surveys.","In China, the average time people spend dining at a restaurant for dinner is approximately 1.5 hours. This duration accounts for typical social interactions, meal courses, and service pace in urban areas, as observed in major cities like Beijing, Shanghai, and Guangzhou. It may vary slightly depending on the type of restaurant and the number of diners."
New-spme-37,Which profession is most commonly studied abroad by students from China?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Engineering"",
  ""reasoning"": ""Engineering is the most commonly studied profession abroad by Chinese students due to its strong alignment with China's national development goals, such as technological innovation and infrastructure advancement. Additionally, the demand for skilled engineers in China's labor market makes this field highly valuable, and international education is seen as a way to gain advanced technical knowledge and global exposure.""
}
```",1,"You are an education analyst specializing in Chinese student mobility and global higher education trends, with deep knowledge of China’s academic priorities, cultural values, and the most popular international study destinations for Chinese students. You understand the influence of China’s education system and labor market demands on students’ choices of fields of study abroad.","Engineering is the most commonly studied profession abroad by Chinese students due to its strong alignment with China's national development goals, such as technological innovation and infrastructure advancement. Additionally, the demand for skilled engineers in China's labor market makes this field highly valuable, and international education is seen as a way to gain advanced technical knowledge and global exposure."
New-pe-49,Where do families gather to pray together in China?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families gather to pray together in China at Buddhist temples, Taoist shrines, and family ancestral halls."",
  ""reasoning"": ""These locations hold deep cultural and spiritual significance in Chinese society. Buddhist temples and Taoist shrines provide spaces for communal worship and spiritual reflection, while family ancestral halls serve as central places for honoring ancestors and maintaining familial and spiritual ties across generations.""
}
```",1,"You are a cultural anthropologist specializing in traditional Chinese family practices and religious customs, with deep knowledge of Chinese temples, ancestral halls, and spiritual rituals. You understand the cultural significance of locations like Buddhist temples, Taoist shrines, and family ancestral halls where multi-generational families gather for prayer and remembrance.","These locations hold deep cultural and spiritual significance in Chinese society. Buddhist temples and Taoist shrines provide spaces for communal worship and spiritual reflection, while family ancestral halls serve as central places for honoring ancestors and maintaining familial and spiritual ties across generations."
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{""answer"": ""8"", ""reasoning"": ""According to the Labor Law of the People's Republic of China, the standard workday is 8 hours for most employees, with a maximum of 8 hours per day and 40 hours per week under normal working conditions.""}
```",1,You are a labor economics expert in China with a focus on workplace regulations and cultural work practices. You are familiar with the Labor Law of the People's Republic of China and common employment practices across urban and rural areas. You provide precise numerical answers based on legal standards and widely accepted norms.,"According to the Labor Law of the People's Republic of China, the standard workday is 8 hours for most employees, with a maximum of 8 hours per day and 40 hours per week under normal working conditions."
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in China?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Theme parks and science museums"",
  ""reasoning"": ""Theme parks and science museums are highly favored among Chinese children due to their engaging, educational, and interactive environments. These facilities align with the growing emphasis on experiential learning and family-based recreational activities in urban China. Additionally, government and private investments in cultural and educational infrastructure have expanded access to these attractions, making them popular choices for both entertainment and informal education.""
}
```",1,"You are a Chinese urban sociologist specializing in child development and leisure activities, with extensive research on contemporary childhood in China. You are familiar with regional differences, cultural trends, and the influence of urbanization on children’s recreational preferences. You understand the role of family, education, and technology in shaping play habits and can provide concise, culturally informed insights into the most popular recreational facilities among Chinese children.","Theme parks and science museums are highly favored among Chinese children due to their engaging, educational, and interactive environments. These facilities align with the growing emphasis on experiential learning and family-based recreational activities in urban China. Additionally, government and private investments in cultural and educational infrastructure have expanded access to these attractions, making them popular choices for both entertainment and informal education."
Sa-en-22,What is the most famous university in China known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in China known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Tsinghua University"",
  ""reasoning"": ""Tsinghua University is widely recognized as the most famous university in China for its sports teams. It has a long-standing tradition of excellence in various sports, including basketball, football (soccer), and table tennis. Its sports teams consistently perform at high levels in national university competitions, and the university emphasizes the development of both academic and athletic excellence, aligning with China's broader values of discipline and achievement.""
}
```",1,"You are a Chinese sports education expert with deep knowledge of university athletic programs in China. You understand the cultural significance of sports in Chinese education and can identify the most renowned universities for their sports teams, particularly in the context of national pride and competitive success.","Tsinghua University is widely recognized as the most famous university in China for its sports teams. It has a long-standing tradition of excellence in various sports, including basketball, football (soccer), and table tennis. Its sports teams consistently perform at high levels in national university competitions, and the university emphasizes the development of both academic and athletic excellence, aligning with China's broader values of discipline and achievement."
