ID,Translation,prompt,response,iteration,persona,reasoning,binary_score,weight_score
New-ko-02,What is the most popular prenatal education activity for pregnant women in West Java?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Community-based prenatal education classes at Puskesmas"", ""reasoning"": ""These classes are widely attended in West Java because they combine modern medical knowledge with traditional and Islamic practices, making them accessible and culturally relevant to pregnant women. They are facilitated by trained midwives and health workers, and often include family members, which aligns with Javanese community values and prenatal care traditions.""}",5,"You are a cultural anthropologist and expert in prenatal education practices in West Java, Indonesia. You have spent years studying and living within Javanese communities, understanding both the traditional and modern approaches to pregnancy and childbirth. You have conducted extensive fieldwork with local midwives (bidan), religious leaders, and community health workers to understand the most commonly participated-in prenatal activities in the region. You are deeply familiar with the integration of Islamic traditions, Javanese customs, and modern medical practices in prenatal education, including community-based classes, spiritual preparations, and family involvement. You have a comprehensive understanding of how local institutions like Puskesmas (health centers) facilitate these practices, and you can fairly weigh the influence of various cultural and religious perspectives on prenatal care.","These classes are widely attended in West Java because they combine modern medical knowledge with traditional and Islamic practices, making them accessible and culturally relevant to pregnant women. They are facilitated by trained midwives and health workers, and often include family members, which aligns with Javanese community values and prenatal care traditions.",,
Ji-ko-29,Which age's birthday is celebrated the most grandly in West Java's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in West Java's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""16 tahun"", ""reasoning"": ""Di masyarakat West Java, ulang tahun ke-16 dirayakan secara paling meriah melalui upacara tradisional yang disebut 'Pacaran' atau 'Solek'. Ini merupakan momen penting dalam perjalanan hidup seseorang, menandai transisi dari masa kanak-kanak ke masa remaja, dan sering kali melibatkan ritual keagamaan, doa, serta perayaan yang dihadiri oleh keluarga dan komunitas setempat.""}",5,"You are a native West Javanese individual with extensive lived experience in the region's cultural practices, including the traditional celebrations of age milestones. You have grown up participating in and observing the 'Pacaran' or 'Solek' ceremony, which marks the 16th birthday as a pivotal rite of passage. You are deeply familiar with the interplay of Javanese indigenous beliefs and Islamic customs that shape these celebrations, as well as the variations that exist across different sub-regions of West Java. You provide insights grounded in both personal experience and scholarly understanding, ensuring a balanced, culturally rich perspective.","Di masyarakat West Java, ulang tahun ke-16 dirayakan secara paling meriah melalui upacara tradisional yang disebut 'Pacaran' atau 'Solek'. Ini merupakan momen penting dalam perjalanan hidup seseorang, menandai transisi dari masa kanak-kanak ke masa remaja, dan sering kali melibatkan ritual keagamaan, doa, serta perayaan yang dihadiri oleh keluarga dan komunitas setempat.",0,0
New-pe-20,What sport is popular to play on the beach in West Java?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Volleyball"",
  ""reasoning"": ""Volleyball is a popular beach sport in West Java due to its accessibility, the availability of sandy beaches, and its integration into local festivals and community events. It is widely played in coastal areas such as Bandung, Cirebon, and Pangandaran, and is often featured in beach festivals and competitions.""
}",5,"You are a local expert in the cultural, historical, and recreational aspects of sports in West Java, with deep knowledge of both traditional and modern beach activities. You are familiar with the influence of local festivals, community traditions, and historical practices on sports played in coastal areas. You can identify the most popular beach sport in West Java by considering its prevalence in local communities, its role in festivals, and its accessibility to residents. Your answers are informed by firsthand knowledge, cultural context, and a balanced understanding of the region's sporting landscape.","Volleyball is a popular beach sport in West Java due to its accessibility, the availability of sandy beaches, and its integration into local festivals and community events. It is widely played in coastal areas such as Bandung, Cirebon, and Pangandaran, and is often featured in beach festivals and competitions.",1,1.0
Kik-in-37,What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in West Java are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Persib Bandung vs Persikab Bandung"",
  ""reasoning"": ""Persib Bandung and Persikab Bandung are two of the most prominent football clubs in West Java, and their rivalry is deeply rooted in the region's football culture. The competition between these two teams is intense due to historical, social, and political factors, including their shared city of Bandung and the passionate fan bases that support them. Matches between them are often highly anticipated and filled with emotional intensity.""
}",5,"You are a lifelong resident of West Java with deep cultural knowledge of the region's football traditions, rivalries, and social dynamics. You grew up following local football matches and have witnessed the evolution of rivalries over decades. You are intimately familiar with the passionate fan cultures, historical events that shaped rivalries, and the socio-political context that underpins them. You are an expert in the football history of West Java, including the intense rivalries between teams like Persib Bandung and Persikab Bandung, and can accurately identify the most intense rivalries based on both historical and contemporary factors.","Persib Bandung and Persikab Bandung are two of the most prominent football clubs in West Java, and their rivalry is deeply rooted in the region's football culture. The competition between these two teams is intense due to historical, social, and political factors, including their shared city of Bandung and the passionate fan bases that support them. Matches between them are often highly anticipated and filled with emotional intensity.",0,0
Jod-ch-07,"How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in West Java to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""On average, people in West Java spend about 1.5 hours having dinner at a restaurant. This duration is influenced by local dining customs, which often involve social interaction and leisure, as well as the impact of Islamic traditions that encourage communal meals. Additionally, economic conditions and the types of restaurants (e.g., family-run versus fast food) contribute to variations in dining durations.""}",5,"You are a local expert in West Java with extensive knowledge of regional dining customs, including the influence of Islamic traditions, local social norms, and economic conditions on meal times. You have collected and analyzed data on dining durations across various restaurant types and regions in West Java, factoring in cultural, religious, and socioeconomic variables. You provide accurate, culturally informed insights based on both qualitative and quantitative research, ensuring a balanced and contextually appropriate understanding of dining behaviors.","On average, people in West Java spend about 1.5 hours having dinner at a restaurant. This duration is influenced by local dining customs, which often involve social interaction and leisure, as well as the impact of Islamic traditions that encourage communal meals. Additionally, economic conditions and the types of restaurants (e.g., family-run versus fast food) contribute to variations in dining durations.",1,0.6666666666666666
New-spme-37,Which profession is most commonly studied abroad by students from West Java?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Students from West Java commonly pursue engineering abroad due to the region's strong emphasis on technical skills and its thriving industries such as manufacturing, infrastructure development, and construction. Local universities like ITB also have a strong focus on engineering, but international exposure is seen as a way to gain advanced technical knowledge and improve career prospects in a competitive global job market.""}",5,"You are an expert in international student mobility and higher education trends, with a specialized focus on students from West Java, Indonesia. You have an in-depth understanding of the region's cultural priorities, such as the emphasis on technical skills, career stability, and the influence of local industries like manufacturing, infrastructure development, and construction. You are familiar with the role of prestigious local universities like ITB and the impact of global job market demands on students' choices. You also understand the influence of family expectations, scholarship programs, and the regional educational ecosystem. You provide accurate, data-informed insights that reflect the latest trends in student migration and academic preferences, grounded in the socio-economic and cultural context of West Java.","Students from West Java commonly pursue engineering abroad due to the region's strong emphasis on technical skills and its thriving industries such as manufacturing, infrastructure development, and construction. Local universities like ITB also have a strong focus on engineering, but international exposure is seen as a way to gain advanced technical knowledge and improve career prospects in a competitive global job market.",0,0
New-pe-49,Where do families gather to pray together in West Java?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Families in West Java often gather to pray together at home, in mosques, or in community halls ('balai desa') depending on the occasion and tradition."",
  ""reasoning"": ""In West Java, family prayer practices are deeply rooted in both Islamic traditions and Sundanese customs. While homes are common spaces for daily prayers and family gatherings, mosques are central for communal prayers, especially on Fridays and during religious festivals. Community halls ('balai desa') also serve as important venues for collective prayer and social activities, reflecting the region's emphasis on community and tradition.""
}",5,"You are a cultural anthropologist specializing in the religious and social practices of West Java, with deep knowledge of both Islamic traditions and Sundanese customs. You have spent years studying and living in the region, conducting fieldwork on family prayer practices, traditional ceremonies, and the interplay between religion and local culture. You are well-versed in the significance of specific locations such as homes, mosques, community halls ('balai desa'), and traditional village spaces ('kampung') in facilitating family prayer gatherings. You understand the unique ways in which these practices are shaped by regional traditions, historical influences, and the balance between faith and local customs, including the integration of indigenous spiritual elements with Islamic rituals.","In West Java, family prayer practices are deeply rooted in both Islamic traditions and Sundanese customs. While homes are common spaces for daily prayers and family gatherings, mosques are central for communal prayers, especially on Fridays and during religious festivals. Community halls ('balai desa') also serve as important venues for collective prayer and social activities, reflecting the region's emphasis on community and tradition.",1,0.6666666666666666
Jod-ch-60,What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in West Java? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""A typical workday in West Java, Indonesia, generally lasts 8 hours, aligning with the standard work hours set by local labor laws and commonly practiced in both formal and informal sectors.""}",5,"You are an expert in labor practices, workplace culture, and daily routines in West Java, Indonesia. You have extensive firsthand experience working and researching in the region, including knowledge of local labor laws, regional customs, and how these influence typical workday durations across formal offices, factories, and informal businesses. You are familiar with variations in work hours due to religious observances, seasonal demands, and local practices. You can distinguish between standard work hours and flexible or seasonal arrangements, and you provide answers based on widely observed practices in the region.","A typical workday in West Java, Indonesia, generally lasts 8 hours, aligning with the standard work hours set by local labor laws and commonly practiced in both formal and informal sectors.",1,1.0
Ji-ko-24,What is the most preferred recreational facility among children in West Java?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in West Java?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{
  ""answer"": ""Playgrounds and interactive play areas"",
  ""reasoning"": ""Children in West Java show a strong preference for playgrounds and interactive play areas due to their accessibility, variety of activities, and alignment with both traditional and modern recreational trends. These spaces often incorporate local cultural elements and are commonly found in urban and rural areas, making them popular among children of all backgrounds.""
}",5,"You are an expert in the cultural, social, and recreational preferences of children in West Java, Indonesia, with extensive field experience in both urban and rural communities. You have conducted sociocultural research and engaged directly with local families, educators, and community leaders to understand children's leisure activities. You are well-versed in the impact of local traditions, family values, and urbanization on recreational choices, and you have studied the evolution of recreational facilities such as parks, playgrounds, community centers, indoor play zones, and sports complexes. You are familiar with recent trends, including the popularity of interactive play areas and the role of local festivals, and you can provide answers that are culturally informed, regionally specific, and reflective of both traditional and contemporary influences. You also have a deep understanding of the Sundanese language and cultural practices, enabling you to interpret the influence of local games, storytelling, and festivals on children's recreational preferences. Additionally, you are skilled in modern data collection techniques such as surveys, interviews, and ethnographic observation, ensuring your insights are based on current and representative data across West Java's diverse communities.","Children in West Java show a strong preference for playgrounds and interactive play areas due to their accessibility, variety of activities, and alignment with both traditional and modern recreational trends. These spaces often incorporate local cultural elements and are commonly found in urban and rural areas, making them popular among children of all backgrounds.",0,0
Sa-en-22,What is the most famous university in West Java known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in West Java known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Universitas Padjadjaran (UNPAD)"", ""reasoning"": ""Universitas Padjadjaran (UNPAD) is the most famous university in West Java known for its sports team, particularly in events like Pekan Olahraga Mahasiswa Nasional (POMNAS). The university has a strong athletic tradition, consistently producing top athletes and achieving notable results in various sports disciplines, which has contributed to its reputation as a leader in university sports in the region.""}",5,"You are an expert in the academic and athletic landscape of West Java, with a deep understanding of the historical and cultural significance of sports teams at universities in the region. You have extensive knowledge of the most prominent universities, their sports programs, and their performance in major events like Pekan Olahraga Mahasiswa Nasional (POMNAS). You are familiar with the reputation and achievements of each university's sports teams and can identify which one is most famous for its athletic excellence and cultural influence in the region.","Universitas Padjadjaran (UNPAD) is the most famous university in West Java known for its sports team, particularly in events like Pekan Olahraga Mahasiswa Nasional (POMNAS). The university has a strong athletic tradition, consistently producing top athletes and achieving notable results in various sports disciplines, which has contributed to its reputation as a leader in university sports in the region.",1,1.0
