model,country,language,eval_method,score,iteration
qwen3-32b,UK,English,SEM-B,13.815789473684212,1
qwen3-32b,UK,English,SEM-W,12.065058479532166,1
qwen3-32b,US,English,SEM-B,14.099783080260304,1
qwen3-32b,US,English,SEM-W,12.704266088214029,1
qwen3-32b,South_Korea,English,SEM-B,11.157894736842106,1
qwen3-32b,South_Korea,English,SEM-W,9.47719298245614,1
qwen3-32b,Algeria,English,SEM-B,10.526315789473683,1
qwen3-32b,Algeria,English,SEM-W,9.0465293668955,1
qwen3-32b,China,English,SEM-B,12.236286919831224,1
qwen3-32b,China,English,SEM-W,10.559071729957806,1
qwen3-32b,Indonesia,English,SEM-B,9.791666666666666,1
qwen3-32b,Indonesia,English,SEM-W,8.711805555555555,1
qwen3-32b,Spain,English,SEM-B,10.874200426439232,1
qwen3-32b,Spain,English,SEM-W,9.648187633262262,1
qwen3-32b,Iran,English,SEM-B,11.403508771929824,1
qwen3-32b,Iran,English,SEM-W,10.365497076023392,1
qwen3-32b,Mexico,English,SEM-B,10.855949895615868,1
qwen3-32b,Mexico,English,SEM-W,9.51287404314544,1
qwen3-32b,Assam,English,SEM-B,8.385744234800839,1
qwen3-32b,Assam,English,SEM-W,6.827393431167016,1
qwen3-32b,Greece,English,SEM-B,12.608695652173912,1
qwen3-32b,Greece,English,SEM-W,10.83695652173913,1
qwen3-32b,Ethiopia,English,SEM-B,7.627118644067797,1
qwen3-32b,Ethiopia,English,SEM-W,6.631355932203389,1
qwen3-32b,Northern_Nigeria,English,SEM-B,7.6923076923076925,1
qwen3-32b,Northern_Nigeria,English,SEM-W,6.7765567765567765,1
qwen3-32b,Azerbaijan,English,SEM-B,12.79317697228145,1
qwen3-32b,Azerbaijan,English,SEM-W,11.01634683724236,1
qwen3-32b,North_Korea,English,SEM-B,8.558558558558559,1
qwen3-32b,North_Korea,English,SEM-W,6.959459459459459,1
qwen3-32b,West_Java,English,SEM-B,7.641921397379912,1
qwen3-32b,West_Java,English,SEM-W,6.637554585152838,1
