ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Azerbaijan?,"Show your thoughts clearly and answer the following question.

What is the most popular prenatal education activity for pregnant women in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Prenatal yoga and traditional Azerbaijani nutrition workshops"",
  ""reasoning"": ""In Azerbaijan, prenatal yoga sessions and workshops on traditional nutrition are popular among pregnant women. These activities align with cultural preferences for natural health practices and emphasize the importance of diet and gentle physical activity during pregnancy, often guided by local customs and family traditions.""
}
```",1,"You are a healthcare professional specializing in maternal and child health in Azerbaijan, familiar with local customs, prenatal care practices, and the cultural preferences of pregnant women in the region.","In Azerbaijan, prenatal yoga sessions and workshops on traditional nutrition are popular among pregnant women. These activities align with cultural preferences for natural health practices and emphasize the importance of diet and gentle physical activity during pregnancy, often guided by local customs and family traditions."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,"Show your thoughts clearly and answer the following question.

Which age's birthday is celebrated the most grandly in Azerbaijan's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""50th birthday"",
  ""reasoning"": ""In Azerbaijani society, the 50th birthday is considered a major milestone symbolizing wisdom, experience, and a successful life. It is celebrated with great enthusiasm, family gatherings, and often with public events or feasts to honor the individual. This age holds cultural and emotional significance, making it the most grandly celebrated birthday.""
}
```",1,"You are a sociocultural expert on Azerbaijani traditions and customs, with deep knowledge of life events and celebrations in Azerbaijan. You understand the significance of birthdays in Azerbaijani society, particularly the cultural emphasis on a person's 50th birthday as a major milestone. You are familiar with the language, values, and social practices that shape how age and celebration are perceived in Azerbaijani culture.","In Azerbaijani society, the 50th birthday is considered a major milestone symbolizing wisdom, experience, and a successful life. It is celebrated with great enthusiasm, family gatherings, and often with public events or feasts to honor the individual. This age holds cultural and emotional significance, making it the most grandly celebrated birthday."
New-pe-20,What sport is popular to play on the beach in Azerbaijan?,"Show your thoughts clearly and answer the following question.

What sport is popular to play on the beach in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Volleyball"",
  ""reasoning"": ""Volleyball is a popular beach sport in Azerbaijan due to its social and physical nature, and it is commonly played along the Caspian Sea coast during the summer months. The long sandy beaches provide ideal conditions for this activity.""
}
```",1,"You are a local sports enthusiast in Azerbaijan with a deep understanding of regional recreational activities, particularly beach sports. You are familiar with the Caspian Sea coast and the traditional and modern games played there. You provide concise, culturally informed answers about popular beach activities in Azerbaijan.","Volleyball is a popular beach sport in Azerbaijan due to its social and physical nature, and it is commonly played along the Caspian Sea coast during the summer months. The long sandy beaches provide ideal conditions for this activity."
Kik-in-37,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Show your thoughts clearly and answer the following question.

What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Qarabağ vs Neftçi"",
  ""reasoning"": ""The rivalry between Qarabağ and Neftçi is one of the most intense in Azerbaijani football. It combines historical competition, regional pride, and the contrasting identities of the two clubs—one from the capital city Baku (Neftçi) and the other from the mountainous region of Qubadlı (Qarabağ). This match is often referred to as the 'Azerbaijani Derby' and is highly anticipated by fans across the country.""
}
```",1,"You are a knowledgeable sports commentator in Azerbaijan with deep expertise in local football culture, particularly the rivalries between major clubs. You understand the historical, regional, and emotional significance of these rivalries and can provide concise, accurate answers reflecting the intensity and popularity of matches between clubs like Qarabağ and Neftçi.","The rivalry between Qarabağ and Neftçi is one of the most intense in Azerbaijani football. It combines historical competition, regional pride, and the contrasting identities of the two clubs—one from the capital city Baku (Neftçi) and the other from the mountainous region of Qubadlı (Qarabağ). This match is often referred to as the 'Azerbaijani Derby' and is highly anticipated by fans across the country."
Jod-ch-07,"How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Show your thoughts clearly and answer the following question.

How long (in hours) on average does it take for people in Azerbaijan to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""2.5"",
  ""reasoning"": ""In Azerbaijan, dining at a restaurant is often a social activity, and meals typically last longer due to the emphasis on hospitality, conversation, and multi-course meals. On average, people spend about 2.5 hours at a restaurant for dinner, especially in family or group settings. This duration can vary slightly depending on the type of restaurant and the number of guests.""
}
```",1,"You are a cultural and behavioral analyst specializing in dining habits in Azerbaijan. You are familiar with local customs, restaurant etiquette, and the typical duration of meals in different social and economic contexts. You understand the importance of hospitality and conversation in Azerbaijani culture and can accurately estimate average dining times based on national surveys and observational data.","In Azerbaijan, dining at a restaurant is often a social activity, and meals typically last longer due to the emphasis on hospitality, conversation, and multi-course meals. On average, people spend about 2.5 hours at a restaurant for dinner, especially in family or group settings. This duration can vary slightly depending on the type of restaurant and the number of guests."
New-spme-37,Which profession is most commonly studied abroad by students from Azerbaijan?,"Show your thoughts clearly and answer the following question.

Which profession is most commonly studied abroad by students from Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Medicine"",
  ""reasoning"": ""Medicine is the most commonly studied profession by Azerbaijani students abroad due to the high demand for medical professionals in Azerbaijan, the prestige associated with the field, and the availability of quality medical education in countries like Turkey, Russia, and Georgia. Additionally, many Azerbaijani students aim to return home after graduation to practice, making this field particularly popular.""
}
```",1,"You are an Azerbaijani education consultant with extensive experience in international student mobility, specializing in the academic and cultural preferences of Azerbaijani students pursuing higher education abroad. You are well-versed in the most popular fields of study pursued by Azerbaijani students in countries like Turkey, Russia, and the United States, and you understand the impact of language, economic factors, and career opportunities on their choices.","Medicine is the most commonly studied profession by Azerbaijani students abroad due to the high demand for medical professionals in Azerbaijan, the prestige associated with the field, and the availability of quality medical education in countries like Turkey, Russia, and Georgia. Additionally, many Azerbaijani students aim to return home after graduation to practice, making this field particularly popular."
New-pe-49,Where do families gather to pray together in Azerbaijan?,"Show your thoughts clearly and answer the following question.

Where do families gather to pray together in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Families in Azerbaijan often gather in mosques or at home to pray together."",
  ""reasoning"": ""Azerbaijan has a strong Islamic tradition, and mosques are central to religious life. However, due to the country's secular nature and the importance of family values, many families also choose to pray at home, especially for daily prayers or during religious holidays.""
}
```",1,"You are a knowledgeable resident of Baku, Azerbaijan, familiar with local religious practices and cultural traditions. You understand the significance of family prayers in Azerbaijani culture and can identify the common places where such gatherings occur, taking into account the country’s Islamic heritage and contemporary social norms.","Azerbaijan has a strong Islamic tradition, and mosques are central to religious life. However, due to the country's secular nature and the importance of family values, many families also choose to pray at home, especially for daily prayers or during religious holidays."
Jod-ch-60,What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.),"Show your thoughts clearly and answer the following question.

What is the duration (in hours) of a typical workday in Azerbaijan? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""8"",
  ""reasoning"": ""According to Azerbaijani labor legislation, the standard workday duration is 8 hours for most employees, as outlined in the Labor Code of the Republic of Azerbaijan.""
}
```",1,"You are a labor law expert in Azerbaijan with in-depth knowledge of standard work hours, labor regulations, and cultural work practices. You provide precise, concise numerical answers based on current Azerbaijani labor legislation and standard working schedules.","According to Azerbaijani labor legislation, the standard workday duration is 8 hours for most employees, as outlined in the Labor Code of the Republic of Azerbaijan."
Ji-ko-24,What is the most preferred recreational facility among children in Azerbaijan?,"Show your thoughts clearly and answer the following question.

What is the most preferred recreational facility among children in Azerbaijan?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Theme parks"",
  ""reasoning"": ""Theme parks, such as Baku Wonderland and local city parks with recreational areas, are among the most preferred recreational facilities for children in Azerbaijan. They offer a variety of attractions, including rides, games, and entertainment options that cater to different age groups, making them popular destinations for family outings and weekend activities.""
}
```",1,"You are a sociologist specializing in childhood and youth culture in Azerbaijan, with deep knowledge of local recreational trends, public spaces, and traditional activities. You are familiar with the cultural preferences and lifestyle of Azerbaijani children and can identify the most popular recreational facilities based on recent surveys and on-the-ground observations.","Theme parks, such as Baku Wonderland and local city parks with recreational areas, are among the most preferred recreational facilities for children in Azerbaijan. They offer a variety of attractions, including rides, games, and entertainment options that cater to different age groups, making them popular destinations for family outings and weekend activities."
Sa-en-22,What is the most famous university in Azerbaijan known for its sports team?,"Show your thoughts clearly and answer the following question.

What is the most famous university in Azerbaijan known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","```json
{
  ""answer"": ""Baku State University"",
  ""reasoning"": ""Baku State University is one of the most prestigious and well-known universities in Azerbaijan and has a strong reputation for its academic excellence. In addition to academics, it also has a notable sports culture and has historically fielded competitive sports teams, especially in events such as university sports competitions and regional tournaments. Its prominence in both education and sports makes it the most famous university in Azerbaijan for its sports teams.""
}
```",1,"You are a knowledgeable Azerbaijani educational and sports expert familiar with the country's universities and their athletic programs. You understand the cultural importance of both education and sports in Azerbaijan and can identify the most renowned university known for its successful sports teams, particularly in Baku.","Baku State University is one of the most prestigious and well-known universities in Azerbaijan and has a strong reputation for its academic excellence. In addition to academics, it also has a notable sports culture and has historically fielded competitive sports teams, especially in events such as university sports competitions and regional tournaments. Its prominence in both education and sports makes it the most famous university in Azerbaijan for its sports teams."
