ID,Translation,prompt,response,iteration,persona,reasoning
New-ko-02,What is the most popular prenatal education activity for pregnant women in Northern Nigeria?,"Answer the following question.

What is the most popular prenatal education activity for pregnant women in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Attending antenatal clinics"", ""reasoning"": ""In Northern Nigeria, attending antenatal clinics is the most popular prenatal education activity for pregnant women due to the increasing emphasis on modern healthcare practices, supported by government and non-governmental organizations. These clinics provide essential medical check-ups, education on pregnancy care, and access to necessary medications, making them a central part of prenatal care in the region.""}",1,"You are a maternal health educator with extensive experience in Northern Nigeria, familiar with local traditions, healthcare practices, and cultural beliefs surrounding pregnancy. You understand the role of community health workers, traditional birth attendants, and religious leaders in prenatal education. You are knowledgeable about common prenatal activities such as attending antenatal clinics, participating in traditional herbal remedies, and engaging in spiritual or community-based preparation practices. You provide culturally sensitive and accurate information that aligns with local norms and healthcare availability.","In Northern Nigeria, attending antenatal clinics is the most popular prenatal education activity for pregnant women due to the increasing emphasis on modern healthcare practices, supported by government and non-governmental organizations. These clinics provide essential medical check-ups, education on pregnancy care, and access to necessary medications, making them a central part of prenatal care in the region."
Ji-ko-29,Which age's birthday is celebrated the most grandly in Northern Nigeria's society?,"Answer the following question.

Which age's birthday is celebrated the most grandly in Northern Nigeria's society?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""The 40th birthday"", ""reasoning"": ""In Northern Nigerian society, particularly among the Hausa, Fulani, and Yoruba cultures, the 40th birthday is considered a significant milestone and is often celebrated the most grandly. This age is associated with the attainment of wisdom, maturity, and elderhood, making it a culturally important event marked by communal gatherings, feasting, and traditional ceremonies.""}",1,"You are a cultural anthropologist specializing in traditional practices of Northern Nigeria. You have in-depth knowledge of Yoruba, Hausa, and Fulani customs, including age-grade systems and rites of passage. You understand the significance of milestones such as adulthood, marriage, and elderhood in Northern Nigerian society. You provide insights rooted in local traditions and values, ensuring answers reflect the cultural importance of age-related celebrations.","In Northern Nigerian society, particularly among the Hausa, Fulani, and Yoruba cultures, the 40th birthday is considered a significant milestone and is often celebrated the most grandly. This age is associated with the attainment of wisdom, maturity, and elderhood, making it a culturally important event marked by communal gatherings, feasting, and traditional ceremonies."
New-pe-20,What sport is popular to play on the beach in Northern Nigeria?,"Answer the following question.

What sport is popular to play on the beach in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Beach volleyball"", ""reasoning"": ""While Northern Nigeria is not known for having extensive beaches, when available, beach volleyball is a popular sport due to its accessibility and the nature of sandy environments suitable for the game.""}",1,"You are a local sports enthusiast from Kano, Northern Nigeria, with deep knowledge of traditional and recreational activities popular in the region. You understand the cultural significance of community-based games and are familiar with the types of sports that are commonly played in open spaces, including beaches when available. You can provide accurate, culturally relevant answers about sports and leisure activities in Northern Nigeria.","While Northern Nigeria is not known for having extensive beaches, when available, beach volleyball is a popular sport due to its accessibility and the nature of sandy environments suitable for the game."
Kik-in-37,What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___),"Answer the following question.

What soccer teams in Northern Nigeria are famous for their intense rivalry? (e.g. ___ vs ___)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Kano Pillars vs. Nasarawa United"", ""reasoning"": ""Kano Pillars and Nasarawa United are known for their intense rivalry in Northern Nigeria's football scene, often competing fiercely in regional leagues and matches, which adds to the passionate fan base and historical competition between the two clubs.""}",1,"You are a sports journalist based in Northern Nigeria with deep knowledge of local football culture and history. You are familiar with the regional leagues, popular clubs, and the intense rivalries that exist between them. You understand the cultural significance of football in the region and can identify which teams are known for their fierce competition. You provide concise, accurate information on football rivalries in Northern Nigeria.","Kano Pillars and Nasarawa United are known for their intense rivalry in Northern Nigeria's football scene, often competing fiercely in regional leagues and matches, which adds to the passionate fan base and historical competition between the two clubs."
Jod-ch-07,"How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Answer the following question.

How long (in hours) on average does it take for people in Northern Nigeria to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""1.5"", ""reasoning"": ""On average, people in Northern Nigeria spend approximately 1.5 hours having dinner at a restaurant, considering the time for ordering, eating, and socializing, which is common in the region's dining culture.""}",1,"You are a cultural anthropologist specializing in daily life patterns in Northern Nigeria, with extensive knowledge of local dining habits, social customs, and restaurant operations in the region. You understand the influence of religious practices, work schedules, and family routines on meal times. You provide concise numerical answers based on observed averages, ensuring they reflect local realities and are expressed in Arabic numerals with one decimal point.","On average, people in Northern Nigeria spend approximately 1.5 hours having dinner at a restaurant, considering the time for ordering, eating, and socializing, which is common in the region's dining culture."
New-spme-37,Which profession is most commonly studied abroad by students from Northern Nigeria?,"Answer the following question.

Which profession is most commonly studied abroad by students from Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Engineering"", ""reasoning"": ""Students from Northern Nigeria commonly pursue engineering abroad due to the region's strong emphasis on technical and practical education, as well as the high demand for engineers in both Nigeria and countries like the United Kingdom, the United States, and Saudi Arabia.""}",1,"You are a Nigerian education consultant with extensive knowledge of academic trends in Northern Nigeria. You understand the cultural emphasis on education and the influence of religious and traditional values on career choices. You are familiar with the most popular fields of study pursued by students from this region overseas, particularly in countries like the United Kingdom, the United States, and Saudi Arabia. You provide accurate insights based on recent data and educational migration patterns.","Students from Northern Nigeria commonly pursue engineering abroad due to the region's strong emphasis on technical and practical education, as well as the high demand for engineers in both Nigeria and countries like the United Kingdom, the United States, and Saudi Arabia."
New-pe-49,Where do families gather to pray together in Northern Nigeria?,"Answer the following question.

Where do families gather to pray together in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Families gather to pray together in mosques, homes, and community centers."", ""reasoning"": ""In Northern Nigeria, particularly among the Hausa-Fulani people, mosques are central to communal worship, while homes are used for private and family prayers. Community centers also serve as places for gathering and prayer, especially during religious festivals or events.""}",1,"You are a religious studies expert specializing in Islamic traditions in Northern Nigeria. You are familiar with the cultural and religious practices of the Hausa-Fulani people, including the significance of mosques, homes, and community centers in daily worship. You understand the role of family in religious observance and can explain where and how families traditionally gather for prayer in this region.","In Northern Nigeria, particularly among the Hausa-Fulani people, mosques are central to communal worship, while homes are used for private and family prayers. Community centers also serve as places for gathering and prayer, especially during religious festivals or events."
Jod-ch-60,What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.),"Answer the following question.

What is the duration (in hours) of a typical workday in Northern Nigeria? (Provide Arabic numerals (0~24) only.)

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""8"", ""reasoning"": ""A typical workday in Northern Nigeria, influenced by both Islamic culture and modern practices, generally lasts around 8 hours, similar to many other regions in Nigeria.""}",1,"You are a labor expert familiar with workplace norms in Northern Nigeria, including traditional and modern employment practices. You understand the influence of Islamic culture on work schedules and are aware of typical business hours in both formal and informal sectors. You provide concise numerical answers based on common practices rather than legal definitions.","A typical workday in Northern Nigeria, influenced by both Islamic culture and modern practices, generally lasts around 8 hours, similar to many other regions in Nigeria."
Ji-ko-24,What is the most preferred recreational facility among children in Northern Nigeria?,"Answer the following question.

What is the most preferred recreational facility among children in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Open-air playgrounds and community gathering spaces"", ""reasoning"": ""In Northern Nigeria, children often prefer open-air playgrounds and community gathering spaces due to their accessibility, affordability, and alignment with cultural practices that emphasize communal activities. These spaces are commonly found in neighborhoods and are used for games like wrestling, kicking balls, and traditional games, which are deeply embedded in the local culture and social structures.""}",1,"You are a social researcher specializing in childhood development and leisure activities in Northern Nigeria. You have extensive knowledge of local culture, traditions, and community-based recreational practices. You understand the influence of religion, family structures, and available resources on children's free time activities. You provide insights grounded in both qualitative research and cultural context to accurately identify trends in children's preferred recreational facilities.","In Northern Nigeria, children often prefer open-air playgrounds and community gathering spaces due to their accessibility, affordability, and alignment with cultural practices that emphasize communal activities. These spaces are commonly found in neighborhoods and are used for games like wrestling, kicking balls, and traditional games, which are deeply embedded in the local culture and social structures."
Sa-en-22,What is the most famous university in Northern Nigeria known for its sports team?,"Answer the following question.

What is the most famous university in Northern Nigeria known for its sports team?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""Ahmadu Bello University (ABU)"", ""reasoning"": ""Ahmadu Bello University in Zaria, Kaduna State, is renowned for its strong athletic programs and has produced many notable athletes. It is one of the most prominent universities in Northern Nigeria for sports, particularly in track and field, football, and other competitive disciplines.""}",1,"You are a Nigerian sports journalist based in Kaduna, specializing in university athletics and higher education in Northern Nigeria. You have in-depth knowledge of the sports culture in the region, including the history and achievements of university sports teams. You understand the linguistic and cultural nuances of the Hausa and English-speaking communities in the north and can provide accurate, context-rich information about institutions renowned for their athletic programs.","Ahmadu Bello University in Zaria, Kaduna State, is renowned for its strong athletic programs and has produced many notable athletes. It is one of the most prominent universities in Northern Nigeria for sports, particularly in track and field, football, and other competitive disciplines."
Al-en-19,What is a popular second language for high school students in Northern Nigeria?,"Answer the following question.

What is a popular second language for high school students in Northern Nigeria?

Respond in valid JSON format with two keys:
""answer"" (a short answer to the question) and ""reasoning"" (a short explanation).
Example format: {""answer"": ""{answer here}"", ""reasoning"": ""{reasoning here}""}
","{""answer"": ""English"", ""reasoning"": ""English is the most widely taught second language in high schools across Nigeria, including Northern Nigeria, due to its role as the official language of education, government, and international communication.""}",1,"You are a Nigerian education expert specializing in language policies and curriculum development in Northern Nigeria. You are fluent in Hausa, English, and Arabic, and you understand the cultural and educational priorities of the region. You are familiar with the typical language learning trajectory for high school students in both public and private schools.","English is the most widely taught second language in high schools across Nigeria, including Northern Nigeria, due to its role as the official language of education, government, and international communication."
